trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,candle_range,body_size,body_to_range,doji,signal,forward_1,forward_3,forward_6
2023-04-28,01:00:00,13143.99,13156.49,13116.99,13146.24,5021,12936.825,102.98700492880775,13142.799009857616,12730.850990142386,39.5,2.25,0.056962025316455694,True,BB_DOJI_BEARISH,0.04183705759213281,-0.10459264398033202,0.7420372669295638
2023-06-08,01:00:00,14316.34,14324.09,14293.34,14313.59,3857,14522.907499999998,89.65903581874502,14702.225571637488,14343.589428362508,30.75,2.75,0.08943089430894309,True,BB_DOJI_BULLISH,-0.3143865375492801,0.3580513344311245,1.1510040458054198
2023-07-12,17:00:00,15340.89,15383.39,15219.39,15327.74,14126,15100.767499999998,102.13732045768374,15305.042140915366,14896.49285908463,164.0,13.149999999999636,0.08018292682926607,True,BB_DOJI_BEARISH,0.029358535570149287,0.3046763580279984,1.355059519537784
2023-07-18,21:00:00,15833.64,15912.99,15829.24,15831.74,6834,15643.829999999998,87.34303605550934,15818.516072111017,15469.14392788898,83.75,1.8999999999996362,0.022686567164174762,True,BB_DOJI_BEARISH,0.10295772921991578,0.360352052269688,-0.04705736703608642
2023-07-21,01:00:00,15485.54,15492.29,15445.79,15482.04,4281,15742.804999999998,120.08501385543249,15982.975027710863,15502.634972289134,46.5,3.5,0.07526881720430108,True,BB_DOJI_BULLISH,0.08558303686077545,0.19118927479840217,-0.25610320087017896
2023-09-11,21:00:00,15478.54,15504.79,15462.29,15482.59,5963,15334.359999999997,70.92793859754505,15476.215877195087,15192.504122804907,42.5,4.049999999999272,0.09529411764704171,True,BB_DOJI_BEARISH,-0.11722844821182785,-0.21249674634540885,-1.0676508258631099
2023-10-13,21:00:00,14992.49,15044.99,14958.99,14984.24,9104,15183.5375,87.75051128206704,15359.038522564135,15008.036477435866,86.0,8.25,0.09593023255813954,True,BB_DOJI_BULLISH,0.45347645259286246,0.15482934069396065,1.3617640934742175
2024-03-15,17:00:00,17860.89,17936.54,17773.64,17847.64,17098,18089.775,112.8989034257581,18315.572806851516,17863.977193148487,162.90000000000146,13.25,0.08133824432166901,True,BB_DOJI_BULLISH,-0.03782012635844291,0.4602849452364652,1.1267596163974742
2024-03-21,09:00:00,18388.79,18446.79,18370.04,18386.79,6613,18072.36,155.8959043721221,18384.151808744245,17760.568191255756,76.75,2.0,0.026058631921824105,True,BB_DOJI_BEARISH,0.22162650468080616,-0.13678298387049317,-0.07423808070903869
2024-05-23,09:00:00,18876.07,18882.07,18856.44,18873.69,7591,18701.6225,81.97258481874412,18865.56766963749,18537.677330362512,25.63000000000102,2.3800000000010186,0.09285992976983706,True,BB_DOJI_BEARISH,-0.5006970020170937,-1.3746649436331586,-1.1188061264119515
