trade_date,trade_time,open,high,low,close,volume,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
1993-05-28,00:00:00,0.6922,0.6928,0.685,0.6875,1091,0.688,0.7072,-0.07267441860464316,-2.785633484162903,DOUBLE_BOTTOM_BULLISH,-1.3090909090909102,-1.4545454545454557,-2.1090909090909027
1993-06-08,00:00:00,0.6731,0.6745,0.668,0.6698,971,0.6708,0.7015,-0.14907573047107944,-4.5188880969351475,DOUBLE_BOTTOM_BULLISH,0.8957897879964177,1.4481934905942135,1.0749477455957146
1993-07-08,00:00:00,0.6801,0.687,0.6785,0.6837,1341,0.662,0.683,3.277945619335339,0.10248901903366367,DOUBLE_TOP_BEARISH,-0.32177855784700593,-0.9068304812052046,-0.5850519233581986
1993-07-29,00:00:00,0.6761,0.6828,0.6743,0.6828,1031,0.6725,0.6826,1.531598513011149,0.029299736302370052,DOUBLE_TOP_BEARISH,1.0544815465729327,1.0544815465729327,-0.30755711775043804
1993-08-02,00:00:00,0.6885,0.694,0.6863,0.6911,1281,0.6725,0.691,2.765799256505585,0.014471780028958034,DOUBLE_TOP_BEARISH,-0.15916654608596453,-1.4180292287657401,-0.5209086962812975
1993-08-23,00:00:00,0.676,0.6774,0.6658,0.6705,1771,0.6715,0.6919,-0.1489203276247209,-3.092932504697207,DOUBLE_BOTTOM_BULLISH,-0.1491424310216258,0.0,0.5667412378821813
1993-08-27,00:00:00,0.6689,0.6699,0.6645,0.6654,731,0.6653,0.684,0.015030813166990679,-2.719298245614044,DOUBLE_BOTTOM_BULLISH,0.9167418094379312,0.4658851818455052,-2.539825668770668
1993-10-11,00:00:00,0.658,0.6629,0.657,0.6615,831,0.6412,0.6607,3.1659388646288185,0.1210836991070112,DOUBLE_TOP_BEARISH,0.12093726379441012,0.3779289493575295,0.529100529100538
1993-10-12,00:00:00,0.6586,0.6628,0.656,0.6623,991,0.6412,0.6629,3.290704928259515,-0.0905113893498333,DOUBLE_TOP_BEARISH,-0.04529669334138109,0.10569228446323929,0.9361316623886432
1993-10-13,00:00:00,0.6605,0.6639,0.6575,0.662,1131,0.6412,0.6629,3.2439176543980106,-0.13576708402474158,DOUBLE_TOP_BEARISH,0.3021148036253779,-0.15105740181268895,1.3293051359516492
1993-10-14,00:00:00,0.6612,0.667,0.6598,0.664,1161,0.6412,0.6639,3.5558328134747414,0.015062509414066724,DOUBLE_TOP_BEARISH,-0.15060240963855434,0.15060240963855434,0.6777108433734862
1993-11-03,00:00:00,0.6719,0.677,0.6715,0.6762,671,0.662,0.6755,2.1450151057401796,0.10362694300518638,DOUBLE_TOP_BEARISH,-0.25140490979000807,-1.3901212658976745,-2.425317953268259
1993-11-10,00:00:00,0.6663,0.6685,0.662,0.6631,981,0.6635,0.677,-0.06028636021099562,-2.0531757754800624,DOUBLE_BOTTOM_BULLISH,-0.4976624943447398,-0.8746795355150093,-0.3166943145830178
1993-12-03,00:00:00,0.6692,0.671,0.6675,0.669,681,0.6548,0.669,2.168601099572387,0.0,DOUBLE_TOP_BEARISH,0.38863976083706064,0.7623318385650214,0.44843049327354295
1993-12-06,00:00:00,0.6669,0.6725,0.6663,0.6716,771,0.6548,0.671,2.5656689065363354,0.08941877794335826,DOUBLE_TOP_BEARISH,-0.6253722453841545,0.01488981536628782,0.02977963073257564
1993-12-15,00:00:00,0.6718,0.6758,0.6718,0.6758,401,0.6565,0.675,2.9398324447829376,0.11851851851850546,DOUBLE_TOP_BEARISH,-0.2663509914175663,0.3847292098253991,1.4649304527966884
1994-01-10,00:00:00,0.6847,0.6878,0.6835,0.6878,551,0.6688,0.6887,2.8409090909090935,-0.13068099317554988,DOUBLE_TOP_BEARISH,0.3780168653678463,0.4070950857807538,1.4102936900261767
1994-01-12,00:00:00,0.6897,0.6923,0.6865,0.6923,901,0.6693,0.6916,3.436426116838491,0.10121457489879032,DOUBLE_TOP_BEARISH,-0.24555828398093812,0.4044489383215405,1.617795753286146
1994-01-18,00:00:00,0.6951,0.6985,0.6943,0.6975,601,0.6821,0.6972,2.25773347016566,0.043029259896725035,DOUBLE_TOP_BEARISH,0.4157706093189984,0.7025089605734789,1.4910394265232925
1994-02-08,00:00:00,0.7148,0.7197,0.7143,0.7181,751,0.7036,0.7178,2.060830017055139,0.041794371691274305,DOUBLE_TOP_BEARISH,0.1253307338810767,-0.2924383790558405,-0.5988023952095768
1994-02-09,00:00:00,0.7177,0.7195,0.715,0.719,771,0.705,0.7197,1.9858156028368812,-0.09726274836738001,DOUBLE_TOP_BEARISH,-0.04172461752433477,-1.5159944367176663,-0.20862308762168927
1994-02-10,00:00:00,0.7185,0.723,0.7173,0.7187,1121,0.705,0.7197,1.9432624113475243,-0.1389467833819648,DOUBLE_TOP_BEARISH,-0.37567830805621755,-1.0018088214832315,-0.37567830805621755
1994-02-14,00:00:00,0.7153,0.7159,0.7065,0.7081,1161,0.7075,0.723,0.084805653710238,-2.0608575380359646,DOUBLE_BOTTOM_BULLISH,0.48015816975004516,1.3274961163677554,2.3019347549781237
1994-02-23,00:00:00,0.7235,0.7265,0.7197,0.725,1211,0.706,0.7247,2.691218130311617,0.04139643990616351,DOUBLE_TOP_BEARISH,-0.28965517241379185,-1.5172413793103463,-2.468965517241383
1994-03-02,00:00:00,0.7088,0.712,0.7015,0.7082,2041,0.7075,0.7303,0.09893992932862669,-3.02615363549225,DOUBLE_BOTTOM_BULLISH,-0.1553233549844819,1.299068059870091,-0.14120304998587982
1994-03-24,00:00:00,0.7111,0.7135,0.704,0.7056,1351,0.706,0.7225,-0.05665722379602776,-2.3391003460207647,DOUBLE_BOTTOM_BULLISH,0.7653061224489739,-0.5810657596371871,-0.3684807256235894
1994-05-10,00:00:00,0.7204,0.7258,0.716,0.7231,1691,0.7028,0.7222,2.88844621513944,0.12461921905289558,DOUBLE_TOP_BEARISH,-0.5393444890056721,0.02765869174389282,0.8021020605725386
1994-05-17,00:00:00,0.7271,0.731,0.7241,0.728,1291,0.7028,0.7279,3.5856573705179287,0.013738150844894763,DOUBLE_TOP_BEARISH,0.12362637362637527,0.20604395604396386,0.9065934065934136
1994-05-23,00:00:00,0.7283,0.735,0.7283,0.734,771,0.714,0.7335,2.801120448179274,0.06816632583502998,DOUBLE_TOP_BEARISH,0.06811989100818201,-0.20435967302451577,0.5313351498637623
1994-05-24,00:00:00,0.7341,0.737,0.7325,0.7345,861,0.716,0.735,2.5837988826815743,-0.06802721088434625,DOUBLE_TOP_BEARISH,0.013614703880189104,-0.10891763104152798,0.6262763784887594
