trade_date,trade_time,open,high,low,close,volume,ema200,signal,forward_1,forward_3,forward_6
1993-04-28,00:00:00,0.7144,0.7185,0.7103,0.7135,1551,0.7149850746268657,BEARISH_BELOW_EMA200,-0.4484933426769419,-0.798878766643313,-1.205325858444296
1993-04-29,00:00:00,0.7143,0.716,0.7095,0.7103,901,0.7149384569688869,BEARISH_BELOW_EMA200,-0.3941996339574862,-1.5908770941855677,-0.11262846684499828
1993-04-30,00:00:00,0.7106,0.7126,0.7035,0.7075,1511,0.7148644424716841,BEARISH_BELOW_EMA200,0.042402826855119,-0.5229681978798638,-0.7067137809187285
1993-05-03,00:00:00,0.7065,0.7078,0.706,0.7078,231,0.7147941495117669,BEARISH_BELOW_EMA200,-1.2432890647075487,-0.4097202599604427,-0.607516247527546
1993-05-04,00:00:00,0.7057,0.708,0.697,0.699,1531,0.7146369937952319,BEARISH_BELOW_EMA200,0.686695278969961,1.5021459227467904,0.5007153075822688
1993-05-05,00:00:00,0.6985,0.7038,0.695,0.7038,1231,0.7145291630111997,BEARISH_BELOW_EMA200,0.15629440181869705,-0.18471156578573003,0.0
1993-05-06,00:00:00,0.7026,0.7065,0.702,0.7049,671,0.7144333504439241,BEARISH_BELOW_EMA200,0.6525748333096962,-0.19860973187685585,-0.19860973187685585
1993-05-07,00:00:00,0.7045,0.7105,0.7037,0.7095,861,0.7143842623798055,BEARISH_BELOW_EMA200,-0.9866102889358711,-0.9866102889358711,-0.9161381254404596
1993-05-10,00:00:00,0.709,0.7095,0.7005,0.7025,1151,0.7142660110128422,BEARISH_BELOW_EMA200,0.1423487544483987,0.18505338078291358,-1.3523131672597954
1993-05-11,00:00:00,0.702,0.7042,0.6978,0.7035,1131,0.7141588865251522,BEARISH_BELOW_EMA200,-0.14214641080312734,0.0,-1.5636105188344007
1993-05-12,00:00:00,0.7023,0.7046,0.6985,0.7025,1201,0.7140428777040064,BEARISH_BELOW_EMA200,0.18505338078291358,0.07117437722419144,-0.953736654804276
1993-05-13,00:00:00,0.7012,0.707,0.6973,0.7038,1681,0.713940958522872,BEARISH_BELOW_EMA200,-0.04262574595054944,-1.5345268542199535,-1.207729468599027
1993-05-14,00:00:00,0.7034,0.7072,0.7,0.7035,1431,0.7138370683883161,BEARISH_BELOW_EMA200,-0.07107320540157157,-1.5636105188344007,-1.2082444918265904
1993-05-17,00:00:00,0.7024,0.704,0.6995,0.703,841,0.7137292368620641,BEARISH_BELOW_EMA200,-1.4224751066856345,-1.0241820768136536,-0.35561877667140074
1993-05-18,00:00:00,0.7002,0.7014,0.688,0.693,1961,0.71352297579876,BEARISH_BELOW_EMA200,-0.07215007215006422,0.33189033189034345,0.8658008658008667
1993-05-19,00:00:00,0.6917,0.6955,0.69,0.6925,1021,0.7133137919599664,BEARISH_BELOW_EMA200,0.4765342960288765,0.36101083032490205,-0.07220216606499004
1993-05-20,00:00:00,0.69,0.6958,0.69,0.6958,581,0.7131395253733,BEARISH_BELOW_EMA200,-0.07185972980740801,0.6754814601897151,-1.1928715148031006
1993-05-21,00:00:00,0.6943,0.6962,0.692,0.6953,741,0.7129620176581429,BEARISH_BELOW_EMA200,-0.04314684308932518,0.5321443981015281,-2.416223213001587
1993-05-24,00:00:00,0.694,0.6955,0.6882,0.695,1361,0.7127832911142808,BEARISH_BELOW_EMA200,0.7913669064748288,-0.43165467625899323,-2.302158273381281
1993-05-25,00:00:00,0.6948,0.7015,0.6948,0.7005,771,0.7126610693121487,BEARISH_BELOW_EMA200,-0.21413276231264194,-1.8558172733761615,-3.283369022127055
1993-05-26,00:00:00,0.7003,0.7008,0.695,0.699,1031,0.7125251382742168,BEARISH_BELOW_EMA200,-1.0014306151645218,-2.93276108726752,-2.646638054363371
