trade_date,trade_time,open,high,low,close,volume,prev_open,prev_close,prev_body_high,prev_body_low,curr_body_high,curr_body_low,prev_bearish,prev_bullish,curr_bullish,curr_bearish,signal,forward_1,forward_3,forward_6
1993-06-03,00:00:00,0.6763,0.683,0.6753,0.6805,1121,0.6792,0.6775,0.6792,0.6775,0.6805,0.6763,True,False,True,False,BULLISH_ENGULFING,-0.6759735488611387,-1.572373254959595,-0.14695077149155047
1993-06-18,00:00:00,0.6733,0.6791,0.6695,0.6765,1601,0.6764,0.675,0.6764,0.675,0.6765,0.6733,True,False,True,False,BULLISH_ENGULFING,1.21212121212121,-0.14781966001478208,-1.0347376201034746
1993-07-14,00:00:00,0.6769,0.6828,0.6755,0.6785,1301,0.678,0.6775,0.678,0.6775,0.6785,0.6769,True,False,True,False,BULLISH_ENGULFING,0.29476787030213736,-0.3684598378776635,-0.442151805453206
1993-07-20,00:00:00,0.6753,0.6795,0.6747,0.6785,641,0.6776,0.676,0.6776,0.676,0.6785,0.6753,True,False,True,False,BULLISH_ENGULFING,0.07369196757554251,0.22107590272661118,-0.30950626381724256
1993-07-23,00:00:00,0.6744,0.68,0.6744,0.68,561,0.6772,0.6755,0.6772,0.6755,0.68,0.6744,True,False,True,False,BULLISH_ENGULFING,-0.014705882352955883,-0.5294117647058894,1.6323529411764701
1993-07-29,00:00:00,0.6761,0.6828,0.6743,0.6828,1031,0.6771,0.6764,0.6771,0.6764,0.6828,0.6761,True,False,True,False,BULLISH_ENGULFING,1.0544815465729327,1.0544815465729327,-0.30755711775043804
1993-08-30,00:00:00,0.6652,0.673,0.6645,0.6715,1071,0.6689,0.6654,0.6689,0.6654,0.6715,0.6652,True,False,True,False,BULLISH_ENGULFING,0.4169769173492218,-2.084884586746093,-2.8294862248696973
1993-09-21,00:00:00,0.6498,0.658,0.6482,0.656,1341,0.6514,0.6503,0.6514,0.6503,0.656,0.6498,True,False,True,False,BULLISH_ENGULFING,0.0,-0.22865853658537452,-1.5701219512195084
1993-10-04,00:00:00,0.6477,0.65,0.6442,0.6455,941,0.6462,0.647,0.647,0.6462,0.6477,0.6455,False,True,False,True,BEARISH_ENGULFING,0.15491866769945792,1.5182029434546913,2.6026336173508966
1993-10-26,00:00:00,0.669,0.6713,0.6655,0.6678,1041,0.6684,0.669,0.669,0.6684,0.669,0.6678,False,True,False,True,BEARISH_ENGULFING,-0.2545672356992998,-0.11979634621142737,1.257861635220137
1993-10-28,00:00:00,0.6661,0.6695,0.6635,0.6665,1161,0.6664,0.6661,0.6664,0.6661,0.6665,0.6661,True,False,True,False,BULLISH_ENGULFING,0.07501875468868056,0.9002250562640668,1.3503375843961003
1993-11-03,00:00:00,0.6719,0.677,0.6715,0.6762,671,0.6743,0.6725,0.6743,0.6725,0.6762,0.6719,True,False,True,False,BULLISH_ENGULFING,-0.25140490979000807,-1.3901212658976745,-2.425317953268259
1993-11-16,00:00:00,0.6567,0.6605,0.655,0.6593,841,0.6575,0.6573,0.6575,0.6573,0.6593,0.6567,True,False,True,False,BULLISH_ENGULFING,0.6370392840891828,0.40952525405733897,0.8038829061125392
1993-12-02,00:00:00,0.6588,0.669,0.6578,0.669,1221,0.6592,0.6591,0.6592,0.6591,0.669,0.6588,True,False,True,False,BULLISH_ENGULFING,0.0,-0.2391629297458962,0.3139013452914784
1993-12-06,00:00:00,0.6669,0.6725,0.6663,0.6716,771,0.6692,0.669,0.6692,0.669,0.6716,0.6669,True,False,True,False,BULLISH_ENGULFING,-0.6253722453841545,0.01488981536628782,0.02977963073257564
1993-12-08,00:00:00,0.6672,0.675,0.6653,0.6741,1251,0.6705,0.6674,0.6705,0.6674,0.6741,0.6672,True,False,True,False,BULLISH_ENGULFING,-0.35603026257232884,-0.3115264797507774,-0.014834594273844976
1993-12-13,00:00:00,0.6697,0.6725,0.6693,0.672,411,0.6713,0.6711,0.6713,0.6711,0.672,0.6697,True,False,True,False,BULLISH_ENGULFING,-0.029761904761918003,0.29761904761904784,1.994047619047614
1993-12-17,00:00:00,0.6738,0.6805,0.6693,0.679,1721,0.6753,0.674,0.6753,0.674,0.679,0.6738,True,False,True,False,BULLISH_ENGULFING,-0.08836524300442487,0.8100147275404932,1.104565537555221
1994-01-05,00:00:00,0.6843,0.6885,0.6838,0.6857,801,0.6848,0.6845,0.6848,0.6845,0.6857,0.6843,True,False,True,False,BULLISH_ENGULFING,-0.1166690972728632,0.3062563803412558,0.7145982207962688
1994-01-07,00:00:00,0.6848,0.688,0.6824,0.6865,951,0.6853,0.6849,0.6853,0.6849,0.6865,0.6848,True,False,True,False,BULLISH_ENGULFING,0.18936635105607688,0.8448652585579064,1.2527312454479318
1994-01-17,00:00:00,0.6879,0.6972,0.6879,0.6951,1141,0.6909,0.6895,0.6909,0.6895,0.6951,0.6879,True,False,True,False,BULLISH_ENGULFING,0.34527406128613974,1.2084592145015052,1.9277801755143098
1994-01-24,00:00:00,0.7016,0.7053,0.7,0.7042,801,0.7027,0.7024,0.7027,0.7024,0.7042,0.7016,True,False,True,False,BULLISH_ENGULFING,0.6106219823913618,0.51121840386253,1.5336552115876059
1994-01-28,00:00:00,0.7073,0.711,0.705,0.7094,991,0.708,0.7078,0.708,0.7078,0.7094,0.7073,True,False,True,False,BULLISH_ENGULFING,-0.05638567803778784,0.7330138144911167,0.817592331547775
1994-02-01,00:00:00,0.7084,0.7172,0.7084,0.715,1101,0.7112,0.709,0.7112,0.709,0.715,0.7084,True,False,True,False,BULLISH_ENGULFING,-0.05594405594404979,-0.41958041958042,0.5594405594405599
1994-02-03,00:00:00,0.7138,0.717,0.713,0.7155,631,0.7147,0.7146,0.7147,0.7146,0.7155,0.7138,True,False,True,False,BULLISH_ENGULFING,-0.48916841369672376,0.363382250174694,0.06988120195666596
1994-02-07,00:00:00,0.71,0.7168,0.7098,0.7152,881,0.7148,0.712,0.7148,0.712,0.7152,0.71,True,False,True,False,BULLISH_ENGULFING,0.4054809843400467,0.48937360178971745,-0.5173378076062536
1994-03-04,00:00:00,0.7068,0.7164,0.7065,0.7159,1071,0.7082,0.7071,0.7082,0.7071,0.7159,0.7068,True,False,True,False,BULLISH_ENGULFING,0.20952647017740703,-0.1117474507612827,0.558737253806398
1994-03-10,00:00:00,0.7157,0.7165,0.706,0.7072,1251,0.7134,0.7151,0.7151,0.7134,0.7157,0.7072,False,True,False,True,BEARISH_ENGULFING,1.0605203619909431,1.541289592760168,0.8201357466063229
1994-03-21,00:00:00,0.7137,0.7153,0.7074,0.7079,1001,0.7112,0.713,0.713,0.7112,0.7137,0.7079,False,True,False,True,BEARISH_ENGULFING,0.452041248763947,-0.32490464754908444,-0.904082497527894
1994-04-18,00:00:00,0.7233,0.7249,0.716,0.7176,1211,0.721,0.723,0.723,0.721,0.7233,0.7176,False,True,False,True,BEARISH_ENGULFING,-0.2926421404682261,-0.08361204013378552,-0.11148272017837554
1994-04-21,00:00:00,0.711,0.7174,0.7104,0.717,801,0.715,0.7117,0.715,0.7117,0.717,0.711,True,False,True,False,BULLISH_ENGULFING,0.34867503486751156,-0.027894002789397205,-0.20920502092049453
1994-05-02,00:00:00,0.7174,0.718,0.7102,0.7126,1081,0.7126,0.7155,0.7155,0.7126,0.7174,0.7126,False,True,False,True,BEARISH_ENGULFING,-1.2068481616615285,0.6876227897838921,1.4734774066797578
1994-05-04,00:00:00,0.7038,0.715,0.7028,0.713,1521,0.7113,0.704,0.7113,0.704,0.713,0.7038,True,False,True,False,BULLISH_ENGULFING,0.6311360448807938,1.0799438990182386,0.9116409537166987
1994-05-27,00:00:00,0.7316,0.7345,0.7311,0.7337,471,0.7335,0.7325,0.7335,0.7325,0.7337,0.7316,True,False,True,False,BULLISH_ENGULFING,0.12266593975739566,0.7359956385443588,1.2948071418835971
1994-06-06,00:00:00,0.7372,0.7432,0.7338,0.7432,1281,0.7378,0.7375,0.7378,0.7375,0.7432,0.7372,True,False,True,False,BULLISH_ENGULFING,-1.1706135629709271,-1.21097954790097,-1.8299246501614568
1994-06-29,00:00:00,0.7235,0.7285,0.7193,0.7282,1371,0.7241,0.7239,0.7241,0.7239,0.7282,0.7235,True,False,True,False,BULLISH_ENGULFING,-0.01373249107387929,0.21971985718209913,-0.31584729469925416
1994-07-06,00:00:00,0.7233,0.7317,0.7221,0.7307,1181,0.7292,0.7235,0.7292,0.7235,0.7307,0.7233,True,False,True,False,BULLISH_ENGULFING,-0.6569043383057378,0.9032434651703762,0.6021623101135841
1994-08-04,00:00:00,0.7295,0.7379,0.7275,0.7375,1281,0.7319,0.731,0.7319,0.731,0.7375,0.7295,True,False,True,False,BULLISH_ENGULFING,0.7186440677966063,0.5966101694915199,0.5966101694915199
1994-08-09,00:00:00,0.7399,0.7455,0.739,0.7419,1101,0.7416,0.7404,0.7416,0.7404,0.7419,0.7399,True,False,True,False,BULLISH_ENGULFING,0.3369726378218017,0.0,-0.5256773150020237
1994-08-16,00:00:00,0.7381,0.7442,0.7379,0.7442,651,0.7421,0.7405,0.7421,0.7405,0.7442,0.7381,True,False,True,False,BULLISH_ENGULFING,-0.8331093791991379,-0.6987368986831474,-0.08062348830958531
1994-08-31,00:00:00,0.7446,0.7463,0.7407,0.7431,971,0.7441,0.7446,0.7446,0.7441,0.7446,0.7431,False,True,False,True,BEARISH_ENGULFING,0.053828556048993,-0.3498856143183873,0.4037141703673803
1994-09-15,00:00:00,0.7417,0.7445,0.7414,0.7435,441,0.743,0.742,0.743,0.742,0.7435,0.7417,True,False,True,False,BULLISH_ENGULFING,0.13449899125756568,-0.0672494956287903,-0.0672494956287903
1994-10-05,00:00:00,0.7386,0.7416,0.7385,0.7416,321,0.7405,0.7395,0.7405,0.7395,0.7416,0.7386,True,False,True,False,BULLISH_ENGULFING,-0.3505933117583666,-0.3236245954692649,-0.7686084142394873
1994-10-10,00:00:00,0.7373,0.7392,0.737,0.7392,251,0.7387,0.7381,0.7387,0.7381,0.7392,0.7373,True,False,True,False,BULLISH_ENGULFING,-0.4329004329004303,-0.44642857142856734,-0.22997835497834468
1994-11-02,00:00:00,0.7399,0.7431,0.7392,0.7431,461,0.7422,0.7406,0.7422,0.7406,0.7431,0.7399,True,False,True,False,BULLISH_ENGULFING,0.013457139012244514,1.453371013322572,1.6283138204817655
1994-12-06,00:00:00,0.7688,0.7716,0.767,0.7716,641,0.7709,0.7698,0.7709,0.7698,0.7716,0.7688,True,False,True,False,BULLISH_ENGULFING,-0.20736132711248506,0.3758424053913963,0.6480041472265429
1995-01-10,00:00:00,0.7626,0.7682,0.7624,0.7676,661,0.7653,0.7637,0.7653,0.7637,0.7676,0.7626,True,False,True,False,BULLISH_ENGULFING,0.20844189682126704,-1.4460656591974987,-0.7946847316310571
1995-01-12,00:00:00,0.7693,0.7729,0.765,0.7665,1301,0.7673,0.7692,0.7692,0.7673,0.7693,0.7665,False,True,False,True,BEARISH_ENGULFING,-1.304631441617744,-0.9132420091324209,0.45662100456621774
1995-01-18,00:00:00,0.7587,0.763,0.7571,0.7615,901,0.7599,0.7595,0.7599,0.7595,0.7615,0.7587,True,False,True,False,BULLISH_ENGULFING,0.9717662508207582,0.9980302035456403,0.5384110308601435
1995-01-31,00:00:00,0.7611,0.7616,0.756,0.7568,691,0.7584,0.7604,0.7604,0.7584,0.7611,0.7568,False,True,False,True,BEARISH_ENGULFING,0.1321353065539113,-0.5021141649048659,-1.466701902748414
1995-02-03,00:00:00,0.76,0.7607,0.7505,0.753,1341,0.7574,0.7597,0.7597,0.7574,0.76,0.753,False,True,False,True,BEARISH_ENGULFING,-0.19920318725100356,-0.9694555112881771,-1.235059760956172
1995-02-07,00:00:00,0.7515,0.7523,0.7431,0.7455,1241,0.7509,0.7515,0.7515,0.7509,0.7515,0.7455,False,True,False,True,BEARISH_ENGULFING,0.026827632461432323,0.026827632461432323,0.09389671361501313
