trade_date,trade_time,open,high,low,close,volume,prev_high,prev_low,signal,forward_1,forward_3,forward_6
1993-04-28,00:00:00,0.7144,0.7185,0.7103,0.7135,1551,0.7265,0.713,BEARISH_LOWER_HIGH_LOW,-0.4484933426769419,-0.798878766643313,-1.205325858444296
1993-04-29,00:00:00,0.7143,0.716,0.7095,0.7103,901,0.7185,0.7103,BEARISH_LOWER_HIGH_LOW,-0.3941996339574862,-1.5908770941855677,-0.11262846684499828
1993-04-30,00:00:00,0.7106,0.7126,0.7035,0.7075,1511,0.716,0.7095,BEARISH_LOWER_HIGH_LOW,0.042402826855119,-0.5229681978798638,-0.7067137809187285
1993-05-05,00:00:00,0.6985,0.7038,0.695,0.7038,1231,0.708,0.697,BEARISH_LOWER_HIGH_LOW,0.15629440181869705,-0.18471156578573003,0.0
1993-05-06,00:00:00,0.7026,0.7065,0.702,0.7049,671,0.7038,0.695,BULLISH_HIGHER_HIGH_LOW,0.6525748333096962,-0.19860973187685585,-0.19860973187685585
1993-05-07,00:00:00,0.7045,0.7105,0.7037,0.7095,861,0.7065,0.702,BULLISH_HIGHER_HIGH_LOW,-0.9866102889358711,-0.9866102889358711,-0.9161381254404596
1993-05-10,00:00:00,0.709,0.7095,0.7005,0.7025,1151,0.7105,0.7037,BEARISH_LOWER_HIGH_LOW,0.1423487544483987,0.18505338078291358,-1.3523131672597954
1993-05-11,00:00:00,0.702,0.7042,0.6978,0.7035,1131,0.7095,0.7005,BEARISH_LOWER_HIGH_LOW,-0.14214641080312734,0.0,-1.5636105188344007
1993-05-12,00:00:00,0.7023,0.7046,0.6985,0.7025,1201,0.7042,0.6978,BULLISH_HIGHER_HIGH_LOW,0.18505338078291358,0.07117437722419144,-0.953736654804276
1993-05-14,00:00:00,0.7034,0.7072,0.7,0.7035,1431,0.707,0.6973,BULLISH_HIGHER_HIGH_LOW,-0.07107320540157157,-1.5636105188344007,-1.2082444918265904
1993-05-17,00:00:00,0.7024,0.704,0.6995,0.703,841,0.7072,0.7,BEARISH_LOWER_HIGH_LOW,-1.4224751066856345,-1.0241820768136536,-0.35561877667140074
1993-05-18,00:00:00,0.7002,0.7014,0.688,0.693,1961,0.704,0.6995,BEARISH_LOWER_HIGH_LOW,-0.07215007215006422,0.33189033189034345,0.8658008658008667
1993-05-21,00:00:00,0.6943,0.6962,0.692,0.6953,741,0.6958,0.69,BULLISH_HIGHER_HIGH_LOW,-0.04314684308932518,0.5321443981015281,-2.416223213001587
1993-05-24,00:00:00,0.694,0.6955,0.6882,0.695,1361,0.6962,0.692,BEARISH_LOWER_HIGH_LOW,0.7913669064748288,-0.43165467625899323,-2.302158273381281
1993-05-25,00:00:00,0.6948,0.7015,0.6948,0.7005,771,0.6955,0.6882,BULLISH_HIGHER_HIGH_LOW,-0.21413276231264194,-1.8558172733761615,-3.283369022127055
1993-05-27,00:00:00,0.6966,0.6975,0.691,0.692,841,0.7008,0.695,BEARISH_LOWER_HIGH_LOW,-0.6502890173410331,-1.8786127167629916,-2.326589595375723
1993-05-28,00:00:00,0.6922,0.6928,0.685,0.6875,1091,0.6975,0.691,BEARISH_LOWER_HIGH_LOW,-1.3090909090909102,-1.4545454545454557,-2.1090909090909027
1993-05-31,00:00:00,0.6881,0.6886,0.674,0.6785,1961,0.6928,0.685,BEARISH_LOWER_HIGH_LOW,0.07369196757554251,0.29476787030213736,-1.2822402358143021
1993-06-01,00:00:00,0.6747,0.682,0.6708,0.679,1811,0.6886,0.674,BEARISH_LOWER_HIGH_LOW,-0.22091310751105403,-0.45655375552284283,-0.47128129602357755
1993-06-02,00:00:00,0.6792,0.6827,0.675,0.6775,1371,0.682,0.6708,BULLISH_HIGHER_HIGH_LOW,0.4428044280442809,-0.664206642066413,-0.10332103321033712
1993-06-03,00:00:00,0.6763,0.683,0.6753,0.6805,1121,0.6827,0.675,BULLISH_HIGHER_HIGH_LOW,-0.6759735488611387,-1.572373254959595,-0.14695077149155047
1993-06-04,00:00:00,0.6795,0.68,0.673,0.6759,1041,0.683,0.6753,BEARISH_LOWER_HIGH_LOW,-0.42905755289242536,-0.014795088030772154,-0.1331557922769494
1993-06-07,00:00:00,0.673,0.6767,0.671,0.673,1141,0.68,0.673,BEARISH_LOWER_HIGH_LOW,-0.4754829123328516,0.5646359583952324,0.37147102526002174
1993-06-08,00:00:00,0.6731,0.6745,0.668,0.6698,971,0.6767,0.671,BEARISH_LOWER_HIGH_LOW,0.8957897879964177,1.4481934905942135,1.0749477455957146
1993-06-09,00:00:00,0.6705,0.6775,0.6695,0.6758,1071,0.6745,0.668,BULLISH_HIGHER_HIGH_LOW,0.14797277300976636,-0.11837821840779994,-0.11837821840779994
