trade_date,trade_time,open,high,low,close,volume,prev_high,prev_low,signal,forward_1,forward_3,forward_6
1993-05-03,00:00:00,0.7065,0.7078,0.706,0.7078,231,0.7126,0.7035,BULLISH_INSIDEBAR,-1.2432890647075487,-0.4097202599604427,-0.607516247527546
1993-05-19,00:00:00,0.6917,0.6955,0.69,0.6925,1021,0.7014,0.688,BULLISH_INSIDEBAR,0.4765342960288765,0.36101083032490205,-0.07220216606499004
1993-05-26,00:00:00,0.7003,0.7008,0.695,0.699,1031,0.7015,0.6948,BEARISH_INSIDEBAR,-1.0014306151645218,-2.93276108726752,-2.646638054363371
1993-06-25,00:00:00,0.6669,0.6737,0.6668,0.6715,921,0.6751,0.6647,BULLISH_INSIDEBAR,-0.2978406552494418,-0.4467609828741627,0.7892777364110158
1993-07-01,00:00:00,0.6659,0.671,0.6632,0.6693,1221,0.6737,0.662,BULLISH_INSIDEBAR,0.373524577917219,1.4940983116689093,1.8227999402360657
1993-07-09,00:00:00,0.6849,0.6855,0.6794,0.6815,881,0.687,0.6785,BEARISH_INSIDEBAR,-0.07336757153337416,-0.44020542920029393,-0.8070432868671974
1993-07-15,00:00:00,0.6776,0.682,0.677,0.6805,711,0.6828,0.6755,BULLISH_INSIDEBAR,-0.11756061719324365,-0.29390154298310095,-0.07347538574576708
1993-07-23,00:00:00,0.6744,0.68,0.6744,0.68,561,0.6807,0.6725,BULLISH_INSIDEBAR,-0.014705882352955883,-0.5294117647058894,1.6323529411764701
1993-07-26,00:00:00,0.6783,0.6799,0.6772,0.6799,381,0.68,0.6744,BULLISH_INSIDEBAR,-0.3382850419179245,0.42653331372260833,1.485512575378732
1993-08-10,00:00:00,0.6813,0.6885,0.6812,0.6875,841,0.6919,0.68,BULLISH_INSIDEBAR,-0.5963636363636352,-1.3090909090909102,-1.6290909090909074
1993-08-11,00:00:00,0.6857,0.6871,0.682,0.6834,791,0.6885,0.6812,BEARISH_INSIDEBAR,-0.9364940005853031,-0.3804506877377885,-0.27802165642376536
1993-08-18,00:00:00,0.6722,0.6785,0.6722,0.6763,851,0.683,0.6715,BULLISH_INSIDEBAR,0.7688895460594385,-0.8576075706047651,-0.8576075706047651
1993-08-20,00:00:00,0.6813,0.6818,0.676,0.6767,701,0.684,0.674,BEARISH_INSIDEBAR,-0.9162110240874809,-0.42855031771834107,-0.7684350524604674
1993-09-06,00:00:00,0.6506,0.6528,0.6465,0.6485,1051,0.6578,0.6445,BEARISH_INSIDEBAR,0.6168080185042412,1.079414032382422,-0.3392444101773292
1993-09-09,00:00:00,0.6581,0.6595,0.652,0.6555,1241,0.661,0.6499,BEARISH_INSIDEBAR,-0.7627765064836011,-1.4035087719298225,-0.4881769641495013
1993-09-13,00:00:00,0.6511,0.654,0.6485,0.6508,1071,0.6582,0.647,BEARISH_INSIDEBAR,-0.6914566687154362,0.030731407498460043,0.7990165949600465
1993-09-15,00:00:00,0.645,0.653,0.6445,0.65,1201,0.6545,0.6428,BULLISH_INSIDEBAR,0.15384615384615397,0.04615384615384107,0.8461538461538384
1993-09-24,00:00:00,0.6546,0.6565,0.6505,0.6545,1191,0.657,0.6502,BEARISH_INSIDEBAR,-0.9625668449197818,-1.344537815126038,-1.3750954927425527
1993-10-15,00:00:00,0.6632,0.6655,0.6603,0.663,1021,0.667,0.6598,BEARISH_INSIDEBAR,-0.3016591251885372,0.829562594268469,0.9049773755656116
1993-10-29,00:00:00,0.6657,0.6685,0.6642,0.667,731,0.6695,0.6635,BULLISH_INSIDEBAR,1.1694152923538108,1.379310344827584,-0.029985007496265214
1993-11-02,00:00:00,0.6743,0.6754,0.672,0.6725,501,0.6755,0.6658,BEARISH_INSIDEBAR,0.5501858736059534,0.4460966542750934,-1.3977695167286193
1993-11-05,00:00:00,0.6741,0.676,0.6725,0.6755,561,0.677,0.6715,BULLISH_INSIDEBAR,-1.287934863064403,-1.835677276091779,-2.694300518134714
1993-12-01,00:00:00,0.6592,0.661,0.6565,0.6591,891,0.6615,0.6548,BEARISH_INSIDEBAR,1.5020482476103807,1.8965255651646116,1.9116977696859268
1993-12-09,00:00:00,0.6735,0.6742,0.669,0.6717,861,0.675,0.6653,BEARISH_INSIDEBAR,-0.08932559178203572,0.014887598630339288,1.0867947000149
1994-01-05,00:00:00,0.6843,0.6885,0.6838,0.6857,801,0.6887,0.683,BULLISH_INSIDEBAR,-0.1166690972728632,0.3062563803412558,0.7145982207962688
1994-01-10,00:00:00,0.6847,0.6878,0.6835,0.6878,551,0.688,0.6824,BULLISH_INSIDEBAR,0.3780168653678463,0.4070950857807538,1.4102936900261767
1994-01-21,00:00:00,0.7027,0.704,0.7,0.7024,771,0.707,0.6996,BEARISH_INSIDEBAR,0.2562642369020535,0.783029612756257,0.9396355353075083
1994-02-03,00:00:00,0.7138,0.717,0.713,0.7155,631,0.7178,0.7125,BULLISH_INSIDEBAR,-0.48916841369672376,0.363382250174694,0.06988120195666596
1994-02-09,00:00:00,0.7177,0.7195,0.715,0.719,771,0.7197,0.7143,BULLISH_INSIDEBAR,-0.04172461752433477,-1.5159944367176663,-0.20862308762168927
1994-03-03,00:00:00,0.7082,0.7107,0.7048,0.7071,1071,0.712,0.7015,BEARISH_INSIDEBAR,1.2445198698911089,0.9758167161646186,1.0748126149059611
1994-03-11,00:00:00,0.7065,0.716,0.7063,0.7147,1121,0.7165,0.706,BULLISH_INSIDEBAR,0.7275780047572383,-0.09794319294809486,-0.9514481600671649
1994-03-25,00:00:00,0.7049,0.7125,0.7049,0.711,911,0.7135,0.704,BULLISH_INSIDEBAR,-0.19690576652601363,-1.2658227848101278,-1.1251758087201136
1994-03-31,00:00:00,0.7014,0.703,0.699,0.702,741,0.704,0.6983,BULLISH_INSIDEBAR,0.1424501424501426,0.584045584045583,3.2763532763532797
1994-04-11,00:00:00,0.7233,0.7247,0.719,0.7201,821,0.7268,0.7155,BEARISH_INSIDEBAR,0.13886960144424398,0.2638522427440651,-0.6388001666435131
1994-05-11,00:00:00,0.723,0.7238,0.7185,0.7192,681,0.7258,0.716,BEARISH_INSIDEBAR,0.04171301446052252,1.2096774193548445,1.2235817575083467
1994-05-19,00:00:00,0.7274,0.7325,0.7265,0.728,1141,0.7335,0.7264,BULLISH_INSIDEBAR,0.20604395604396386,0.8928571428571513,0.7829670329670383
1994-06-10,00:00:00,0.7335,0.7353,0.7335,0.7353,181,0.7358,0.7325,BULLISH_INSIDEBAR,0.05439956480349068,-0.6527947776417674,0.3807969536243744
1994-07-01,00:00:00,0.7262,0.7333,0.7262,0.7299,1051,0.7345,0.725,BULLISH_INSIDEBAR,-0.013700506918754485,0.1096040553500511,1.0138375119879384
1994-07-12,00:00:00,0.7354,0.7377,0.7324,0.7367,931,0.7385,0.7274,BULLISH_INSIDEBAR,0.24433283561830105,-0.4343694855436379,0.04072213926971182
1994-07-26,00:00:00,0.7445,0.745,0.7415,0.7432,571,0.746,0.74,BEARISH_INSIDEBAR,-0.4978471474703883,-0.4574811625403605,-1.641550053821312
1994-08-26,00:00:00,0.7436,0.7451,0.741,0.743,761,0.7455,0.74,BEARISH_INSIDEBAR,0.24226110363391976,0.013458950201882772,-0.3364737550470992
1994-09-02,00:00:00,0.7427,0.744,0.741,0.7425,581,0.7442,0.7405,BEARISH_INSIDEBAR,-0.2693602693602696,0.18855218855218273,0.0808080808080719
1994-09-09,00:00:00,0.7456,0.7466,0.744,0.7459,491,0.747,0.742,BULLISH_INSIDEBAR,-0.3753854404075646,-0.5228582919962481,-0.3753854404075646
1994-09-15,00:00:00,0.7417,0.7445,0.7414,0.7435,441,0.7452,0.7395,BULLISH_INSIDEBAR,0.13449899125756568,-0.0672494956287903,-0.0672494956287903
1994-09-22,00:00:00,0.7345,0.7375,0.7339,0.7361,561,0.7434,0.733,BULLISH_INSIDEBAR,0.937372639587015,0.4890639858714913,0.6113299823393642
1994-09-26,00:00:00,0.7417,0.7433,0.7385,0.74,791,0.744,0.7356,BEARISH_INSIDEBAR,-0.040540540540536074,0.0,-0.06756756756756012
1994-09-30,00:00:00,0.74,0.7413,0.7385,0.7406,501,0.7415,0.7362,BULLISH_INSIDEBAR,0.13502565487442625,0.13502565487442625,-0.18903591682420576
1994-10-05,00:00:00,0.7386,0.7416,0.7385,0.7416,321,0.7418,0.7368,BULLISH_INSIDEBAR,-0.3505933117583666,-0.3236245954692649,-0.7686084142394873
1994-10-12,00:00:00,0.7354,0.7374,0.7349,0.7367,371,0.7396,0.7343,BULLISH_INSIDEBAR,-0.10859237138591325,-0.013574046423237273,-0.5701099497760257
1994-10-18,00:00:00,0.7363,0.7382,0.7355,0.7375,421,0.7398,0.7334,BULLISH_INSIDEBAR,-0.12203389830508635,-0.6101694915254318,0.813559322033899
