trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
1999-01-04,16:00:00,0.6174,0.6195,0.6155,0.6186,591,0.6185,0.616,BULLISH_LONDON_BREAKOUT,1,0,0.4688005172971247,0.48496605237633406,0.4688005172971247
1999-01-05,12:00:00,0.6245,0.6252,0.6216,0.6224,341,0.6255,0.623,BEARISH_LONDON_BREAKOUT,0,1,-0.14460154241643652,0.04820051413883002,0.3052699228791794
1999-01-06,12:00:00,0.6229,0.625,0.6222,0.6243,448,0.6236,0.6202,BULLISH_LONDON_BREAKOUT,1,0,0.7047893640877896,0.6407176037161627,1.0411661060387731
1999-01-07,16:00:00,0.6307,0.635,0.6298,0.634,798,0.631,0.628,BULLISH_LONDON_BREAKOUT,1,0,0.44164037854889976,0.031545741324917664,-0.2365930599369175
1999-01-11,12:00:00,0.6348,0.64,0.6342,0.6393,498,0.635,0.6325,BULLISH_LONDON_BREAKOUT,1,0,0.12513686844987063,-0.12513686844987063,-0.4066948224620578
1999-01-12,16:00:00,0.6369,0.644,0.6362,0.6405,882,0.6397,0.6357,BULLISH_LONDON_BREAKOUT,1,0,-0.45277127244340576,-0.921155347384841,-1.4519906323184975
1999-01-13,12:00:00,0.6368,0.6371,0.6312,0.6317,769,0.6381,0.6349,BEARISH_LONDON_BREAKOUT,0,1,-0.07915149596328255,-0.03166059838532357,0.42741807820166605
1999-01-14,12:00:00,0.6333,0.635,0.6327,0.6344,608,0.6336,0.6292,BULLISH_LONDON_BREAKOUT,1,0,-0.20491803278688017,-0.45712484237074624,-0.6620428751576264
1999-01-15,16:00:00,0.6303,0.6355,0.6292,0.6339,807,0.6322,0.6287,BULLISH_LONDON_BREAKOUT,1,0,0.015775358889412998,0.4574854077930295,0.09465215333647799
1999-01-18,20:00:00,0.6343,0.6345,0.6327,0.6335,27,0.6373,0.6342,BEARISH_LONDON_BREAKOUT,0,1,0.12628255722178738,-0.07892659826360615,0.7576953433307066
1999-01-19,12:00:00,0.6333,0.6355,0.6325,0.6347,582,0.6345,0.6321,BULLISH_LONDON_BREAKOUT,1,0,0.6302190011028838,0.6932409012131652,0.9453285016543257
1999-01-20,12:00:00,0.6395,0.6417,0.6382,0.6407,788,0.6405,0.6384,BULLISH_LONDON_BREAKOUT,1,0,-0.15607928827844558,-0.17168721710630575,-0.4994537224910397
1999-01-21,16:00:00,0.6372,0.6426,0.6362,0.6398,939,0.6385,0.6367,BULLISH_LONDON_BREAKOUT,1,0,0.5939356048765105,-0.1250390747108507,-0.7502344482650869
1999-01-22,12:00:00,0.6396,0.6396,0.6352,0.6357,746,0.6397,0.6375,BEARISH_LONDON_BREAKOUT,0,1,-0.11011483404121974,-0.4089979550102323,-0.4719207173194907
1999-01-25,12:00:00,0.631,0.633,0.6297,0.6327,438,0.6325,0.6303,BULLISH_LONDON_BREAKOUT,1,0,-0.23707918444761444,-0.4741583688952114,-0.5057689268215729
1999-01-26,12:00:00,0.6329,0.6331,0.6287,0.6295,723,0.6331,0.6307,BEARISH_LONDON_BREAKOUT,0,1,0.15885623510722813,0.15885623510722813,-0.015885623510721047
1999-01-28,12:00:00,0.6267,0.6276,0.6232,0.6242,796,0.628,0.6257,BEARISH_LONDON_BREAKOUT,0,1,0.272348606215962,0.41653316244794086,0.9131688561358601
