trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
1999-01-04,20:00:00,0.618,0.6218,0.6172,0.6215,114,0.6195,0.6155,BULLISH_NEWYORK_BREAKOUT,1,0,-0.06436041834273,0.5631536604987848,0.11263073209974624
1999-01-07,20:00:00,0.634,0.6372,0.6336,0.6368,206,0.635,0.6298,BULLISH_NEWYORK_BREAKOUT,1,0,-0.5810301507537746,-0.3297738693467322,-0.3297738693467322
1999-01-08,20:00:00,0.6325,0.635,0.6325,0.6347,88,0.6346,0.6315,BULLISH_NEWYORK_BREAKOUT,1,0,0.0,0.04726642508271103,0.8980620765715972
1999-01-14,20:00:00,0.6328,0.634,0.6297,0.6301,132,0.637,0.6308,BEARISH_NEWYORK_BREAKOUT,0,1,0.22218695445166747,0.06348198698618568,0.6189493731153808
1999-01-18,20:00:00,0.6343,0.6345,0.6327,0.6335,27,0.6356,0.634,BEARISH_NEWYORK_BREAKOUT,0,1,0.12628255722178738,-0.07892659826360615,0.7576953433307066
1999-01-21,20:00:00,0.6396,0.6459,0.639,0.6436,287,0.6426,0.6362,BULLISH_NEWYORK_BREAKOUT,1,0,-0.7147296457426877,-0.6525792417650687,-1.6935985083902907
1999-01-28,20:00:00,0.6257,0.6292,0.6252,0.628,215,0.6268,0.6237,BULLISH_NEWYORK_BREAKOUT,1,0,-0.19108280254776733,0.23885350318470475,0.3503184713375764
1999-01-29,20:00:00,0.6298,0.6305,0.6287,0.6302,154,0.63,0.6279,BULLISH_NEWYORK_BREAKOUT,1,0,0.2856236115518921,0.25388765471279684,0.8886067914947714
1999-02-01,20:00:00,0.6337,0.6371,0.6337,0.6358,186,0.6357,0.633,BULLISH_NEWYORK_BREAKOUT,1,0,0.0,0.42466184334695256,0.37747719408618396
1999-02-03,20:00:00,0.6417,0.6418,0.6409,0.6411,91,0.6442,0.6412,BEARISH_NEWYORK_BREAKOUT,0,1,-0.45234752768679043,-0.49914209951645305,1.2634534394010288
1999-02-08,20:00:00,0.6525,0.6535,0.65,0.65,152,0.6535,0.6512,BEARISH_NEWYORK_BREAKOUT,0,1,-0.2769230769230806,-0.5846153846153885,-0.6000000000000022
1999-02-17,20:00:00,0.6337,0.6355,0.6331,0.635,133,0.6347,0.6322,BULLISH_NEWYORK_BREAKOUT,1,0,0.04724409448818377,0.3307086614173214,0.06299212598424503
1999-02-19,20:00:00,0.6375,0.6415,0.637,0.6405,204,0.639,0.6367,BULLISH_NEWYORK_BREAKOUT,1,0,-0.04683840749414005,-0.7650273224043568,0.01561280249804668
1999-02-23,20:00:00,0.639,0.6417,0.6385,0.641,207,0.6406,0.6364,BULLISH_NEWYORK_BREAKOUT,1,0,-0.3588143525740981,-0.8424336973478876,-1.3572542901716131
1999-03-03,20:00:00,0.623,0.6237,0.6211,0.6218,139,0.6257,0.6229,BEARISH_NEWYORK_BREAKOUT,0,1,-0.016082341588933576,-0.20907044065615438,0.627211321968481
1999-03-04,20:00:00,0.6243,0.6269,0.6237,0.6257,202,0.625,0.6197,BULLISH_NEWYORK_BREAKOUT,1,0,0.047946300143833616,-0.01598210004794454,0.399552501198649
1999-03-10,20:00:00,0.6348,0.6374,0.6345,0.6371,169,0.6368,0.6342,BULLISH_NEWYORK_BREAKOUT,1,0,0.28253021503688963,-0.39240307644011096,0.14126510751844482
1999-03-11,20:00:00,0.6355,0.6387,0.6347,0.638,178,0.6364,0.6327,BULLISH_NEWYORK_BREAKOUT,1,0,-0.37617554858933505,-0.5799373040752408,-0.26645768025078914
1999-03-15,20:00:00,0.6316,0.6316,0.6286,0.629,182,0.6331,0.631,BEARISH_NEWYORK_BREAKOUT,0,1,-0.12718600953895437,-0.34976152623211126,-0.4292527821939643
1999-03-18,20:00:00,0.6301,0.6309,0.6283,0.6286,321,0.632,0.6297,BEARISH_NEWYORK_BREAKOUT,0,1,-0.07954183900732674,-0.1749920458161153,0.3022589882277922
1999-03-22,20:00:00,0.6342,0.6368,0.6334,0.6365,259,0.6345,0.6317,BULLISH_NEWYORK_BREAKOUT,1,0,0.07855459544384226,0.2985074626865692,0.5027494108405486
1999-03-24,20:00:00,0.6396,0.64,0.6372,0.6377,172,0.6421,0.6388,BEARISH_NEWYORK_BREAKOUT,0,1,-0.21953896816686025,-0.2038576132978013,-0.015681354869076368
1999-03-29,20:00:00,0.6325,0.633,0.6311,0.6314,134,0.6342,0.6319,BEARISH_NEWYORK_BREAKOUT,0,1,0.09502692429522411,-0.38010769718086124,-0.7443775736458548
1999-03-30,20:00:00,0.6283,0.6285,0.6257,0.6267,189,0.63,0.6277,BEARISH_NEWYORK_BREAKOUT,0,1,0.1436093824796572,0.430828147438954,1.19674485399712
1999-04-01,20:00:00,0.636,0.6364,0.6344,0.6348,84,0.6377,0.6353,BEARISH_NEWYORK_BREAKOUT,0,1,-0.18903591682419327,0.03150598613736263,-0.07876496534342406
1999-04-14,20:00:00,0.6361,0.6367,0.6332,0.6345,125,0.64,0.6352,BEARISH_NEWYORK_BREAKOUT,0,1,-0.12608353033883563,-0.12608353033883563,1.4499605988967845
1999-04-15,20:00:00,0.6386,0.644,0.638,0.6437,242,0.6392,0.6352,BULLISH_NEWYORK_BREAKOUT,1,0,-0.03107037439802532,-0.03107037439802532,0.528196364766189
1999-04-20,20:00:00,0.6479,0.6485,0.6457,0.6464,178,0.6506,0.6473,BEARISH_NEWYORK_BREAKOUT,0,1,0.10829207920792605,0.433168316831687,-0.030940594059402537
1999-04-29,20:00:00,0.6585,0.6601,0.6582,0.6601,96,0.6595,0.6572,BULLISH_NEWYORK_BREAKOUT,1,0,-0.10604453870626175,-0.18179063778215102,0.16664141796697315
1999-05-04,20:00:00,0.6626,0.6627,0.6593,0.6593,141,0.664,0.6602,BEARISH_NEWYORK_BREAKOUT,0,1,0.13650841801911298,-0.03033520400424359,0.7583801001061738
1999-05-05,20:00:00,0.6622,0.6647,0.662,0.6643,98,0.6625,0.6578,BULLISH_NEWYORK_BREAKOUT,1,0,0.6322444678609035,1.0989010989010948,0.9935270209242888
1999-05-10,20:00:00,0.6686,0.6691,0.6652,0.6659,95,0.6714,0.6672,BEARISH_NEWYORK_BREAKOUT,0,1,-0.10512088902238081,0.25529358762575816,0.570656254692884
1999-05-11,20:00:00,0.6711,0.6721,0.6681,0.6697,123,0.6747,0.6702,BEARISH_NEWYORK_BREAKOUT,0,1,0.08959235478573166,-0.16425265044049422,-0.5076900104524352
1999-05-14,20:00:00,0.6643,0.6646,0.664,0.6641,54,0.668,0.6643,BEARISH_NEWYORK_BREAKOUT,0,1,-0.07528986598404697,-0.07528986598404697,0.15057973196807722
1999-05-18,20:00:00,0.6706,0.6715,0.6667,0.6667,127,0.673,0.6702,BEARISH_NEWYORK_BREAKOUT,0,1,-0.19499025048747082,-0.4949752512374336,-1.1249437528123523
1999-05-19,20:00:00,0.663,0.6632,0.6582,0.6592,97,0.664,0.6622,BEARISH_NEWYORK_BREAKOUT,0,1,0.25788834951456835,0.15169902912621372,0.15169902912621372
1999-05-21,20:00:00,0.6594,0.6594,0.6572,0.6575,68,0.6631,0.6592,BEARISH_NEWYORK_BREAKOUT,0,1,-0.13688212927756835,-0.19771863117870234,0.18250950570341884
1999-05-25,20:00:00,0.6565,0.6567,0.6483,0.6489,262,0.659,0.656,BEARISH_NEWYORK_BREAKOUT,0,1,0.18492834026814284,0.04623208506703143,-0.15410695022345522
1999-06-04,20:00:00,0.6585,0.6599,0.6573,0.6589,43,0.6588,0.6519,BULLISH_NEWYORK_BREAKOUT,1,0,-0.33388981636061477,-0.1821217180148869,0.045530429503713304
1999-06-08,20:00:00,0.6588,0.6588,0.6559,0.6577,179,0.6618,0.6582,BEARISH_NEWYORK_BREAKOUT,0,1,-0.07602250266077923,0.4409305154325701,0.12163600425726365
1999-06-30,20:00:00,0.6598,0.6682,0.6594,0.6667,306,0.6646,0.6594,BULLISH_NEWYORK_BREAKOUT,1,0,0.35998200089996535,0.3299835008249724,-0.014999250037496473
1999-07-06,20:00:00,0.6659,0.6665,0.6607,0.6612,287,0.6695,0.6645,BEARISH_NEWYORK_BREAKOUT,0,1,0.16636418632788716,0.2571082879612878,0.907441016333939
1999-07-07,20:00:00,0.6662,0.669,0.6662,0.6672,146,0.666,0.6625,BULLISH_NEWYORK_BREAKOUT,1,0,0.05995203836929795,0.0,0.0
1999-07-08,20:00:00,0.6649,0.6674,0.6642,0.6672,182,0.666,0.6632,BULLISH_NEWYORK_BREAKOUT,1,0,-0.194844124700235,-0.194844124700235,-0.1798561151079105
1999-07-15,20:00:00,0.6622,0.6633,0.6597,0.6608,141,0.6641,0.6618,BEARISH_NEWYORK_BREAKOUT,0,1,-0.06053268765134185,-0.06053268765134185,-0.030266343825679328
1999-07-20,20:00:00,0.6477,0.6488,0.6427,0.6457,160,0.652,0.6469,BEARISH_NEWYORK_BREAKOUT,0,1,-0.09292240978783411,0.15487068297971207,0.1238965463837559
1999-07-28,20:00:00,0.6446,0.6472,0.6445,0.6468,256,0.6453,0.6428,BULLISH_NEWYORK_BREAKOUT,1,0,-0.1236858379715558,0.24737167594309442,0.6029684601113022
1999-08-05,20:00:00,0.6547,0.6552,0.6537,0.6537,179,0.6566,0.6542,BEARISH_NEWYORK_BREAKOUT,0,1,0.2906532048340237,0.07648768548264585,-0.1835704451583263
1999-08-11,20:00:00,0.6488,0.6503,0.6485,0.6502,216,0.6495,0.6477,BULLISH_NEWYORK_BREAKOUT,1,0,0.07689941556443325,0.16917871424177022,-0.12303906490311026
1999-08-16,20:00:00,0.6496,0.6518,0.6487,0.6489,263,0.6515,0.6491,BEARISH_NEWYORK_BREAKOUT,0,1,0.15410695022345522,-0.10787486515642378,0.12328556017876759
1999-08-19,20:00:00,0.6364,0.6374,0.6336,0.6345,237,0.6383,0.6347,BEARISH_NEWYORK_BREAKOUT,0,1,0.5516154452324759,0.5043341213554124,0.20488573680064287
1999-08-23,20:00:00,0.636,0.6369,0.6346,0.6347,198,0.638,0.6348,BEARISH_NEWYORK_BREAKOUT,0,1,0.15755475027572094,0.39388687568929365,0.3623759256341529
1999-08-27,20:00:00,0.6321,0.6331,0.6313,0.6316,134,0.6335,0.6317,BEARISH_NEWYORK_BREAKOUT,0,1,-0.3799873337555523,0.30082330588978806,0.5699810006333021
1999-08-30,20:00:00,0.6334,0.6362,0.6325,0.6352,196,0.6339,0.6306,BULLISH_NEWYORK_BREAKOUT,1,0,0.2676322418136075,0.39357682619648265,0.6612090680100726
1999-09-07,20:00:00,0.6471,0.6498,0.647,0.6496,245,0.648,0.6443,BULLISH_NEWYORK_BREAKOUT,1,0,-0.13854679802954142,-0.03078817733989809,-0.23091133004925277
1999-09-14,20:00:00,0.654,0.6548,0.6515,0.6522,323,0.6554,0.6533,BEARISH_NEWYORK_BREAKOUT,0,1,0.137994480220793,-0.15332720024532367,-0.45998160073597094
1999-09-17,20:00:00,0.6476,0.649,0.6463,0.6465,267,0.6501,0.6473,BEARISH_NEWYORK_BREAKOUT,0,1,-0.4795050270688309,-0.464037122969838,-0.8197989172467087
1999-09-28,20:00:00,0.656,0.6596,0.6557,0.657,304,0.6567,0.6532,BULLISH_NEWYORK_BREAKOUT,1,0,0.0608828006088213,-0.25875190258752434,-0.8066971080669836
1999-10-07,20:00:00,0.6607,0.6611,0.658,0.6589,230,0.6616,0.6598,BEARISH_NEWYORK_BREAKOUT,0,1,0.015176809834571101,-0.2883593868568846,-0.6677796327212127
1999-10-11,20:00:00,0.6541,0.6559,0.6532,0.6553,133,0.6547,0.653,BULLISH_NEWYORK_BREAKOUT,1,0,-0.030520372348539288,-0.3052037234854268,0.09156111704563481
1999-10-22,20:00:00,0.6492,0.6506,0.6484,0.6488,317,0.6515,0.649,BEARISH_NEWYORK_BREAKOUT,0,1,-0.0616522811344123,0.2928483353883942,0.5702836004932067
1999-11-09,20:00:00,0.6375,0.6396,0.6375,0.6396,496,0.6387,0.6361,BULLISH_NEWYORK_BREAKOUT,1,0,-0.10944340212631692,0.12507817385866526,0.4221388367729888
1999-11-10,20:00:00,0.64,0.6427,0.6394,0.6423,462,0.642,0.6382,BULLISH_NEWYORK_BREAKOUT,1,0,0.0,-0.015569048731120815,0.0
1999-11-12,20:00:00,0.6432,0.6457,0.6425,0.645,413,0.644,0.6427,BULLISH_NEWYORK_BREAKOUT,1,0,0.21705426356588478,0.15503875968992262,0.21705426356588478
1999-11-18,20:00:00,0.6398,0.6406,0.6375,0.6386,328,0.6407,0.6387,BEARISH_NEWYORK_BREAKOUT,0,1,0.1409332915753229,0.015659254619495775,0.15659254619480129
1999-11-19,20:00:00,0.639,0.6398,0.6382,0.6396,221,0.6395,0.6377,BULLISH_NEWYORK_BREAKOUT,1,0,-0.03126954346466197,-0.14071294559097888,-0.3595997498436474
1999-12-06,20:00:00,0.6342,0.636,0.6337,0.6354,357,0.6346,0.6317,BULLISH_NEWYORK_BREAKOUT,1,0,-0.26754800125903744,-0.07869058860559411,0.2990242367012925
1999-12-21,20:00:00,0.6436,0.6451,0.6427,0.6448,493,0.6442,0.6422,BULLISH_NEWYORK_BREAKOUT,1,0,0.031017369727043727,0.10856079404465305,-0.10856079404467027
