trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
1993-05-28,00:00:00,0.6922,0.6928,0.685,0.6875,1091,0.7126,0.688,BEARISH_20_BAR_BREAKOUT,-1.3090909090909102,-1.4545454545454557,-2.1090909090909027
1993-05-31,00:00:00,0.6881,0.6886,0.674,0.6785,1961,0.7105,0.685,BEARISH_20_BAR_BREAKOUT,0.07369196757554251,0.29476787030213736,-1.2822402358143021
1993-06-08,00:00:00,0.6731,0.6745,0.668,0.6698,971,0.7072,0.6708,BEARISH_20_BAR_BREAKOUT,0.8957897879964177,1.4481934905942135,1.0749477455957146
1993-07-30,00:00:00,0.6801,0.691,0.6795,0.69,1311,0.687,0.6655,BULLISH_20_BAR_BREAKOUT,0.1594202898550871,-0.159420289855071,-1.1594202898550576
1993-08-02,00:00:00,0.6885,0.694,0.6863,0.6911,1281,0.691,0.6708,BULLISH_20_BAR_BREAKOUT,-0.15916654608596453,-1.4180292287657401,-0.5209086962812975
1993-08-23,00:00:00,0.676,0.6774,0.6658,0.6705,1771,0.694,0.6715,BEARISH_20_BAR_BREAKOUT,-0.1491424310216258,0.0,0.5667412378821813
1993-09-02,00:00:00,0.6632,0.6675,0.655,0.6575,1931,0.6919,0.6645,BEARISH_20_BAR_BREAKOUT,-1.2927756653992322,-0.7604562737642593,-1.064638783269963
1993-09-03,00:00:00,0.656,0.6578,0.6445,0.649,1961,0.6919,0.655,BEARISH_20_BAR_BREAKOUT,-0.0770416024653399,1.494607087827416,0.2773497688751963
1993-10-08,00:00:00,0.6545,0.6607,0.6535,0.6586,1031,0.6582,0.6412,BULLISH_20_BAR_BREAKOUT,0.44032796841785815,0.5162465836623246,0.36440935317340856
1993-10-11,00:00:00,0.658,0.6629,0.657,0.6615,831,0.6607,0.6412,BULLISH_20_BAR_BREAKOUT,0.12093726379441012,0.3779289493575295,0.529100529100538
1993-10-14,00:00:00,0.6612,0.667,0.6598,0.664,1161,0.6639,0.6412,BULLISH_20_BAR_BREAKOUT,-0.15060240963855434,0.15060240963855434,0.6777108433734862
1993-10-20,00:00:00,0.6634,0.6695,0.662,0.6685,991,0.667,0.6412,BULLISH_20_BAR_BREAKOUT,0.34405385190725035,0.07479431563202034,-0.2991772625280481
1993-10-21,00:00:00,0.6686,0.672,0.6677,0.6708,641,0.6695,0.6412,BULLISH_20_BAR_BREAKOUT,-0.34287418008347775,-0.44722719141323836,-0.5664877757900887
