Asset,Bearish Signals,Total Signals,Bearish 1 Candle,Bearish 1 Avg,Bearish 3 Candle,Bearish 3 Avg,Bearish 6 Candle,Bearish 6 Avg
EURUSD,4902,4902,48.8984088127295,-0.00571589733270827,48.65361077111383,0.0035839915244699557,49.89800081599347,0.00347970427615135
GBPUSD,2715,2715,47.51381215469613,0.001599833271914519,48.06629834254144,0.004337193661688417,49.90791896869245,-0.006194840015292544
USDCHF,673,673,48.88558692421991,-0.010498790646588025,49.33135215453195,-0.012373154276408187,51.2630014858841,-0.043834698926392725
AUDUSD,2716,2716,45.103092783505154,0.020679976137796357,47.38586156111929,0.01605782582396291,47.680412371134025,0.017778637514605657
NZDUSD,2673,2673,48.148148148148145,0.004567235109530829,48.26038159371493,0.011486915373057332,48.29779274223719,0.02243376461823347
USDCAD,320,320,51.87500000000001,-0.0064647199623313915,44.6875,0.019510626557811085,48.4375,0.014463282606813238
USDJPY,4608,4608,46.54947916666667,-0.018184021460251724,47.0703125,-0.04223643499222453,48.2421875,-0.07755322966217332
XAUUSD,1657,1657,46.10742305371153,0.05211324906374057,45.14182257091128,0.054040731340107576,46.10742305371153,0.03177635196292076
SP500,245,245,44.48979591836735,0.03839227356811891,37.55102040816327,0.12938822683356274,39.183673469387756,0.21955934172193334
NAS100,241,241,50.20746887966805,0.04027194485257823,39.83402489626556,0.12377894796540521,40.66390041493776,0.24627338372523258
