Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,4480,4808,9288,50.15625,50.64475873544093,0.007500313776722573,9.076299013335449e-05,51.71875,51.28951747088186,0.012419588909942589,0.004030105852816906,51.74107142857143,50.561564059900164,0.026460091970583577,0.0203583234940687
GBPUSD,4178,4441,8619,51.029200574437525,50.484125197027694,0.006686680152387436,-0.0009267613735146087,51.00526567735759,50.236433235757715,0.00835665386244968,-0.006470409628125712,51.124940162757305,50.6867822562486,0.0024672786122441844,-0.004241885811390257
USDCHF,1083,1060,2143,50.69252077562327,51.981132075471706,0.007042925946410739,-0.008588417381842085,50.96952908587258,54.71698113207547,0.009090152796995512,-0.023194548246762297,50.96952908587258,53.49056603773585,-0.01931311520158943,-0.04886757519832488
AUDUSD,4322,4483,8805,50.76353540027765,49.4088779834932,0.003943107615973232,-0.005913713246524569,51.850994909764005,48.806602721391926,0.012191333157273417,0.003455639096606494,51.9435446552522,49.163506580414904,0.011514267156429994,-0.0026342584780390107
NZDUSD,4582,5035,9617,48.18856394587516,47.0506454816286,-0.01267936091610046,0.016370938070231496,47.57747708424269,43.495531281032775,-0.03550158025941277,0.057905125311032896,48.865124399825405,44.66732869910626,-0.036207919304344416,0.06329697007804254
USDCAD,550,578,1128,51.45454545454545,48.615916955017305,-0.0030950780276806657,-0.00690403949648542,48.36363636363637,52.07612456747405,-0.010289078524147344,-0.02042037748554749,47.81818181818182,46.88581314878893,-0.021498268524954046,-0.005067582203279869
USDJPY,4183,4384,8567,49.868515419555344,47.65054744525548,-0.005459726296274101,0.003156420366778891,50.13148458044465,47.99270072992701,-0.017010989564406425,0.008737163624242985,50.418360028687545,47.9698905109489,-0.0220248623157969,-0.0015856481925128365
XAUUSD,2525,2962,5487,52.633663366336634,49.02093180283592,0.007865266162645317,0.01778837519679307,53.82178217821782,48.27819041188386,0.0053540594001991616,0.05774754402928539,55.128712871287135,48.7508440243079,0.034634225167151256,0.07807334593345945
SP500,425,560,985,51.76470588235295,46.42857142857143,0.022431425795450922,0.026477206383494153,53.88235294117647,41.60714285714286,0.09829682080383231,0.06009692039605261,55.529411764705884,44.285714285714285,0.09886034605391768,0.05350089182349021
NAS100,398,550,948,55.27638190954774,43.09090909090909,0.04830447432872395,0.03486222464767219,58.040201005025125,43.63636363636363,0.17220348967376822,0.09856195306147367,57.537688442211056,42.36363636363637,0.20714779473089476,0.09395535949791047
