Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,130,131,261,45.38461538461539,52.67175572519084,-0.007285960746710436,-0.029888423953596643,53.84615384615385,48.854961832061065,0.008721959227399951,-0.07064490288220258,48.46153846153846,43.51145038167939,0.03535240186390571,-0.046581276225953795
GBPUSD,142,143,285,46.478873239436616,47.55244755244755,-0.0010868139516666362,0.008220632179268715,50.0,48.95104895104895,0.004853719819537286,-0.004702301473439806,49.29577464788733,48.95104895104895,0.03719315281861791,0.014289872936891832
USDCHF,38,38,76,39.473684210526315,42.10526315789473,-0.06846846809643228,-0.03400755653216812,60.526315789473685,34.21052631578947,0.013557465112587323,0.0013431101458380242,47.368421052631575,47.368421052631575,-0.0036810536475429868,0.22244000374795841
AUDUSD,138,138,276,50.0,47.82608695652174,0.014858219541500598,-0.021985328701761186,56.52173913043478,47.10144927536232,0.04454794613084603,-0.005897188282500904,58.69565217391305,50.72463768115942,0.0238985779122469,-0.06818398325025522
NZDUSD,138,138,276,55.79710144927537,42.028985507246375,-0.016314229955598475,0.019305350152904518,53.62318840579711,50.72463768115942,-0.07072421980116729,0.0022097584783234933,52.17391304347826,50.72463768115942,-0.0010506959054705938,0.05300152490479647
USDCAD,19,19,38,57.89473684210527,42.10526315789473,0.005278720990941406,0.037515105656460296,52.63157894736842,36.84210526315789,0.05730655856617811,0.06796164776960445,57.89473684210527,57.89473684210527,0.049135926487694555,-0.06854935793316692
USDJPY,149,148,297,48.99328859060403,48.64864864864865,-0.04645375042586674,-0.00498257351595524,54.36241610738255,50.0,-0.0014179889307253679,-0.09027693596667637,51.67785234899329,47.2972972972973,0.06899215604723138,0.00998999145689324
XAUUSD,101,100,201,49.504950495049506,48.0,0.04313903473765095,0.06315262499424878,40.5940594059406,48.0,-0.07249000016699386,-0.041236295440889456,48.51485148514851,52.0,0.06400544023098173,-0.04314704049787191
SP500,11,11,22,54.54545454545454,54.54545454545454,-0.02057830200012767,-0.19612604761671443,45.45454545454545,63.63636363636363,0.0985815009731001,-0.21818907607522184,54.54545454545454,63.63636363636363,0.24099438390554512,-0.4828267026636914
NAS100,14,13,27,50.0,53.84615384615385,-0.09537219451839193,-0.11404861372751746,35.714285714285715,46.15384615384615,-0.08578660921232016,-0.2938903254614345,64.28571428571429,61.53846153846154,0.3274201798170817,-0.0262969068564364
