Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,646,646,1292,52.47678018575851,48.91640866873065,0.022085616691430623,0.0009491051156514799,51.39318885448917,47.987616099071204,0.021635081783889367,-0.026500412874380683,52.47678018575851,50.77399380804953,0.0031369223890026997,-0.03355701469378141
GBPUSD,564,563,1127,47.340425531914896,46.89165186500888,-0.009986215820659668,0.006736410792165156,51.41843971631206,48.66785079928952,0.00688480138254971,-0.014393601473172838,51.06382978723404,51.15452930728242,-0.007481709934651114,-0.02630534468513501
USDCHF,156,156,312,48.07692307692308,44.871794871794876,-0.008853574685362943,0.026425356416265533,42.94871794871795,45.51282051282051,-0.044357486418109944,0.0028021161816210757,46.15384615384615,42.94871794871795,-0.04184295442902795,0.05553933562095411
AUDUSD,577,577,1154,49.91334488734835,50.95320623916811,0.008106490979511861,-0.0121379381549558,50.77989601386482,48.87348353552859,0.01575725356802929,-0.0120193095317536,52.686308492201036,46.96707105719237,0.017958197709311927,0.00617902879225209
NZDUSD,570,570,1140,50.526315789473685,46.14035087719298,0.001277107606247902,0.0225967458322456,51.578947368421055,46.666666666666664,-0.01818727775658468,0.02870659514714847,49.29824561403508,44.21052631578947,-0.024421613036273257,0.06070366979294813
USDCAD,81,82,163,44.44444444444444,42.68292682926829,0.002159950165165118,0.02271958786347515,50.617283950617285,45.1219512195122,-0.0075424335198771095,0.03318594417871911,43.20987654320987,46.34146341463415,-0.07857898541721917,0.017256102395122985
USDJPY,636,636,1272,47.327044025157235,44.81132075471698,0.00407935173893855,-0.0021288187219137633,50.0,48.89937106918239,-0.00022712606353370374,-0.01263967786725707,52.20125786163522,48.113207547169814,0.028885991738722184,-0.03684799671048204
XAUUSD,422,423,845,55.21327014218009,46.808510638297875,0.046629492183265606,0.010186072332900408,54.976303317535546,45.8628841607565,0.05134590630705873,-0.01546535369044985,53.55450236966824,47.75413711583924,0.10827519813919256,0.03696062327402625
SP500,64,65,129,70.3125,64.61538461538461,0.07344643231458106,-0.0503074027003239,60.9375,43.07692307692308,0.1256897444853264,-0.017740589941923703,53.125,46.15384615384615,0.10087241631113973,0.05023766383941832
NAS100,69,69,138,56.52173913043478,49.275362318840585,0.046027778135834405,-0.03658746256027515,60.86956521739131,49.275362318840585,0.1174024823580956,-0.007357330766288983,59.42028985507246,52.17391304347826,0.12294626563704758,0.02939709279337794
