Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,3434,3448,6882,49.155503785672686,47.53480278422274,0.0037108423396716196,0.005479944949444683,50.17472335468841,47.30278422273782,0.005363930136541761,0.015606804930369199,50.20384391380315,48.52088167053365,0.0076302628978791275,0.019179382432295763
GBPUSD,3387,3411,6798,49.24712134632418,47.81588976839636,0.00011138711216307472,-0.002019197174522935,50.72335400059049,48.66608032834946,0.000139126926746826,0.0029104938944916033,49.95571302037201,50.747581354441515,0.00215675904225921,-0.007164541685349545
USDCHF,876,916,1792,47.71689497716895,47.70742358078602,0.0013886914946287811,0.0038355506378070425,46.80365296803653,51.310043668122276,-0.03908626982673442,-0.018664672158475518,45.89041095890411,52.7292576419214,-0.04755412652259653,-0.02663083242732842
AUDUSD,3372,3413,6785,50.88967971530249,47.87576911807794,0.009758929633492765,0.0006463329889342229,52.66903914590747,48.78406094345151,0.012714528137004662,0.003466436735513814,51.631079478054566,48.11016700849692,0.01728475410089803,0.013467932194219085
NZDUSD,3154,3163,6317,49.84147114774889,49.25703446095479,0.0054293059963212735,-0.0009725815779314016,51.712111604311986,48.15049004110022,0.01079793824709993,0.012268013330530871,51.14140773620799,48.593107809042046,0.02403429570789241,0.011754627412171214
USDCAD,428,381,809,51.16822429906542,46.71916010498688,0.006792192821006827,0.011039214675295088,48.598130841121495,45.93175853018373,0.005232959277735743,0.02089077974492834,51.4018691588785,42.25721784776903,0.003977720731699906,0.021062039944935548
USDJPY,3387,3368,6755,50.073811632713316,45.9916864608076,0.007570558920455472,-0.0004033932397339082,51.01860053144376,47.11995249406176,0.008346727381894374,0.0005451294853932689,51.048125184529084,49.10926365795725,0.012961215199320803,-0.006941372852510999
XAUUSD,2447,2330,4777,50.020433183489985,46.137339055793994,0.01576744126164941,0.00928379919454016,52.30894973436862,47.33905579399141,0.0384169756045812,0.021610662109859118,53.698406211687775,47.467811158798284,0.09694799375738938,0.04015579206454885
SP500,293,276,569,48.122866894197955,42.7536231884058,-0.05459023021436502,0.024467111479038055,52.55972696245734,42.391304347826086,0.0018210238788342519,0.08777423512827291,54.94880546075085,36.594202898550726,0.05464785804127417,0.2322216687370446
NAS100,301,314,615,51.82724252491694,45.22292993630573,0.00833368418571459,0.01658314753754143,51.82724252491694,42.35668789808918,0.043142311605304566,0.06825803323337244,55.14950166112956,36.94267515923567,0.07187497583873513,0.27368256942847485
