trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
1971-02-26,00:00:00,0.5379,0.5379,0.5379,0.5379,1,0.53855,0.00024170447375195623,0.5390334089475038,0.5380665910524961,0.5381,0.5389,-0.03716781267422002,-0.18556318426424212,BB_DOUBLE_BOTTOM_BULLISH,0.07436326454730542,0.2044989775051106,0.11154489682095815
1971-04-12,00:00:00,0.5381,0.5381,0.5381,0.5381,1,0.53862,0.00017651599003211393,0.5389730319800642,0.5382669680199358,0.5384,0.5389,-0.05572065378899832,-0.14845054741139782,BB_DOUBLE_BOTTOM_BULLISH,-0.055751719011350676,-0.03716781267422002,-0.13008734435979072
1971-04-13,00:00:00,0.5378,0.5378,0.5378,0.5378,1,0.5385899999999999,0.0002511028306871516,0.5390922056613742,0.5380877943386256,0.5381,0.5389,-0.055751719011350676,-0.20411950269068488,BB_DOUBLE_BOTTOM_BULLISH,0.0743770918557209,-0.018594272963925063,0.0
1971-04-15,00:00:00,0.5379,0.5379,0.5379,0.5379,1,0.538535,0.0003048295468481977,0.5391446590936964,0.5379253409063036,0.5378,0.5389,0.01859427296394571,-0.18556318426424212,BB_DOUBLE_BOTTOM_BULLISH,-0.037181632273673354,-0.09295408068415244,-0.11154489682097879
1971-04-16,00:00:00,0.5377,0.5377,0.5377,0.5377,1,0.5384849999999999,0.0003543340677651554,0.5391936681355302,0.5377763318644696,0.5378,0.5389,-0.018594272963925063,-0.22267582111710704,BB_DOUBLE_BOTTOM_BULLISH,-0.1859773107680865,0.018597731076806585,-0.03719546215361317
1971-05-06,00:00:00,0.5458,0.5458,0.5458,0.5458,1,0.5387850000000001,0.0025695125484889733,0.543924025096978,0.5336459749030221,0.5373,0.5465,1.5819839940442866,-0.1280878316559989,BB_DOUBLE_TOP_BEARISH,0.38475632099672075,0.4030780505679903,1.0443385855624843
1971-07-19,00:00:00,0.5632,0.5632,0.5632,0.5632,1,0.5593950000000001,0.0014601640138643414,0.5623153280277288,0.5564746719722714,0.5586,0.5628,0.8234872896527119,0.07107320540157551,BB_DOUBLE_TOP_BEARISH,-0.07102272727273916,0.21306818181817808,0.3373579545454568
1971-07-21,00:00:00,0.5636,0.5636,0.5636,0.5636,1,0.5599000000000001,0.0017997075785908766,0.5634994151571818,0.5563005848428183,0.5586,0.5632,0.8950948800572869,0.07102272727271945,BB_DOUBLE_TOP_BEARISH,0.14194464158978404,0.14194464158978404,0.26614620298084757
1971-07-22,00:00:00,0.5644,0.5644,0.5644,0.5644,1,0.56013,0.0020611953609025097,0.564252390721805,0.556007609278195,0.5586,0.5636,1.0383100608664568,0.14194464158978404,BB_DOUBLE_TOP_BEARISH,0.03543586109142062,0.12402551381999183,0.12402551381999183
1971-08-10,00:00:00,0.5736,0.5736,0.5736,0.5736,1,0.5653349999999999,0.0033515550200839336,0.5720381100401678,0.558631889959832,0.5646,0.5737,1.5940488841657825,-0.01743071291615635,BB_DOUBLE_TOP_BEARISH,0.15690376569037864,0.6450488145048878,0.6450488145048878
