trade_date,trade_time,open,high,low,close,volume,prev_open,prev_close,prev_body_high,prev_body_low,curr_body_high,curr_body_low,prev_bearish,prev_bullish,curr_bullish,curr_bearish,signal,forward_1,forward_3,forward_6
1973-04-12,00:00:00,0.6913,0.6913,0.691,0.691,31,0.6912,0.6913,0.6913,0.6912,0.6913,0.691,False,True,False,True,BEARISH_ENGULFING,-0.0434153400868259,0.2749638205499295,0.0289435600579
1974-10-29,00:00:00,0.7593,0.7593,0.759,0.7592,51,0.7592,0.7593,0.7593,0.7592,0.7593,0.7592,False,True,False,True,BEARISH_ENGULFING,-0.1580611169652238,0.35563751317176445,0.9615384615384579
1975-06-19,00:00:00,0.8366,0.8377,0.8359,0.8368,341,0.8368,0.8366,0.8368,0.8366,0.8368,0.8366,True,False,True,False,BULLISH_ENGULFING,-0.2390057361376675,-0.179254302103244,-0.5736137667304047
1982-07-30,00:00:00,0.7943,0.7952,0.7929,0.7939,421,0.794,0.7943,0.7943,0.794,0.7943,0.7939,False,True,False,True,BEARISH_ENGULFING,1.0832598564050813,-0.5920141075702277,-1.9020027711298653
1988-04-01,00:00:00,1.1807,1.1812,1.1805,1.181,111,1.1809,1.1808,1.1809,1.1808,1.181,1.1807,True,False,True,False,BULLISH_ENGULFING,0.08467400508043098,-0.9991532599491983,-1.7866215071973006
1989-03-31,00:00:00,1.0321,1.0338,1.031,1.0323,541,1.0322,1.0321,1.0322,1.0321,1.0323,1.0321,True,False,True,False,BULLISH_ENGULFING,0.5327908553715064,1.1818269882786,0.8234040492104963
1989-08-08,00:00:00,1.0206,1.0349,1.0206,1.0335,1571,1.0246,1.021,1.0246,1.021,1.0335,1.0206,True,False,True,False,BULLISH_ENGULFING,-0.13546202225448162,-2.5157232704402532,-2.389937106918255
1989-08-15,00:00:00,1.0041,1.0107,1.0028,1.008,1191,1.0076,1.0041,1.0076,1.0041,1.008,1.0041,True,False,True,False,BULLISH_ENGULFING,0.07936507936507063,-0.8333333333333297,-0.6845238095238002
1989-08-17,00:00:00,1.0088,1.0093,0.9927,0.9949,1931,1.008,1.0088,1.0088,1.008,1.0088,0.9949,False,True,False,True,BEARISH_ENGULFING,0.4724092873655682,1.3669715549301382,0.22112775153281533
1989-09-20,00:00:00,1.0006,1.0101,0.9988,1.0076,1561,1.0023,1.0006,1.0023,1.0006,1.0076,1.0006,True,False,True,False,BULLISH_ENGULFING,-0.21834061135370977,2.1734815402937704,3.175863437872174
1989-09-29,00:00:00,1.0395,1.0496,1.0385,1.0446,1711,1.0401,1.0396,1.0401,1.0396,1.0446,1.0395,True,False,True,False,BULLISH_ENGULFING,-0.4020677771395732,-0.5265173272065921,-0.6701129618992816
1989-10-27,00:00:00,1.0625,1.0706,1.0534,1.0691,2781,1.0659,1.0627,1.0659,1.0627,1.0691,1.0625,True,False,True,False,BULLISH_ENGULFING,-0.2712561968010385,-1.0850247872041747,-1.234683378542688
1989-11-03,00:00:00,1.0615,1.0633,1.058,1.058,711,1.0581,1.0613,1.0613,1.0581,1.0615,1.058,False,True,False,True,BEARISH_ENGULFING,-0.19848771266540557,0.23629489603024073,-0.6427221172022816
1989-11-07,00:00:00,1.0557,1.0622,1.0557,1.0611,761,1.0587,1.0559,1.0587,1.0559,1.0611,1.0557,True,False,True,False,BULLISH_ENGULFING,-0.05654509471302742,-1.1685986240693589,0.24502874375649403
1989-11-20,00:00:00,1.0622,1.0685,1.0589,1.0663,1511,1.0624,1.0622,1.0624,1.0622,1.0663,1.0622,True,False,True,False,BULLISH_ENGULFING,1.0316046140860826,1.0597392853793364,3.319891212604321
