trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,sweep,forward_1,forward_3,forward_6
1972-06-01,00:00:00,0.6155,0.6158,0.6155,0.6158,31,0.6157,0.6157,BULLISH_SWEEP,-0.04871711594673058,-0.03247807729782039,0.08119519324455098
1972-09-22,00:00:00,0.6125,0.6126,0.6122,0.6125,81,0.6123,0.6123,BULLISH_SWEEP,-0.06530612244899052,-0.1632653061224491,-0.6204081632653102
1972-10-03,00:00:00,0.6088,0.6088,0.6084,0.6088,81,0.6087,0.6085,BULLISH_SWEEP,0.24638633377134458,0.44349540078844213,0.06570302233902035
1972-10-13,00:00:00,0.6089,0.6093,0.6089,0.6089,81,0.6092,0.6092,BEARISH_SWEEP,0.09853834784037527,0.24634586960092902,-0.09853834784037527
1972-10-20,00:00:00,0.6103,0.6106,0.6098,0.61,131,0.6105,0.6101,BEARISH_SWEEP,-0.27868852459016963,-0.016393442622949013,0.016393442622949013
1972-10-27,00:00:00,0.61,0.6101,0.6096,0.6099,91,0.61,0.6096,BEARISH_SWEEP,0.09837678307920068,0.13116904410559485,0.08198065256600359
1972-11-17,00:00:00,0.6093,0.6097,0.6092,0.6094,91,0.6097,0.6093,BULLISH_SWEEP,0.114867082376095,0.1805054151624532,0.3281916639317364
1973-02-09,00:00:00,0.6217,0.6229,0.6209,0.6218,391,0.6212,0.621,BULLISH_SWEEP,6.2077838533290395,6.513348343518813,6.191701511740106
1973-02-15,00:00:00,0.6623,0.6623,0.662,0.6623,61,0.6622,0.6622,BULLISH_SWEEP,-0.31707685338970115,-0.3019779556092408,2.3403291559716077
1973-03-08,00:00:00,0.7022,0.7053,0.699,0.7025,1231,0.7012,0.7003,BULLISH_SWEEP,0.12811387900356042,-1.0960854092526748,-1.7793594306049918
1973-06-20,00:00:00,0.7619,0.7621,0.7613,0.7618,151,0.7618,0.7615,BULLISH_SWEEP,0.4594381727487461,0.5381990023628239,4.253084799159882
1973-06-22,00:00:00,0.7656,0.7662,0.7649,0.7656,261,0.7661,0.7647,BEARISH_SWEEP,0.039184952978066616,1.5020898641588385,6.4002089864158895
1973-06-27,00:00:00,0.7774,0.7778,0.7768,0.7771,171,0.7775,0.7703,BEARISH_SWEEP,2.200488997555013,4.825633766568006,10.333290438810968
1973-08-16,00:00:00,0.7901,0.7916,0.7881,0.79,691,0.7928,0.7892,BULLISH_SWEEP,-0.06329113924051341,0.5949367088607501,0.60759493670885
1973-09-19,00:00:00,0.8108,0.8114,0.8097,0.8108,341,0.811,0.8101,BULLISH_SWEEP,0.9250123334977876,-0.2096694622594874,-0.14800197335964219
1973-10-30,00:00:00,0.8,0.8011,0.7987,0.8002,461,0.7999,0.799,BULLISH_SWEEP,-0.06248437890528068,-0.0874781304673874,-4.373906523369161
1974-01-28,00:00:00,0.687,0.6907,0.6833,0.687,1481,0.6886,0.6875,BEARISH_SWEEP,1.7612809315866083,3.0713245997088636,3.2605531295487586
1974-04-10,00:00:00,0.7595,0.7603,0.7585,0.7595,361,0.76,0.7575,BEARISH_SWEEP,0.9611586570112027,0.8558262014483293,1.8169848584595174
1974-06-04,00:00:00,0.7778,0.7785,0.7774,0.7781,191,0.7783,0.7776,BULLISH_SWEEP,0.7582572934070192,1.0409973011181077,-0.6939982007454003
1974-08-08,00:00:00,0.7543,0.7556,0.7528,0.7545,541,0.7565,0.7535,BULLISH_SWEEP,0.0795228628230676,-0.9807819748177552,-1.41815772034459
1974-09-03,00:00:00,0.7359,0.7375,0.7345,0.7359,601,0.7358,0.7346,BULLISH_SWEEP,-0.20383204239705746,-0.570729718711779,-0.33972007066176746
1974-09-25,00:00:00,0.7357,0.7367,0.735,0.7358,331,0.7365,0.7355,BULLISH_SWEEP,-0.20385974449579464,0.2174503941288456,0.7746670290839954
1974-10-29,00:00:00,0.7593,0.7593,0.759,0.7592,51,0.7593,0.7591,BULLISH_SWEEP,-0.1580611169652238,0.35563751317176445,0.9615384615384579
1974-11-26,00:00:00,0.7939,0.7969,0.7911,0.7939,1161,0.7957,0.7955,BEARISH_SWEEP,0.012596044841918251,-1.3603728429273247,-0.30230507620607994
1975-01-10,00:00:00,0.82,0.8221,0.818,0.82,821,0.8218,0.8211,BEARISH_SWEEP,-0.1707317073170679,-0.18292682926828607,0.9634146341463437
1975-01-13,00:00:00,0.8185,0.8193,0.8175,0.8186,351,0.8221,0.818,BULLISH_SWEEP,-0.5252870754947435,0.134375763498655,1.2093818714879085
1975-01-21,00:00:00,0.8286,0.8288,0.8279,0.8285,171,0.8286,0.8276,BEARISH_SWEEP,0.36210018105009084,1.6535908267954054,0.8569704284852135
1975-01-30,00:00:00,0.8353,0.8366,0.8336,0.8351,581,0.8365,0.8344,BULLISH_SWEEP,0.11974613818704358,-1.484852113519335,-0.6825529876661391
1975-04-17,00:00:00,0.8202,0.8208,0.8195,0.8202,261,0.8198,0.8198,BULLISH_SWEEP,0.0,0.18288222384783537,-0.0365764447695779
