trade_date,trade_time,open,high,low,close,volume,rsi
1971-01-25,00:00:00,0.5385,0.5385,0.5385,0.5385,1,82.75862068965398
1971-01-26,00:00:00,0.5388,0.5388,0.5388,0.5388,1,87.09677419354665
1971-05-05,00:00:00,0.5465,0.5465,0.5465,0.5465,1,83.59374999999939
1971-05-06,00:00:00,0.5458,0.5458,0.5458,0.5458,1,80.45112781954865
1971-05-07,00:00:00,0.5479,0.5479,0.5479,0.5479,1,88.88888888888872
1971-05-10,00:00:00,0.5525,0.5525,0.5525,0.5525,1,91.25683060109269
1971-05-20,00:00:00,0.5577,0.5577,0.5577,0.5577,1,81.84818481848194
1971-05-21,00:00:00,0.5586,0.5586,0.5586,0.5586,1,82.31511254019304
1971-06-21,00:00:00,0.558,0.558,0.558,0.558,1,97.22222222222156
1971-06-22,00:00:00,0.5583,0.5583,0.5583,0.5583,1,96.24999999999913
1971-06-23,00:00:00,0.5598,0.5598,0.5598,0.5598,1,95.08196721311356
1971-06-24,00:00:00,0.5592,0.5592,0.5592,0.5592,1,86.1538461538461
1971-07-16,00:00:00,0.5628,0.5628,0.5628,0.5628,1,80.88235294117672
1971-07-19,00:00:00,0.5632,0.5632,0.5632,0.5632,1,86.76470588235281
1971-07-20,00:00:00,0.5628,0.5628,0.5628,0.5628,1,80.30303030302959
1971-07-21,00:00:00,0.5636,0.5636,0.5636,0.5636,1,81.42857142857062
1971-07-22,00:00:00,0.5644,0.5644,0.5644,0.5644,1,83.33333333333262
1971-07-23,00:00:00,0.5646,0.5646,0.5646,0.5646,1,89.33333333333312
1971-07-26,00:00:00,0.5644,0.5644,0.5644,0.5644,1,87.01298701298707
1971-07-27,00:00:00,0.5651,0.5651,0.5651,0.5651,1,87.95180722891578
1971-07-28,00:00:00,0.5646,0.5646,0.5646,0.5646,1,84.88372093023193
1971-07-29,00:00:00,0.5651,0.5651,0.5651,0.5651,1,85.3932584269658
1971-07-30,00:00:00,0.5651,0.5651,0.5651,0.5651,1,87.35632183907968
1971-08-02,00:00:00,0.5649,0.5649,0.5649,0.5649,1,85.39325842696474
1971-08-03,00:00:00,0.5652,0.5652,0.5652,0.5652,1,82.43243243243083
1971-08-04,00:00:00,0.5667,0.5667,0.5667,0.5667,1,83.54430379746668
1971-08-05,00:00:00,0.5675,0.5675,0.5675,0.5675,1,82.19178082191623
1971-08-06,00:00:00,0.5676,0.5676,0.5676,0.5676,1,81.42857142856961
1971-08-09,00:00:00,0.5737,0.5737,0.5737,0.5737,1,92.91338582677083
1971-08-10,00:00:00,0.5736,0.5736,0.5736,0.5736,1,91.66666666666589
1971-08-11,00:00:00,0.5745,0.5745,0.5745,0.5745,1,91.73553719008187
1971-08-12,00:00:00,0.5775,0.5775,0.5775,0.5775,1,93.28859060402621
1971-08-13,00:00:00,0.5773,0.5773,0.5773,0.5773,1,93.28859060402621
1971-09-17,00:00:00,0.5811,0.5811,0.5811,0.5811,1,85.71428571428591
1971-09-20,00:00:00,0.5863,0.5863,0.5863,0.5863,1,91.85185185185196
1971-09-22,00:00:00,0.5861,0.5861,0.5861,0.5861,1,80.83832335329345
1971-09-23,00:00:00,0.5907,0.5907,0.5907,0.5907,1,84.31372549019615
1971-09-24,00:00:00,0.5901,0.5901,0.5901,0.5901,1,81.46341463414619
1971-09-27,00:00:00,0.5903,0.5903,0.5903,0.5903,1,82.84313725490219
1971-09-28,00:00:00,0.5901,0.5901,0.5901,0.5901,1,84.07960199004938
1971-09-29,00:00:00,0.5904,0.5904,0.5904,0.5904,1,84.07960199004948
1971-12-01,00:00:00,0.5921,0.5921,0.5921,0.5921,1,83.33333333333395
1971-12-02,00:00:00,0.5946,0.5946,0.5946,0.5946,1,85.50724637681219
1971-12-03,00:00:00,0.5981,0.5981,0.5981,0.5981,1,87.95180722891612
1971-12-06,00:00:00,0.6016,0.6016,0.6016,0.6016,1,89.94974874371904
1972-01-24,00:00:00,0.6093,0.6093,0.6093,0.6093,1,81.18279569892448
1972-01-25,00:00:00,0.6098,0.6098,0.6098,0.6098,1,82.10526315789448
1972-04-06,00:00:00,0.6164,0.6164,0.6164,0.6164,1,86.98884758364292
1972-04-18,00:00:00,0.6123,0.6123,0.6123,0.6123,1,16.176470588236185
1972-04-19,00:00:00,0.612,0.612,0.612,0.612,1,13.043478260870899
1972-06-15,00:00:00,0.6185,0.6186,0.6184,0.6184,31,81.35593220339088
1972-08-02,00:00:00,0.6147,0.6147,0.6147,0.6147,1,16.483516483516908
1972-10-03,00:00:00,0.6088,0.6088,0.6084,0.6088,81,17.391304347827074
1972-12-01,00:00:00,0.6133,0.6134,0.6132,0.6133,41,81.66666666666652
1973-02-01,00:00:00,0.6207,0.6207,0.6202,0.6204,71,80.70175438596497
1973-02-05,00:00:00,0.6205,0.6205,0.6205,0.6205,1,80.10471204188516
1973-02-07,00:00:00,0.6209,0.621,0.6209,0.6209,21,81.95876288659771
1973-02-08,00:00:00,0.621,0.6212,0.621,0.6211,31,81.95876288659771
1973-02-13,00:00:00,0.6603,0.6607,0.6602,0.6604,91,95.52238805970137
1973-02-14,00:00:00,0.6622,0.6622,0.6622,0.6622,1,95.4022988505746
1973-02-15,00:00:00,0.6623,0.6623,0.662,0.6623,61,96.89320388349506
1973-02-16,00:00:00,0.6603,0.6603,0.6602,0.6602,11,93.01886792452824
1973-02-20,00:00:00,0.659,0.6591,0.659,0.659,21,90.25844930417492
1973-02-21,00:00:00,0.6603,0.6603,0.6601,0.6603,41,90.21956087824348
1973-02-22,00:00:00,0.671,0.6716,0.6698,0.671,361,91.94078947368419
1973-02-23,00:00:00,0.6825,0.6857,0.6792,0.6824,1291,93.17548746518105
1973-02-26,00:00:00,0.678,0.6785,0.6775,0.6778,181,89.19999999999987
1973-02-27,00:00:00,0.6851,0.6855,0.6843,0.6852,231,89.9876390605685
1973-02-28,00:00:00,0.6879,0.6902,0.6861,0.6881,801,90.55023923444975
1973-03-01,00:00:00,0.6987,0.704,0.6934,0.6986,2111,91.55080213903742
1973-03-02,00:00:00,0.709,0.7118,0.7059,0.709,1181,92.38187078109931
1973-03-05,00:00:00,0.6958,0.6961,0.6955,0.6958,121,81.84165232358002
1973-05-07,00:00:00,0.6855,0.6856,0.6855,0.6855,21,13.725490196078965
1973-05-21,00:00:00,0.7137,0.714,0.7132,0.7136,151,80.09828009827993
1973-05-30,00:00:00,0.7224,0.7237,0.7208,0.722,541,80.8429118773945
1973-05-31,00:00:00,0.7247,0.7252,0.724,0.7248,231,83.3333333333332
1973-06-01,00:00:00,0.731,0.7315,0.7299,0.7307,291,84.61538461538447
1973-06-04,00:00:00,0.7499,0.7502,0.7493,0.7498,171,86.68639053254424
1973-06-05,00:00:00,0.7513,0.7516,0.7512,0.7512,71,86.08964451313742
1973-06-26,00:00:00,0.7739,0.7775,0.7703,0.7742,1411,82.4626865671641
1973-06-27,00:00:00,0.7774,0.7778,0.7768,0.7771,171,83.24420677361846
1973-06-28,00:00:00,0.794,0.797,0.7913,0.7942,1121,85.94917787742892
1973-06-29,00:00:00,0.8036,0.8049,0.8028,0.8039,391,90.93369418132608
1973-07-02,00:00:00,0.8146,0.8155,0.8143,0.8146,241,91.52970922882423
1973-07-03,00:00:00,0.8245,0.8274,0.8218,0.8243,1101,97.5059382422803
1973-07-05,00:00:00,0.8452,0.851,0.8396,0.8453,2271,97.84836065573772
1973-07-06,00:00:00,0.8576,0.8645,0.8508,0.8574,2721,97.96314258001941
1973-07-09,00:00:00,0.8362,0.8391,0.833,0.8359,1191,80.20134228187915
1973-08-14,00:00:00,0.7997,0.7999,0.7996,0.7996,51,13.863928112965255
1973-08-15,00:00:00,0.7911,0.7928,0.7892,0.7913,701,12.587412587412516
1973-08-16,00:00:00,0.7901,0.7916,0.7881,0.79,691,13.20293398533002
1973-08-17,00:00:00,0.7897,0.7897,0.7895,0.7895,21,15.340909090908994
1973-11-07,00:00:00,0.7648,0.7668,0.7626,0.765,821,14.744525547445363
1973-11-08,00:00:00,0.7651,0.7654,0.7645,0.7652,171,9.737248840803801
1973-11-09,00:00:00,0.7603,0.7603,0.7603,0.7603,1,9.251101321586006
1973-11-12,00:00:00,0.7455,0.7455,0.7455,0.7455,1,8.108108108108212
1973-11-13,00:00:00,0.7484,0.7485,0.748,0.7481,71,6.7885117493472364
1973-11-14,00:00:00,0.7575,0.7577,0.7574,0.7575,61,17.036172695449196
1973-11-15,00:00:00,0.7505,0.7537,0.7478,0.7505,1181,15.973741794310683
1973-11-23,00:00:00,0.7343,0.7349,0.7334,0.7341,281,19.981149858623937
1974-01-04,00:00:00,0.7044,0.7051,0.7038,0.7042,241,14.909638554217025
1974-01-07,00:00:00,0.6777,0.6782,0.6774,0.6776,151,11.445086705202428
1974-01-08,00:00:00,0.6803,0.6804,0.6802,0.6803,41,14.173228346456838
1974-02-13,00:00:00,0.7152,0.7154,0.7151,0.7153,51,82.19178082191797
1974-02-15,00:00:00,0.718,0.7181,0.7178,0.7178,41,82.63736263736276
1974-02-19,00:00:00,0.7258,0.7258,0.7256,0.7258,41,87.02290076335888
1974-02-20,00:00:00,0.731,0.7314,0.7305,0.7312,161,85.12035010940929
1974-02-21,00:00:00,0.7339,0.7348,0.7325,0.7335,421,85.12035010940933
1974-02-22,00:00:00,0.7362,0.7363,0.7356,0.7361,131,83.6538461538463
1974-03-21,00:00:00,0.7657,0.7665,0.7655,0.7661,161,86.44400785854614
1974-04-29,00:00:00,0.7987,0.7989,0.7983,0.7983,81,87.95411089866144
1974-04-30,00:00:00,0.7956,0.7964,0.7946,0.7956,361,83.36414048059136
1974-05-01,00:00:00,0.796,0.7962,0.7957,0.7958,81,80.85106382978704
1974-05-06,00:00:00,0.8026,0.8026,0.8026,0.8026,1,85.26703499079188
1974-05-08,00:00:00,0.8081,0.8088,0.8077,0.8084,191,80.10291595197262
1974-08-13,00:00:00,0.7471,0.7471,0.7471,0.7471,1,13.053613053613134
1974-08-22,00:00:00,0.74,0.7402,0.7395,0.7398,121,19.420289855072525
1974-10-09,00:00:00,0.7642,0.765,0.7629,0.7639,391,90.3846153846155
1974-11-18,00:00:00,0.7992,0.8021,0.7964,0.7995,1111,83.61204013377923
1975-01-09,00:00:00,0.8215,0.8218,0.8211,0.8214,131,81.86356073211324
1975-01-10,00:00:00,0.82,0.8221,0.818,0.82,821,81.18811881188121
1975-07-01,00:00:00,0.8264,0.8271,0.8263,0.8267,131,18.55670103092801
1975-07-02,00:00:00,0.8196,0.8198,0.8188,0.8195,191,14.007782101167464
1975-07-03,00:00:00,0.8192,0.8194,0.8187,0.8192,141,13.953488372093176
1975-07-07,00:00:00,0.8138,0.8141,0.8132,0.8138,181,5.479452054794663
1975-07-08,00:00:00,0.8171,0.8179,0.8158,0.8169,401,14.920634920634996
1975-07-09,00:00:00,0.8148,0.8155,0.8138,0.8147,331,15.015974440894638
1975-07-10,00:00:00,0.8083,0.8088,0.8074,0.8083,281,12.000000000000128
1975-07-11,00:00:00,0.8026,0.8029,0.8024,0.8027,91,10.94890510948916
1975-07-14,00:00:00,0.8014,0.8021,0.8008,0.8016,241,10.895883777239831
1975-07-15,00:00:00,0.7936,0.796,0.7916,0.7939,851,6.512605042016787
1975-07-16,00:00:00,0.7926,0.7946,0.7914,0.7929,611,6.471816283924824
1975-07-17,00:00:00,0.7856,0.7856,0.7853,0.7856,61,5.656934306569312
1975-07-18,00:00:00,0.7825,0.7828,0.7821,0.7825,141,5.565529622980236
