trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
1999-01-06,20:00:00,1.1635,1.1643,1.1553,1.1627,853,1.1759,1.1633,BEARISH_NEWYORK_BREAKOUT,0,1,-0.060204695966297836,0.3612281757977106,0.6794529973337936
1999-01-07,20:00:00,1.1672,1.1735,1.1662,1.1706,1119,1.1698,1.1627,BULLISH_NEWYORK_BREAKOUT,1,0,-0.0939689048351359,-0.3246198530668055,-1.0336579531864
1999-01-11,20:00:00,1.1535,1.1557,1.1487,1.1501,993,1.1579,1.1507,BEARISH_NEWYORK_BREAKOUT,0,1,-0.16520302582382324,-0.13911833753585115,0.5390835579515004
1999-01-12,20:00:00,1.1548,1.157,1.1532,1.1563,561,1.156,1.1504,BULLISH_NEWYORK_BREAKOUT,1,0,0.017296549338405083,0.4756551068061781,0.8994205655971601
1999-01-13,20:00:00,1.1698,1.171,1.1638,1.1667,1098,1.179,1.1675,BEARISH_NEWYORK_BREAKOUT,0,1,0.042855918402326644,-0.19713722465072156,0.3085626124967708
1999-01-15,20:00:00,1.1588,1.1614,1.1552,1.1563,713,1.1691,1.1567,BEARISH_NEWYORK_BREAKOUT,0,1,0.1902620427224751,0.1470206693764432,0.3372827120989183
1999-01-25,20:00:00,1.1567,1.1577,1.1547,1.1555,519,1.1599,1.1557,BEARISH_NEWYORK_BREAKOUT,0,1,0.1298139333621858,0.09519688446560803,0.060579835569011066
1999-01-26,20:00:00,1.1575,1.1585,1.1557,1.1562,671,1.1591,1.1563,BEARISH_NEWYORK_BREAKOUT,0,1,-0.22487458917141806,-0.34596090641757515,-1.072478809894479
1999-01-27,20:00:00,1.1478,1.1485,1.1408,1.1438,477,1.1535,1.147,BEARISH_NEWYORK_BREAKOUT,0,1,-0.0699422976044686,0.21856968001400323,-0.20982689281342526
1999-02-03,20:00:00,1.1342,1.1344,1.13,1.1305,232,1.1363,1.1331,BEARISH_NEWYORK_BREAKOUT,0,1,-0.017691287041130294,-0.3095975232198194,0.2919062361786695
1999-02-04,20:00:00,1.1306,1.1346,1.1278,1.1338,1017,1.1317,1.1254,BULLISH_NEWYORK_BREAKOUT,1,0,0.05291938613513459,-0.044099488445929175,-0.6879520197565735
1999-02-05,20:00:00,1.1282,1.1284,1.1253,1.126,624,1.1307,1.1272,BEARISH_NEWYORK_BREAKOUT,0,1,0.00888099467142194,-0.15097690941383773,0.5861456483126254
1999-02-08,20:00:00,1.13,1.133,1.1288,1.1326,399,1.1306,1.122,BULLISH_NEWYORK_BREAKOUT,1,0,-0.044146212254983656,-0.08829242450998692,-0.1677556065689575
1999-02-11,20:00:00,1.1305,1.1305,1.123,1.1232,323,1.1328,1.1294,BEARISH_NEWYORK_BREAKOUT,0,1,-0.017806267806265846,0.044515669515664616,0.6588319088319153
1999-02-12,20:00:00,1.1285,1.1308,1.1273,1.1306,368,1.1289,1.1236,BULLISH_NEWYORK_BREAKOUT,1,0,-0.23881125066337758,-0.3095701397488111,-0.7341234742614517
1999-02-16,20:00:00,1.1194,1.1213,1.1178,1.1207,437,1.1196,1.1158,BULLISH_NEWYORK_BREAKOUT,1,0,0.17845989113946656,0.17845989113946656,0.3569197822789331
1999-02-18,20:00:00,1.1224,1.1228,1.1185,1.1203,449,1.125,1.1214,BEARISH_NEWYORK_BREAKOUT,0,1,-0.10711416584844147,-0.098187985361073,-1.294296170668587
1999-02-19,20:00:00,1.1073,1.1088,1.1055,1.1058,552,1.1173,1.1065,BEARISH_NEWYORK_BREAKOUT,0,1,-0.1627780792186473,-0.723458129860715,-0.21703743895821648
1999-03-11,20:00:00,1.0929,1.1057,1.0909,1.103,1009,1.0937,1.0798,BULLISH_NEWYORK_BREAKOUT,1,0,-0.0815956482320853,-0.8794197642792422,-1.1332728921124167
1999-03-16,20:00:00,1.0913,1.1007,1.091,1.0993,625,1.093,1.0866,BULLISH_NEWYORK_BREAKOUT,1,0,-0.08187028108795606,-0.10006367688527962,0.04548348949332912
1999-03-18,20:00:00,1.0989,1.1009,1.0957,1.0972,661,1.1041,1.0975,BEARISH_NEWYORK_BREAKOUT,0,1,0.1093693036821081,-0.3919066715275219,-0.7564710171345219
1999-03-19,20:00:00,1.0928,1.0928,1.0877,1.0889,665,1.0942,1.0902,BEARISH_NEWYORK_BREAKOUT,0,1,0.08265221783452319,-0.0734686380751136,0.20203875470658278
1999-03-24,20:00:00,1.0919,1.0928,1.088,1.0891,476,1.0962,1.0914,BEARISH_NEWYORK_BREAKOUT,0,1,0.00918189330639877,-0.09181893306398768,-0.5233679184647909
1999-03-25,20:00:00,1.0871,1.0877,1.0826,1.0834,474,1.0908,1.0859,BEARISH_NEWYORK_BREAKOUT,0,1,0.05538120731033376,0.09230201218387594,-0.6368838840686641
1999-03-29,20:00:00,1.0696,1.0736,1.0696,1.0732,404,1.0723,1.068,BULLISH_NEWYORK_BREAKOUT,1,0,-0.04658963846440039,0.13045098770034178,-0.14908684308608122
1999-04-08,20:00:00,1.0795,1.0795,1.0725,1.0748,639,1.0884,1.0752,BEARISH_NEWYORK_BREAKOUT,0,1,-0.009304056568662913,0.37216226274655784,0.42798660215853535
1999-04-12,20:00:00,1.0848,1.0849,1.0804,1.0809,412,1.087,1.0837,BEARISH_NEWYORK_BREAKOUT,0,1,0.027754648903688315,-0.00925154963456277,-0.24979184013321537
1999-04-19,20:00:00,1.0622,1.0665,1.0621,1.0664,253,1.0649,1.0591,BULLISH_NEWYORK_BREAKOUT,1,0,-0.15941485371343161,-0.1781695423855976,-0.3563390847711952
1999-04-22,20:00:00,1.0608,1.0652,1.0596,1.0643,428,1.0616,1.0574,BULLISH_NEWYORK_BREAKOUT,1,0,0.1503335525697685,0.028187541106827675,-0.3288546462463646
1999-04-27,20:00:00,1.0648,1.067,1.0648,1.0664,392,1.0661,1.0621,BULLISH_NEWYORK_BREAKOUT,1,0,0.018754688672165978,0.13128282070518266,-0.4126031507876931
1999-05-04,20:00:00,1.0621,1.0635,1.0614,1.063,505,1.0623,1.0572,BULLISH_NEWYORK_BREAKOUT,1,0,-0.028222013170269705,0.22577610536217854,1.2417685794920132
1999-05-07,20:00:00,1.0785,1.0787,1.0745,1.0758,224,1.0814,1.0778,BEARISH_NEWYORK_BREAKOUT,0,1,-0.42758877114706817,-0.24168060977878392,0.24168060977876332
1999-05-11,20:00:00,1.0711,1.0722,1.0702,1.071,625,1.0744,1.0711,BEARISH_NEWYORK_BREAKOUT,0,1,0.06535947712419654,-0.420168067226886,-0.5975723622782411
1999-05-12,20:00:00,1.0661,1.0669,1.0646,1.0646,646,1.0735,1.0649,BEARISH_NEWYORK_BREAKOUT,0,1,-0.009393199323688615,0.15029118917903866,0.14089798985535007
1999-05-13,20:00:00,1.0641,1.0672,1.0635,1.0661,1657,1.0646,1.0602,BULLISH_NEWYORK_BREAKOUT,1,0,0.028139949348088073,0.046899915580146785,-0.03751993246411743
1999-05-21,20:00:00,1.0573,1.0591,1.0566,1.0591,148,1.0584,1.0544,BULLISH_NEWYORK_BREAKOUT,1,0,-0.29270135020299126,-0.07553583231044396,0.15107166462090887
1999-05-26,20:00:00,1.0468,1.0492,1.0437,1.0443,564,1.0522,1.0461,BEARISH_NEWYORK_BREAKOUT,0,1,0.057454754380918696,-0.18194005553959713,-0.22981901752369602
1999-05-27,20:00:00,1.0456,1.0491,1.0418,1.0419,725,1.0484,1.0428,BEARISH_NEWYORK_BREAKOUT,0,1,0.009597850081580667,0.2783376523658607,0.09597850081580668
1999-05-31,20:00:00,1.0443,1.0444,1.0412,1.0421,195,1.0487,1.0424,BEARISH_NEWYORK_BREAKOUT,0,1,0.009596008060645714,0.04798004030322857,0.2590922176374556
1999-06-04,20:00:00,1.0345,1.0379,1.0345,1.0376,292,1.0348,1.0285,BULLISH_NEWYORK_BREAKOUT,1,0,-0.16383962991519224,-0.7902852737085566,-0.7999228989976844
1999-06-08,20:00:00,1.0444,1.0472,1.0426,1.0462,442,1.0453,1.0392,BULLISH_NEWYORK_BREAKOUT,1,0,-0.0191168036704242,-0.09558401835214221,0.0382336073408484
1999-06-21,20:00:00,1.0336,1.0354,1.0327,1.0347,512,1.0341,1.0307,BULLISH_NEWYORK_BREAKOUT,1,0,-0.0676524596501327,-0.019329274185752195,-0.2222866531361717
