trade_date,trade_time,open,high,low,close,volume,momentum,forward_1,forward_3,forward_6
1999-01-04,12:00:00,1.1801,1.1819,1.1769,1.1782,1520,BEARISH_NY_OPEN,0.09336275674758962,-1.1458156509930273,-2.3001188253267615
1999-01-05,12:00:00,1.1814,1.1826,1.1792,1.1793,1415,BEARISH_NY_OPEN,-0.39006190112778233,-1.1786653099296214,-0.5766132451454182
1999-01-06,12:00:00,1.1753,1.177,1.174,1.1747,1438,BEARISH_NY_OPEN,-0.8512811781731513,-1.6089214267472662,-0.9023580488635536
1999-01-07,12:00:00,1.1669,1.1679,1.1644,1.1647,1516,BEARISH_NY_OPEN,0.06010131364299157,-1.1676826650639698,0.08585901948998796
1999-01-08,12:00:00,1.1666,1.168,1.1638,1.1654,1438,BEARISH_NY_OPEN,-0.8237515016303462,0.6092328814141158,-0.3947142611978666
1999-01-11,12:00:00,1.1592,1.1601,1.1555,1.1558,1467,BEARISH_NY_OPEN,-0.4066447482263304,0.7181173213358691,0.5104689392628496
1999-01-12,12:00:00,1.1481,1.1517,1.146,1.1511,1519,BULLISH_NY_OPEN,1.859091303970123,1.268352011119794,0.5820519503083944
1999-01-13,12:00:00,1.1612,1.1734,1.1608,1.1725,2024,BULLISH_NY_OPEN,-0.7164179104477769,-0.9978678038379568,-1.3475479744136492
1999-01-14,12:00:00,1.1645,1.1679,1.1628,1.1641,1618,BEARISH_NY_OPEN,0.13744523666352082,-0.2061678549952717,-0.5583712739455331
1999-01-15,12:00:00,1.1712,1.1725,1.1632,1.1657,2054,BEARISH_NY_OPEN,-0.4203482885819597,-0.677704383632154,-0.5147121901003694
1999-01-18,12:00:00,1.1579,1.1615,1.1567,1.1608,1326,BULLISH_NY_OPEN,0.07753273604409897,-0.3532046864231558,-0.1636802205375614
1999-01-19,12:00:00,1.1607,1.1642,1.1594,1.1617,1438,BULLISH_NY_OPEN,-0.33571490057674225,-0.35293104932426556,-0.731686321769816
1999-01-20,12:00:00,1.1572,1.1597,1.156,1.1578,1526,BULLISH_NY_OPEN,-0.09500777336326471,0.1641043358092946,-1.5028502332008862
1999-01-21,12:00:00,1.1565,1.1583,1.1557,1.1567,1363,BULLISH_NY_OPEN,0.07780755597820531,0.19019624794674328,-1.573441687559436
1999-01-22,12:00:00,1.161,1.1626,1.1565,1.1576,1437,BEARISH_NY_OPEN,0.18140981340704826,-0.38009675190048026,-2.004146510020723
1999-01-25,12:00:00,1.1602,1.1608,1.158,1.1597,960,BEARISH_NY_OPEN,-0.06898335776493161,-1.6642235060791475,-2.310942485125458
1999-01-26,12:00:00,1.1565,1.159,1.1553,1.1589,1871,BULLISH_NY_OPEN,-0.49184571576495284,-1.7602899301061328,-2.1227025627750415
1999-01-27,12:00:00,1.1521,1.1539,1.1505,1.1532,1974,BULLISH_NY_OPEN,-1.1099549080818525,-1.6302462712452244,-2.3152965660769986
1999-01-28,12:00:00,1.1463,1.1469,1.1381,1.1404,1598,BEARISH_NY_OPEN,-0.16660820764644096,-0.6576639775517417,-0.9558049807085349
1999-01-29,12:00:00,1.1397,1.1413,1.1364,1.1385,2169,BEARISH_NY_OPEN,-0.36012296881862027,-0.368906455862976,-1.185770750988148
1999-02-01,12:00:00,1.1387,1.1393,1.1337,1.1344,1928,BEARISH_NY_OPEN,-0.13222849083216298,-0.6964033850493668,-0.07933709449930561
1999-02-02,12:00:00,1.1316,1.1332,1.1284,1.1329,1845,BULLISH_NY_OPEN,0.12357666166476015,-0.30011474975726626,0.19419189690175476
1999-02-03,12:00:00,1.1336,1.1352,1.1318,1.1343,1336,BULLISH_NY_OPEN,-0.6876487701666251,-0.8198889182755961,-0.22040024684829132
1999-02-04,12:00:00,1.1272,1.1287,1.1247,1.1265,1554,BEARISH_NY_OPEN,0.26631158455391846,0.6213936972924896,-0.11540168664004251
1999-02-05,12:00:00,1.1331,1.1335,1.1288,1.1295,1524,BEARISH_NY_OPEN,-0.3984063745019875,0.49579459938026116,-0.3984063745019875
1999-02-08,12:00:00,1.1226,1.1265,1.1222,1.125,1240,BULLISH_NY_OPEN,0.7555555555555513,0.604444444444437,-0.7111111111111118
1999-02-09,12:00:00,1.1317,1.1338,1.1309,1.1335,1441,BULLISH_NY_OPEN,0.14115571239524002,-0.7322452580502845,-0.714600794000882
1999-02-10,12:00:00,1.1305,1.1357,1.1298,1.1351,1417,BULLISH_NY_OPEN,-0.29072328429213995,-0.8897894458638004,-1.0043168002819203
1999-02-11,12:00:00,1.1323,1.133,1.1307,1.1318,1438,BEARISH_NY_OPEN,-0.5831418978618077,-1.3076515285386046,-1.31648701183954
1999-02-12,12:00:00,1.1239,1.1255,1.1217,1.1252,1451,BULLISH_NY_OPEN,-0.01777461784571436,0.01777461784571436,-2.2573764664059603
1999-02-15,12:00:00,1.1272,1.128,1.124,1.125,1290,BEARISH_NY_OPEN,-0.7111111111111118,-0.11555555555556257,-2.4088888888888804
1999-02-16,12:00:00,1.1205,1.1208,1.1167,1.117,1590,BEARISH_NY_OPEN,0.7520143240823601,-0.008952551477170008,-1.2264995523724302
1999-02-17,12:00:00,1.123,1.1267,1.1218,1.1254,1385,BULLISH_NY_OPEN,-0.15105740181269192,-2.274746756708712,-1.990403412120133
1999-02-18,12:00:00,1.1272,1.1276,1.1222,1.1237,1290,BEARISH_NY_OPEN,-0.6051437216338806,-2.2959864732579716,-1.9222212334252773
1999-02-19,12:00:00,1.1193,1.1193,1.1162,1.1169,1328,BEARISH_NY_OPEN,-1.5310233682514007,-1.2176560121765652,-1.7190437818963296
1999-02-22,12:00:00,1.0972,1.1011,1.0966,1.0998,1394,BULLISH_NY_OPEN,-0.17275868339698242,0.29096199308964077,-1.0365521003818945
1999-02-23,12:00:00,1.1039,1.1043,1.0968,1.0979,1280,BEARISH_NY_OPEN,0.4918480735950313,0.38254850168503335,-0.7833135986884199
1999-02-24,12:00:00,1.0978,1.1039,1.0967,1.1033,1342,BULLISH_NY_OPEN,-0.027191153811290402,-0.5075682044774811,-1.6042780748663148
1999-02-25,12:00:00,1.1026,1.1043,1.1021,1.103,1290,BULLISH_NY_OPEN,-0.0815956482320853,-1.3236627379873025,-1.6863100634632775
1999-02-26,12:00:00,1.1012,1.1047,1.1007,1.1021,1345,BULLISH_NY_OPEN,-0.3992378187097524,-1.1614191089737904,-0.9527266128300677
1999-03-01,12:00:00,1.0994,1.1014,1.0971,1.0977,1970,BEARISH_NY_OPEN,-0.847226018037703,-1.1023048191673501,-1.0020952901521272
1999-03-02,12:00:00,1.0886,1.0889,1.0857,1.0884,1455,BEARISH_NY_OPEN,0.0826901874310824,-0.3675119441381848,0.6982726938625552
1999-03-03,12:00:00,1.0913,1.093,1.0887,1.0893,1529,BEARISH_NY_OPEN,-0.33966767648949203,0.21114477187184144,0.40392912879830717
1999-03-04,12:00:00,1.0864,1.0879,1.0834,1.0856,1465,BEARISH_NY_OPEN,-0.11053795136328924,0.10132645541636892,0.8474576271186531
1999-03-05,12:00:00,1.0824,1.0851,1.0818,1.0844,680,BULLISH_NY_OPEN,0.6639616377720281,1.0697159719660692,0.25820730357800753
1999-03-08,12:00:00,1.0891,1.0925,1.0881,1.0916,1363,BULLISH_NY_OPEN,-0.44888237449614377,0.19237816049835021,0.3297911322828919
1999-03-09,12:00:00,1.0882,1.089,1.0857,1.0867,1712,BEARISH_NY_OPEN,0.8558019692647544,0.7453759087144562,1.352719241741045
1999-03-10,12:00:00,1.0936,1.0975,1.093,1.096,1810,BULLISH_NY_OPEN,-0.20985401459855754,-0.80291970802921,-0.3923357664233752
1999-03-12,12:00:00,1.093,1.0946,1.0908,1.0937,1765,BULLISH_NY_OPEN,0.1005760263326416,0.13714912681723115,-0.6308859833592309
1999-03-15,12:00:00,1.0939,1.0958,1.0935,1.0948,1285,BULLISH_NY_OPEN,-0.694190719766172,0.6028498355864029,-0.420168067226885
1999-03-16,12:00:00,1.0859,1.0881,1.0856,1.0872,1132,BULLISH_NY_OPEN,0.7358351729212663,0.4139072847682072,0.5334805003679202
1999-03-17,12:00:00,1.0982,1.0995,1.0937,1.0952,1432,BEARISH_NY_OPEN,0.5661066471877267,-0.7669831994156285,-0.45653761869977116
1999-03-18,12:00:00,1.1062,1.1067,1.0995,1.1014,1553,BEARISH_NY_OPEN,-0.880697294352646,-1.0168875976030394,-1.8067913564554232
1999-03-19,12:00:00,1.0929,1.0948,1.0911,1.0917,1330,BEARISH_NY_OPEN,-0.4488412567555102,0.11908033342494084,-1.8503251809105064
1999-03-22,12:00:00,1.0882,1.089,1.0852,1.0868,1192,BEARISH_NY_OPEN,0.31284504968716137,0.31284504968716137,-1.4446080235553964
1999-03-23,12:00:00,1.0888,1.0912,1.0882,1.0902,1464,BULLISH_NY_OPEN,0.25683360851219167,-0.7980187121629198,-1.4217574756925397
1999-03-24,12:00:00,1.0913,1.0951,1.0906,1.093,1498,BULLISH_NY_OPEN,-0.25617566331197744,-1.9670631290027516,-1.1253430924062193
1999-03-25,12:00:00,1.0881,1.0909,1.0881,1.0902,1324,BULLISH_NY_OPEN,-0.7980187121629198,-1.7519721152082293,-1.467620620069713
1999-03-26,12:00:00,1.0842,1.0852,1.0808,1.0815,1573,BEARISH_NY_OPEN,-0.9246417013407313,-0.6287563569116891,-0.8506703652334605
1999-03-29,12:00:00,1.0777,1.079,1.0708,1.0715,1420,BEARISH_NY_OPEN,-0.037330844610355206,0.8586094260382732,0.6812879141390653
1999-03-30,12:00:00,1.0747,1.0748,1.0697,1.0711,1187,BEARISH_NY_OPEN,0.3361030716086311,0.28942208944077147,1.2417141256652124
1999-03-31,12:00:00,1.0729,1.0753,1.0717,1.0747,1538,BULLISH_NY_OPEN,0.5582953382339263,-0.22331813529356637,0.437331348283235
1999-04-01,12:00:00,1.0749,1.0811,1.0734,1.0807,1426,BULLISH_NY_OPEN,-0.6014620153604099,-0.17581197372073776,0.5459424447117625
1999-04-05,12:00:00,1.0773,1.0776,1.0736,1.0742,786,BEARISH_NY_OPEN,-0.1768758145596735,0.9495438465835027,0.27927760193631457
1999-04-06,12:00:00,1.0736,1.0743,1.0712,1.0723,1527,BEARISH_NY_OPEN,0.6061736454350415,0.6621281357828858,0.774037116478595
1999-04-07,12:00:00,1.0783,1.0819,1.0782,1.0788,1590,BULLISH_NY_OPEN,0.51909529106415,0.7230255839822052,-0.08342602892101417
1999-04-08,12:00:00,1.0803,1.0845,1.0797,1.0844,1358,BULLISH_NY_OPEN,-0.4610844706750383,-0.6639616377720486,-1.5215787532275875
1999-04-09,12:00:00,1.079,1.0797,1.0756,1.0794,1918,BULLISH_NY_OPEN,0.6670372429127382,0.11117287381879656,-1.408189735037973
1999-04-12,12:00:00,1.0833,1.0879,1.0831,1.0866,1591,BULLISH_NY_OPEN,-0.8650837474691768,-0.8006626173384805,-1.9602429596907875
1999-04-13,12:00:00,1.0807,1.0816,1.0745,1.0772,1563,BEARISH_NY_OPEN,0.3156331229112579,-0.8633494244337044,-1.6617155588562966
1999-04-14,12:00:00,1.0816,1.0818,1.0782,1.0806,1303,BEARISH_NY_OPEN,-0.2498611882287548,-1.5176753655376616,-2.100684804738103
1999-04-15,12:00:00,1.0803,1.0806,1.0774,1.0779,1252,BEARISH_NY_OPEN,-0.9277298450691166,-1.1689396047871015,-1.3544855738009247
1999-04-16,12:00:00,1.0673,1.0702,1.0656,1.0679,1712,BULLISH_NY_OPEN,-0.34647438898773636,-0.8053188500796107,-0.6180353965727279
1999-04-19,12:00:00,1.0654,1.0657,1.062,1.0642,1753,BEARISH_NY_OPEN,0.10336402931778602,-0.5919939860928372,-0.13155421913174853
1999-04-20,12:00:00,1.0644,1.0662,1.0639,1.0653,1648,BULLISH_NY_OPEN,-0.5632216277105047,-0.18774054257016823,0.2346756782127259
1999-04-21,12:00:00,1.062,1.0626,1.0575,1.0593,1794,BEARISH_NY_OPEN,-0.13216274898516436,0.1888039271216843,0.1888039271216843
1999-04-22,12:00:00,1.0645,1.0648,1.056,1.0579,1589,BEARISH_NY_OPEN,0.5104452216655496,0.46318177521503967,-0.08507420361093893
1999-04-23,12:00:00,1.0642,1.065,1.0619,1.0633,1485,BEARISH_NY_OPEN,-0.18809367064798288,0.4232107589579771,-0.46082949308754867
1999-04-26,12:00:00,1.0618,1.0628,1.0601,1.0613,1536,BEARISH_NY_OPEN,0.14133609723924026,0.0,-0.2826721944784596
1999-04-27,12:00:00,1.0632,1.0646,1.0617,1.0628,1583,BEARISH_NY_OPEN,0.47045540082801235,-0.5457282649604843,0.2634550244636936
1999-04-28,12:00:00,1.0675,1.0684,1.0653,1.0678,1609,BULLISH_NY_OPEN,-0.6087282262596152,-0.880314665667735,1.1612661547106167
1999-04-29,12:00:00,1.0606,1.0624,1.0594,1.0613,1765,BULLISH_NY_OPEN,-0.4051634787524706,-0.2826721944784596,1.8091020446622168
1999-04-30,12:00:00,1.061,1.0618,1.0555,1.057,1710,BEARISH_NY_OPEN,0.13245033112583424,0.8136234626301007,1.485335856196788
1999-05-03,12:00:00,1.0591,1.0603,1.0577,1.0584,1177,BEARISH_NY_OPEN,-0.00944822373393698,2.059712773998492,0.6613756613756514
1999-05-04,12:00:00,1.057,1.0586,1.0557,1.0583,1504,BULLISH_NY_OPEN,0.6897855050552854,2.0977038646886514,0.27402437872058044
1999-05-05,12:00:00,1.066,1.0678,1.0647,1.0656,1472,BEARISH_NY_OPEN,1.370120120120115,0.6662912912912804,0.5349099099098926
1999-05-06,12:00:00,1.0811,1.082,1.0781,1.0802,1835,BEARISH_NY_OPEN,0.027772634697275225,-1.370116645065742,-1.240511016478437
1999-05-07,12:00:00,1.079,1.0811,1.0765,1.0805,1754,BULLISH_NY_OPEN,-0.7218880148079619,-1.7862100879222669,-1.0087922258213706
1999-05-11,12:00:00,1.0767,1.0769,1.0726,1.0727,1564,BEARISH_NY_OPEN,-0.6805257760790607,-0.13051179267270138,-0.7923930269413584
