trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,body,upper_wick,lower_wick,range,bullish_pinbar,bearish_pinbar,signal,forward_1,forward_3,forward_6
1973-02-09,00:00:00,0.6217,0.6229,0.6209,0.6218,391,0.6212,0.621,9.999999999998899e-05,0.0010999999999999899,0.0008000000000000229,0.0020000000000000018,True,False,BULLISH_SWEEP_PINBAR,6.2077838533290395,6.513348343518813,6.191701511740106
1973-03-08,00:00:00,0.7022,0.7053,0.699,0.7025,1231,0.7012,0.7003,0.00029999999999996696,0.0028000000000000247,0.0032000000000000917,0.006300000000000083,True,False,BULLISH_SWEEP_PINBAR,0.12811387900356042,-1.0960854092526748,-1.7793594306049918
1973-10-30,00:00:00,0.8,0.8011,0.7987,0.8002,461,0.7999,0.799,0.00019999999999997797,0.0009000000000000119,0.0013000000000000789,0.0024000000000000687,True,False,BULLISH_SWEEP_PINBAR,-0.06248437890528068,-0.0874781304673874,-4.373906523369161
1974-08-08,00:00:00,0.7543,0.7556,0.7528,0.7545,541,0.7565,0.7535,0.00019999999999997797,0.001100000000000101,0.0014999999999999458,0.0028000000000000247,True,False,BULLISH_SWEEP_PINBAR,0.0795228628230676,-0.9807819748177552,-1.41815772034459
1974-09-25,00:00:00,0.7357,0.7367,0.735,0.7358,331,0.7365,0.7355,9.999999999998899e-05,0.0009000000000000119,0.0007000000000000339,0.0017000000000000348,True,False,BULLISH_SWEEP_PINBAR,-0.20385974449579464,0.2174503941288456,0.7746670290839954
1975-01-13,00:00:00,0.8185,0.8193,0.8175,0.8186,351,0.8221,0.818,9.999999999998899e-05,0.0007000000000000339,0.0010000000000000009,0.0018000000000000238,True,False,BULLISH_SWEEP_PINBAR,-0.5252870754947435,0.134375763498655,1.2093818714879085
1975-01-30,00:00:00,0.8353,0.8366,0.8336,0.8351,581,0.8365,0.8344,0.000200000000000089,0.0012999999999999678,0.0014999999999999458,0.0030000000000000027,False,True,BEARISH_SWEEP_PINBAR,0.11974613818704358,-1.484852113519335,-0.6825529876661391
1975-06-19,00:00:00,0.8366,0.8377,0.8359,0.8368,341,0.8373,0.8363,0.00019999999999997797,0.0009000000000000119,0.0007000000000000339,0.0018000000000000238,True,False,BULLISH_SWEEP_PINBAR,-0.2390057361376675,-0.179254302103244,-0.5736137667304047
1975-07-16,00:00:00,0.7926,0.7946,0.7914,0.7929,611,0.796,0.7916,0.000300000000000078,0.0016999999999999238,0.0011999999999999789,0.0031999999999999806,True,False,BULLISH_SWEEP_PINBAR,-0.9206709547231786,-1.6269390843738203,-2.610669693530086
1975-08-28,00:00:00,0.7582,0.7588,0.7578,0.7581,191,0.7584,0.7582,9.999999999998899e-05,0.0006000000000000449,0.00029999999999996696,0.0010000000000000009,False,True,BEARISH_SWEEP_PINBAR,-0.10552697533307255,0.10552697533307255,-0.05276348766652894
1975-10-08,00:00:00,0.7495,0.7506,0.7491,0.7496,291,0.7498,0.7492,9.999999999998899e-05,0.0010000000000000009,0.00040000000000006697,0.0015000000000000568,True,False,BULLISH_SWEEP_PINBAR,0.5202774813233595,0.5069370330843003,1.4140875133404405
1975-10-16,00:00:00,0.7618,0.763,0.7599,0.7616,601,0.7619,0.7606,0.00019999999999997797,0.0011999999999999789,0.0017000000000000348,0.0030999999999999917,False,True,BEARISH_SWEEP_PINBAR,-0.1838235294117736,0.23634453781511458,0.3282563025210014
1975-10-17,00:00:00,0.7601,0.7613,0.7583,0.7602,591,0.763,0.7599,9.999999999998899e-05,0.0010999999999999899,0.0018000000000000238,0.0030000000000000027,True,False,BULLISH_SWEEP_PINBAR,0.17100762957116125,0.6840305182846595,0.14469876348329255
1976-04-19,00:00:00,0.771,0.7717,0.7706,0.7712,201,0.7711,0.7711,0.00019999999999997797,0.000500000000000056,0.00040000000000006697,0.001100000000000101,True,False,BULLISH_SWEEP_PINBAR,-0.03890041493775505,-0.0778008298755245,-0.1556016597510346
1977-01-04,00:00:00,0.8343,0.8357,0.8334,0.8346,431,0.8347,0.8341,0.00029999999999996696,0.0010999999999999899,0.0009000000000000119,0.0022999999999999687,True,False,BULLISH_SWEEP_PINBAR,-0.3115264797507844,-0.9225976515696189,-1.4857416726575565
1977-11-30,00:00:00,0.8797,0.8802,0.8793,0.8796,171,0.8797,0.8795,9.999999999998899e-05,0.0004999999999999449,0.000300000000000078,0.0009000000000000119,False,True,BEARISH_SWEEP_PINBAR,0.4661209640745785,1.614370168258298,2.0804911323328765
1978-02-08,00:00:00,0.9278,0.9288,0.9269,0.9279,371,0.9289,0.9278,9.999999999998899e-05,0.0009000000000000119,0.0009000000000000119,0.0019000000000000128,True,False,BULLISH_SWEEP_PINBAR,-0.14010130401982626,0.21554046772281515,1.8105399288716497
1978-03-29,00:00:00,0.9628,0.9634,0.9624,0.9625,171,0.9626,0.9615,0.00029999999999996696,0.0006000000000000449,9.999999999998899e-05,0.0010000000000000009,False,True,BEARISH_SWEEP_PINBAR,0.24935064935064497,1.2155844155844084,0.8831168831168782
1978-04-04,00:00:00,0.97,0.9746,0.965,0.9698,1901,0.9742,0.9742,0.00019999999999997797,0.0046000000000000485,0.0048000000000000265,0.009600000000000053,False,True,BEARISH_SWEEP_PINBAR,-0.020622808826559907,0.0,0.2784079191585931
1978-09-28,00:00:00,1.0087,1.009,1.0086,1.0086,71,1.0087,1.0072,9.999999999998899e-05,0.00029999999999996696,0.0,0.00039999999999995595,False,True,BEARISH_SWEEP_PINBAR,-0.029744199881019926,1.3880626611144173,1.923458258972842
1978-10-16,00:00:00,1.0524,1.0562,1.0487,1.0526,1481,1.0511,1.051,0.00019999999999997797,0.0036000000000000476,0.0037000000000000366,0.007500000000000062,True,False,BULLISH_SWEEP_PINBAR,1.1115333460003842,1.2160364810944255,2.517575527265815
1978-11-29,00:00:00,1.01,1.0176,1.0021,1.0099,3091,1.0153,1.0153,9.999999999998899e-05,0.007600000000000051,0.007800000000000029,0.01550000000000007,False,True,BEARISH_SWEEP_PINBAR,0.4158827606693714,1.079314783641936,1.0397069016734284
1979-05-08,00:00:00,1.0318,1.0326,1.0309,1.0319,331,1.0318,1.0314,9.999999999998899e-05,0.0006999999999999229,0.0009000000000001229,0.0017000000000000348,True,False,BULLISH_SWEEP_PINBAR,-0.05814516910552707,-0.26165326097491487,-0.5717608295377475
1979-07-25,00:00:00,1.0804,1.0836,1.0774,1.0803,1231,1.0811,1.0808,9.999999999998899e-05,0.0031999999999998696,0.0029000000000001247,0.006199999999999983,False,True,BEARISH_SWEEP_PINBAR,-0.5368879015088426,-1.2681662501157127,-1.0367490511894935
1980-01-11,00:00:00,1.1372,1.1387,1.1359,1.1374,541,1.1394,1.1361,0.00019999999999997797,0.0013000000000000789,0.0013000000000000789,0.0028000000000001357,True,False,BULLISH_SWEEP_PINBAR,0.02637594513803121,-0.1318797256901756,-0.6506066467381812
1980-07-23,00:00:00,1.124,1.1242,1.1237,1.1241,91,1.1249,1.1239,9.999999999998899e-05,9.999999999998899e-05,0.000300000000000189,0.000500000000000167,True,False,BULLISH_SWEEP_PINBAR,0.257984165109857,-0.09785606262788905,-2.490881594164222
1980-07-28,00:00:00,1.1231,1.1279,1.1184,1.123,1891,1.1252,1.125,9.999999999998899e-05,0.0047999999999999154,0.0045999999999999375,0.009499999999999842,False,True,BEARISH_SWEEP_PINBAR,-1.1219946571682942,-2.3953695458592987,-1.754229741763139
1980-08-05,00:00:00,1.1036,1.1058,1.1012,1.1033,891,1.1035,1.0955,0.00029999999999996696,0.0021999999999999797,0.0020999999999999908,0.0045999999999999375,False,True,BEARISH_SWEEP_PINBAR,0.13595576905647214,-0.6616514094081267,-0.5256956403516748
1980-10-21,00:00:00,1.049,1.0504,1.0472,1.0489,631,1.0498,1.0488,9.999999999998899e-05,0.0014000000000000679,0.0017000000000000348,0.0032000000000000917,False,True,BEARISH_SWEEP_PINBAR,0.06673658118029793,-0.07627037849174487,-1.0105825150157253
1981-02-25,00:00:00,0.9259,0.9283,0.924,0.9262,831,0.9332,0.9242,0.000300000000000078,0.0020999999999999908,0.0018999999999999018,0.0042999999999999705,True,False,BULLISH_SWEEP_PINBAR,-0.42107536169294046,-2.0837832001727468,-1.414381343122436
1981-04-27,00:00:00,0.8952,0.8963,0.894,0.8955,431,0.8982,0.895,0.00029999999999996696,0.0008000000000000229,0.0011999999999999789,0.0022999999999999687,True,False,BULLISH_SWEEP_PINBAR,-0.42434394193187214,-1.2506979341150182,-3.4617532104969198
1981-05-27,00:00:00,0.8363,0.8391,0.8335,0.8362,1111,0.8381,0.8374,9.999999999998899e-05,0.0027999999999999137,0.0027000000000000357,0.005599999999999938,False,True,BEARISH_SWEEP_PINBAR,0.7414494140157837,-0.20330064577852602,-3.025591963645073
1981-07-28,00:00:00,0.7992,0.8012,0.7974,0.7996,721,0.8032,0.7987,0.00039999999999995595,0.0016000000000000458,0.0018000000000000238,0.0038000000000000256,True,False,BULLISH_SWEEP_PINBAR,-0.5627813906953413,-1.175587793896944,-2.5012506253126587
1981-08-04,00:00:00,0.7732,0.7748,0.7716,0.7731,631,0.774,0.7717,9.999999999998899e-05,0.0016000000000000458,0.0015000000000000568,0.0032000000000000917,False,True,BEARISH_SWEEP_PINBAR,0.8407709222610206,-0.14228430992109556,0.9701202949165634
1981-10-22,00:00:00,0.8584,0.8599,0.8574,0.8586,481,0.8604,0.8579,0.00019999999999997797,0.0012999999999999678,0.0010000000000000009,0.0024999999999999467,True,False,BULLISH_SWEEP_PINBAR,-0.058234334963901235,-1.199627300256228,1.8634987188446324
1982-01-19,00:00:00,0.851,0.8521,0.8499,0.8513,411,0.8533,0.851,0.00029999999999996696,0.0008000000000000229,0.0010999999999999899,0.0021999999999999797,True,False,BULLISH_SWEEP_PINBAR,-0.37589568894631514,-0.5873370139786085,-1.1041935862798031
1982-05-10,00:00:00,0.8541,0.8557,0.8529,0.8543,541,0.8573,0.8539,0.00019999999999997797,0.0014000000000000679,0.0011999999999999789,0.0028000000000000247,True,False,BULLISH_SWEEP_PINBAR,0.3511646962425381,-0.5384525342385506,-1.1120215381013643
