trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,sma,std,upper_band,lower_band,distance_to_prev_daily_low_pct,distance_to_prev_daily_high_pct,signal,forward_1,forward_3,forward_6
1994-03-30,00:00:00,1.4823,1.4875,1.4734,1.4805,2641,1.501,1.4815,1.4932050000000001,0.005441408002772044,1.5040878160055442,1.482322183994456,-0.0674991562605543,-1.3657561625582921,BB_DAILY_LOW_BULLISH,0.23640661938534677,-0.9658899020601136,-0.4998311381290004
1994-04-05,00:00:00,1.4656,1.471,1.4607,1.4641,1911,1.476,1.464,1.4892999999999998,0.010896450411897796,1.5110929008237954,1.4675070991762043,0.006830601092895423,-0.8062330623306249,BB_DAILY_LOW_BULLISH,0.2732053821460285,0.8196161464380856,0.8469366846526855
1994-06-20,00:00:00,1.5342,1.5424,1.5293,1.538,2241,1.538,1.5155,1.514785,0.008964624922434505,1.5327142498448691,1.496855750155131,1.4846585285384337,0.0,BB_DAILY_HIGH_BEARISH,0.22756827048114817,0.03250975292587418,0.9492847854356272
1994-06-21,00:00:00,1.5374,1.5475,1.5342,1.5415,2251,1.5424,1.5293,1.51656,0.010514220946184875,1.5375884418923698,1.49553155810763,0.7977506048518922,-0.05835062240663257,BB_DAILY_HIGH_BEARISH,-0.6941290950373112,0.7460265974699866,0.2854362633798222
1995-01-24,00:00:00,1.5941,1.6036,1.5928,1.5991,1661,1.5983,1.584,1.56921,0.013245928868104972,1.5957018577362099,1.5427181422637901,0.9532828282828214,0.050053181505343915,BB_DAILY_HIGH_BEARISH,-0.41273216184103173,-0.6003376899506006,-0.9943092989806782
1996-05-30,00:00:00,1.532,1.5402,1.5294,1.5345,1911,1.534,1.513,1.51639,0.007419951766066903,1.5312299035321337,1.501550096467866,1.4210178453403883,0.03259452411994426,BB_DAILY_HIGH_BEARISH,1.1925708699902238,0.9123492994460745,0.13033561420658205
1996-06-03,00:00:00,1.5523,1.5575,1.5448,1.5563,2141,1.5549,1.531,1.5210949999999999,0.013305617135955523,1.547706234271911,1.4944837657280887,1.6525146962769497,0.09003794456235564,BB_DAILY_HIGH_BEARISH,-0.5011887168283768,-0.7839105570905345,-1.2786737775493175
1996-07-02,00:00:00,1.558,1.561,1.5531,1.559,1481,1.5603,1.5493,1.5432400000000002,0.0073125990771595135,1.5578651981543192,1.528614801845681,0.6260892015749076,-0.08331731077357424,BB_DAILY_HIGH_BEARISH,0.3207184092366976,-0.07055805003206407,-0.40410519563822783
1996-08-06,00:00:00,1.5452,1.5472,1.534,1.5395,2071,1.5484,1.541,1.5516100000000002,0.005465672780861107,1.5625413455617223,1.540678654438278,-0.09733939000647858,-0.5747868767760209,BB_DAILY_LOW_BULLISH,0.25982461838259197,0.7729782396881973,0.6625527768756081
1997-05-07,00:00:00,1.6345,1.6408,1.6085,1.6154,4551,1.642,1.6155,1.6267900000000002,0.005343259403439695,1.6374765188068796,1.6161034811931207,-0.006190034045186568,-1.6199756394640656,BB_DAILY_LOW_BULLISH,0.23523585489662163,0.42713878915439696,1.6899839049151977
1997-08-07,00:00:00,1.6025,1.6094,1.5773,1.5892,5091,1.6265,1.5905,1.6537499999999998,0.0299256886655081,1.713601377331016,1.5938986226689837,-0.08173530336372706,-2.2932677528435357,BB_DAILY_LOW_BULLISH,0.018877422602565253,-0.5852001006795787,1.3277120563805764
1997-12-08,00:00:00,1.6583,1.6595,1.6432,1.648,2231,1.668,1.6494,1.6843349999999997,0.01484414734923516,1.71402329469847,1.6546467053015295,-0.08487935006669503,-1.199040767386092,BB_DAILY_LOW_BULLISH,0.22451456310679835,0.6978155339805866,-0.15169902912621036
1998-06-18,00:00:00,1.6682,1.6776,1.662,1.6722,14488,1.6708,1.65,1.6382400000000001,0.012220448781485638,1.6626808975629714,1.6137991024370288,1.3454545454545452,0.08379219535550908,BB_DAILY_HIGH_BEARISH,0.15548379380457827,-0.2451859825379735,-0.6159550293027136
1998-09-29,00:00:00,1.7101,1.715,1.7036,1.7106,13722,1.7113,1.6915,1.6816950000000002,0.013923001604666934,1.709541003209334,1.6538489967906662,1.1291752882057284,-0.04090457546895021,BB_DAILY_HIGH_BEARISH,-0.590436104290892,-0.6664328305857509,-0.5845902022682106
