trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,signal,forward_1,forward_3,forward_6
1993-05-17,00:00:00,1.5365,1.546,1.5309,1.5355,2921,1.5415,1.52,BEARISH_SWEEP,0.06512536633017843,1.3676326929338918,0.4233148811462032
1993-05-18,00:00:00,1.535,1.538,1.5237,1.5365,2711,1.546,1.5309,BULLISH_SWEEP,0.4360559713634838,0.3904978848031243,0.6963878945655666
1993-05-25,00:00:00,1.5385,1.547,1.5345,1.542,2151,1.545,1.5289,BEARISH_SWEEP,0.33722438391698256,1.2127107652399443,-0.12970168612191968
1993-05-28,00:00:00,1.561,1.568,1.5535,1.5607,2871,1.565,1.5425,BEARISH_SWEEP,0.019222143909781955,-1.3263279297750972,-2.1721022618056027
1993-06-01,00:00:00,1.5613,1.567,1.546,1.5555,3621,1.563,1.556,BEARISH_SWEEP,-0.9964641594342698,-3.021536483445847,-2.5908068145290906
1993-06-04,00:00:00,1.549,1.5505,1.506,1.5085,4851,1.5501,1.537,BEARISH_SWEEP,1.2131256214782886,0.4441498176997117,1.3258203513423943
1993-06-09,00:00:00,1.5195,1.527,1.5069,1.5152,3591,1.5265,1.5135,BEARISH_SWEEP,1.0097676874339934,0.8777719112988296,-0.07919746568110413
1993-06-11,00:00:00,1.5293,1.5405,1.5185,1.5215,3621,1.5325,1.507,BEARISH_SWEEP,0.4600722970752477,-1.0055865921787768,-2.1689122576404953
1993-06-15,00:00:00,1.5275,1.5355,1.514,1.5165,3201,1.533,1.519,BEARISH_SWEEP,-0.6791955159907667,-1.2528849324101488,-2.8354764259808722
1993-06-24,00:00:00,1.472,1.4761,1.4637,1.469,2181,1.481,1.467,BULLISH_SWEEP,0.4901293396868531,2.9475833900612587,2.586793737236202
1993-06-30,00:00:00,1.512,1.5135,1.4885,1.4908,2881,1.5155,1.4894,BULLISH_SWEEP,1.6232895089884625,1.3214381540112725,0.4158840890797026
1993-07-01,00:00:00,1.4898,1.5175,1.4867,1.515,3641,1.5135,1.4885,BULLISH_SWEEP,-0.5280528052805286,-0.7260726072607194,-2.3102310231023053
1993-07-02,00:00:00,1.515,1.5255,1.5055,1.507,3201,1.5175,1.4867,BEARISH_SWEEP,0.2322495023224989,-0.7631055076310448,-1.8579960185799473
1993-07-05,00:00:00,1.508,1.5145,1.5045,1.5105,1751,1.5255,1.5055,BULLISH_SWEEP,-0.4303210857331976,-0.8937437934458687,-0.8937437934458687
1993-07-08,00:00:00,1.4942,1.4995,1.489,1.497,1821,1.5077,1.49,BULLISH_SWEEP,-1.135604542418178,0.0,-0.7348029392117649
1993-07-12,00:00:00,1.484,1.4875,1.472,1.479,2601,1.499,1.4765,BULLISH_SWEEP,1.2170385395537535,0.6761325219743075,2.2447599729546917
1993-07-15,00:00:00,1.5025,1.5035,1.4845,1.489,2451,1.5052,1.4885,BULLISH_SWEEP,-0.20147750167898681,1.5580926796507646,0.9738079247817298
1993-07-16,00:00:00,1.4905,1.4915,1.474,1.486,3051,1.5035,1.4845,BULLISH_SWEEP,0.9084791386271915,2.01884253028264,1.0430686406460343
1993-07-22,00:00:00,1.5151,1.5173,1.502,1.514,2951,1.522,1.5075,BULLISH_SWEEP,-0.6935270805812387,-1.5984147952443857,-2.1466314398943176
1993-07-23,00:00:00,1.51,1.513,1.4915,1.5035,3651,1.5173,1.502,BULLISH_SWEEP,-0.13302294645826418,-0.4988360492184943,-0.1463252411040891
1993-07-28,00:00:00,1.488,1.4975,1.4845,1.496,1801,1.5022,1.4868,BULLISH_SWEEP,-1.069518716577541,0.3542780748663157,0.02673796791443556
1993-07-29,00:00:00,1.495,1.5015,1.48,1.48,2801,1.4975,1.4845,BEARISH_SWEEP,0.1013513513513552,1.3513513513513526,1.2094594594594614
1993-07-30,00:00:00,1.4812,1.489,1.475,1.4815,2771,1.5015,1.48,BULLISH_SWEEP,1.3364832939588283,1.3162335470806514,0.6412419844751983
1993-08-03,00:00:00,1.5012,1.5095,1.494,1.5,2981,1.509,1.4759,BEARISH_SWEEP,0.06666666666665932,-0.1399999999999994,-1.8333333333333386
1993-08-06,00:00:00,1.4958,1.4995,1.485,1.4979,2691,1.5047,1.4895,BULLISH_SWEEP,-0.46064490286400334,-1.6957073235863602,-0.46064490286400334
1993-08-13,00:00:00,1.465,1.4705,1.455,1.459,2501,1.4782,1.4564,BULLISH_SWEEP,2.193283070596301,3.8382453735435114,3.152844413982167
1993-08-17,00:00:00,1.4885,1.497,1.4844,1.488,2471,1.494,1.4595,BEARISH_SWEEP,1.8145161290322522,1.8145161290322522,-0.4032258064516132
1993-08-19,00:00:00,1.5147,1.5215,1.5,1.5045,3281,1.5183,1.4845,BEARISH_SWEEP,0.6979062811565273,-0.39880358923230347,-0.09970089730807956
1993-08-20,00:00:00,1.5045,1.518,1.4985,1.515,2851,1.5215,1.5,BULLISH_SWEEP,-0.6600660066006607,-2.178217821782173,-1.4059405940593979
1993-08-23,00:00:00,1.5145,1.519,1.5,1.505,2851,1.518,1.4985,BEARISH_SWEEP,-0.4318936877076379,0.26578073089701026,-0.9169435215946721
1993-08-31,00:00:00,1.492,1.5015,1.4847,1.4912,3281,1.5045,1.4865,BULLISH_SWEEP,0.8248390557939899,2.6019313304720995,3.393240343347638
1993-09-06,00:00:00,1.529,1.538,1.5255,1.5268,2281,1.5323,1.4985,BEARISH_SWEEP,0.785957558291853,1.4409221902017304,1.1592873984804852
1993-09-07,00:00:00,1.5263,1.5465,1.5238,1.5388,3291,1.538,1.5255,BULLISH_SWEEP,0.19495710943593147,0.8903041330907231,0.6303613205094907
1993-09-13,00:00:00,1.5485,1.558,1.5405,1.545,3151,1.5575,1.5421,BEARISH_SWEEP,-0.032362459546922004,-0.9061488673139168,-1.8446601941747556
1993-09-14,00:00:00,1.5455,1.55,1.5369,1.5445,2521,1.558,1.5405,BULLISH_SWEEP,0.25898348980252534,-0.8093234056328881,-1.7481385561670386
1993-09-15,00:00:00,1.542,1.557,1.537,1.5485,3351,1.55,1.5369,BEARISH_SWEEP,-1.1301259283177314,-0.9493057797868864,-2.7768808524378383
1993-09-17,00:00:00,1.531,1.538,1.524,1.532,2701,1.552,1.5275,BULLISH_SWEEP,0.11749347258485794,-0.9464751958224515,-1.2597911227154108
1993-09-21,00:00:00,1.5328,1.5435,1.5005,1.5165,6971,1.536,1.5255,BEARISH_SWEEP,0.0659413122321208,-0.560501153972961,-0.19782393669633314
1993-09-24,00:00:00,1.5052,1.5105,1.4915,1.508,3521,1.5205,1.502,BULLISH_SWEEP,0.3116710875331516,0.3647214854111446,0.49734748010610497
1993-09-28,00:00:00,1.512,1.5195,1.5034,1.513,3121,1.5175,1.5095,BEARISH_SWEEP,0.03304692663583391,-0.5948446794448049,0.7600793126239304
1993-10-01,00:00:00,1.495,1.5095,1.4885,1.504,3301,1.5135,1.494,BULLISH_SWEEP,0.7646276595744725,1.3630319148936145,1.8085106382978653
1993-10-05,00:00:00,1.5145,1.526,1.5108,1.5175,2741,1.5215,1.4933,BEARISH_SWEEP,0.4612850082372254,1.0873146622734733,0.2899505766062576
1993-10-06,00:00:00,1.5161,1.5305,1.5135,1.5245,2561,1.526,1.5108,BEARISH_SWEEP,-0.13119055428009196,0.43948835683830295,-0.5903574942604065
1993-10-11,00:00:00,1.533,1.5395,1.528,1.5312,2121,1.539,1.52,BEARISH_SWEEP,0.052246603970750656,-1.0253396029257984,-2.8082549634273724
1993-10-12,00:00:00,1.5305,1.5372,1.5255,1.532,2191,1.5395,1.528,BULLISH_SWEEP,-0.6592689295039162,-1.4033942558746786,-2.4934725848563977
1993-10-19,00:00:00,1.487,1.4955,1.4825,1.4882,2481,1.509,1.4835,BULLISH_SWEEP,0.37629350893697416,-1.0885633651390936,-0.4770864131165088
