trade_date,trade_time,open,high,low,close,volume,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
1993-05-27,00:00:00,1.5453,1.565,1.5425,1.562,2831,1.518,1.5603,2.898550724637684,0.1089534063962081,DOUBLE_TOP_BEARISH,-0.08322663252241222,-0.41613316261203265,-3.42509603072984
1993-06-16,00:00:00,1.5155,1.52,1.498,1.5062,3471,1.506,1.556,0.013280212483398272,-3.2005141388174847,DOUBLE_BOTTOM_BULLISH,0.5178595140087657,-1.1751427433275827,-2.4697915283494822
1993-06-18,00:00:00,1.5142,1.517,1.492,1.4975,3331,1.498,1.5505,-0.03337783711615119,-3.418252176717184,DOUBLE_BOTTOM_BULLISH,-0.6010016694490897,-1.6026711185308862,-0.10684474123539539
1993-06-22,00:00:00,1.4883,1.4905,1.474,1.4778,2251,1.4799,1.5405,-0.1419014798297176,-4.07010710808179,DOUBLE_BOTTOM_BULLISH,-0.2909730680741623,-0.10826904858573866,0.8796860197590948
1993-06-23,00:00:00,1.478,1.481,1.467,1.4735,2351,1.474,1.5405,-0.03392130257801526,-4.349237260629662,DOUBLE_BOTTOM_BULLISH,-0.30539531727179836,1.5201900237529673,2.8164234815066083
1993-06-24,00:00:00,1.472,1.4761,1.4637,1.469,2181,1.467,1.5405,0.1363326516700751,-4.641350210970457,DOUBLE_BOTTOM_BULLISH,0.4901293396868531,2.9475833900612587,2.586793737236202
1993-07-20,00:00:00,1.4975,1.514,1.4955,1.5122,2231,1.472,1.513,2.7309782608695663,-0.05287508261731077,DOUBLE_TOP_BEARISH,0.2512895119693179,-0.5753207247718509,-1.0712868668165583
1993-07-21,00:00:00,1.5105,1.522,1.5075,1.516,2351,1.472,1.514,2.9891304347826115,0.13210039630118903,DOUBLE_TOP_BEARISH,-0.1319261213720318,-0.9564643799472268,-2.3746701846965723
1993-08-12,00:00:00,1.4715,1.4782,1.4564,1.465,3711,1.465,1.5095,0.0,-2.9479960251738975,DOUBLE_BOTTOM_BULLISH,-0.40955631399317444,1.569965870307161,3.4129692832764382
1993-09-07,00:00:00,1.5263,1.5465,1.5238,1.5388,3291,1.478,1.538,4.1136671177266555,0.052015604681398694,DOUBLE_TOP_BEARISH,0.19495710943593147,0.8903041330907231,0.6303613205094907
1993-09-09,00:00:00,1.542,1.558,1.5365,1.5488,3621,1.4805,1.5465,4.613306315433977,0.1487229227287403,DOUBLE_TOP_BEARISH,0.23889462809917592,-0.27763429752065927,-1.0847107438016483
1993-10-06,00:00:00,1.5161,1.5305,1.5135,1.5245,2561,1.4885,1.526,2.418542156533425,-0.09829619921363413,DOUBLE_TOP_BEARISH,-0.13119055428009196,0.43948835683830295,-0.5903574942604065
1993-10-21,00:00:00,1.494,1.4994,1.482,1.484,2481,1.4825,1.5395,0.10118043844857046,-3.605066580058467,DOUBLE_BOTTOM_BULLISH,-0.8086253369272245,-0.2493261455525631,-0.40431266846361225
