trade_date,trade_time,open,high,low,close,volume,ema200,signal,forward_1,forward_3,forward_6
1993-05-13,00:00:00,1.5328,1.536,1.518,1.5225,2571,1.5336875621890549,BEARISH_BELOW_EMA200,1.0640394088669947,0.9195402298850583,1.3136288998357974
1993-05-14,00:00:00,1.5228,1.5415,1.52,1.5387,2711,1.533737437192149,BULLISH_ABOVE_EMA200,-0.2079677649964171,0.29245466952622007,-0.14297783843504128
1993-05-17,00:00:00,1.5365,1.546,1.5309,1.5355,2921,1.5337549751305355,BULLISH_ABOVE_EMA200,0.06512536633017843,1.3676326929338918,0.4233148811462032
1993-05-18,00:00:00,1.535,1.538,1.5237,1.5365,2711,1.5337822888108288,BULLISH_ABOVE_EMA200,0.4360559713634838,0.3904978848031243,0.6963878945655666
1993-05-19,00:00:00,1.535,1.5482,1.5328,1.5432,2261,1.5338759973798752,BULLISH_ABOVE_EMA200,0.861845515811307,-0.43416277864177866,1.218247796785909
1993-05-20,00:00:00,1.5425,1.5603,1.5383,1.5565,3001,1.5341011118338068,BULLISH_ABOVE_EMA200,-0.8994539029874727,-0.9315772566655932,0.2698361708962404
1993-05-21,00:00:00,1.5548,1.5592,1.539,1.5425,2811,1.5341846828603363,BULLISH_ABOVE_EMA200,-0.388978930307942,0.30470016207454953,1.1993517017828175
1993-05-24,00:00:00,1.54,1.545,1.5289,1.5365,2871,1.5342077208418254,BULLISH_ABOVE_EMA200,0.3579563944028676,1.659616010413282,1.236576635209901
1993-05-25,00:00:00,1.5385,1.547,1.5345,1.542,2151,1.5342852559578273,BULLISH_ABOVE_EMA200,0.33722438391698256,1.2127107652399443,-0.12970168612191968
1993-05-26,00:00:00,1.542,1.5505,1.541,1.5472,1381,1.5344137608736699,BULLISH_ABOVE_EMA200,0.9565667011375484,0.8919338159255451,0.18743536711479608
1993-05-27,00:00:00,1.5453,1.565,1.5425,1.562,2831,1.5346882508152253,BULLISH_ABOVE_EMA200,-0.08322663252241222,-0.41613316261203265,-3.42509603072984
1993-05-28,00:00:00,1.561,1.568,1.5535,1.5607,2871,1.5349470741901983,BULLISH_ABOVE_EMA200,0.019222143909781955,-1.3263279297750972,-2.1721022618056027
1993-05-31,00:00:00,1.5605,1.563,1.556,1.561,1351,1.5352063072828332,BULLISH_ABOVE_EMA200,-0.352338244714916,-0.6982703395259392,-2.594490711082638
1993-06-01,00:00:00,1.5613,1.567,1.546,1.5555,3621,1.5354082345735516,BULLISH_ABOVE_EMA200,-0.9964641594342698,-3.021536483445847,-2.5908068145290906
1993-06-02,00:00:00,1.5544,1.556,1.5364,1.54,2481,1.535453923781775,BULLISH_ABOVE_EMA200,0.6558441558441557,-0.8571428571428636,-0.616883116883121
1993-06-03,00:00:00,1.5403,1.5501,1.537,1.5501,1641,1.5355996558834488,BULLISH_ABOVE_EMA200,-2.6836978259467186,-1.9095542223082427,-1.8450422553383625
1993-06-04,00:00:00,1.549,1.5505,1.506,1.5085,4851,1.5353300075662006,BEARISH_BELOW_EMA200,1.2131256214782886,0.4441498176997117,1.3258203513423943
1993-06-07,00:00:00,1.5063,1.5268,1.506,1.5268,2111,1.5352451318690246,BEARISH_BELOW_EMA200,-0.4126277181032206,0.24233691380665684,-0.6746135708671717
1993-06-08,00:00:00,1.5253,1.5265,1.5135,1.5205,2121,1.5350984141389845,BEARISH_BELOW_EMA200,-0.34856954949029006,0.06576783952647892,-0.940480105228542
1993-06-09,00:00:00,1.5195,1.527,1.5069,1.5152,3591,1.5349004199684473,BEARISH_BELOW_EMA200,1.0097676874339934,0.8777719112988296,-0.07919746568110413
1993-06-10,00:00:00,1.5137,1.5325,1.507,1.5305,3421,1.5348566346951296,BEARISH_BELOW_EMA200,-0.5880431231623585,-0.9147337471414579,-2.1561581182620007
1993-06-11,00:00:00,1.5293,1.5405,1.5185,1.5215,3621,1.534723732857367,BEARISH_BELOW_EMA200,0.4600722970752477,-1.0055865921787768,-2.1689122576404953
1993-06-14,00:00:00,1.519,1.533,1.519,1.5285,1851,1.534661805167244,BEARISH_BELOW_EMA200,-0.7850834151128564,-0.9486424599280313,-3.3169774288518132
1993-06-15,00:00:00,1.5275,1.5355,1.514,1.5165,3201,1.534481090687968,BEARISH_BELOW_EMA200,-0.6791955159907667,-1.2528849324101488,-2.8354764259808722
1993-06-16,00:00:00,1.5155,1.52,1.498,1.5062,3471,1.5341996868005254,BEARISH_BELOW_EMA200,0.5178595140087657,-1.1751427433275827,-2.4697915283494822
1993-06-17,00:00:00,1.5055,1.5187,1.4985,1.514,3191,1.5339986948920625,BEARISH_BELOW_EMA200,-1.0898282694848058,-2.39101717305152,-2.496697490092474
1993-06-18,00:00:00,1.5142,1.517,1.492,1.4975,3331,1.5336355237986092,BEARISH_BELOW_EMA200,-0.6010016694490897,-1.6026711185308862,-0.10684474123539539
1993-06-21,00:00:00,1.494,1.498,1.4799,1.4885,3071,1.533186414109071,BEARISH_BELOW_EMA200,-0.718844474302985,-1.3100436681222607,1.5989250923748768
1993-06-22,00:00:00,1.4883,1.4905,1.474,1.4778,2251,1.5326353055109707,BEARISH_BELOW_EMA200,-0.2909730680741623,-0.10826904858573866,0.8796860197590948
1993-06-23,00:00:00,1.478,1.481,1.467,1.4735,2351,1.5320468945108616,BEARISH_BELOW_EMA200,-0.30539531727179836,1.5201900237529673,2.8164234815066083
1993-06-24,00:00:00,1.472,1.4761,1.4637,1.469,2181,1.5314195622271716,BEARISH_BELOW_EMA200,0.4901293396868531,2.9475833900612587,2.586793737236202
1993-06-25,00:00:00,1.4683,1.4835,1.467,1.4762,2511,1.5308701138468017,BEARISH_BELOW_EMA200,1.3345075193063305,0.9890258772524012,2.323533396558732
1993-06-28,00:00:00,1.4785,1.4975,1.475,1.4959,2761,1.5305221525149928,BEARISH_BELOW_EMA200,1.0963299685807855,1.2768233170666419,0.5414800454575838
1993-06-29,00:00:00,1.4954,1.5155,1.4894,1.5123,3531,1.5303408375645948,BEARISH_BELOW_EMA200,-1.4216755934669096,-0.3504595649011494,-1.1108906962904137
1993-06-30,00:00:00,1.512,1.5135,1.4885,1.4908,2881,1.529947396394798,BEARISH_BELOW_EMA200,1.6232895089884625,1.3214381540112725,0.4158840890797026
1993-07-01,00:00:00,1.4898,1.5175,1.4867,1.515,3641,1.529798666082412,BEARISH_BELOW_EMA200,-0.5280528052805286,-0.7260726072607194,-2.3102310231023053
1993-07-02,00:00:00,1.515,1.5255,1.5055,1.507,3201,1.529571813683582,BEARISH_BELOW_EMA200,0.2322495023224989,-0.7631055076310448,-1.8579960185799473
1993-07-05,00:00:00,1.508,1.5145,1.5045,1.5105,1751,1.5293820443931982,BEARISH_BELOW_EMA200,-0.4303210857331976,-0.8937437934458687,-0.8937437934458687
1993-07-06,00:00:00,1.5095,1.513,1.5015,1.504,1751,1.5291294867375447,BEARISH_BELOW_EMA200,-0.565159574468082,-1.5957446808510651,-0.09973404255319528
1993-07-07,00:00:00,1.503,1.5077,1.49,1.4955,2791,1.5287948649789622,BEARISH_BELOW_EMA200,0.10030090270812816,-1.1033099297893654,-0.4346372450685356
1993-07-08,00:00:00,1.4942,1.4995,1.489,1.497,1821,1.5284784981632513,BEARISH_BELOW_EMA200,-1.135604542418178,0.0,-0.7348029392117649
1993-07-09,00:00:00,1.495,1.499,1.4765,1.48,3001,1.5279961250471992,BEARISH_BELOW_EMA200,-0.06756756756756012,1.520270270270268,1.3175675675675724
1993-07-12,00:00:00,1.484,1.4875,1.472,1.479,2601,1.5275086014148889,BEARISH_BELOW_EMA200,1.2170385395537535,0.6761325219743075,2.2447599729546917
1993-07-13,00:00:00,1.478,1.4995,1.4735,1.497,3301,1.5272050332416065,BEARISH_BELOW_EMA200,0.3674014696058676,-0.7348029392117649,1.269205076820301
1993-07-14,00:00:00,1.4978,1.5052,1.4885,1.5025,2871,1.526959212015322,BEARISH_BELOW_EMA200,-0.898502495840256,-0.19966722129782974,0.765391014975046
1993-07-15,00:00:00,1.5025,1.5035,1.4845,1.489,2451,1.5265815084131795,BEARISH_BELOW_EMA200,-0.20147750167898681,1.5580926796507646,0.9738079247817298
1993-07-16,00:00:00,1.4905,1.4915,1.474,1.486,3051,1.526177712309566,BEARISH_BELOW_EMA200,0.9084791386271915,2.01884253028264,1.0430686406460343
1993-07-19,00:00:00,1.4845,1.5018,1.483,1.4995,2261,1.5259122624358388,BEARISH_BELOW_EMA200,0.8469489829943271,0.9669889963321079,-0.6468822940980354
