trade_date,trade_time,open,high,low,close,volume,rsi,signal,forward_1,forward_3,forward_6
1993-09-30,00:00:00,1.5095,1.5135,1.494,1.495,2451,17.73288439955128,OVERSOLD,0.6020066889632038,1.5050167224080242,2.6086956521739078
1994-04-29,00:00:00,1.5143,1.526,1.5074,1.52,3151,85.67335243552986,OVERBOUGHT,-0.2500000000000017,-1.1776315789473701,-1.4473684210526327
1994-05-30,00:00:00,1.5102,1.511,1.506,1.5098,961,85.00000000000018,OVERBOUGHT,0.1125976950589505,0.07948072592395468,0.013246787653992448
1994-05-31,00:00:00,1.5095,1.5134,1.5065,1.5115,1181,82.55813953488395,OVERBOUGHT,0.330797221303334,-0.3969566655640096,-0.03307972213034515
1994-06-01,00:00:00,1.5109,1.5208,1.5095,1.5165,1701,82.75862068965523,OVERBOUGHT,-0.36267721727662783,-0.5802835476425927,-0.39564787339268087
1994-10-18,00:00:00,1.6079,1.6175,1.6047,1.6138,1971,81.36142625607772,OVERBOUGHT,0.6754244639980254,0.7869624488784333,1.5429421241789654
1994-10-19,00:00:00,1.6128,1.6247,1.6099,1.6247,1771,83.52435530085953,OVERBOUGHT,0.3877638948728979,0.5477934387886938,0.6770480704129931
1994-10-20,00:00:00,1.6229,1.634,1.6165,1.631,2691,85.11198945981545,OVERBOUGHT,-0.2759043531575689,0.2697731453096235,-0.48436541998773863
1994-10-21,00:00:00,1.6296,1.6359,1.622,1.6265,2471,80.0,OVERBOUGHT,0.4365201352597531,0.7500768521364887,0.6148170919151558
1994-10-24,00:00:00,1.6271,1.6351,1.6246,1.6336,1451,80.82524271844656,OVERBOUGHT,0.11018609206660283,0.12855044074436772,0.1163075416258578
1994-10-25,00:00:00,1.6335,1.642,1.6317,1.6354,1871,80.98676293622137,OVERBOUGHT,0.20178549590314793,-0.7521095756389861,-0.7582242876360503
1994-10-27,00:00:00,1.6365,1.6414,1.6339,1.6357,1421,82.67195767195754,OVERBOUGHT,-0.7703124044751448,-0.012227181023413705,-1.1921501497829583
1994-11-15,00:00:00,1.5861,1.5915,1.568,1.5712,3211,17.641418983700973,OVERSOLD,0.1400203665987767,-0.28640529531567904,-0.012729124236251143
1994-11-16,00:00:00,1.571,1.5765,1.5631,1.5734,2441,19.903381642512173,OVERSOLD,-0.22880386424302948,-0.3114274818863547,-0.8008135248506385
1994-11-18,00:00:00,1.5686,1.5735,1.5631,1.5667,1891,8.551068883610526,OVERSOLD,0.11489117252824559,0.2744622454841368,-0.16595391587412622
1994-11-21,00:00:00,1.5654,1.5711,1.5635,1.5685,1211,10.588235294117752,OVERSOLD,0.102008288173417,-0.4909148868345579,-0.28689831048772385
1994-11-22,00:00:00,1.569,1.5732,1.5655,1.5701,1431,14.30499325236184,OVERSOLD,0.0573211897331317,-0.44583147570219206,-0.24839182217693234
1994-11-23,00:00:00,1.57,1.5766,1.5675,1.571,1721,16.642547033285155,OVERSOLD,-0.6492679821769565,-0.43921069382558287,-0.2609802673456393
1994-11-24,00:00:00,1.57,1.5708,1.5595,1.5608,1341,14.668367346938822,OVERSOLD,0.14736032803690216,0.20502306509482907,-0.0704766786263377
1994-11-25,00:00:00,1.5607,1.566,1.5603,1.5631,901,17.314930991217082,OVERSOLD,0.06397543343356867,0.1983238436440473,-0.3390697971978671
1994-11-28,00:00:00,1.5615,1.5658,1.5585,1.5641,1201,12.945838837516533,OVERSOLD,-0.006393453104020778,0.17901668691259598,-0.10229524966434662
1994-11-29,00:00:00,1.563,1.5705,1.5603,1.564,1941,16.039279869067173,OVERSOLD,0.14066496163682735,-0.2749360613810723,0.1598465473145746
1995-03-03,00:00:00,1.6139,1.6333,1.6012,1.632,4611,82.38583410997194,OVERBOUGHT,-0.6556372549019567,-1.6115196078431366,-2.420343137254894
1995-08-21,00:00:00,1.5395,1.5459,1.536,1.5401,1921,15.76253838280472,OVERSOLD,-0.4025712616063881,0.33114732809557057,0.20128563080318687
1995-08-22,00:00:00,1.5383,1.5441,1.5298,1.5339,2421,16.058394160584157,OVERSOLD,0.664971640915313,1.1082860681921836,0.7823195775474289
1995-08-23,00:00:00,1.5323,1.545,1.53,1.5441,1821,19.176706827309474,OVERSOLD,0.07123890939705194,0.3820996049478671,0.3691470759665849
1995-08-24,00:00:00,1.544,1.548,1.5337,1.5452,2741,19.41941941941944,OVERSOLD,0.36888428682371466,-0.12943308309603946,0.7960134610406548
1996-01-22,00:00:00,1.5119,1.5155,1.5019,1.5143,2481,17.89638932496085,OVERSOLD,0.059433401571691406,-0.475467212573458,-0.6075414382883098
1996-01-24,00:00:00,1.5148,1.5162,1.5071,1.512,1541,15.435139573070686,OVERSOLD,-0.32407407407406774,-0.3703703703703736,0.5555555555555531
1996-01-25,00:00:00,1.511,1.5196,1.503,1.5071,2931,14.968152866242164,OVERSOLD,-0.17251675403093075,-0.13270519540840034,1.2275230575276996
1996-01-26,00:00:00,1.5083,1.511,1.497,1.5045,2421,13.978494623656047,OVERSOLD,0.12628780325689684,0.691259554669323,2.30641409106015
1996-01-29,00:00:00,1.5025,1.5101,1.5014,1.5064,1351,12.5,OVERSOLD,-0.08629845990439836,0.9293680297397778,2.482740308019125
1996-01-30,00:00:00,1.5057,1.5115,1.5014,1.5051,1961,14.084507042253534,OVERSOLD,0.6511195269417187,1.3620357451332112,2.139392731379975
1996-05-31,00:00:00,1.5343,1.5549,1.531,1.5528,2931,85.0277264325318,OVERBOUGHT,0.22539927872231186,-0.257599175682638,-1.1591962905718713
1996-06-03,00:00:00,1.5523,1.5575,1.5448,1.5563,2141,85.83916083916027,OVERBOUGHT,-0.5011887168283768,-0.7839105570905345,-1.2786737775493175
1996-10-15,00:00:00,1.5809,1.59,1.5788,1.588,1531,86.7231638418076,OVERBOUGHT,-0.2833753148614717,0.06297229219142883,0.5667506297229153
1996-10-21,00:00:00,1.5906,1.596,1.588,1.5926,1401,81.67420814479608,OVERBOUGHT,0.4772070827577578,0.2386035413788789,1.1176692201431644
1996-10-22,00:00:00,1.5917,1.6015,1.5901,1.6002,1431,83.92857142857113,OVERBOUGHT,-0.19997500312461514,0.26871641044869204,2.06224221972253
1996-10-25,00:00:00,1.5935,1.61,1.5896,1.6045,2981,84.39597315436235,OVERBOUGHT,0.5297600498597663,1.788719227173571,2.4181988158304732
1996-10-28,00:00:00,1.603,1.6156,1.6017,1.613,1781,87.63040238450053,OVERBOUGHT,-0.1611903285802812,0.8431494110353414,2.083075015499075
