trade_date,trade_time,open,high,low,close,volume,prev_high,prev_low,signal,forward_1,forward_3,forward_6
1993-05-13,00:00:00,1.5328,1.536,1.518,1.5225,2571,1.5445,1.529,BEARISH_LOWER_HIGH_LOW,1.0640394088669947,0.9195402298850583,1.3136288998357974
1993-05-14,00:00:00,1.5228,1.5415,1.52,1.5387,2711,1.536,1.518,BULLISH_HIGHER_HIGH_LOW,-0.2079677649964171,0.29245466952622007,-0.14297783843504128
1993-05-17,00:00:00,1.5365,1.546,1.5309,1.5355,2921,1.5415,1.52,BULLISH_HIGHER_HIGH_LOW,0.06512536633017843,1.3676326929338918,0.4233148811462032
1993-05-18,00:00:00,1.535,1.538,1.5237,1.5365,2711,1.546,1.5309,BEARISH_LOWER_HIGH_LOW,0.4360559713634838,0.3904978848031243,0.6963878945655666
1993-05-19,00:00:00,1.535,1.5482,1.5328,1.5432,2261,1.538,1.5237,BULLISH_HIGHER_HIGH_LOW,0.861845515811307,-0.43416277864177866,1.218247796785909
1993-05-20,00:00:00,1.5425,1.5603,1.5383,1.5565,3001,1.5482,1.5328,BULLISH_HIGHER_HIGH_LOW,-0.8994539029874727,-0.9315772566655932,0.2698361708962404
1993-05-24,00:00:00,1.54,1.545,1.5289,1.5365,2871,1.5592,1.539,BEARISH_LOWER_HIGH_LOW,0.3579563944028676,1.659616010413282,1.236576635209901
1993-05-25,00:00:00,1.5385,1.547,1.5345,1.542,2151,1.545,1.5289,BULLISH_HIGHER_HIGH_LOW,0.33722438391698256,1.2127107652399443,-0.12970168612191968
1993-05-26,00:00:00,1.542,1.5505,1.541,1.5472,1381,1.547,1.5345,BULLISH_HIGHER_HIGH_LOW,0.9565667011375484,0.8919338159255451,0.18743536711479608
1993-05-27,00:00:00,1.5453,1.565,1.5425,1.562,2831,1.5505,1.541,BULLISH_HIGHER_HIGH_LOW,-0.08322663252241222,-0.41613316261203265,-3.42509603072984
1993-05-28,00:00:00,1.561,1.568,1.5535,1.5607,2871,1.565,1.5425,BULLISH_HIGHER_HIGH_LOW,0.019222143909781955,-1.3263279297750972,-2.1721022618056027
1993-06-02,00:00:00,1.5544,1.556,1.5364,1.54,2481,1.567,1.546,BEARISH_LOWER_HIGH_LOW,0.6558441558441557,-0.8571428571428636,-0.616883116883121
1993-06-10,00:00:00,1.5137,1.5325,1.507,1.5305,3421,1.527,1.5069,BULLISH_HIGHER_HIGH_LOW,-0.5880431231623585,-0.9147337471414579,-2.1561581182620007
1993-06-11,00:00:00,1.5293,1.5405,1.5185,1.5215,3621,1.5325,1.507,BULLISH_HIGHER_HIGH_LOW,0.4600722970752477,-1.0055865921787768,-2.1689122576404953
1993-06-16,00:00:00,1.5155,1.52,1.498,1.5062,3471,1.5355,1.514,BEARISH_LOWER_HIGH_LOW,0.5178595140087657,-1.1751427433275827,-2.4697915283494822
1993-06-18,00:00:00,1.5142,1.517,1.492,1.4975,3331,1.5187,1.4985,BEARISH_LOWER_HIGH_LOW,-0.6010016694490897,-1.6026711185308862,-0.10684474123539539
1993-06-21,00:00:00,1.494,1.498,1.4799,1.4885,3071,1.517,1.492,BEARISH_LOWER_HIGH_LOW,-0.718844474302985,-1.3100436681222607,1.5989250923748768
1993-06-22,00:00:00,1.4883,1.4905,1.474,1.4778,2251,1.498,1.4799,BEARISH_LOWER_HIGH_LOW,-0.2909730680741623,-0.10826904858573866,0.8796860197590948
1993-06-23,00:00:00,1.478,1.481,1.467,1.4735,2351,1.4905,1.474,BEARISH_LOWER_HIGH_LOW,-0.30539531727179836,1.5201900237529673,2.8164234815066083
1993-06-24,00:00:00,1.472,1.4761,1.4637,1.469,2181,1.481,1.467,BEARISH_LOWER_HIGH_LOW,0.4901293396868531,2.9475833900612587,2.586793737236202
1993-06-25,00:00:00,1.4683,1.4835,1.467,1.4762,2511,1.4761,1.4637,BULLISH_HIGHER_HIGH_LOW,1.3345075193063305,0.9890258772524012,2.323533396558732
1993-06-28,00:00:00,1.4785,1.4975,1.475,1.4959,2761,1.4835,1.467,BULLISH_HIGHER_HIGH_LOW,1.0963299685807855,1.2768233170666419,0.5414800454575838
1993-06-29,00:00:00,1.4954,1.5155,1.4894,1.5123,3531,1.4975,1.475,BULLISH_HIGHER_HIGH_LOW,-1.4216755934669096,-0.3504595649011494,-1.1108906962904137
1993-06-30,00:00:00,1.512,1.5135,1.4885,1.4908,2881,1.5155,1.4894,BEARISH_LOWER_HIGH_LOW,1.6232895089884625,1.3214381540112725,0.4158840890797026
