trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
1999-01-04,12:00:00,1.6615,1.6629,1.6539,1.6553,2172,1.672,1.6607,BEARISH_LONDON_BREAKOUT,0,1,0.26581284359330387,0.07249441188908898,0.018123602972268893
1999-01-06,12:00:00,1.6547,1.6657,1.6516,1.6633,1935,1.6548,1.6501,BULLISH_LONDON_BREAKOUT,1,0,-0.5471051524078704,-0.7755666446221314,-0.9078338243251303
1999-01-07,12:00:00,1.6541,1.6584,1.6482,1.6482,2209,1.6562,1.6534,BEARISH_LONDON_BREAKOUT,0,1,0.08494114791893252,0.21235286979734477,-0.2912267928649519
1999-01-11,16:00:00,1.6412,1.6436,1.6372,1.6377,1724,1.642,1.6386,BEARISH_LONDON_BREAKOUT,0,1,-0.4762777065396611,-0.45795933321120114,-0.42132258655430826
1999-01-13,12:00:00,1.6395,1.6557,1.6394,1.6548,2143,1.6404,1.6335,BULLISH_LONDON_BREAKOUT,1,0,-0.30819434372734494,-0.2961082910321565,-0.4048827652888658
1999-01-14,16:00:00,1.6478,1.6591,1.6478,1.6534,1949,1.651,1.6445,BULLISH_LONDON_BREAKOUT,1,0,0.1693480101608754,0.1270110076206599,-0.17539615338090617
1999-01-15,16:00:00,1.6565,1.6586,1.6485,1.6505,2484,1.6646,1.6548,BEARISH_LONDON_BREAKOUT,0,1,-0.018176310209039016,0.06058770069675188,0.15146925174189316
1999-01-18,12:00:00,1.6513,1.6567,1.6508,1.6555,1678,1.6544,1.6499,BULLISH_LONDON_BREAKOUT,1,0,-0.15101177891875245,-0.2053760193295119,0.18121413470251366
1999-01-19,12:00:00,1.6532,1.6614,1.6522,1.6585,1744,1.6535,1.648,BULLISH_LONDON_BREAKOUT,1,0,-0.1808863430811042,-0.21103406692795046,-0.44015676816400867
1999-01-20,16:00:00,1.6512,1.6521,1.6453,1.6469,1576,1.6565,1.6503,BEARISH_LONDON_BREAKOUT,0,1,-0.07286416904487764,0.060720140870720134,0.3036007043536276
1999-01-21,16:00:00,1.647,1.6541,1.6464,1.6519,1636,1.6498,1.6445,BULLISH_LONDON_BREAKOUT,1,0,-0.012107270415883406,-0.006053635207941703,0.2360917731097533
1999-01-22,16:00:00,1.6517,1.6568,1.6496,1.6558,1488,1.6549,1.6499,BULLISH_LONDON_BREAKOUT,1,0,0.04227563715425444,-0.03623626041792088,0.04831501389057458
1999-01-25,12:00:00,1.659,1.6592,1.6566,1.658,978,1.6577,1.6547,BULLISH_LONDON_BREAKOUT,1,0,-0.08443908323280132,0.11459589867310091,0.23522316043425906
1999-01-27,16:00:00,1.6547,1.6558,1.6483,1.6491,1545,1.6576,1.6542,BEARISH_LONDON_BREAKOUT,0,1,-0.17585349584621326,-0.14553392759686845,-0.09702261839791679
1999-01-28,20:00:00,1.6474,1.6506,1.6466,1.6497,334,1.6485,1.6457,BULLISH_LONDON_BREAKOUT,1,0,-0.18185124568102634,-0.21822149481724237,-0.28490028490028046
1999-02-01,12:00:00,1.6463,1.6471,1.6414,1.6414,1776,1.6473,1.643,BEARISH_LONDON_BREAKOUT,0,1,-0.012184720360666382,0.0,0.20104788595102235
1999-02-02,20:00:00,1.6431,1.6447,1.6385,1.6388,287,1.6481,1.6412,BEARISH_LONDON_BREAKOUT,0,1,0.054918232853301246,-0.1220405174517941,-0.21357090554064306
1999-02-04,12:00:00,1.6387,1.6403,1.6298,1.6327,2037,1.6423,1.6355,BEARISH_LONDON_BREAKOUT,0,1,0.42873767379187205,0.685980278066998,0.4409873216144958
1999-02-04,20:00:00,1.6394,1.6452,1.6379,1.6444,454,1.6423,1.6355,BULLISH_LONDON_BREAKOUT,1,1,-0.030406227195339752,-0.10338117246412276,-0.6871807346144543
1999-02-05,12:00:00,1.6431,1.6435,1.6392,1.6399,1491,1.6458,1.6418,BEARISH_LONDON_BREAKOUT,0,1,-0.15854625282029,-0.4695408256600902,-0.47563875846087
1999-02-08,12:00:00,1.6319,1.6345,1.6311,1.6321,1218,1.6355,1.6329,BEARISH_LONDON_BREAKOUT,0,1,0.36149745726363547,0.36762453281047625,0.44114943937257967
1999-02-08,16:00:00,1.6317,1.6391,1.6285,1.638,1769,1.6355,1.6329,BULLISH_LONDON_BREAKOUT,1,1,0.01221001221002442,0.048840048840057014,-0.0732600732600652
1999-02-10,16:00:00,1.6321,1.6325,1.6267,1.629,1535,1.6355,1.6308,BEARISH_LONDON_BREAKOUT,0,1,-0.11663597298956493,-0.13505217925107305,-0.24554941682013526
1999-02-12,12:00:00,1.624,1.6275,1.6223,1.6256,1518,1.6247,1.6212,BULLISH_LONDON_BREAKOUT,1,0,0.2829724409448917,0.40600393700788395,0.26451771653543127
1999-02-15,16:00:00,1.6302,1.6317,1.6262,1.6263,1439,1.637,1.6286,BEARISH_LONDON_BREAKOUT,0,1,-0.012297854024471375,-0.1475742482936838,0.2767017155506332
1999-02-16,12:00:00,1.6245,1.6351,1.6235,1.6298,1893,1.6275,1.6235,BULLISH_LONDON_BREAKOUT,1,0,0.061357221745006255,0.4233648300405036,0.3865504969935081
1999-02-18,12:00:00,1.637,1.638,1.6335,1.6343,1189,1.6386,1.6346,BEARISH_LONDON_BREAKOUT,0,1,-0.024475310530513245,0.018356482897874744,-0.07954475922413748
1999-02-19,16:00:00,1.6333,1.6337,1.6238,1.6259,1611,1.6361,1.6318,BEARISH_LONDON_BREAKOUT,0,1,-0.23986715050124807,-0.2706193492834713,-0.10455747585951244
1999-02-22,16:00:00,1.6201,1.6262,1.6187,1.6242,1421,1.624,1.6189,BULLISH_LONDON_BREAKOUT,1,0,0.0985100357098771,-0.061568772318686855,-0.6156877231868002
1999-02-23,12:00:00,1.6223,1.6237,1.6132,1.6144,1483,1.6264,1.6217,BEARISH_LONDON_BREAKOUT,0,1,-0.012388503468779608,-0.012388503468779608,-0.6380079286422184
1999-02-24,12:00:00,1.6074,1.6085,1.6,1.6041,1588,1.615,1.6067,BEARISH_LONDON_BREAKOUT,0,1,-0.36780749329842377,-0.2805311389564348,-0.18702075930428985
1999-02-25,16:00:00,1.601,1.6075,1.5999,1.6062,1338,1.603,1.5992,BULLISH_LONDON_BREAKOUT,1,0,-0.12451749470800658,-0.31129373677002337,-0.1867762420620168
1999-02-26,12:00:00,1.601,1.6046,1.5994,1.6033,1129,1.6019,1.597,BULLISH_LONDON_BREAKOUT,1,0,-0.006237135907190732,-0.14345412586540066,0.19335121312294035
1999-03-01,12:00:00,1.5962,1.6084,1.5959,1.6059,1951,1.603,1.5952,BULLISH_LONDON_BREAKOUT,1,0,0.031135188990593744,0.19303817174169502,0.19926520953981378
1999-03-02,16:00:00,1.6091,1.6162,1.6085,1.6139,1514,1.6107,1.6051,BULLISH_LONDON_BREAKOUT,1,0,0.10533490302992968,0.018588512299410685,-0.06196170766465641
1999-03-03,12:00:00,1.6138,1.6225,1.6129,1.6197,1634,1.6163,1.6115,BULLISH_LONDON_BREAKOUT,1,0,-0.41983083287027956,-0.4260048157066066,-0.7902698030499428
1999-03-04,12:00:00,1.6116,1.6126,1.6065,1.6069,1379,1.6129,1.6089,BEARISH_LONDON_BREAKOUT,0,1,-0.024892650444953385,0.14935590266973414,0.14935590266973414
1999-03-05,20:00:00,1.6079,1.6093,1.6049,1.605,381,1.6102,1.6069,BEARISH_LONDON_BREAKOUT,0,1,-0.20560747663551904,0.04361370716510423,0.19937694704050415
1999-03-08,12:00:00,1.6059,1.6111,1.6042,1.6104,1491,1.607,1.6017,BULLISH_LONDON_BREAKOUT,1,0,-0.09314456035767864,0.012419274714355312,-0.1428216592150999
1999-03-09,16:00:00,1.6073,1.6163,1.6073,1.6163,1484,1.6122,1.6066,BULLISH_LONDON_BREAKOUT,1,0,0.11755243457279049,0.05568273216605214,0.6310709645486596
1999-03-10,12:00:00,1.6188,1.6244,1.6181,1.6229,1559,1.6207,1.6154,BULLISH_LONDON_BREAKOUT,1,0,0.22182512785754188,0.19101608232176231,0.1293979912502305
1999-03-11,16:00:00,1.6253,1.634,1.6243,1.6325,1779,1.6273,1.6218,BULLISH_LONDON_BREAKOUT,1,0,0.2450229709035224,0.1225114854517612,0.07350689127104856
1999-03-15,12:00:00,1.6276,1.6282,1.6225,1.6251,1253,1.6291,1.6262,BEARISH_LONDON_BREAKOUT,0,1,-0.17845055688880085,-0.3199803089040732,-0.08614854470494542
1999-03-16,12:00:00,1.6196,1.6248,1.6193,1.6237,1246,1.621,1.6175,BULLISH_LONDON_BREAKOUT,1,0,0.012317546344766766,0.27714479275729326,0.06158773172384751
1999-03-17,12:00:00,1.6283,1.6292,1.6241,1.6247,1334,1.6292,1.6264,BEARISH_LONDON_BREAKOUT,0,1,0.3446790176648027,0.23388933341540133,0.2215793684988027
1999-03-17,16:00:00,1.6253,1.6327,1.6246,1.6303,1556,1.6292,1.6264,BULLISH_LONDON_BREAKOUT,1,1,0.018401521192416545,-0.03680304238484671,-0.024535361589902348
1999-03-18,12:00:00,1.6326,1.6332,1.6262,1.6283,1555,1.6329,1.6286,BEARISH_LONDON_BREAKOUT,0,1,0.09826199103358249,0.04298962107719234,-0.09212061659399721
1999-03-19,16:00:00,1.6267,1.6313,1.626,1.6305,1267,1.6304,1.6262,BULLISH_LONDON_BREAKOUT,1,0,-0.13492793621588345,-0.17172646427477067,-0.14106102422569572
1999-03-23,16:00:00,1.6254,1.6382,1.6236,1.6372,1708,1.6286,1.6257,BULLISH_LONDON_BREAKOUT,1,0,-0.006107989249938248,0.0,0.21377962374786577
1999-03-24,12:00:00,1.6371,1.6439,1.6342,1.6436,1618,1.6381,1.6348,BULLISH_LONDON_BREAKOUT,1,0,-0.17644195668045162,-0.4989048430274997,-0.45631540520807007
1999-03-25,16:00:00,1.6362,1.6366,1.6303,1.632,1510,1.639,1.6337,BEARISH_LONDON_BREAKOUT,0,1,-0.5269607843137218,-0.45343137254901056,-0.741421568627451
1999-03-26,16:00:00,1.6239,1.6267,1.6174,1.6199,1922,1.627,1.6237,BEARISH_LONDON_BREAKOUT,0,1,0.19754305821347565,0.18519661707513513,-0.38273967528859704
1999-03-29,12:00:00,1.6233,1.6237,1.618,1.6189,1591,1.6243,1.6208,BEARISH_LONDON_BREAKOUT,0,1,-0.3212057569954965,-0.2717894866884897,-0.22855025016987068
1999-03-30,16:00:00,1.6143,1.6151,1.611,1.6118,1143,1.6185,1.6149,BEARISH_LONDON_BREAKOUT,0,1,0.012408487405397692,-0.043429705918843715,0.21094428589155415
1999-03-31,12:00:00,1.6091,1.615,1.6087,1.6129,1479,1.6125,1.607,BULLISH_LONDON_BREAKOUT,1,0,0.14260028520056844,-0.0868001736003514,0.031000062000120586
1999-04-01,16:00:00,1.6135,1.6135,1.6012,1.6055,1419,1.614,1.6085,BEARISH_LONDON_BREAKOUT,0,1,-0.1993148551852924,-0.06228589224539956,-0.15571473061351274
1999-04-02,12:00:00,1.6036,1.6042,1.6021,1.6025,366,1.6052,1.6031,BEARISH_LONDON_BREAKOUT,0,1,0.03120124804991856,0.05616224648985341,-0.018720748829951138
1999-04-05,12:00:00,1.6057,1.606,1.601,1.6022,385,1.6062,1.6032,BEARISH_LONDON_BREAKOUT,0,1,-0.03744850830109574,-0.06241418050181699,-1.0860067407314993
1999-04-06,12:00:00,1.5969,1.5972,1.5841,1.5848,1764,1.6035,1.5952,BEARISH_LONDON_BREAKOUT,0,1,0.4984856133266039,0.44169611307421236,0.5678950025239853
1999-04-07,20:00:00,1.595,1.5973,1.5941,1.5967,202,1.5959,1.5877,BULLISH_LONDON_BREAKOUT,1,0,0.1690987662052937,0.45719296048099733,0.6012400576188421
1999-04-08,12:00:00,1.6043,1.6103,1.602,1.6096,1593,1.6055,1.5997,BULLISH_LONDON_BREAKOUT,1,0,-0.10561630218686711,-0.15531809145128894,-0.3168489065606289
1999-04-13,12:00:00,1.6159,1.6161,1.6123,1.6129,1610,1.6167,1.6132,BEARISH_LONDON_BREAKOUT,0,1,0.0868001736003514,0.21700043400087163,0.4526009052018156
1999-04-14,16:00:00,1.6203,1.6207,1.6108,1.612,1156,1.621,1.6143,BEARISH_LONDON_BREAKOUT,0,1,0.04342431761786122,-0.04962779156328374,-0.09305210918114497
1999-04-15,20:00:00,1.6105,1.611,1.608,1.6089,416,1.6146,1.61,BEARISH_LONDON_BREAKOUT,0,1,-0.05593884020137366,-0.1988936540493562,0.2734787743178544
1999-04-16,12:00:00,1.6056,1.6142,1.605,1.6134,1902,1.6088,1.6031,BULLISH_LONDON_BREAKOUT,1,0,0.068179000867739,-0.024792363951900084,0.20453700260320323
1999-04-19,16:00:00,1.6164,1.6181,1.6066,1.6087,1140,1.6186,1.6125,BEARISH_LONDON_BREAKOUT,0,1,0.18026978305463434,0.2797289737054732,0.17405358363895776
1999-04-20,12:00:00,1.6149,1.6188,1.6137,1.6175,1776,1.6166,1.6115,BULLISH_LONDON_BREAKOUT,1,0,-0.3709428129829988,-0.44513137557959037,-0.6429675425038618
1999-04-20,20:00:00,1.6116,1.6124,1.6092,1.61,368,1.6166,1.6115,BEARISH_LONDON_BREAKOUT,1,1,0.018633540372668754,-0.09937888198758048,-0.26708074534162685
1999-04-21,12:00:00,1.6089,1.609,1.6042,1.6071,1953,1.6134,1.608,BEARISH_LONDON_BREAKOUT,0,1,0.012444776305144546,-0.024889552610289092,0.10578059859374243
1999-04-22,12:00:00,1.607,1.6099,1.6043,1.6088,1597,1.6079,1.6049,BULLISH_LONDON_BREAKOUT,1,0,0.25484833416210795,0.44753853804078164,0.2983590253605119
1999-04-23,12:00:00,1.6155,1.6161,1.613,1.6136,1332,1.6194,1.6151,BEARISH_LONDON_BREAKOUT,0,1,0.17352503718394496,0.09915716410510945,0.043381259295993124
1999-04-26,16:00:00,1.6134,1.6154,1.6101,1.6109,951,1.6178,1.6134,BEARISH_LONDON_BREAKOUT,0,1,0.0682848097336955,-0.04966167980631398,0.4097088584021317
1999-04-27,12:00:00,1.614,1.6152,1.6112,1.6148,1591,1.6142,1.6087,BULLISH_LONDON_BREAKOUT,1,0,0.16720336883824155,0.17339608620262037,0.3653703244983909
1999-04-28,12:00:00,1.6172,1.6222,1.6169,1.6207,1704,1.6197,1.6162,BULLISH_LONDON_BREAKOUT,1,0,-0.45042265687666344,-0.3887209230579362,-0.5491454309866187
1999-04-28,16:00:00,1.6205,1.6207,1.6133,1.6134,1276,1.6197,1.6162,BEARISH_LONDON_BREAKOUT,1,1,-0.024792363951900084,0.06198090987976397,-0.32230073137472864
