trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
1999-01-11,20:00:00,1.6373,1.6386,1.6292,1.6299,496,1.6436,1.6372,BEARISH_NEWYORK_BREAKOUT,0,1,0.03681207436039978,-0.10430087735442745,0.03681207436039978
1999-01-27,20:00:00,1.6483,1.6493,1.644,1.6462,381,1.6558,1.6483,BEARISH_NEWYORK_BREAKOUT,0,1,-0.060745960393640615,0.018223788118088138,0.21261086137770846
1999-01-28,20:00:00,1.6474,1.6506,1.6466,1.6497,334,1.6494,1.6451,BULLISH_NEWYORK_BREAKOUT,1,0,-0.18185124568102634,-0.21822149481724237,-0.28490028490028046
1999-02-02,20:00:00,1.6431,1.6447,1.6385,1.6388,287,1.6473,1.6429,BEARISH_NEWYORK_BREAKOUT,0,1,0.054918232853301246,-0.1220405174517941,-0.21357090554064306
1999-02-04,20:00:00,1.6394,1.6452,1.6379,1.6444,454,1.6413,1.6316,BULLISH_NEWYORK_BREAKOUT,1,0,-0.030406227195339752,-0.10338117246412276,-0.6871807346144543
1999-02-05,20:00:00,1.6378,1.6378,1.6315,1.6331,451,1.6426,1.6367,BEARISH_NEWYORK_BREAKOUT,0,1,-0.05510991366112919,0.06735656114139373,0.31228951074643957
1999-02-12,20:00:00,1.6317,1.6358,1.6293,1.635,439,1.6319,1.6241,BULLISH_NEWYORK_BREAKOUT,1,0,-0.17125382262996414,-0.20183486238532605,-0.5443425076452543
1999-02-15,20:00:00,1.6276,1.6282,1.6258,1.6261,155,1.6317,1.6262,BEARISH_NEWYORK_BREAKOUT,0,1,0.04919746633047856,-0.08609556607835113,0.49812434659615
1999-02-19,20:00:00,1.6255,1.6255,1.6202,1.622,515,1.6337,1.6238,BEARISH_NEWYORK_BREAKOUT,0,1,-0.0739827373612879,-0.12946979038225725,0.23427866831071537
1999-03-04,20:00:00,1.6067,1.6114,1.6047,1.6101,399,1.6098,1.6054,BULLISH_NEWYORK_BREAKOUT,1,0,-0.04968635488479808,-0.1739022420967726,-0.3167505123905412
1999-03-05,20:00:00,1.6079,1.6093,1.6049,1.605,381,1.6107,1.6059,BEARISH_NEWYORK_BREAKOUT,0,1,-0.20560747663551904,0.04361370716510423,0.19937694704050415
1999-03-09,20:00:00,1.6169,1.6198,1.6152,1.6182,622,1.6163,1.6073,BULLISH_NEWYORK_BREAKOUT,1,0,-0.04943764676802212,0.0370782350760063,0.512915585218142
1999-03-11,20:00:00,1.633,1.6429,1.6309,1.6365,952,1.634,1.6243,BULLISH_NEWYORK_BREAKOUT,1,0,-0.11610143599144593,0.018331805682857742,-0.2810876871371928
1999-03-16,20:00:00,1.6241,1.6305,1.6231,1.6291,622,1.6276,1.6229,BULLISH_NEWYORK_BREAKOUT,1,0,-0.055245227426180155,-0.0675219446320116,0.09207537904364722
1999-03-24,20:00:00,1.6411,1.642,1.6339,1.6353,541,1.648,1.64,BEARISH_NEWYORK_BREAKOUT,0,1,0.0061150859169564606,0.12230171833914277,-0.7276952241179002
1999-03-25,20:00:00,1.6315,1.632,1.6227,1.6234,570,1.6366,1.6303,BEARISH_NEWYORK_BREAKOUT,0,1,0.06775902427005673,0.04311937908095017,-0.018479733891829924
