trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
1993-06-18,00:00:00,1.5142,1.517,1.492,1.4975,3331,1.568,1.498,BEARISH_20_BAR_BREAKOUT,-0.6010016694490897,-1.6026711185308862,-0.10684474123539539
1993-06-21,00:00:00,1.494,1.498,1.4799,1.4885,3071,1.568,1.492,BEARISH_20_BAR_BREAKOUT,-0.718844474302985,-1.3100436681222607,1.5989250923748768
1993-06-22,00:00:00,1.4883,1.4905,1.474,1.4778,2251,1.568,1.4799,BEARISH_20_BAR_BREAKOUT,-0.2909730680741623,-0.10826904858573866,0.8796860197590948
1993-06-23,00:00:00,1.478,1.481,1.467,1.4735,2351,1.568,1.474,BEARISH_20_BAR_BREAKOUT,-0.30539531727179836,1.5201900237529673,2.8164234815066083
1993-08-10,00:00:00,1.4908,1.4918,1.465,1.4668,2961,1.522,1.4735,BEARISH_20_BAR_BREAKOUT,0.3886010362694175,-0.5317698391055379,3.2860649031906055
1993-09-03,00:00:00,1.5022,1.5323,1.4985,1.53,3981,1.5215,1.455,BULLISH_20_BAR_BREAKOUT,-0.20915032679739162,0.7712418300653616,0.9803921568627386
1993-09-07,00:00:00,1.5263,1.5465,1.5238,1.5388,3291,1.538,1.455,BULLISH_20_BAR_BREAKOUT,0.19495710943593147,0.8903041330907231,0.6303613205094907
1993-09-09,00:00:00,1.542,1.558,1.5365,1.5488,3621,1.5465,1.455,BULLISH_20_BAR_BREAKOUT,0.23889462809917592,-0.27763429752065927,-1.0847107438016483
1993-10-18,00:00:00,1.5075,1.509,1.4835,1.4855,2901,1.5435,1.4885,BEARISH_20_BAR_BREAKOUT,0.18175698418040556,-0.10097610232245417,-0.3500504880511675
1993-10-22,00:00:00,1.4835,1.489,1.47,1.472,2651,1.5395,1.482,BEARISH_20_BAR_BREAKOUT,0.455163043478256,0.6182065217391378,0.6250000000000067
1993-11-09,00:00:00,1.4805,1.485,1.4635,1.4698,3231,1.5372,1.47,BEARISH_20_BAR_BREAKOUT,0.6259355014287724,1.5104095795346304,0.6259355014287724
1993-12-06,00:00:00,1.4927,1.506,1.491,1.5034,1931,1.4981,1.4635,BULLISH_20_BAR_BREAKOUT,-0.6917653319143252,-0.5786883065052648,-0.991086869761882
1994-01-27,00:00:00,1.4945,1.512,1.4909,1.508,2871,1.507,1.474,BULLISH_20_BAR_BREAKOUT,-0.8355437665782457,-0.44429708222811193,-2.062334217506625
1994-02-04,00:00:00,1.486,1.4997,1.472,1.4769,4631,1.512,1.48,BEARISH_20_BAR_BREAKOUT,0.5010494955650248,-1.1104340171981983,0.5213623129527942
1994-02-08,00:00:00,1.4834,1.4885,1.4648,1.4672,3121,1.512,1.472,BEARISH_20_BAR_BREAKOUT,-0.456652126499465,-0.3203380588876873,0.6270447110141681
1994-02-09,00:00:00,1.4667,1.472,1.457,1.4605,2381,1.512,1.4648,BEARISH_20_BAR_BREAKOUT,0.19171516603903704,1.6501198219787752,1.3488531324888773
1994-03-10,00:00:00,1.4968,1.506,1.496,1.5032,1361,1.5005,1.454,BULLISH_20_BAR_BREAKOUT,-0.20622671633848474,-0.8315593400745195,-0.8049494411921234
1994-04-04,00:00:00,1.4695,1.476,1.464,1.4662,2071,1.506,1.471,BEARISH_20_BAR_BREAKOUT,-0.14322739053335087,0.4706042831810209,0.7502387123175638
1994-04-26,00:00:00,1.491,1.5085,1.488,1.505,2701,1.501,1.4607,BULLISH_20_BAR_BREAKOUT,0.013289036544863788,0.9966777408637957,-0.19269102990032577
1994-04-28,00:00:00,1.5046,1.5155,1.5008,1.5136,2041,1.5115,1.4607,BULLISH_20_BAR_BREAKOUT,0.42283298097251326,0.0,-1.321353065539113
1994-04-29,00:00:00,1.5143,1.526,1.5074,1.52,3151,1.5155,1.4607,BULLISH_20_BAR_BREAKOUT,-0.2500000000000017,-1.1776315789473701,-1.4473684210526327
1994-06-01,00:00:00,1.5109,1.5208,1.5095,1.5165,1701,1.5152,1.485,BULLISH_20_BAR_BREAKOUT,-0.36267721727662783,-0.5802835476425927,-0.39564787339268087
1994-06-13,00:00:00,1.5085,1.5235,1.507,1.522,1951,1.5208,1.4953,BULLISH_20_BAR_BREAKOUT,-0.19710906701709027,-0.11826544021025123,1.2812089356110428
1994-06-17,00:00:00,1.5202,1.538,1.5155,1.5355,2971,1.526,1.5015,BULLISH_20_BAR_BREAKOUT,0.16281341582546055,-0.306089221751882,0.6252035167697708
1994-06-24,00:00:00,1.5378,1.5569,1.533,1.553,3261,1.5475,1.5015,BULLISH_20_BAR_BREAKOUT,-0.5086928525434654,-0.45717965228589086,-0.9401159047005762
1994-07-11,00:00:00,1.555,1.576,1.553,1.5732,2781,1.5595,1.507,BULLISH_20_BAR_BREAKOUT,-0.26697177726925897,-0.8899059242308679,-1.576404780066103
1994-07-21,00:00:00,1.543,1.5522,1.52,1.5251,4651,1.577,1.5275,BEARISH_20_BAR_BREAKOUT,0.1573667300505003,-0.026227788341745193,1.239262999147606
1994-08-22,00:00:00,1.549,1.5587,1.5447,1.557,2001,1.5546,1.5205,BULLISH_20_BAR_BREAKOUT,-0.051380860629409886,-0.019267822736028707,-1.4771997430956911
1994-09-12,00:00:00,1.5516,1.5741,1.5495,1.5699,3091,1.5625,1.5204,BULLISH_20_BAR_BREAKOUT,-0.31212179119689953,-0.47773743550545017,0.33123128861710116
1994-09-16,00:00:00,1.5613,1.5902,1.5607,1.5792,4111,1.5741,1.5204,BULLISH_20_BAR_BREAKOUT,-0.6522289766970603,-0.012664640324213397,-0.360942249240124
1994-10-06,00:00:00,1.5835,1.5937,1.5816,1.592,1571,1.5902,1.5385,BULLISH_20_BAR_BREAKOUT,-0.35804020100502754,-0.7097989949748799,0.2952261306532617
1994-10-17,00:00:00,1.591,1.6155,1.591,1.6086,3141,1.5978,1.5622,BULLISH_20_BAR_BREAKOUT,0.32326246425462335,1.3925152306353334,1.6660450080815576
1994-10-19,00:00:00,1.6128,1.6247,1.6099,1.6247,1771,1.6175,1.5685,BULLISH_20_BAR_BREAKOUT,0.3877638948728979,0.5477934387886938,0.6770480704129931
1994-10-20,00:00:00,1.6229,1.634,1.6165,1.631,2691,1.6247,1.5685,BULLISH_20_BAR_BREAKOUT,-0.2759043531575689,0.2697731453096235,-0.48436541998773863
