trade_date,trade_time,open,high,low,close,volume,prev_day_high,prev_day_low,rsi,recent_low,recent_high,distance_to_prev_day_low_pct,distance_to_prev_day_high_pct,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
2004-09-07,12:00:00,401.3,401.6,397.6,398.3,458,406.3,398.6,19.374999999999858,398.6,408.1,-0.07526342197692207,-1.968988432192961,-0.07526342197692207,-2.40137221269297,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,-0.050213406979660716,-0.050213406979660716,-0.6778809942254553
2004-10-21,08:00:00,423.8,425.6,423.8,425.2,135,425.5,419.3,93.44262295081998,416.7,425.5,1.407107083233956,-0.07050528789659491,2.0398368130549556,-0.07050528789659491,BEARISH_DAILY_STRUCTURE_DOUBLE_TOP,-0.752587017873939,-0.4468485418626475,-0.7055503292568204
2004-11-18,00:00:00,444.3,444.7,444.1,444.3,22,444.6,438.0,84.09090909090898,435.3,444.6,1.4383561643835643,-0.0674763832658595,2.0675396278428666,-0.0674763832658595,BEARISH_DAILY_STRUCTURE_DOUBLE_TOP,0.09002925950933542,-0.2925950934053593,-0.607697501688046
2004-11-18,04:00:00,444.3,444.8,444.1,444.7,50,444.6,438.0,83.33333333333319,436.3,444.7,1.5296803652968012,0.022492127755277976,1.9252807701123027,0.0,BEARISH_DAILY_STRUCTURE_DOUBLE_TOP,0.17989655947830255,-0.7870474477175624,-0.5396896784348949
2005-02-04,16:00:00,415.6,417.3,413.3,414.1,1084,421.5,414.2,15.31531531531526,414.2,421.5,-0.024142926122637832,-1.7556346381969103,-0.024142926122637832,-1.7556346381969103,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,0.024148756339040303,-0.07244626901714836,-0.3863801014247821
2005-02-07,08:00:00,413.8,414.3,413.5,413.7,131,417.3,413.3,9.195402298850126,413.3,417.3,0.09678199854826453,-0.8626887131560084,0.09678199854826453,-0.8626887131560084,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,0.1208605269518975,-0.14503263234226876,-0.36258158085569253
2005-03-10,04:00:00,440.3,442.2,440.1,441.7,144,442.1,438.5,84.34782608695676,434.3,442.1,0.7297605473204078,-0.09047726758652659,1.7038913193644896,-0.09047726758652659,BEARISH_DAILY_STRUCTURE_DOUBLE_TOP,-0.09055920307900776,0.06791940230926226,-0.11319900384876615
2005-05-16,00:00:00,419.8,420.2,418.6,418.6,91,422.1,418.2,18.69918699186971,418.2,426.2,0.0956480153036906,-0.8291873963515755,0.0956480153036906,-1.7832003754105974,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,-0.0716674629718135,-0.143334925943627,0.21500238891542695
2005-05-16,04:00:00,418.7,419.2,418.2,418.3,142,422.1,418.2,15.573770491803174,418.2,426.0,0.02391200382592605,-0.9002606017531417,0.02391200382592605,-1.8075117370891993,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,0.11953143676786994,0.11953143676786994,0.47812574707147976
2005-05-16,12:00:00,419.0,419.7,417.7,418.0,374,422.1,418.2,19.199999999999903,417.8,422.1,-0.04782400765183851,-0.9713338071547081,0.04786979415988239,-0.9713338071547081,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,0.19138755980861516,0.3588516746411483,0.3588516746411483
2005-06-20,04:00:00,438.1,438.8,437.8,438.5,95,438.8,435.0,85.91549295774647,430.3,438.8,0.8045977011494253,-0.06836827711941917,1.9056472228677641,-0.06836827711941917,BEARISH_DAILY_STRUCTURE_DOUBLE_TOP,0.29646522234891937,-0.27366020524515133,-0.7297605473204078
2005-06-29,00:00:00,434.8,435.6,434.8,435.1,32,439.6,434.8,19.696969696969276,434.8,439.8,0.0689972401103982,-1.0236578707916288,0.0689972401103982,-1.0686675761709843,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,-0.06894966674328001,-0.06894966674328001,0.344748333716387
2005-06-29,04:00:00,435.0,435.1,434.6,434.8,35,439.6,434.8,16.417910447760846,434.8,439.8,0.0,-1.0919017288444066,0.0,-1.1368804001819008,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,-0.022999080036803756,0.45998160073597055,0.5289788408463687
2005-06-29,08:00:00,434.6,434.8,433.5,434.7,95,439.6,434.8,16.176470588234906,434.6,439.8,-0.022999080036803756,-1.1146496815286702,0.02300966405889689,-1.159618008185544,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,0.023004370830463017,0.4830917874396188,0.4830917874396188
2005-07-04,00:00:00,427.2,427.6,426.1,426.3,56,436.2,426.3,13.793103448275858,426.3,438.3,0.0,-2.2696011004126495,0.0,-2.737850787132101,BULLISH_DAILY_STRUCTURE_DOUBLE_BOTTOM,0.0,0.04691531785127577,-0.7506450856204524
