Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,16546,16511,33057,48.966517587332284,48.39198110350675,0.0036901485489190936,-0.0028881783378566497,49.07530520971836,49.17327842044698,0.006638122029413314,-0.004450234716645881,49.60111205125106,49.75470898189086,0.01447150393407074,-0.005441128902952185
GBPUSD,14686,14542,29228,48.529211493939805,47.5106587814606,0.00014250906844381604,0.0036209353812703864,49.10799400789868,48.652179892724526,-0.0030060524468636623,0.0059652348141140355,49.57102001906578,49.64929170678036,-0.0008954864598506766,-0.00047456861025662266
USDCHF,3770,3826,7596,46.763925729442974,46.99424986931521,-0.009657010084058356,0.0021662137226752076,49.01856763925729,47.856769472033456,-0.01101809370015894,0.003925891610752536,49.44297082228117,48.69315211709357,-0.016942799716163217,-0.002816518438661326
AUDUSD,15453,14976,30429,49.136090079596194,47.62286324786324,-0.0029570861909476542,0.00251359112986127,49.94499449944995,48.464209401709404,-0.00487220946320374,0.003134098774783595,50.88979486183912,48.32398504273504,-0.0018872847588989891,0.007571356643387813
NZDUSD,14243,13947,28190,48.61335392824546,49.07865490786549,0.0007759939175242097,-0.002062023740294109,50.15095134452011,49.4228149422815,0.004019695265739556,-0.006921429123152706,51.73769571017341,49.7239549723955,0.015223022349628858,-0.013911909162243018
USDCAD,1922,1936,3858,48.95941727367325,47.675619834710744,-0.004082286593712331,0.002846102279995921,49.89594172736733,48.29545454545455,-0.006676327758537616,0.003990081849806244,52.029136316337144,48.553719008264466,-0.006296622509354789,-0.002132676630347492
USDJPY,17655,16618,34273,49.1702067403002,47.231917198218795,0.0003061315159158012,-0.004946605837281799,50.172755593316346,47.96004332651342,0.0020491191790276524,-0.008454946966291782,50.93741149815916,48.39932603201348,0.0004388081623251339,-0.022860066475317246
XAUUSD,10979,10016,20995,49.075507787594496,47.46405750798722,0.006242721853623834,0.00725051634420563,50.633026687312146,46.865015974440894,0.0217508239871707,0.024260191225016877,52.208762182348124,46.84504792332269,0.05598382850898504,0.042021572798834804
SP500,1890,1433,3323,51.48148148148148,45.35938590369854,0.0065901555495303235,0.010175865039732983,54.232804232804234,44.801116538729936,0.026927544525985985,0.041295140518139074,55.29100529100529,43.68457780879274,0.06693543497633281,0.09168799075116081
NAS100,1902,1477,3379,53.10199789695058,47.46106973595125,0.01626413619134055,0.0029124394463397804,54.04837013669821,45.091401489505756,0.05731838584351547,0.030957814337570038,56.098843322818084,43.60189573459716,0.10371734669131273,0.11827492968923758
