Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,3942,3846,7788,48.528665651953325,46.64586583463339,0.00740537093963923,-0.0002141259428388888,50.25367833587012,48.07592303692147,0.012681710680378905,0.005636971193609457,51.725012683916795,48.933957358294336,0.03835368779470576,0.003633509869782753
GBPUSD,3914,3869,7783,46.80633622892182,47.04057896097183,-0.009726813054336323,0.0036197200409219055,49.31016862544711,49.28922202119411,-0.013364558788812065,0.0032804305924901867,49.36126724578436,48.43628844662703,-0.008180958287514842,0.009434665196459881
USDCHF,995,954,1949,47.537688442211056,48.21802935010482,-0.006715981261398557,0.003070204976240984,48.040201005025125,51.36268343815513,-0.014255750531698447,-0.0048355457954627964,47.63819095477387,52.83018867924528,-0.01368672869627968,-0.018026483959882725
AUDUSD,3353,3255,6608,48.22546972860125,48.35637480798771,-0.008564344160693592,-0.0003881333689821307,50.193856248135994,47.58832565284178,-0.015062179280003685,0.010236486150798576,51.20787354607814,47.74193548387097,0.0038388410388903596,-0.00436947819369456
NZDUSD,3671,3523,7194,49.60501225824026,47.147317627022424,0.0019421916167995969,0.005864621939848627,50.585671479160986,47.94209480556344,0.004818995590478906,0.0030105562794555413,52.46526831925906,49.134260573374966,0.01294132772185762,-0.004076348653050695
USDCAD,464,427,891,48.922413793103445,48.94613583138173,-0.005170850449957116,0.009316906707813656,53.44827586206896,48.00936768149883,0.0070162505210380685,0.012249055501637919,54.0948275862069,44.02810304449648,0.0092884702501741,0.03180168638812108
USDJPY,3928,3766,7694,49.414460285132385,47.052575677110994,0.0049897837261791795,-0.0005868613613349953,49.82179226069247,48.30058417419012,-0.004455775605718849,-0.0016092263386364503,50.61099796334012,47.849176845459375,0.01675897541197619,-0.002028918072344475
XAUUSD,3257,3170,6427,50.75222597482346,45.93059936908517,0.01071208685076006,0.011105113640782798,51.120663186981886,45.70977917981073,0.02591035829260211,0.03489798901554629,53.300583358919255,47.003154574132495,0.060005015153525805,0.05965282474902701
SP500,398,367,765,53.768844221105525,39.23705722070845,0.011361319577622707,0.03909352491015181,53.517587939698494,40.05449591280654,0.03831369521170163,0.0771104270214655,54.2713567839196,42.234332425068125,0.04357272713328274,0.10750431272997246
NAS100,417,391,808,57.31414868105516,41.432225063938624,0.037651147933153606,0.028771309063806965,52.757793764988016,40.66496163682864,0.02721636264794375,0.06678199136961532,55.875299760191844,42.96675191815857,0.07339078551785291,0.0798715528447175
