Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,3090,3345,6435,50.48543689320388,47.65321375186846,0.006263847104397073,0.005121603333993046,51.61812297734628,48.04185351270553,0.012492253461555344,0.004993279780222253,49.74110032362459,49.53662182361734,-0.0003492282996702189,-0.0029176952415888406
GBPUSD,3222,3251,6473,49.006828057107384,49.12334666256537,0.0035465665606894195,-0.0031207912260787845,49.565487274984484,48.723469701630265,0.00452410968144672,-0.0010667877050516063,49.9689633767846,50.07689941556445,0.00046877196021028,-0.014447463241992912
USDCHF,785,829,1614,46.87898089171975,48.37153196622437,-0.00660588868254125,-0.006442107565914039,48.66242038216561,48.492159227985525,-0.0067793140944066976,-0.009230623619075711,49.93630573248408,48.25090470446321,-0.019795815660863542,-0.022380369226750404
AUDUSD,3241,3110,6351,47.701326751002775,48.745980707395496,-0.0034101496815565737,0.0029100176431861185,49.6143165689602,48.971061093247584,-0.006956923462133156,-0.009426356849654234,50.16970070965752,48.745980707395496,-0.0010322563331430254,-0.0030961939591404365
NZDUSD,3086,3097,6183,46.43551523007129,48.85372941556344,-0.012243401429620862,0.013500940223351814,48.055735580038885,48.8860187278011,-0.020094661126437017,-0.0035202489288581025,50.48606610499028,48.30481110752341,0.003942872734325448,0.00967993148065094
USDCAD,479,447,926,46.972860125260965,50.78299776286354,-0.0005180737991431284,-0.007186667184593481,45.093945720250524,50.55928411633109,-0.009154643887500693,-0.004377717330184543,48.22546972860125,48.322147651006716,-0.02043647049543929,-0.0019148926315069718
USDJPY,3217,2899,6116,50.20205160087038,44.774060020696794,0.0060054617973483845,0.005169772542598315,50.5439850792664,46.8092445670921,0.0064355024444757575,0.009032029297573572,50.26422132421511,47.499137633666784,0.004313364594727727,-0.0002092737800450483
XAUUSD,2757,2693,5450,48.56728327892637,45.56256962495359,0.017403975271370536,0.009144322957676618,51.90424374319913,44.85703676197549,0.0490359504379581,0.04217051685633744,52.55712731229597,45.859636093575936,0.05776202339632079,0.03406184662225884
SP500,479,391,870,52.609603340292274,45.78005115089514,-0.003990919959443901,0.008303655314701345,54.90605427974948,40.92071611253197,0.01755590132606278,0.04436611009391838,57.62004175365344,40.66496163682864,0.08456850679639615,0.11230288956147472
NAS100,480,406,886,50.208333333333336,46.79802955665024,0.01870202335330499,0.0013486455022482836,57.49999999999999,41.87192118226601,0.07953525256970947,0.047015771009090934,59.166666666666664,40.64039408866995,0.14989685322618568,0.1792451131604034
