trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,sma,std,upper_band,lower_band,distance_to_prev_daily_low_pct,distance_to_prev_daily_high_pct,signal,forward_1,forward_3,forward_6
2023-05-11,01:00:00,13353.54,13394.79,13352.29,13377.79,3473,13389.54,13148.79,13261.7025,48.975904051162715,13359.654308102325,13163.750691897674,1.741605121079582,-0.08775506850870156,BB_DAILY_HIGH_BEARISH,0.028031535851586846,-0.33563092259634403,0.4350494364166197
2023-05-11,05:00:00,13377.04,13386.04,13374.54,13381.54,2920,13389.54,13148.79,13268.235,55.70825767946147,13379.651515358924,13156.818484641077,1.7701248555950775,-0.059748131750605324,BB_DAILY_HIGH_BEARISH,0.14385489263567572,-0.05716830798250018,0.32470104337765987
2023-06-21,13:00:00,15078.14,15089.89,14948.14,14955.14,9329,15141.04,14957.79,15096.5125,64.44314400477388,15225.398788009548,14967.626211990453,-0.017716520956648375,-1.2277888440952633,BB_DAILY_LOW_BULLISH,-0.2072865917671115,-0.6148387778382477,-0.21029559067985262
2023-06-22,05:00:00,14863.44,14867.94,14825.44,14837.44,3785,15103.39,14834.14,15030.9625,89.277486516437,15209.517473032874,14852.407526967125,0.022245981229792166,-1.7608629585808149,BB_DAILY_LOW_BULLISH,0.13310921560592662,1.0446546034895507,1.00893415575732
2023-08-10,17:00:00,15359.59,15374.34,15066.84,15074.34,20535,15367.24,15075.99,15267.935000000001,95.16212329777265,15458.259246595546,15077.610753404457,-0.010944554884950415,-1.9060026393809146,BB_DAILY_LOW_BULLISH,0.474315956784841,0.5108017996144442,-0.3807795233489469
2023-08-17,01:00:00,14890.64,14895.14,14830.64,14863.64,5272,15111.14,14865.09,15078.105000000001,104.66905753502847,15287.443115070058,14868.766884929944,-0.009754397719763067,-1.6378645158472493,BB_DAILY_LOW_BULLISH,0.023547394850790253,0.04373087615146761,-0.8941282216200046
2023-09-07,09:00:00,15335.84,15343.59,15269.34,15306.59,7904,15525.39,15304.64,15464.930000000002,75.28019694879465,15615.490393897591,15314.369606102413,0.012741234030991437,-1.4093043717420257,BB_DAILY_LOW_BULLISH,-0.7725430680510813,-0.1649616276388144,-0.48639180901821194
2023-09-26,13:00:00,14681.99,14735.99,14609.74,14614.49,9944,14793.24,14623.99,14734.285,54.55617312733376,14843.397346254667,14625.172653745332,-0.06496175120469858,-1.208322179590137,BB_DAILY_LOW_BULLISH,-0.22067140214951053,-0.11837566688949988,-0.022580329522270518
2023-10-04,05:00:00,14540.49,14550.99,14496.74,14508.99,6349,14886.44,14510.89,14739.485,113.52426925776916,14966.53353851554,14512.436461484462,-0.013093614519851202,-2.535528978049827,BB_DAILY_LOW_BULLISH,0.34289085594517604,1.1682412076926099,1.8929642931727133
2023-10-19,05:00:00,14915.19,14923.19,14871.19,14880.44,4851,15122.74,14867.59,15065.87,90.79357935795882,15247.457158715919,14884.282841284083,0.08642960964083865,-1.6022228776002185,BB_DAILY_LOW_BULLISH,0.3460919166368736,0.0033601156955036272,-1.0570923978054485
2023-10-20,01:00:00,14746.14,14749.14,14712.14,14730.64,5727,15027.94,14731.69,15006.9325,135.7972436692106,15278.526987338422,14735.33801266158,-0.0071274918220590525,-1.9783150584844038,BB_DAILY_LOW_BULLISH,-0.05091428478328165,0.008485714130546941,-0.8020696996192945
2023-11-21,01:00:00,16046.39,16072.89,16046.39,16070.64,3746,16071.69,15795.84,15867.252499999999,86.35950999819396,16039.971519996387,15694.53348000361,1.7396985535432068,-0.006533227059513289,BB_DAILY_HIGH_BEARISH,-0.04822458844202845,-0.7544814643349612,-0.8098619594490302
2023-12-07,17:00:00,15897.54,16047.24,15895.54,16022.74,13460,16028.04,15795.19,15864.830000000002,72.64083526083303,16010.111670521668,15719.548329478335,1.4406284444821447,-0.03306704999489077,BB_DAILY_HIGH_BEARISH,-0.10391481107475772,-0.1054750935233277,0.39537557246763266
2024-01-09,01:00:00,16640.44,16653.94,16638.69,16652.94,3518,16664.19,16235.39,16381.039999999999,122.721437881899,16626.4828757638,16135.597124236201,2.5718507532002577,-0.06751003199075382,BB_DAILY_HIGH_BEARISH,-0.06605440240582144,-0.5344401649198279,0.26301662048865193
2024-01-30,01:00:00,17619.09,17640.84,17608.34,17622.84,4493,17617.84,17364.99,17480.315000000002,62.844085473196344,17606.003170946395,17354.62682905361,1.4848842412232806,0.02838032358109734,BB_DAILY_HIGH_BEARISH,-0.06951206502470657,-0.2587551155205321,-1.5474236842642886
2024-02-28,13:00:00,17909.54,17928.29,17845.19,17864.19,9498,18007.29,17877.09,17947.005,40.29511887647828,18027.595237752957,17866.414762247045,-0.0721593950693399,-0.7946781553470965,BB_DAILY_LOW_BULLISH,0.2944438006985046,0.07333106063024511,0.8626195758106143
2024-03-04,01:00:00,18320.74,18341.74,18305.99,18333.49,5076,18340.34,17999.74,18018.445,153.47689342631918,18325.39878685264,17711.49121314736,1.8541934494609364,-0.03734936211650681,BB_DAILY_HIGH_BEARISH,-0.02590886950602422,-0.32454268118072443,-0.8708107403445903
2024-03-27,17:00:00,18246.69,18252.44,18173.44,18224.69,13543,18412.19,18233.39,18323.3675,47.860283157834374,18419.088066315668,18227.646933684333,-0.04771465975334663,-1.018347084187161,BB_DAILY_LOW_BULLISH,0.4299112906721716,0.4222294041764262,0.22250035528726642
2024-04-05,01:00:00,17922.79,17937.04,17874.04,17888.79,6857,18379.54,17878.99,18170.300000000003,131.72856322156673,18433.757126443135,17906.84287355687,0.054812939657101836,-2.6700885876360343,BB_DAILY_LOW_BULLISH,0.2138210577685802,0.7524265196248519,1.4534241835249897
2024-04-10,17:00:00,18011.09,18063.84,17946.84,17996.19,21046,18233.94,17990.84,18125.8875,61.046139743868274,18247.979779487738,18003.795220512264,0.029737355231876584,-1.3038871467165078,BB_DAILY_LOW_BULLISH,0.1369734371553171,0.23393840585147294,1.503095933083614
2024-05-01,01:00:00,17387.64,17412.89,17366.89,17405.14,5114,17810.04,17401.44,17698.678,119.75444136801049,17938.18688273602,17459.16911726398,0.021262608151973214,-2.27343678060241,BB_DAILY_LOW_BULLISH,-0.01867264497728832,-0.20396273744422624,0.1795446632431569
2024-05-01,05:00:00,17405.64,17422.89,17395.64,17401.89,2921,17810.04,17401.44,17684.533,136.95370293795108,17958.440405875903,17410.625594124096,0.0025859928833517664,-2.2916849148008733,BB_DAILY_LOW_BULLISH,-0.411621956005934,-0.23704321771945464,0.1996909531091163
2024-05-15,01:00:00,18308.2,18328.07,18302.14,18322.81,4736,18336.11,18072.41,18194.0645,53.32050523665934,18300.70551047332,18087.42348952668,1.3855374020399132,-0.07253446887043802,BB_DAILY_HIGH_BEARISH,-0.03198199402821173,0.34869105775805903,1.6560232846381109
2024-05-16,01:00:00,18593.74,18637.24,18591.62,18626.24,5669,18607.71,18296.37,18287.2165,150.1829198809194,18587.582339761837,17986.85066023816,1.8029259355817717,0.09958237741238699,BB_DAILY_HIGH_BEARISH,0.008751095229082094,-0.05164756816191899,-0.29394016183620525
2024-05-31,01:00:00,18513.96,18517.84,18442.09,18496.71,6569,18726.24,18483.3,18744.2655,118.8724499301452,18982.010399860294,18506.52060013971,0.07255197935433529,-1.2257132237972088,BB_DAILY_LOW_BULLISH,-0.10607291783240902,-0.03497919359711822,0.41915562281077273
2024-06-06,01:00:00,19032.85,19059.9,19021.6,19052.43,5354,19043.14,18646.12,18678.7485,167.1706257336512,19013.089751467305,18344.407248532698,2.179059235916112,0.04878397155091478,BB_DAILY_HIGH_BEARISH,-0.0708571032671423,-0.3418461582065963,-0.046923148385789586
2024-06-12,01:00:00,19203.33,19235.44,19199.6,19222.44,5064,19222.15,18962.54,19049.896,71.4624518562559,19192.820903712513,18906.97109628749,1.3705969769872486,0.001508676188653377,BB_DAILY_HIGH_BEARISH,0.05784905558296772,1.2237780427458826,1.9102153524734755
2024-06-12,05:00:00,19222.31,19234.22,19218.39,19233.56,4262,19222.15,18962.54,19060.2625,82.09553400759759,19224.453568015197,18896.071431984805,1.429238909977252,0.05935860452654804,BB_DAILY_HIGH_BEARISH,0.010502475880702463,1.3165529418370676,1.8825428053880722
2024-06-13,01:00:00,19556.16,19592.9,19550.97,19589.63,4413,19577.75,19199.6,19166.903499999997,206.3764775784376,19579.656455156874,18754.15054484312,2.03144857184526,0.060681130364832615,BB_DAILY_HIGH_BEARISH,0.030679497264616017,0.06294146443806292,0.06243099027393352
