trade_date,trade_time,open,high,low,close,volume,prev_daily_low,signal,breakout_count,forward_1,forward_3,forward_6
2023-03-28,13:00:00,12646.19,12677.94,12563.19,12570.94,8561,12646.99,BEARISH_DAILY_LOW_BREAKOUT,1,-0.4383124889626421,0.7557111878666194,1.8733682604483037
2023-04-05,13:00:00,13079.74,13124.99,13009.74,13026.49,8864,13056.84,BEARISH_DAILY_LOW_BREAKOUT,1,-0.617971533390806,-0.8087366589157967,-1.1541865844137629
2023-04-06,13:00:00,12900.89,12961.79,12845.64,12876.14,8977,12895.24,BEARISH_DAILY_LOW_BREAKOUT,1,1.428999684688113,1.3307559563658082,1.5586969386788334
2023-04-10,13:00:00,13049.89,13060.39,12864.64,12882.64,7939,13016.19,BEARISH_DAILY_LOW_BREAKOUT,1,1.078971390957133,1.3622984108847256,0.9559376028516007
2023-04-12,21:00:00,12966.74,12990.49,12835.59,12857.49,9065,12952.04,BEARISH_DAILY_LOW_BREAKOUT,1,0.04044335247393331,0.30488065711115253,1.7460639673839917
2023-04-19,09:00:00,13067.39,13068.39,12975.64,12986.14,7094,13047.24,BEARISH_DAILY_LOW_BREAKOUT,1,0.1520852231687014,0.7045973630347432,-0.1986733548229056
2023-04-20,09:00:00,13028.69,13048.69,12937.59,12960.34,7098,12975.64,BEARISH_DAILY_LOW_BREAKOUT,1,0.5235202162906248,0.3379540968832551,0.18402295001520302
2023-04-21,13:00:00,12984.44,12991.94,12911.84,12913.34,9746,12936.19,BEARISH_DAILY_LOW_BREAKOUT,1,0.780975332485634,0.46463579523190746,0.8104022661836491
2023-04-25,17:00:00,12895.99,12923.24,12777.39,12783.89,12033,12886.24,BEARISH_DAILY_LOW_BREAKOUT,1,0.4486114946233139,1.0372429675161503,0.48146534427315235
2023-05-02,17:00:00,13229.14,13238.39,13049.14,13142.89,14110,13193.64,BEARISH_DAILY_LOW_BREAKOUT,1,-0.28076016766479545,-0.1316301057073389,0.10043453152237239
2023-05-03,21:00:00,13156.49,13242.99,13014.74,13018.64,20979,13049.14,BEARISH_DAILY_LOW_BREAKOUT,1,0.3333681551990182,0.23927230494123394,-0.28113535668855233
2023-05-04,13:00:00,13050.04,13064.79,12962.29,12974.79,10545,13014.74,BEARISH_DAILY_LOW_BREAKOUT,1,0.5491418358216202,0.5499125612052183,1.1838341892238604
2023-05-10,09:00:00,13212.79,13231.29,13148.79,13182.54,5834,13197.69,BEARISH_DAILY_LOW_BREAKOUT,1,1.0847681857972742,1.3161348268239657,1.6555989968549307
2023-05-12,17:00:00,13386.99,13400.99,13261.84,13264.59,11944,13308.89,BEARISH_DAILY_LOW_BREAKOUT,1,0.4466779598917117,0.7795190051105962,1.0358405348374855
2023-05-23,17:00:00,13828.19,13839.69,13730.84,13739.84,12004,13775.29,BEARISH_DAILY_LOW_BREAKOUT,1,-0.30131355241399926,-0.2933076367701463,-1.0138400447166727
2023-05-24,09:00:00,13698.54,13698.54,13654.29,13674.79,7254,13676.84,BEARISH_DAILY_LOW_BREAKOUT,1,-0.4990935875432091,0.9835617219715989,1.4281754966621005
2023-05-30,17:00:00,14414.14,14457.84,14319.64,14325.89,16273,14340.44,BEARISH_DAILY_LOW_BREAKOUT,1,0.4093986481817287,0.04467436229093938,-0.04851356530029833
