trade_date,trade_time,open,high,low,close,volume,ema200,signal,forward_1,forward_3,forward_6
2023-03-20,09:00:00,12527.09,12538.59,12402.09,12531.84,14607,12527.632288557215,BULLISH_ABOVE_EMA200,-0.7221605127419437,0.3630751749144579,0.4851641897757972
2023-03-20,13:00:00,12531.59,12564.09,12405.59,12441.34,14953,12526.77365882033,BEARISH_BELOW_EMA200,0.7796587827356217,1.0473148390768139,1.981699720448113
2023-03-20,17:00:00,12442.34,12572.84,12431.09,12538.34,16668,12526.888746792269,BULLISH_ABOVE_EMA200,0.3110459598320033,0.2815364713351151,0.9494877312307631
2023-03-20,21:00:00,12538.59,12583.59,12510.09,12577.34,8006,12527.39074931175,BULLISH_ABOVE_EMA200,-0.045319598579673666,0.12164734355594484,1.3607805784052878
2023-03-21,01:00:00,12561.64,12611.39,12551.39,12571.64,5365,12527.831040363375,BULLISH_ABOVE_EMA200,0.015908823351607267,0.9247003573121726,1.4958271156348821
2023-03-21,05:00:00,12570.64,12584.89,12561.64,12573.64,4115,12528.286850907023,BULLISH_ABOVE_EMA200,0.1511097820519754,0.66607601299226,1.3504442627592417
2023-03-21,09:00:00,12574.64,12616.64,12567.64,12592.64,7567,12528.927180748744,BULLISH_ABOVE_EMA200,0.7563942112217931,1.237627693636921,0.9672316527749629
2023-03-21,13:00:00,12591.64,12691.39,12585.64,12687.89,10027,12530.508900343284,BULLISH_ABOVE_EMA200,-0.24038669944332747,0.5658939350829892,0.5540716383890552
2023-03-21,17:00:00,12689.14,12710.89,12587.14,12657.39,13914,12531.771398847332,BULLISH_ABOVE_EMA200,0.7197376394343571,0.6798399986095166,1.103308027958382
2023-03-21,21:00:00,12658.39,12771.39,12655.89,12748.49,6610,12533.927802838902,BULLISH_ABOVE_EMA200,0.08785354187045467,-0.267090455418636,-1.3825166745238064
2023-03-22,01:00:00,12740.44,12761.19,12732.94,12759.69,4091,12536.174192860406,BULLISH_ABOVE_EMA200,-0.12735419120683966,-0.01175577149601597,-1.1528493247093021
2023-03-22,05:00:00,12759.19,12761.19,12742.44,12743.44,3455,12538.236539200105,BULLISH_ABOVE_EMA200,-0.22756806639337573,0.42060856409258696,-0.6501384241617676
2023-03-22,09:00:00,12743.19,12751.44,12684.94,12714.44,6279,12539.98980746677,BULLISH_ABOVE_EMA200,0.34409694803703506,-1.1184133945340946,-0.04601067762324069
2023-03-22,13:00:00,12713.19,12770.44,12708.19,12758.19,7852,12542.160953661132,BULLISH_ABOVE_EMA200,0.3045102792794304,-1.141227713335515,0.10307104691182398
2023-03-22,17:00:00,12757.69,12819.44,12739.69,12797.04,11558,12544.697063574953,BULLISH_ABOVE_EMA200,-1.7566562267524448,-1.066262198133324,-0.23481992710815228
2023-03-22,21:00:00,12803.19,12955.19,12550.99,12572.24,24663,12544.97112264386,BULLISH_ABOVE_EMA200,0.32094519353751094,1.0845322710988683,1.3820130700654776
2023-03-23,01:00:00,12586.09,12614.84,12579.59,12612.59,5630,12545.64394729417,BULLISH_ABOVE_EMA200,0.3805721108828559,1.2586629708886121,0.8741265671840597
2023-03-23,05:00:00,12612.84,12672.49,12612.84,12660.59,4713,12546.787689112138,BULLISH_ABOVE_EMA200,0.3791292506905286,0.8404031723640022,0.6753239777925042
2023-03-23,09:00:00,12659.59,12730.34,12651.84,12708.59,7516,12548.397662354802,BULLISH_ABOVE_EMA200,0.49376051945967253,0.29428913829149916,-0.2950760076452226
2023-03-23,13:00:00,12708.09,12771.34,12666.09,12771.34,10400,12550.615994072665,BULLISH_ABOVE_EMA200,-0.03406063889928828,-0.37975654864720537,-0.5696348229708081
2023-03-23,17:00:00,12770.34,12904.09,12761.49,12766.99,15814,12552.768969256022,BULLISH_ABOVE_EMA200,-0.16448669576775732,-0.16370342578790803,-0.5976349946228459
2023-03-23,21:00:00,12767.99,12786.74,12607.99,12745.99,16402,12554.691566576857,BULLISH_ABOVE_EMA200,-0.1816257505301639,-0.5876357976116382,0.24282146777143812
2023-03-24,01:00:00,12745.34,12745.84,12697.09,12722.84,5364,12556.364685317387,BULLISH_ABOVE_EMA200,0.1827422179324742,-0.19060209827365587,0.563946414479786
2023-03-24,05:00:00,12723.34,12761.34,12720.84,12746.09,4483,12558.252499393831,BULLISH_ABOVE_EMA200,-0.5884157416117414,-0.4346430944705367,0.7767087789274986
2023-03-24,09:00:00,12745.84,12794.84,12663.09,12671.09,8915,12559.375260593893,BULLISH_ABOVE_EMA200,0.21702947418098997,0.8353661760748315,1.0160925382109984
2023-03-24,13:00:00,12670.09,12718.49,12612.94,12698.59,15472,12560.760481881518,BULLISH_ABOVE_EMA200,-0.06221163137009413,0.7559894444973813,0.9075810778991997
2023-03-24,17:00:00,12699.59,12731.24,12605.99,12690.69,20362,12562.053312907572,BULLISH_ABOVE_EMA200,0.6796320767428721,1.2166399147721647,-0.035065075263840874
2023-03-24,21:00:00,12689.69,12786.44,12682.94,12776.94,8048,12564.191488898541,BULLISH_ABOVE_EMA200,0.13813949192842445,0.17922914250203598,-0.6582170691887131
2023-03-27,01:00:00,12793.34,12841.84,12789.59,12794.59,6181,12566.484011397064,BULLISH_ABOVE_EMA200,0.39469807160682757,0.15045421541448378,-0.8863121053507743
2023-03-27,05:00:00,12794.84,12858.59,12792.59,12845.09,4870,12569.256210288635,BULLISH_ABOVE_EMA200,-0.35227468238836784,-1.2366592993898864,-1.2195321325113302
2023-03-27,09:00:00,12846.09,12847.34,12731.34,12799.84,8138,12571.550576355416,BULLISH_ABOVE_EMA200,0.10937636720459004,-0.8359479493493669,-1.1925930324129024
2023-03-27,13:00:00,12800.09,12846.84,12763.59,12813.84,9319,12573.96141639168,BULLISH_ABOVE_EMA200,-0.9957982930955933,-1.035208805479073,-1.8956066253363522
2023-03-27,17:00:00,12815.34,12829.59,12646.99,12686.24,14055,12575.078616228579,BULLISH_ABOVE_EMA200,0.05202487104138313,0.017341623680465823,-1.3431875796138149
2023-03-27,21:00:00,12686.99,12750.49,12656.99,12692.84,7283,12576.25037129098,BULLISH_ABOVE_EMA200,-0.09178402942130869,-0.3596515830972394,-0.4853129796011008
2023-03-28,01:00:00,12689.69,12708.69,12680.94,12681.19,3957,12577.294546701021,BULLISH_ABOVE_EMA200,0.0571712907069447,-0.8693979035090554,-0.12025685286633195
2023-03-28,05:00:00,12681.44,12697.94,12674.19,12688.44,4084,12578.40047160947,BULLISH_ABOVE_EMA200,-0.32509906655191656,-1.3602933063481433,0.09260397653297017
2023-03-28,09:00:00,12689.44,12715.94,12634.69,12647.19,6764,12579.084944528779,BULLISH_ABOVE_EMA200,-0.6029007234017991,-0.12611497099356242,0.7056903549325977
2023-03-28,13:00:00,12646.19,12677.94,12563.19,12570.94,8561,12579.003900304611,BEARISH_BELOW_EMA200,-0.4383124889626421,0.7557111878666194,1.8733682604483037
2023-03-28,17:00:00,12570.44,12609.44,12513.84,12515.84,12711,12578.375403784168,BEARISH_BELOW_EMA200,0.9220316015545071,1.4729334986704876,2.2319716455307863
2023-03-28,21:00:00,12517.09,12632.24,12516.09,12631.24,6807,12578.901419666912,BULLISH_ABOVE_EMA200,0.27471570487141983,0.8328556816274628,1.705691602724679
2023-03-29,01:00:00,12630.69,12674.94,12626.44,12665.94,3807,12579.767475192615,BULLISH_ABOVE_EMA200,0.2704102498511757,1.109274163623071,1.3366556291913532
2023-03-29,05:00:00,12666.69,12700.19,12646.69,12700.19,3603,12580.965709270302,BULLISH_ABOVE_EMA200,0.285428800671486,0.7480203052080323,1.3448617697845409
2023-03-29,09:00:00,12699.94,12741.44,12686.44,12736.44,6187,12582.51271713826,BULLISH_ABOVE_EMA200,0.5496041279980904,0.8656265015969925,1.2409276061442545
2023-03-29,13:00:00,12736.69,12813.44,12715.19,12806.44,7554,12584.740849306037,BULLISH_ABOVE_EMA200,-0.08784642726628165,0.22488685380167533,1.2849004094814738
2023-03-29,17:00:00,12807.44,12823.19,12741.94,12795.19,11422,12586.83487070598,BULLISH_ABOVE_EMA200,0.4024950000742466,0.5924101166141282,0.9655972283334541
2023-03-29,21:00:00,12794.69,12877.44,12782.19,12846.69,6490,12589.420493883035,BULLISH_ABOVE_EMA200,-0.08912801663308391,0.37208027904463536,0.9951979848505752
