trade_date,trade_time,open,high,low,close,volume,ema50,ema200,prev_ema50,prev_ema200,signal,forward_1,forward_3,forward_6
2023-03-20,09:00:00,12527.09,12538.59,12402.09,12531.84,14607,12527.756666666668,12527.632288557215,12527.59,12527.59,BULLISH_CROSS,-0.7221605127419437,0.3630751749144579,0.4851641897757972
2023-03-20,13:00:00,12531.59,12564.09,12405.59,12441.34,14953,12524.36777777778,12526.77365882033,12527.756666666668,12527.632288557215,BEARISH_CROSS,0.7796587827356217,1.0473148390768139,1.981699720448113
2023-03-21,01:00:00,12561.64,12611.39,12551.39,12571.64,5365,12528.723266072462,12527.831040363375,12526.971562646848,12527.39074931175,BULLISH_CROSS,0.015908823351607267,0.9247003573121726,1.4958271156348821
2023-08-15,09:00:00,15256.19,15277.19,15134.44,15159.69,8935,15253.917940522279,15254.357814143215,15257.763978910943,15255.309249461237,BEARISH_CROSS,-0.20646860193052158,-0.6715176893458975,-0.622044382174049
2023-08-31,05:00:00,15484.19,15508.94,15464.44,15484.69,3351,15149.315317763045,15149.11468357527,15135.62655522276,15145.742067329795,BULLISH_CROSS,-0.2631631630985186,0.31902479158445946,0.22764420856988418
2023-09-21,05:00:00,14921.69,14928.94,14908.19,14915.69,3884,15256.477680695956,15259.565508556432,15270.38738194885,15263.021543818306,BEARISH_CROSS,-0.29331529416339436,-0.7307741043156568,-1.2114759692645847
2023-10-13,09:00:00,15195.74,15213.24,15103.74,15104.99,7887,15022.744262581327,15021.654398799474,15019.387293707096,15020.816855068813,BULLISH_CROSS,0.6660050751440442,-0.7994047000362133,-0.6458130723687951
2023-10-19,21:00:00,14879.69,14908.94,14731.69,14738.44,11584,15016.314167072813,15023.953854063579,15027.655969810477,15026.823340034067,BEARISH_CROSS,-0.05292283308139187,0.031889399420826824,-1.3088223719742362
2023-11-07,21:00:00,15332.44,15344.69,15289.34,15313.34,5916,14846.877814247098,14835.559190503194,14827.838541359224,14830.75737332232,BULLISH_CROSS,0.019917274742148168,-0.03722244787878234,-0.03754896057946862
2024-04-16,21:00:00,17737.94,17833.69,17694.56,17740.04,9483,18032.135600028967,18036.88503392795,18044.057869417906,18039.8684011031,BEARISH_CROSS,0.19673010883852468,0.22209645525037044,-1.2654988376576377
2024-05-08,09:00:00,18088.04,18111.31,18079.04,18089.35,6882,17805.062546369947,17801.02571100166,17793.458976834027,17798.12797945394,BULLISH_CROSS,-0.18292531240757764,-0.16595400055832188,-0.3198567112693212
2024-07-25,17:00:00,18872.74,19228.35,18724.51,19128.99,28391,19680.67090119868,19697.18562186899,19703.188489002707,19702.89613063149,BEARISH_CROSS,-1.5732665446529102,-1.1037174466608064,-0.4429925469144037
2024-08-20,13:00:00,19788.31,19832.75,19720.83,19826.18,9454,19177.206665982674,19162.455839498056,19150.71795847176,19155.785244920145,BULLISH_CROSS,-0.5438263952006878,-0.5047366663673977,-0.1691198203587319
2024-09-05,05:00:00,18937.39,18941.63,18838.47,18894.08,7356,19294.581323018025,19296.73108196591,19310.92831579427,19300.77782650828,BEARISH_CROSS,0.0027521848113102017,0.39880216448749306,-0.2955423074317466
2024-09-17,09:00:00,19442.29,19540.35,19429.88,19528.23,8164,19212.717222507792,19209.85784997041,19199.83914995709,19206.658129869607,BULLISH_CROSS,-0.056584749360281364,-0.47925490431032486,-0.3293181204850686
2025-01-13,05:00:00,20757.99,20769.11,20691.61,20739.11,6862,21201.007054914346,21213.55555904269,21219.859995931256,21218.323856118495,BEARISH_CROSS,-0.7467533563397801,-0.07247176952144443,0.6688811622099557
2025-01-20,17:00:00,21589.87,21589.87,21468.64,21528.89,9866,21195.324409643246,21187.933534607597,21181.70948758787,21184.50683646295,BULLISH_CROSS,-0.4303519596226179,0.035301401976609956,0.43945600539554336
2025-02-27,13:00:00,21266.67,21331.04,20941.91,20951.66,17143,21552.607430405667,21569.996362608912,21577.135896952837,21576.210798414028,BEARISH_CROSS,0.22198718383172694,-1.9851410341710314,-1.9463851551619265
2025-05-01,17:00:00,19774.82,20024.39,19765.24,19883.07,20658,19196.212800885864,19181.710001936197,19168.177813166916,19174.66115773455,BULLISH_CROSS,-0.9122836664559317,-0.1242765830427551,1.2243582102763744
2025-11-19,05:00:00,24562.59,24572.49,24363.19,24467.79,12733,25094.519713671765,25108.77675727228,25120.10051831143,25115.218835234817,BEARISH_CROSS,0.6065116628841338,0.5574675931091357,2.5425263172521855
2025-12-01,13:00:00,25262.59,25328.89,25158.59,25310.79,15552,25042.4728851396,25035.367695016364,25031.5211661657,25032.599631649693,BULLISH_CROSS,0.49662614244755193,0.24969588068962179,0.9395202599365696
2025-12-18,09:00:00,24742.67,24858.56,24741.56,24838.56,10982,25218.600099041483,25222.58150342515,25234.111939818686,25226.44101602239,BEARISH_CROSS,0.8031866581637582,0.5625527405775518,1.1248639212579064
2025-12-22,09:00:00,25442.79,25477.81,25434.31,25460.31,7313,25227.150315936473,25222.715888106864,25217.633594137962,25220.328007585325,BULLISH_CROSS,0.15416151649371118,-0.030518088742833203,0.03240337607829598
2026-01-21,05:00:00,25025.04,25076.29,25024.54,25042.04,8894,25392.90427115978,25399.033501799553,25407.22526181936,25402.621376189494,BEARISH_CROSS,-0.17662299077870477,0.3456986731112949,1.364705111883856
