trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2023-03-20,21:00:00,12538.59,12583.59,12510.09,12577.34,8006,12538.59,12402.09,BULLISH_LONDON_BREAKOUT,1,0,-0.045319598579673666,0.12164734355594484,1.3607805784052878
2023-03-21,13:00:00,12591.64,12691.39,12585.64,12687.89,10027,12616.64,12567.64,BULLISH_LONDON_BREAKOUT,1,0,-0.24038669944332747,0.5658939350829892,0.5540716383890552
2023-03-22,13:00:00,12713.19,12770.44,12708.19,12758.19,7852,12751.44,12684.94,BULLISH_LONDON_BREAKOUT,1,0,0.3045102792794304,-1.141227713335515,0.10307104691182398
2023-03-22,21:00:00,12803.19,12955.19,12550.99,12572.24,24663,12751.44,12684.94,BEARISH_LONDON_BREAKOUT,2,1,0.32094519353751094,1.0845322710988683,1.3820130700654776
2023-03-23,13:00:00,12708.09,12771.34,12666.09,12771.34,10400,12730.34,12651.84,BULLISH_LONDON_BREAKOUT,1,0,-0.03406063889928828,-0.37975654864720537,-0.5696348229708081
2023-03-27,17:00:00,12815.34,12829.59,12646.99,12686.24,14055,12847.34,12731.34,BEARISH_LONDON_BREAKOUT,0,1,0.05202487104138313,0.017341623680465823,-1.3431875796138149
2023-03-28,13:00:00,12646.19,12677.94,12563.19,12570.94,8561,12715.94,12634.69,BEARISH_LONDON_BREAKOUT,0,1,-0.4383124889626421,0.7557111878666194,1.8733682604483037
2023-03-29,13:00:00,12736.69,12813.44,12715.19,12806.44,7554,12741.44,12686.44,BULLISH_LONDON_BREAKOUT,1,0,-0.08784642726628165,0.22488685380167533,1.2849004094814738
2023-03-30,13:00:00,12894.24,12971.99,12892.74,12970.99,8267,12898.74,12862.24,BULLISH_LONDON_BREAKOUT,1,0,-0.4028219896862152,0.3345928105718965,0.4317326588024507
2023-03-31,13:00:00,12967.89,13039.24,12943.64,13026.99,8350,13004.39,12961.64,BULLISH_LONDON_BREAKOUT,1,0,0.67935877743055,0.5949187033996342,0.7031555255665382
2023-04-03,17:00:00,13125.09,13157.49,13043.74,13064.49,12124,13135.74,13092.74,BEARISH_LONDON_BREAKOUT,0,1,0.6582729214841145,0.5013590274094128,0.398790921038635
2023-04-03,21:00:00,13064.99,13167.24,13049.99,13150.49,6122,13135.74,13092.74,BULLISH_LONDON_BREAKOUT,1,1,-0.19581019414485695,0.6235509095098357,-0.2406754425120253
2023-04-04,17:00:00,13171.24,13213.99,13072.84,13116.59,14050,13236.49,13121.24,BEARISH_LONDON_BREAKOUT,0,1,0.017153848675608523,-0.05984787204601473,-1.3006429262483645
2023-04-05,13:00:00,13079.74,13124.99,13009.74,13026.49,8864,13120.74,13066.24,BEARISH_LONDON_BREAKOUT,0,1,-0.617971533390806,-0.8087366589157967,-1.1541865844137629
2023-04-06,13:00:00,12900.89,12961.79,12845.64,12876.14,8977,12969.89,12894.64,BEARISH_LONDON_BREAKOUT,0,1,1.428999684688113,1.3307559563658082,1.5586969386788334
2023-04-06,17:00:00,12877.14,13065.69,12873.89,13060.14,12182,12969.89,12894.64,BULLISH_LONDON_BREAKOUT,1,1,-0.047855536004973914,-0.04632415885280918,-0.16462304385711027
2023-04-07,13:00:00,13063.09,13081.34,13016.19,13076.84,4179,13068.84,13046.84,BULLISH_LONDON_BREAKOUT,1,0,-0.2921195028768474,-0.20608954456887693,-0.10400066071008257
2023-04-10,13:00:00,13049.89,13060.39,12864.64,12882.64,7939,13058.64,13003.39,BEARISH_LONDON_BREAKOUT,0,1,1.078971390957133,1.3622984108847256,0.9559376028516007
2023-04-10,21:00:00,13022.64,13069.14,13013.64,13063.24,6087,13058.64,13003.39,BULLISH_LONDON_BREAKOUT,1,1,-0.039040850508758655,0.32572317434266757,-0.634987950921815
2023-04-11,13:00:00,13105.54,13106.54,12991.79,13005.79,8297,13106.79,13049.79,BEARISH_LONDON_BREAKOUT,0,1,0.12302213091246283,-0.2156731732559198,-0.3144753221449943
2023-04-12,21:00:00,12966.74,12990.49,12835.59,12857.49,9065,12994.99,12939.24,BEARISH_LONDON_BREAKOUT,0,1,0.04044335247393331,0.30488065711115253,1.7460639673839917
2023-04-13,13:00:00,12896.94,12980.69,12858.19,12968.94,9851,12918.69,12867.44,BULLISH_LONDON_BREAKOUT,1,0,0.943022328733106,1.0031660259049726,1.2364156207060897
2023-04-14,13:00:00,13069.04,13153.79,13003.29,13129.29,10167,13118.79,13063.54,BULLISH_LONDON_BREAKOUT,1,0,-0.9044662734999379,-0.28790589590146226,-0.45356603441618765
2023-04-14,17:00:00,13128.29,13158.39,12960.79,13010.54,14781,13118.79,13063.54,BEARISH_LONDON_BREAKOUT,1,1,0.6244936797396572,0.6952055794763238,-0.04650076015293056
2023-04-17,17:00:00,13070.74,13100.24,12985.49,13004.49,13005,13125.24,13063.99,BEARISH_LONDON_BREAKOUT,0,1,0.6593876422681705,0.6597721248584227,0.6074824925852532
2023-04-18,17:00:00,13158.29,13161.29,13063.79,13083.49,12531,13190.79,13087.04,BEARISH_LONDON_BREAKOUT,0,1,0.10165483368735016,-0.11923424101673455,0.2667483981720446
2023-04-19,17:00:00,13005.64,13120.64,13002.64,13118.39,11138,13068.39,12975.64,BULLISH_LONDON_BREAKOUT,1,0,-0.31063263098596705,-0.6913958191515797,-0.2969114350160264
2023-04-20,17:00:00,13029.44,13109.44,13004.44,13079.44,11917,13048.69,12937.59,BULLISH_LONDON_BREAKOUT,1,0,-0.5757127216455833,-0.6212039659190302,-0.49887456955343656
2023-04-21,13:00:00,12984.44,12991.94,12911.84,12913.34,9746,13006.44,12953.44,BEARISH_LONDON_BREAKOUT,0,1,0.780975332485634,0.46463579523190746,0.8104022661836491
2023-04-21,17:00:00,12913.09,13020.19,12899.34,13014.19,12979,13006.44,12953.44,BULLISH_LONDON_BREAKOUT,1,1,-0.12486370646194653,-0.5117490984840422,-0.38189084376362054
2023-04-24,13:00:00,12989.84,13050.09,12972.59,13017.99,7737,13000.34,12932.84,BULLISH_LONDON_BREAKOUT,1,0,-0.41096974264076097,-0.5108315492637496,-0.9294829693370482
2023-04-25,17:00:00,12895.99,12923.24,12777.39,12783.89,12033,12950.49,12889.49,BEARISH_LONDON_BREAKOUT,0,1,0.4486114946233139,1.0372429675161503,0.48146534427315235
2023-04-26,17:00:00,12884.49,12936.24,12821.49,12845.44,13430,12916.99,12865.89,BEARISH_LONDON_BREAKOUT,0,1,0.2763626625479547,0.44334798963678085,2.2015594639031377
2023-04-27,13:00:00,12910.39,12988.34,12896.74,12949.99,9855,12939.39,12898.64,BULLISH_LONDON_BREAKOUT,1,0,1.3764489393428103,1.515445185671958,1.409267497503859
2023-04-28,17:00:00,13131.49,13217.74,13109.24,13202.74,13355,13152.24,13101.24,BULLISH_LONDON_BREAKOUT,1,0,0.3787092679246884,0.5078491282870153,0.6172961067172421
2023-05-01,21:00:00,13284.49,13287.24,13219.24,13221.24,6636,13293.29,13229.29,BEARISH_LONDON_BREAKOUT,0,1,0.02836345153707217,0.20421685106691959,-0.8717034105726846
2023-05-02,13:00:00,13247.99,13252.49,13203.39,13226.14,7499,13270.74,13234.99,BEARISH_LONDON_BREAKOUT,0,1,-0.6294353454598243,-0.8195890864605972,-0.3848439529598177
2023-05-03,13:00:00,13146.34,13181.74,13125.99,13175.24,8311,13150.09,13117.84,BULLISH_LONDON_BREAKOUT,1,0,-0.14534839593054574,-0.8591873848218242,-1.5214144106672738
2023-05-03,21:00:00,13156.49,13242.99,13014.74,13018.64,20979,13150.09,13117.84,BEARISH_LONDON_BREAKOUT,2,1,0.3333681551990182,0.23927230494123394,-0.28113535668855233
2023-05-04,13:00:00,13050.04,13064.79,12962.29,12974.79,10545,13106.04,13037.04,BEARISH_LONDON_BREAKOUT,0,1,0.5491418358216202,0.5499125612052183,1.1838341892238604
2023-05-05,13:00:00,13059.39,13128.64,13023.39,13128.39,8900,13060.89,13012.64,BULLISH_LONDON_BREAKOUT,1,0,0.8588257966132937,0.9536584455519735,0.6763967249601901
2023-05-08,13:00:00,13259.59,13269.59,13207.19,13217.19,6887,13277.34,13243.34,BEARISH_LONDON_BREAKOUT,0,1,0.537935824483119,0.48043494872964676,0.2655632551245791
2023-05-08,17:00:00,13216.19,13297.54,13200.94,13288.29,10460,13277.34,13243.34,BULLISH_LONDON_BREAKOUT,1,1,-0.05832202638563728,-0.04214236745285032,-0.4372270623232964
2023-05-09,21:00:00,13230.44,13238.19,13197.69,13204.69,5322,13282.19,13228.69,BEARISH_LONDON_BREAKOUT,0,1,0.1124600426060768,-0.16774343055383834,1.1461836665608989
2023-05-10,13:00:00,13182.79,13361.54,13173.04,13325.54,9722,13231.29,13148.79,BULLISH_LONDON_BREAKOUT,1,0,-0.5102982693384283,0.3921041848960717,0.05515723940642213
2023-05-11,13:00:00,13400.29,13413.64,13319.04,13332.89,9615,13409.79,13366.04,BEARISH_LONDON_BREAKOUT,0,1,0.3075102247149718,0.7732757114174074,0.34838658385391863
2023-05-12,13:00:00,13419.84,13434.74,13379.34,13379.34,6570,13439.99,13404.49,BEARISH_LONDON_BREAKOUT,0,1,-0.8576656247617596,-0.3352183291552525,-0.3781950380213102
2023-05-15,13:00:00,13379.74,13386.04,13325.64,13328.74,7007,13395.24,13363.99,BEARISH_LONDON_BREAKOUT,0,1,0.5495643249099315,0.6474730544672722,0.8256594396769769
2023-05-15,17:00:00,13329.74,13430.24,13303.24,13401.99,10879,13395.24,13363.99,BULLISH_LONDON_BREAKOUT,1,1,0.08580815237140156,0.019027025091058053,0.7129538225293489
2023-05-16,17:00:00,13439.79,13506.79,13405.04,13497.54,11272,13444.54,13391.29,BULLISH_LONDON_BREAKOUT,1,0,-0.29264591918231025,-0.2644926408812326,0.8871987043564974
2023-05-17,17:00:00,13428.34,13620.14,13427.34,13617.29,10823,13464.59,13425.09,BULLISH_LONDON_BREAKOUT,1,0,-0.18138704544003048,-0.17991832442431643,0.7949452497523369
2023-05-18,13:00:00,13620.79,13672.04,13586.54,13668.54,6714,13628.54,13585.54,BULLISH_LONDON_BREAKOUT,1,0,0.4170160090251044,1.5634442303274445,1.356765243398336
2023-05-19,17:00:00,13854.24,13867.49,13776.74,13794.24,13684,13887.24,13843.99,BEARISH_LONDON_BREAKOUT,0,1,0.03262231192149767,0.22690630292064728,0.5078206555779883
2023-05-22,13:00:00,13799.54,13907.54,13786.04,13889.79,7272,13836.29,13797.79,BULLISH_LONDON_BREAKOUT,1,0,-0.18358808880479832,0.23866451544623518,-0.459690175301429
2023-05-23,13:00:00,13845.94,13864.44,13785.69,13825.94,8097,13896.19,13844.19,BEARISH_LONDON_BREAKOUT,0,1,-0.6227424681432174,-0.9142235536968888,-1.5868722126669117
2023-05-24,13:00:00,13675.04,13684.54,13586.29,13606.54,8580,13698.54,13654.29,BEARISH_LONDON_BREAKOUT,0,1,-0.04409644185810647,1.4210078388774703,1.756140796999082
2023-05-24,21:00:00,13601.04,13809.29,13567.04,13809.29,8742,13698.54,13654.29,BULLISH_LONDON_BREAKOUT,1,2,-0.06807011801476727,0.44028331652097447,0.9826718100640865
2023-05-25,17:00:00,13846.99,13967.99,13821.24,13953.99,13735,13871.59,13793.24,BULLISH_LONDON_BREAKOUT,1,0,-0.06449768130835697,-0.18131014856682048,2.3806810811818035
2023-05-26,13:00:00,13945.19,14091.19,13932.44,14085.44,9223,13960.94,13910.94,BULLISH_LONDON_BREAKOUT,1,0,1.4252305927255378,2.058863620873753,1.8529772587863778
