trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2023-03-20,21:00:00,12538.59,12583.59,12510.09,12577.34,8006,12564.09,12405.59,BULLISH_NEWYORK_BREAKOUT,1,0,-0.045319598579673666,0.12164734355594484,1.3607805784052878
2023-03-21,21:00:00,12658.39,12771.39,12655.89,12748.49,6610,12691.39,12585.64,BULLISH_NEWYORK_BREAKOUT,1,0,0.08785354187045467,-0.267090455418636,-1.3825166745238064
2023-03-22,17:00:00,12757.69,12819.44,12739.69,12797.04,11558,12770.44,12708.19,BULLISH_NEWYORK_BREAKOUT,1,0,-1.7566562267524448,-1.066262198133324,-0.23481992710815228
2023-03-22,21:00:00,12803.19,12955.19,12550.99,12572.24,24663,12770.44,12708.19,BEARISH_NEWYORK_BREAKOUT,1,1,0.32094519353751094,1.0845322710988683,1.3820130700654776
2023-03-24,21:00:00,12689.69,12786.44,12682.94,12776.94,8048,12718.49,12612.94,BULLISH_NEWYORK_BREAKOUT,1,0,0.13813949192842445,0.17922914250203598,-0.6582170691887131
2023-03-27,17:00:00,12815.34,12829.59,12646.99,12686.24,14055,12846.84,12763.59,BEARISH_NEWYORK_BREAKOUT,0,1,0.05202487104138313,0.017341623680465823,-1.3431875796138149
2023-03-28,17:00:00,12570.44,12609.44,12513.84,12515.84,12711,12677.94,12563.19,BEARISH_NEWYORK_BREAKOUT,0,1,0.9220316015545071,1.4729334986704876,2.2319716455307863
2023-03-29,21:00:00,12794.69,12877.44,12782.19,12846.69,6490,12813.44,12715.19,BULLISH_NEWYORK_BREAKOUT,1,0,-0.08912801663308391,0.37208027904463536,0.9951979848505752
2023-03-30,21:00:00,12918.24,12984.04,12913.74,12974.54,5986,12971.99,12892.74,BULLISH_NEWYORK_BREAKOUT,1,0,0.30713998338282933,-0.05318107616918562,1.6836820419066794
2023-03-31,17:00:00,13026.74,13126.49,13016.74,13115.49,10342,13039.24,12943.64,BULLISH_NEWYORK_BREAKOUT,1,0,0.5909043428800602,-0.0026686002581707874,-0.38885318047591055
2023-04-03,17:00:00,13125.09,13157.49,13043.74,13064.49,12124,13150.49,13069.49,BEARISH_NEWYORK_BREAKOUT,0,1,0.6582729214841145,0.5013590274094128,0.398790921038635
2023-04-04,17:00:00,13171.24,13213.99,13072.84,13116.59,14050,13235.24,13118.74,BEARISH_NEWYORK_BREAKOUT,0,1,0.017153848675608523,-0.05984787204601473,-1.3006429262483645
2023-04-05,17:00:00,13026.74,13053.49,12895.24,12945.99,12217,13124.99,13009.74,BEARISH_NEWYORK_BREAKOUT,0,1,0.11586599402594935,-0.20160682960515466,0.8817402145374718
2023-04-06,17:00:00,12877.14,13065.69,12873.89,13060.14,12182,12961.79,12845.64,BULLISH_NEWYORK_BREAKOUT,1,0,-0.047855536004973914,-0.04632415885280918,-0.16462304385711027
