trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
2023-03-28,13:00:00,12646.19,12677.94,12563.19,12570.94,8561,12904.09,12605.99,BEARISH_20_BAR_BREAKOUT,-0.4383124889626421,0.7557111878666194,1.8733682604483037
2023-03-28,17:00:00,12570.44,12609.44,12513.84,12515.84,12711,12904.09,12563.19,BEARISH_20_BAR_BREAKOUT,0.9220316015545071,1.4729334986704876,2.2319716455307863
2023-03-30,09:00:00,12869.99,12898.74,12862.24,12894.49,6240,12877.44,12513.84,BULLISH_20_BAR_BREAKOUT,0.5932766631328575,0.6208078024024299,0.5672965739629845
2023-03-30,13:00:00,12894.24,12971.99,12892.74,12970.99,8267,12898.74,12513.84,BULLISH_20_BAR_BREAKOUT,-0.4028219896862152,0.3345928105718965,0.4317326588024507
2023-03-31,01:00:00,12962.39,13025.14,12959.64,13014.39,4300,12998.99,12513.84,BULLISH_20_BAR_BREAKOUT,-0.13254558992008078,0.09681590915901832,0.6923105885101059
2023-03-31,13:00:00,12967.89,13039.24,12943.64,13026.99,8350,13025.14,12513.84,BULLISH_20_BAR_BREAKOUT,0.67935877743055,0.5949187033996342,0.7031555255665382
2023-03-31,17:00:00,13026.74,13126.49,13016.74,13115.49,10342,13039.24,12513.84,BULLISH_20_BAR_BREAKOUT,0.5909043428800602,-0.0026686002581707874,-0.38885318047591055
2023-03-31,21:00:00,13115.99,13195.99,13111.49,13192.99,6052,13126.49,12513.84,BULLISH_20_BAR_BREAKOUT,-0.6708107866374492,-0.6404916550380164,-0.3221407732439728
2023-04-04,09:00:00,13130.24,13236.49,13121.24,13232.49,6293,13195.99,12818.99,BULLISH_20_BAR_BREAKOUT,-0.48290231090293395,-0.8588708549940309,-1.1486878131024472
2023-04-06,13:00:00,12900.89,12961.79,12845.64,12876.14,8977,13236.49,12894.64,BEARISH_20_BAR_BREAKOUT,1.428999684688113,1.3307559563658082,1.5586969386788334
2023-04-11,09:00:00,13059.79,13106.79,13049.79,13105.79,5834,13098.89,12845.64,BULLISH_20_BAR_BREAKOUT,-0.7630215347567754,-0.957592026119753,-0.8797638295745704
2023-04-12,21:00:00,12966.74,12990.49,12835.59,12857.49,9065,13141.24,12864.64,BEARISH_20_BAR_BREAKOUT,0.04044335247393331,0.30488065711115253,1.7460639673839917
2023-04-18,09:00:00,13090.04,13190.79,13087.04,13180.29,5913,13158.39,12826.94,BULLISH_20_BAR_BREAKOUT,-0.15932881598204593,-0.6335217206905158,-1.473032839186402
2023-04-20,09:00:00,13028.69,13048.69,12937.59,12960.34,7098,13205.04,12975.64,BEARISH_20_BAR_BREAKOUT,0.5235202162906248,0.3379540968832551,0.18402295001520302
2023-04-21,13:00:00,12984.44,12991.94,12911.84,12913.34,9746,13205.04,12936.19,BEARISH_20_BAR_BREAKOUT,0.780975332485634,0.46463579523190746,0.8104022661836491
2023-04-25,17:00:00,12895.99,12923.24,12777.39,12783.89,12033,13109.44,12886.24,BEARISH_20_BAR_BREAKOUT,0.4486114946233139,1.0372429675161503,0.48146534427315235
2023-04-27,17:00:00,12951.49,13142.49,12942.99,13128.24,11185,13050.09,12723.64,BULLISH_20_BAR_BREAKOUT,0.4436999932968928,0.179003430772137,0.5674789613840089
2023-04-27,21:00:00,13128.74,13257.99,13128.24,13186.49,7570,13142.49,12723.64,BULLISH_20_BAR_BREAKOUT,-0.30523664750816937,-0.5498051414743423,0.5024081465196576
