Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,1076,963,2039,39.869888475836426,42.679127725856695,-0.02518005315949054,0.0036385196984596974,45.91078066914498,43.613707165109034,-0.0290731800996596,0.0275662799109993,46.28252788104089,46.93665628245067,-0.025745626075202463,0.031202138605812012
GBPUSD,1100,933,2033,36.36363636363637,41.90782422293676,-0.03417500170900708,0.010449469248527124,45.72727272727273,48.12433011789925,-0.03222368939852597,-0.0013765276874184453,47.81818181818182,50.69667738478027,-0.005869120339912388,-0.00409081131304483
USDCHF,234,254,488,41.88034188034188,39.76377952755906,-0.019962618538927557,0.03163568271032874,46.15384615384615,46.8503937007874,-0.0428942505927106,0.010089548462642454,44.44444444444444,45.66929133858268,-0.08973983944450649,-0.01764400493205503
AUDUSD,1173,1116,2289,38.27791986359762,44.982078853046595,-0.04919992179177295,0.008159868453548056,47.229326513213984,45.51971326164875,-0.027950514376128523,0.021728890818630026,48.16709292412617,43.27956989247312,-0.03728559756354678,0.05924252284577918
NZDUSD,1088,1128,2216,41.36029411764706,47.87234042553192,-0.05003346799841643,-0.009895792729046051,47.33455882352941,46.187943262411345,-0.02640269988792779,0.0022616326683635103,46.231617647058826,46.45390070921986,-0.048856051187753234,0.029915120786737835
USDCAD,152,153,305,45.39473684210527,47.05882352941176,-0.01827839031292037,0.011618135051351088,54.60526315789473,51.633986928104584,0.008317368536692243,-0.0017538506877837283,53.289473684210535,52.94117647058824,-0.035001795012813156,-0.030634807294267
USDJPY,1115,866,1981,44.035874439461885,39.95381062355658,-0.01369564316013743,0.03228874411888543,47.08520179372198,51.96304849884527,-0.023966218984475738,-0.009023190145511732,48.52017937219731,46.53579676674365,-0.010714435495332644,-0.001936043754784474
XAUUSD,814,694,1508,42.26044226044226,37.17579250720461,-0.0006240360631767473,0.13142446434801955,49.50859950859951,41.210374639769455,0.015870268940008217,0.14771391731799136,51.35135135135135,44.236311239193085,0.0491147366126987,0.08886266585847555
SP500,359,282,641,53.2033426183844,41.843971631205676,0.032730372167386765,0.014669834882028408,57.66016713091921,37.5886524822695,0.0482373704024157,0.05017547933622355,56.54596100278552,41.843971631205676,0.07322710990093992,0.13437488093018513
NAS100,347,271,618,51.5850144092219,44.28044280442804,0.025466502421189367,-0.00041255731770266016,55.61959654178674,38.74538745387454,0.06434071104595206,0.06618494083828526,54.46685878962536,39.48339483394834,0.09746966553473493,0.23102005847541496
