trade_date,trade_time,open,high,low,close,volume,recent_low,recent_high,distance_to_recent_low_pct,distance_to_recent_high_pct,signal,forward_1,forward_3,forward_6
1994-02-23,00:00:00,0.5787,0.5809,0.578,0.5801,441,0.5712,0.5799,1.5581232492997037,0.034488704949125364,DOUBLE_TOP_BEARISH,-0.2585761075676514,-0.6378210653335504,-1.4997414238924205
1994-03-22,00:00:00,0.5688,0.5705,0.5668,0.5691,711,0.5687,0.5788,0.07033585370143608,-1.675881133379394,DOUBLE_BOTTOM_BULLISH,0.14057283429975606,-0.3514320857494292,-1.2300123001230023
1994-03-24,00:00:00,0.5697,0.5701,0.5634,0.5661,981,0.5668,0.5787,-0.12350035285813743,-2.177293934681172,DOUBLE_BOTTOM_BULLISH,0.17664723547076502,-0.2826355767532319,-0.35329447094153005
1994-04-22,00:00:00,0.5725,0.5752,0.5713,0.5736,671,0.5646,0.5734,1.5940488841657825,0.03487966515521067,DOUBLE_TOP_BEARISH,0.12203626220363213,0.1743375174337519,0.6101813110181219
1994-04-28,00:00:00,0.5747,0.5774,0.5732,0.5761,701,0.5651,0.5765,1.9465581313041758,-0.0693842150910784,DOUBLE_TOP_BEARISH,0.2256552681826209,-0.34716195105014597,0.34716195105016523
1994-04-29,00:00:00,0.5765,0.578,0.5752,0.5774,471,0.5651,0.5774,2.176605910458322,0.0,DOUBLE_TOP_BEARISH,-0.051957048839639405,-0.2251472116383926,0.29442327675786695
1994-05-05,00:00:00,0.579,0.584,0.5768,0.578,1341,0.5664,0.5782,2.0480225988700465,-0.0345901072293478,DOUBLE_TOP_BEARISH,0.017301038062281834,0.43252595155710344,0.8823529411764696
1994-05-18,00:00:00,0.5845,0.5873,0.5845,0.5868,331,0.5734,0.5873,2.3369375653993663,-0.08513536523072636,DOUBLE_TOP_BEARISH,-0.2044989775051089,0.3237900477164303,0.3578732106339453
1994-05-20,00:00:00,0.5865,0.5879,0.5856,0.5874,371,0.5756,0.5873,2.050034746351639,0.01702707304614149,DOUBLE_TOP_BEARISH,0.221314266258081,0.18726591760299452,0.442628532516162
1994-05-23,00:00:00,0.5879,0.5897,0.5875,0.5887,361,0.5768,0.5879,2.0631067961165086,0.1360775642116045,DOUBLE_TOP_BEARISH,-0.13589264481060354,0.033973161202646165,0.7983692882622792
1994-05-30,00:00:00,0.5892,0.59,0.5888,0.59,161,0.584,0.5898,1.0273972602739736,0.03390979993217667,DOUBLE_TOP_BEARISH,0.5762711864406898,0.7966101694915317,0.23728813559323186
1994-06-01,00:00:00,0.5935,0.5954,0.5923,0.5945,521,0.5845,0.5953,1.7108639863130894,-0.13438602385352308,DOUBLE_TOP_BEARISH,0.0336417157274984,-0.3868797308662876,-1.0597140454163303
1994-06-02,00:00:00,0.5945,0.5948,0.5923,0.5947,481,0.5856,0.5954,1.5539617486338793,-0.11756802149815819,DOUBLE_TOP_BEARISH,-0.16815200941651268,-0.5549016310744862,-0.8575752480242128
1994-06-09,00:00:00,0.5894,0.591,0.5878,0.5882,521,0.5878,0.5954,0.06805035726436814,-1.2092710782667275,DOUBLE_BOTTOM_BULLISH,0.23801428085686296,-0.25501530091804586,0.7310438626317718
1994-06-15,00:00:00,0.5865,0.588,0.5857,0.5867,441,0.5862,0.5954,0.08529512111906258,-1.4612025529056165,DOUBLE_BOTTOM_BULLISH,0.6136014999147856,1.2442474859382944,0.6306459860235276
1994-07-01,00:00:00,0.5947,0.599,0.5947,0.5979,541,0.5857,0.5978,2.0829776336008177,0.016728002676478584,DOUBLE_TOP_BEARISH,-0.16725204883759842,-0.016725204883757984,1.5387188493059016
