trade_date,trade_time,open,high,low,close,volume,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
1994-05-23,00:00:00,0.5879,0.5897,0.5875,0.5887,361,1994-05-23/1994-05-29,0.5879,0.584,85.7843137254905,0.1360775642116045,0.8047945205479516,BEARISH_WEEKLY_STRUCTURE,-0.13589264481060354,0.033973161202646165,0.7983692882622792
1994-05-24,00:00:00,0.5885,0.5898,0.5875,0.5879,401,1994-05-23/1994-05-29,0.5879,0.584,80.72916666666694,0.0,0.6678082191780847,BEARISH_WEEKLY_STRUCTURE,0.1020581731587081,0.08504847763225991,1.1226399047457136
1994-10-24,00:00:00,0.6125,0.6133,0.6101,0.6129,601,1994-10-24/1994-10-30,0.6136,0.6087,84.17266187050365,-0.11408083441982299,0.6899950714637723,BEARISH_WEEKLY_STRUCTURE,-0.09789525208028145,0.24473813020067645,0.42421275901452876
1994-10-26,00:00:00,0.6122,0.6144,0.6113,0.6141,431,1994-10-24/1994-10-30,0.6136,0.6087,81.81818181818176,0.08148631029986064,0.8871365204534187,BEARISH_WEEKLY_STRUCTURE,0.04885197850512408,0.3419638495359047,0.21169190685555575
1994-10-27,00:00:00,0.6133,0.6156,0.6126,0.6144,491,1994-10-24/1994-10-30,0.6136,0.6087,81.33333333333319,0.13037809647977705,0.9364218827008259,BEARISH_WEEKLY_STRUCTURE,0.016276041666682946,0.17903645833334977,0.7812500000000043
1994-10-31,00:00:00,0.6151,0.6168,0.6151,0.6162,231,1994-10-31/1994-11-06,0.6161,0.6101,90.14084507042213,0.01623113130985051,0.9998360924438608,BEARISH_WEEKLY_STRUCTURE,-0.11359948068807577,-0.12982797792924747,0.8114248620577743
1994-11-01,00:00:00,0.6157,0.6166,0.6151,0.6155,281,1994-10-31/1994-11-06,0.6161,0.6101,85.41666666666681,-0.09738678785910306,0.8851008031470369,BEARISH_WEEKLY_STRUCTURE,0.09748172217708105,0.6011372867587206,1.5272136474410989
1994-11-02,00:00:00,0.6145,0.6173,0.6145,0.6161,401,1994-10-31/1994-11-06,0.6161,0.6101,85.90604026845635,0.0,0.9834453368300288,BEARISH_WEEKLY_STRUCTURE,-0.1136179191689716,0.697938646323644,0.8115565654926157
1994-11-07,00:00:00,0.619,0.6208,0.6187,0.6204,281,1994-11-07/1994-11-13,0.6199,0.6144,82.06896551724114,0.08065817067268026,0.9765625000000009,BEARISH_WEEKLY_STRUCTURE,0.1289490651192816,0.11283043197937363,-0.2095422308188214
1994-12-05,00:00:00,0.6308,0.6313,0.6295,0.6312,321,1994-12-05/1994-12-11,0.6313,0.62,81.3471502590672,-0.015840329478851414,1.806451612903224,BEARISH_WEEKLY_STRUCTURE,0.2693282636248471,0.5069708491761693,1.0456273764258637
1994-12-12,00:00:00,0.6349,0.6357,0.6332,0.6349,501,1994-12-12/1994-12-18,0.6357,0.6295,80.41237113402092,-0.12584552461853435,0.8578236695790424,BEARISH_WEEKLY_STRUCTURE,0.45676484485746,0.9765317372814589,0.48826586864072946
1995-04-17,00:00:00,0.672,0.6769,0.672,0.675,681,1995-04-17/1995-04-23,0.6758,0.6612,82.70270270270257,-0.11837821840779994,2.0871143375680634,BEARISH_WEEKLY_STRUCTURE,-0.14814814814814828,-0.41481481481481847,0.0
1996-01-16,00:00:00,0.6617,0.6647,0.6612,0.6638,491,1996-01-15/1996-01-21,0.6638,0.6561,85.25896414342647,0.0,1.173601585124208,BEARISH_WEEKLY_STRUCTURE,-0.22597167821632205,0.07532389273878518,0.2259716782163388
1996-07-05,00:00:00,0.6856,0.6884,0.6851,0.6883,391,1996-07-01/1996-07-07,0.6878,0.6752,85.92964824120592,0.07269555103228496,1.9401658767772512,BEARISH_WEEKLY_STRUCTURE,-0.029057097195986918,-0.10169984018597036,-0.42132790934185876
1996-07-08,00:00:00,0.6885,0.6892,0.6867,0.6881,461,1996-07-08/1996-07-14,0.6884,0.6804,84.04255319148939,-0.04357931435211606,1.13168724279836,BEARISH_WEEKLY_STRUCTURE,-0.07266385699753755,0.058131085598017135,0.0
1996-07-09,00:00:00,0.6884,0.6891,0.6861,0.6876,521,1996-07-08/1996-07-14,0.6884,0.6804,80.22598870056481,-0.1162115049389923,1.058201058201056,BEARISH_WEEKLY_STRUCTURE,0.0,-0.08726003490400436,0.11634671320535528
1997-07-01,00:00:00,0.681,0.6818,0.6776,0.6776,501,1997-06-30/1997-07-06,0.6883,0.6775,18.666666666666615,-1.5545546999854776,0.014760147601474389,BULLISH_WEEKLY_STRUCTURE,-0.014757969303422224,-0.08854781582053335,-0.7231404958677708
1997-07-02,00:00:00,0.6778,0.6801,0.6766,0.6775,671,1997-06-30/1997-07-06,0.6883,0.6775,19.004524886877732,-1.5690832485834711,0.0,BULLISH_WEEKLY_STRUCTURE,-0.014760147601474389,-0.39852398523985766,-0.7675276752767501
1997-07-07,00:00:00,0.6769,0.6769,0.674,0.6748,371,1997-07-07/1997-07-13,0.6818,0.6744,18.26086956521729,-1.026694045174539,0.05931198102015954,BULLISH_WEEKLY_STRUCTURE,0.1926496739774865,-0.37048014226436676,-1.896858328393587
1998-01-01,00:00:00,0.5821,0.5821,0.5805,0.5805,17,1997-12-29/1998-01-04,0.596,0.5812,13.565891472868088,-2.6006711409395904,-0.12044046799725291,BULLISH_WEEKLY_STRUCTURE,-0.4651162790697736,-3.0835486649440185,-1.670973298880283
1998-05-11,00:00:00,0.5401,0.5422,0.5389,0.5404,64,1998-05-11/1998-05-17,0.5563,0.5408,18.402777777777715,-2.85817005213015,-0.07396449704141198,BULLISH_WEEKLY_STRUCTURE,-0.7031828275351638,-0.6476683937823737,-1.7579570688378892
1998-05-19,00:00:00,0.5345,0.5363,0.5297,0.5309,97,1998-05-18/1998-05-24,0.5422,0.531,11.149825783972076,-2.0841018074511206,-0.018832391713745573,BULLISH_WEEKLY_STRUCTURE,0.3202109625164671,0.9041250706347552,0.2260312676586888
1999-05-03,00:00:00,0.5589,0.5618,0.5576,0.5605,69,1999-05-03/1999-05-09,0.5611,0.5464,83.33333333333333,-0.10693281055071198,2.580527086383602,BEARISH_WEEKLY_STRUCTURE,-0.5530776092774293,0.660124888492424,0.17841213202497785
2000-03-20,12:00:00,0.4838,0.485,0.4822,0.483,452,2000-03-20/2000-03-26,0.4952,0.483,14.285714285714292,-2.4636510500807733,0.0,BULLISH_WEEKLY_STRUCTURE,0.20703933747412026,0.9523809523809509,0.9109730848861315
2000-07-04,16:00:00,0.4645,0.4651,0.4628,0.4645,269,2000-07-03/2000-07-09,0.4741,0.464,11.29032258064565,-2.0248892638683813,0.10775862068965526,BULLISH_WEEKLY_STRUCTURE,0.3013993541442318,-0.21528525296017242,-0.7534983853606034
2000-11-21,12:00:00,0.3953,0.3967,0.3929,0.3934,579,2000-11-20/2000-11-26,0.4033,0.3936,16.78832116788307,-2.4547483263079504,-0.0508130081300757,BULLISH_WEEKLY_STRUCTURE,-0.0762582613116478,-0.4829689883070698,1.2709710218606884
2000-11-21,16:00:00,0.3932,0.3947,0.3921,0.3931,567,2000-11-20/2000-11-26,0.4033,0.3936,16.66666666666653,-2.529134639226379,-0.12703252032520335,BULLISH_WEEKLY_STRUCTURE,-0.076316458916312,0.9412363266344392,1.628084456881205
2000-12-04,00:00:00,0.416,0.4254,0.4158,0.4178,216,2000-12-04/2000-12-10,0.418,0.398,87.70949720670424,-0.04784688995214784,4.974874371859292,BEARISH_WEEKLY_STRUCTURE,1.4600287218764945,1.4839636189564345,1.0292005744375228
2001-02-02,08:00:00,0.4495,0.451,0.4485,0.4501,329,2001-01-29/2001-02-04,0.4495,0.4318,84.81012658227843,0.13348164627363504,4.238073182028713,BEARISH_WEEKLY_STRUCTURE,-0.04443457009552943,-0.9775605421017585,-1.7107309486780682
2001-02-02,12:00:00,0.4505,0.4514,0.4492,0.4499,476,2001-01-29/2001-02-04,0.4495,0.4318,83.54430379746839,0.08898776418242747,4.191755442334415,BEARISH_WEEKLY_STRUCTURE,-0.9779951100244532,-1.0891309179817772,-1.8226272505001202
2001-05-18,20:00:00,0.4271,0.4291,0.4263,0.4286,115,2001-05-14/2001-05-20,0.4288,0.4181,89.36170212765953,-0.04664179104478392,2.511360918440553,BEARISH_WEEKLY_STRUCTURE,0.04666355576295695,-0.4433037797480069,-0.4433037797480069
2001-05-21,00:00:00,0.4286,0.4294,0.4258,0.4288,149,2001-05-21/2001-05-27,0.4291,0.4157,89.24731182795702,-0.06991377301327592,3.15131104161655,BEARISH_WEEKLY_STRUCTURE,-0.1166044776119404,-0.18656716417910982,-0.6996268656716425
