trade_date,trade_time,open,high,low,close,volume,prev_high,prev_low,signal,forward_1,forward_3,forward_6
1994-02-07,00:00:00,0.5703,0.5742,0.5702,0.5733,501,0.5728,0.5698,BULLISH_HIGHER_HIGH_LOW,0.05232862375718942,0.27908599337169626,-0.03488574917145961
1994-02-08,00:00:00,0.5728,0.5776,0.5728,0.5736,881,0.5742,0.5702,BULLISH_HIGHER_HIGH_LOW,0.38354253835425034,0.0,0.26150627615061817
1994-02-11,00:00:00,0.5752,0.5752,0.5726,0.5736,361,0.578,0.5749,BEARISH_LOWER_HIGH_LOW,-0.3312412831241306,0.26150627615061817,-0.19177126917712517
1994-02-14,00:00:00,0.5741,0.5742,0.5712,0.5717,361,0.5752,0.5726,BEARISH_LOWER_HIGH_LOW,0.24488368025189222,0.6821759664159549,1.2768934755990857
1994-02-15,00:00:00,0.5719,0.575,0.5715,0.5731,581,0.5742,0.5712,BULLISH_HIGHER_HIGH_LOW,0.34897923573545464,0.174489617867737,1.2214273250741399
1994-02-16,00:00:00,0.5747,0.576,0.5724,0.5751,681,0.575,0.5715,BULLISH_HIGHER_HIGH_LOW,0.08694140149540185,-0.45209528777602787,0.608589810467755
1994-02-17,00:00:00,0.5756,0.577,0.5749,0.5756,421,0.576,0.5724,BULLISH_HIGHER_HIGH_LOW,-0.2605976372480795,0.5906879777623277,0.2605976372480795
1994-02-18,00:00:00,0.5767,0.5767,0.573,0.5741,481,0.577,0.5749,BEARISH_LOWER_HIGH_LOW,-0.2786970910991196,1.0451140916216501,0.4006270684549675
1994-02-21,00:00:00,0.5733,0.5743,0.5722,0.5725,341,0.5767,0.573,BEARISH_LOWER_HIGH_LOW,1.1353711790392926,1.0655021834061125,0.3842794759825292
1994-02-22,00:00:00,0.5778,0.5799,0.5775,0.579,361,0.5743,0.5722,BULLISH_HIGHER_HIGH_LOW,0.18998272884283074,-0.3281519861830765,-1.4853195164075894
1994-02-23,00:00:00,0.5787,0.5809,0.578,0.5801,441,0.5799,0.5775,BULLISH_HIGHER_HIGH_LOW,-0.2585761075676514,-0.6378210653335504,-1.4997414238924205
1994-02-24,00:00:00,0.5799,0.5822,0.5784,0.5786,631,0.5809,0.578,BULLISH_HIGHER_HIGH_LOW,-0.25924645696509796,-0.6740407881092316,-1.1234013135153733
