trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2000-01-03,20:00:00,0.5258,0.5276,0.5254,0.5263,125,0.5242,0.5209,BULLISH_LONDON_BREAKOUT,1,0,-0.24700741022230058,-0.01900057001709842,-1.0830324909747364
2000-01-04,12:00:00,0.5255,0.5265,0.5214,0.5222,255,0.527,0.5238,BEARISH_LONDON_BREAKOUT,0,1,-0.45959402527766324,-0.6127920337035581,-0.49789352738415293
2000-01-06,16:00:00,0.5176,0.5192,0.5148,0.5149,465,0.5205,0.5164,BEARISH_LONDON_BREAKOUT,0,1,-0.0971062342202478,0.019421246844045247,0.3884249368809481
2000-01-07,12:00:00,0.5139,0.5165,0.5136,0.5154,352,0.5151,0.5132,BULLISH_LONDON_BREAKOUT,1,0,0.2910360884749819,0.21342646488164335,0.2910360884749819
2000-01-10,12:00:00,0.5156,0.5174,0.5152,0.5169,251,0.5159,0.5143,BULLISH_LONDON_BREAKOUT,1,0,0.038692203520986256,-0.1354227123234734,-0.09673050880248713
2000-01-13,16:00:00,0.523,0.5245,0.5224,0.5243,408,0.5232,0.5201,BULLISH_LONDON_BREAKOUT,1,0,-0.2860957467098886,-0.6866297921037453,-0.6484836925424297
2000-01-14,12:00:00,0.5209,0.5225,0.5204,0.5219,302,0.5218,0.5203,BULLISH_LONDON_BREAKOUT,1,0,-0.1916075876604715,-0.26825062272467287,-0.6131442805135047
2000-01-17,16:00:00,0.5187,0.519,0.517,0.5174,284,0.5201,0.5179,BEARISH_LONDON_BREAKOUT,0,1,0.560494781600312,-0.21260146888287396,0.0
2000-01-17,20:00:00,0.5177,0.5203,0.5171,0.5203,88,0.5201,0.5179,BULLISH_LONDON_BREAKOUT,1,1,-0.422832980972512,-0.5765904285988858,0.09609840476649163
2000-01-18,20:00:00,0.5173,0.5208,0.5167,0.5208,82,0.5181,0.5162,BULLISH_LONDON_BREAKOUT,1,0,-0.76804915514593,-0.6720430107526993,-1.2288786482335006
2000-01-19,20:00:00,0.5159,0.5159,0.5137,0.5144,107,0.5177,0.5156,BEARISH_LONDON_BREAKOUT,0,1,0.05832037325040396,-0.11664074650076475,-0.2332814930015511
2000-01-21,12:00:00,0.5142,0.5147,0.5127,0.5129,366,0.5155,0.5139,BEARISH_LONDON_BREAKOUT,0,1,-0.4484304932735365,-0.7018912068629455,-0.8578670306102691
