trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2000-01-03,20:00:00,0.5258,0.5276,0.5254,0.5263,125,0.5254,0.5215,BULLISH_NEWYORK_BREAKOUT,1,0,-0.24700741022230058,-0.01900057001709842,-1.0830324909747364
2000-01-06,20:00:00,0.5155,0.5165,0.5136,0.5144,178,0.5192,0.5148,BEARISH_NEWYORK_BREAKOUT,0,1,0.05832037325040396,-0.058320373250382376,0.6026438569206827
2000-01-07,20:00:00,0.517,0.5188,0.516,0.5175,121,0.517,0.5146,BULLISH_NEWYORK_BREAKOUT,1,0,-0.1932367149758456,-0.3864734299516912,-0.3864734299516912
2000-01-10,20:00:00,0.5174,0.5174,0.5147,0.5155,162,0.5177,0.5163,BEARISH_NEWYORK_BREAKOUT,0,1,0.13579049466538,0.34917555771096487,0.27158098933076
2000-01-17,20:00:00,0.5177,0.5203,0.5171,0.5203,88,0.519,0.517,BULLISH_NEWYORK_BREAKOUT,1,0,-0.422832980972512,-0.5765904285988858,0.09609840476649163
2000-01-18,20:00:00,0.5173,0.5208,0.5167,0.5208,82,0.519,0.516,BULLISH_NEWYORK_BREAKOUT,1,0,-0.76804915514593,-0.6720430107526993,-1.2288786482335006
2000-01-27,20:00:00,0.5073,0.513,0.5052,0.5062,94,0.5103,0.5064,BEARISH_NEWYORK_BREAKOUT,0,1,-0.6914263137099858,-1.9952587909917026,-2.963255630185689
2000-02-02,20:00:00,0.4905,0.4925,0.4897,0.4922,121,0.4917,0.4879,BULLISH_NEWYORK_BREAKOUT,1,0,0.6907761072734576,-0.3047541649735882,0.5688744412840246
2000-02-04,20:00:00,0.4936,0.4969,0.4921,0.4964,155,0.4953,0.4918,BULLISH_NEWYORK_BREAKOUT,1,0,0.261885576148261,0.04029008863819057,-0.5237711522965333
2000-02-08,20:00:00,0.4939,0.4943,0.4912,0.4915,198,0.4946,0.4929,BEARISH_NEWYORK_BREAKOUT,0,1,0.0,-0.22380467955238859,0.4476093591047885
2000-02-10,20:00:00,0.4929,0.4945,0.4905,0.4916,208,0.4951,0.4927,BEARISH_NEWYORK_BREAKOUT,0,1,-0.020341741253049023,0.14239218877136575,-0.12205044751830542
2000-02-14,20:00:00,0.4875,0.4885,0.4857,0.4861,210,0.4907,0.4862,BEARISH_NEWYORK_BREAKOUT,0,1,-0.14400329150380137,-0.16457519029005707,0.020571898786267126
2000-02-21,20:00:00,0.4903,0.4903,0.4883,0.4887,104,0.4914,0.4892,BEARISH_NEWYORK_BREAKOUT,0,1,0.020462451401675665,0.38878657663187177,0.5934110906486512
2000-02-29,20:00:00,0.4867,0.4903,0.4867,0.4897,165,0.4873,0.4849,BULLISH_NEWYORK_BREAKOUT,1,0,-0.6330406371247799,-1.2456606085358484,-0.6330406371247799
2000-03-01,20:00:00,0.4855,0.4927,0.4849,0.4866,303,0.4863,0.4797,BULLISH_NEWYORK_BREAKOUT,1,0,0.16440608302507664,0.9247842170160305,0.12330456226881319
2000-03-07,20:00:00,0.4837,0.4853,0.4825,0.4841,156,0.484,0.4822,BULLISH_NEWYORK_BREAKOUT,1,0,0.1032844453625285,0.08262755629002509,0.8675893410452462
2000-03-08,20:00:00,0.4871,0.489,0.4871,0.4883,152,0.4878,0.4852,BULLISH_NEWYORK_BREAKOUT,1,0,0.32766741757116324,0.6143764079459354,1.146835961499077
2000-03-09,20:00:00,0.4919,0.4951,0.4911,0.4939,224,0.4919,0.489,BULLISH_NEWYORK_BREAKOUT,1,0,-0.12148208139299238,0.28345818991698973,-0.04049402713099372
2000-03-10,20:00:00,0.4955,0.4957,0.4935,0.4937,178,0.4957,0.4938,BEARISH_NEWYORK_BREAKOUT,0,1,-0.12153129430829347,-0.14178651002633866,0.08102086287218066
2000-03-13,20:00:00,0.4935,0.4952,0.4929,0.4941,176,0.494,0.4912,BULLISH_NEWYORK_BREAKOUT,1,0,-0.30358227079538586,-0.3845375430074797,-1.1536126290224615
2000-03-14,20:00:00,0.4907,0.4918,0.4872,0.4884,224,0.4919,0.4897,BEARISH_NEWYORK_BREAKOUT,0,1,0.0,-0.38902538902539163,0.20475020475020492
2000-03-20,20:00:00,0.4844,0.4874,0.4831,0.4867,154,0.4851,0.4822,BULLISH_NEWYORK_BREAKOUT,1,0,0.184918841175253,0.22601191699198475,0.6163961372508737
2000-03-23,20:00:00,0.4885,0.4906,0.4877,0.4894,154,0.4889,0.4862,BULLISH_NEWYORK_BREAKOUT,1,0,-0.5721291377196618,-0.20433183489987758,0.02043318348998549
2000-03-24,20:00:00,0.4883,0.49,0.4877,0.4895,156,0.4888,0.4865,BULLISH_NEWYORK_BREAKOUT,1,0,0.6537282941777398,1.4096016343207391,1.5730337078651655
2000-03-30,20:00:00,0.4986,0.5016,0.4985,0.5008,124,0.4997,0.4974,BULLISH_NEWYORK_BREAKOUT,1,0,-0.15974440894569147,-1.0982428115015983,-0.8785942492012808
2000-04-03,20:00:00,0.4999,0.5017,0.498,0.5017,118,0.5002,0.4973,BULLISH_NEWYORK_BREAKOUT,1,0,-0.4983057604146019,-0.6577636037472643,-0.3587801474985098
2000-04-10,20:00:00,0.4985,0.4991,0.4956,0.4959,170,0.4998,0.4971,BEARISH_NEWYORK_BREAKOUT,0,1,0.18148820326679005,0.40330711837063954,0.6049606775559594
2000-04-21,20:00:00,0.4949,0.495,0.4945,0.495,3,0.4949,0.4928,BULLISH_NEWYORK_BREAKOUT,1,0,-0.20202020202020218,-0.20202020202020218,0.10101010101010109
2000-05-01,20:00:00,0.4843,0.4868,0.4842,0.4868,117,0.4844,0.4832,BULLISH_NEWYORK_BREAKOUT,1,0,-0.4724732949876796,0.18488085456039685,-0.43138866064091835
2000-05-02,20:00:00,0.4864,0.4866,0.4841,0.4847,266,0.4875,0.4855,BEARISH_NEWYORK_BREAKOUT,0,1,0.7633587786259503,1.5473488755931517,1.3204043738394802
2000-05-05,20:00:00,0.4905,0.4923,0.4895,0.4918,123,0.4914,0.489,BULLISH_NEWYORK_BREAKOUT,1,0,-0.1830012200081358,-1.037006913379421,-1.8503456689711257
2000-05-08,20:00:00,0.4844,0.4852,0.4824,0.4827,206,0.4865,0.4846,BEARISH_NEWYORK_BREAKOUT,0,1,-0.14501760928113402,-0.35218562253988706,-0.37290242386576
2000-05-09,20:00:00,0.4806,0.4816,0.4799,0.4809,145,0.4807,0.4766,BULLISH_NEWYORK_BREAKOUT,1,0,-0.12476606363069026,-0.3742981908920708,-0.8941567893532898
2000-05-10,20:00:00,0.4776,0.4788,0.4756,0.4766,138,0.48,0.477,BEARISH_NEWYORK_BREAKOUT,0,1,0.14687368862777558,-0.5874947545111255,0.566512798992862
2000-05-11,20:00:00,0.4771,0.4797,0.4771,0.4793,157,0.4792,0.4746,BULLISH_NEWYORK_BREAKOUT,1,0,-0.4381389526392636,-0.7093678280826234,-0.0625912789484712
