trade_date,trade_time,open,high,low,close,volume,prev_20_high,prev_20_low,signal,forward_1,forward_3,forward_6
1994-03-24,00:00:00,0.5697,0.5701,0.5634,0.5661,981,0.5822,0.5668,BEARISH_20_BAR_BREAKOUT,0.17664723547076502,-0.2826355767532319,-0.35329447094153005
1994-03-30,00:00:00,0.564,0.5666,0.5561,0.5621,1911,0.5788,0.5634,BEARISH_20_BAR_BREAKOUT,0.16011385874397807,0.0355808574986618,0.8895214374666437
1994-04-22,00:00:00,0.5725,0.5752,0.5713,0.5736,671,0.5734,0.5561,BULLISH_20_BAR_BREAKOUT,0.12203626220363213,0.1743375174337519,0.6101813110181219
1994-05-16,00:00:00,0.584,0.5873,0.584,0.5861,451,0.585,0.5651,BULLISH_20_BAR_BREAKOUT,-0.13649547858725677,-0.08530967411703548,0.30711482682136565
1994-05-20,00:00:00,0.5865,0.5879,0.5856,0.5874,371,0.5873,0.5713,BULLISH_20_BAR_BREAKOUT,0.221314266258081,0.18726591760299452,0.442628532516162
1994-05-23,00:00:00,0.5879,0.5897,0.5875,0.5887,361,0.5879,0.5728,BULLISH_20_BAR_BREAKOUT,-0.13589264481060354,0.033973161202646165,0.7983692882622792
1994-05-30,00:00:00,0.5892,0.59,0.5888,0.59,161,0.5898,0.5734,BULLISH_20_BAR_BREAKOUT,0.5762711864406898,0.7966101694915317,0.23728813559323186
1994-05-31,00:00:00,0.591,0.5953,0.5893,0.5934,961,0.59,0.5734,BULLISH_20_BAR_BREAKOUT,0.18537243006403603,0.05055611729018654,-0.5055611729019216
1994-07-01,00:00:00,0.5947,0.599,0.5947,0.5979,541,0.5978,0.5857,BULLISH_20_BAR_BREAKOUT,-0.16725204883759842,-0.016725204883757984,1.5387188493059016
1994-07-08,00:00:00,0.5989,0.6045,0.5979,0.6038,831,0.6001,0.5857,BULLISH_20_BAR_BREAKOUT,0.5465385889367289,0.14905597880092944,-1.0102683007618407
1994-07-11,00:00:00,0.6033,0.6071,0.6019,0.6071,661,0.6045,0.5857,BULLISH_20_BAR_BREAKOUT,-0.11530225662986705,-1.054192060616037,-1.1530225662987985
1994-09-07,00:00:00,0.6031,0.6082,0.6031,0.6066,671,0.6062,0.5965,BULLISH_20_BAR_BREAKOUT,-0.32970656116056735,-0.6594131223211347,-0.49455984174085105
1994-09-21,00:00:00,0.603,0.6034,0.5992,0.5996,501,0.6082,0.6,BEARISH_20_BAR_BREAKOUT,0.3168779186124104,0.48365577051367803,0.5670446964643026
1994-10-10,00:00:00,0.6033,0.6064,0.6033,0.6062,331,0.6058,0.5992,BULLISH_20_BAR_BREAKOUT,-0.23094688221708295,-0.1319696469811798,0.808314087759818
1994-10-14,00:00:00,0.6055,0.6073,0.6055,0.6073,181,0.6069,0.5992,BULLISH_20_BAR_BREAKOUT,0.658653054503541,0.8727152972172044,0.9221142763049646
1994-10-17,00:00:00,0.6087,0.6125,0.6087,0.6113,501,0.6073,0.5992,BULLISH_20_BAR_BREAKOUT,-0.032717160150495334,0.11451006052675185,0.16358580075249485
1994-10-26,00:00:00,0.6122,0.6144,0.6113,0.6141,431,0.6136,0.6001,BULLISH_20_BAR_BREAKOUT,0.04885197850512408,0.3419638495359047,0.21169190685555575
1994-10-31,00:00:00,0.6151,0.6168,0.6151,0.6162,231,0.6161,0.6016,BULLISH_20_BAR_BREAKOUT,-0.11359948068807577,-0.12982797792924747,0.8114248620577743
1994-11-04,00:00:00,0.6149,0.6199,0.6144,0.6192,671,0.6173,0.6033,BULLISH_20_BAR_BREAKOUT,0.1937984496123997,0.920542635658921,0.0
1994-11-07,00:00:00,0.619,0.6208,0.6187,0.6204,281,0.6199,0.6033,BULLISH_20_BAR_BREAKOUT,0.1289490651192816,0.11283043197937363,-0.2095422308188214
1994-11-08,00:00:00,0.6201,0.6241,0.62,0.6212,711,0.6208,0.6043,BULLISH_20_BAR_BREAKOUT,0.5956213779781128,-0.1609787508048939,-0.1609787508048939
1994-11-09,00:00:00,0.6211,0.6257,0.6207,0.6249,621,0.6241,0.6043,BULLISH_20_BAR_BREAKOUT,-0.6080972955672949,-0.9121459433509423,-0.3520563290126388
1994-11-29,00:00:00,0.6228,0.6278,0.6223,0.6269,691,0.6257,0.6144,BULLISH_20_BAR_BREAKOUT,0.4306907002711813,0.46259371510607966,1.0049449672994053
1994-11-30,00:00:00,0.6268,0.6304,0.626,0.6296,601,0.6278,0.6144,BULLISH_20_BAR_BREAKOUT,0.07941550190596329,0.2541296060991002,0.7623888182973182
1994-12-06,00:00:00,0.6305,0.6337,0.63,0.6329,501,0.6313,0.6186,BULLISH_20_BAR_BREAKOUT,0.04740085321535265,0.41080739453309145,1.1060199083583515
1994-12-09,00:00:00,0.6329,0.6357,0.6324,0.6355,401,0.6352,0.6186,BULLISH_20_BAR_BREAKOUT,-0.0944138473642697,0.6923682140047319,0.6608969315499752
1994-12-13,00:00:00,0.6349,0.6393,0.6344,0.6378,691,0.6357,0.6187,BULLISH_20_BAR_BREAKOUT,0.32925682031984804,0.42333019755408036,-0.07839448102854436
1994-12-14,00:00:00,0.638,0.6403,0.6368,0.6399,511,0.6393,0.6188,BULLISH_20_BAR_BREAKOUT,0.18752930145334878,-0.03125488357555524,-0.6563525550867294
1994-12-15,00:00:00,0.6404,0.6425,0.6398,0.6411,471,0.6403,0.619,BULLISH_20_BAR_BREAKOUT,-0.09358914365934252,-0.48354390890656557,-0.7331149586648007
1995-01-23,00:00:00,0.6419,0.6459,0.6413,0.6454,571,0.6438,0.6324,BULLISH_20_BAR_BREAKOUT,0.2943910753021402,-0.4958165478772824,-1.1775643012085435
1995-01-24,00:00:00,0.6455,0.6478,0.6449,0.6473,401,0.6459,0.6332,BULLISH_20_BAR_BREAKOUT,-0.6025027035377746,-1.2050054070755492,-1.158659045264939
1995-02-06,00:00:00,0.6371,0.638,0.6302,0.6324,1091,0.6479,0.6356,BEARISH_20_BAR_BREAKOUT,-0.5218216318785531,0.04743833017079032,0.4427577482605985
1995-02-07,00:00:00,0.6322,0.6331,0.6287,0.6291,571,0.6479,0.6302,BEARISH_20_BAR_BREAKOUT,0.5086631696073725,0.8265776506119825,0.7947862025115252
1995-03-06,00:00:00,0.6395,0.645,0.6395,0.6443,621,0.6394,0.6279,BULLISH_20_BAR_BREAKOUT,0.7449945677479477,0.09312432096849992,0.9467639298463439
