Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,7965,7977,15942,49.17765222849969,48.28883038736367,0.00945606122890126,-0.0017086234062353607,49.20276208411802,49.17888930675693,0.01839138523628783,0.00043758510820996946,50.20715630885122,49.279177635702645,0.03367353119142856,0.006422882835080059
GBPUSD,7011,6557,13568,48.68064470118386,48.37578160744243,0.00010924657621525443,0.000763039699195037,49.6790757381258,49.24508159219155,0.0010457015142851726,0.004809281379107719,50.12123805448581,49.70260789995425,0.0015316869010759434,0.003947144663550474
USDCHF,1661,1731,3392,49.247441300421436,49.74003466204506,-0.0012401996046994526,0.002190308652004217,48.88621312462372,51.4153668399769,0.006502519798922982,-0.008895704244977118,48.585189644792294,49.971114962449455,0.010940999782057552,-0.010733384767939225
AUDUSD,7051,6248,13299,48.77322365621898,47.16709346991037,-0.007425495927318225,0.00504739947270678,50.56020422635087,48.36747759282971,-0.008581583368773436,0.005841128018778434,50.8722167068501,47.87131882202304,-0.009796088455148096,0.016011406468345448
NZDUSD,7048,6882,13930,46.94948921679909,46.07672188317349,-0.02362055834945112,0.01996808523536861,46.268444948921676,44.26038942167975,-0.04447749381624633,0.0531690991081043,47.261634506242906,43.475733798314444,-0.0620332616078563,0.07322524115674955
USDCAD,698,822,1520,46.84813753581662,47.08029197080292,-0.01649494147867425,0.001976697292806342,48.853868194842406,46.59367396593674,-0.022853323127371736,0.0068398878828581765,48.853868194842406,45.25547445255474,-0.020519132015932456,0.011309476827079397
USDJPY,7348,6206,13554,50.0,48.08250080567193,-0.002218019883444872,0.0009066380473603499,50.32661948829613,48.759265227199485,-0.003334237865724982,0.006617486774630769,51.741970604246056,48.565903963905896,0.0029002077019574172,0.004315268920917663
XAUUSD,5178,4624,9802,50.40556199304751,47.59948096885813,0.001910097806718591,0.00705245545405256,51.5063731170336,48.075259515570934,0.022033692765110365,0.02643079480439148,53.109308613364234,48.313148788927336,0.05025720141103954,0.03481231944823047
SP500,782,593,1375,54.85933503836316,45.193929173693085,0.02796551581966762,0.029317844683417187,53.96419437340153,42.66441821247892,0.04717026602035868,0.056477979426826426,55.370843989769824,44.51939291736931,0.05803080698855027,0.09124509028930844
NAS100,768,589,1357,55.078125,42.10526315789473,0.03915772345118204,0.0608201111566755,55.338541666666664,42.95415959252971,0.10436696492582731,0.11091900035360502,57.552083333333336,42.444821731748725,0.1306381564202121,0.15394356276335086
