trade_date,trade_time,open,high,low,close,volume,prev_daily_high,signal,breakout_count,forward_1,forward_3,forward_6
2023-03-21,01:00:00,3952.33,3966.09,3950.09,3959.09,2645,3957.09,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.09497131916678374,0.8966706995799539,1.1871414895847276
2023-03-27,01:00:00,3979.21,3997.33,3979.09,3984.59,2984,3980.69,BULLISH_DAILY_HIGH_BREAKOUT,1,0.2067966842259751,0.2760635347676925,-0.11042541390707929
2023-03-29,05:00:00,3986.29,3999.29,3985.03,3999.29,1338,3993.93,BULLISH_DAILY_HIGH_BREAKOUT,1,0.2500443828779608,0.27354855486849056,0.9236639503511886
2023-03-30,05:00:00,4025.23,4036.23,4023.23,4036.23,1506,4030.99,BULLISH_DAILY_HIGH_BREAKOUT,1,0.17342916533497843,0.029730714057420365,0.5004670199666476
2023-03-31,01:00:00,4049.43,4064.19,4048.43,4061.69,1481,4056.99,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.12950274393171854,0.18465220142354538,0.8346279504344273
2023-04-03,13:00:00,4103.46,4121.33,4098.09,4117.09,2356,4112.89,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.2492051424671362,0.08501150084161385,0.20014136198139415
2023-04-04,09:00:00,4121.33,4138.33,4119.09,4137.09,2006,4128.33,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.28425777539285385,-0.8281183150475386,-1.1544346388403495
2023-04-07,13:00:00,4102.09,4119.21,4094.33,4114.59,1893,4107.53,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.196860440529928,-0.196860440529928,-0.050065741665643475
2023-04-11,09:00:00,4114.59,4121.83,4111.09,4121.09,1920,4115.99,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.3096268220300993,-0.22955091978093262,-0.08638491272940896
2023-04-14,13:00:00,4139.53,4162.79,4136.03,4157.16,3588,4150.79,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.8436047686401222,-0.29034244532324255,-0.4529534586111655
2023-04-18,09:00:00,4151.83,4167.59,4151.09,4165.59,1814,4154.59,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.16228193365166083,-0.27607133683343776,-0.8584618265359821
2023-04-24,13:00:00,4126.03,4141.53,4124.79,4139.29,2367,4138.79,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.1488177924233348,-0.19326986029004975,-0.6402064122107898
2023-04-27,17:00:00,4086.21,4123.19,4084.59,4119.43,3127,4094.83,BULLISH_DAILY_HIGH_BREAKOUT,1,0.4976416640166236,0.37626564840281296,1.0098484499068912
2023-04-28,17:00:00,4135.69,4167.03,4134.53,4161.03,5027,4147.43,BULLISH_DAILY_HIGH_BREAKOUT,1,0.282622331490045,0.31242264535463576,0.4941084298839567
2023-05-01,17:00:00,4171.03,4187.59,4166.83,4181.59,4256,4174.79,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.5022013157674473,-0.35871522554817664,-1.5056473733675475
2023-05-05,13:00:00,4081.76,4114.13,4079.13,4112.39,3546,4100.83,BULLISH_DAILY_HIGH_BREAKOUT,1,0.4046308837439887,0.48973954318533547,0.4775811632651431
2023-05-10,21:00:00,4111.09,4147.59,4111.09,4138.59,2981,4138.09,BULLISH_DAILY_HIGH_BREAKOUT,1,0.14497691242669605,0.2657910061156094,-0.14642668155097266
2023-05-17,17:00:00,4114.43,4165.53,4112.93,4164.53,3499,4138.03,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.1738491498440348,-0.23387993362996023,-0.057629552434479675
2023-05-18,09:00:00,4154.53,4168.29,4153.29,4166.03,1899,4165.53,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.22803484372412106,0.8785342400318856,0.968788030811122
2023-05-19,01:00:00,4202.39,4213.39,4201.89,4204.63,1819,4202.89,BULLISH_DAILY_HIGH_BREAKOUT,1,-0.005707993331155933,0.1726667982676292,-0.41715917928569135
2023-05-26,13:00:00,4145.46,4179.09,4143.59,4175.83,3334,4166.59,BULLISH_DAILY_HIGH_BREAKOUT,1,0.6034728425247153,0.9689091749424674,0.8850935023695896
2023-05-29,01:00:00,4227.53,4229.66,4213.79,4216.29,1969,4212.53,BULLISH_DAILY_HIGH_BREAKOUT,1,0.0474350673222193,-0.08301136781388377,-0.018025325582448508
2023-06-01,17:00:00,4176.21,4224.33,4174.33,4224.33,4620,4209.79,BULLISH_DAILY_HIGH_BREAKOUT,1,0.017991018694093936,0.14345470169234883,1.43217977762154
