trade_date,trade_time,open,high,low,close,volume,prev_daily_low,signal,breakout_count,forward_1,forward_3,forward_6
2023-03-17,17:00:00,3945.09,3958.96,3900.33,3926.53,9660,3937.83,BEARISH_DAILY_LOW_BREAKOUT,1,-0.2704678176405209,-0.3532381008167605,0.5042620328890834
2023-03-22,21:00:00,4001.63,4040.13,3932.63,3938.63,10995,3950.09,BEARISH_DAILY_LOW_BREAKOUT,1,0.24450126059061425,0.4382234431769362,0.4559961204784414
2023-03-28,17:00:00,3969.19,3979.69,3950.79,3951.79,4988,3967.83,BEARISH_DAILY_LOW_BREAKOUT,1,0.626045412332139,1.2019869476869975,1.4788235204805937
2023-04-05,17:00:00,4095.96,4097.46,4071.73,4084.23,4308,4085.59,BEARISH_DAILY_LOW_BREAKOUT,1,0.07981920704758948,-0.08569546768913602,0.41770419393618735
2023-04-10,13:00:00,4106.49,4107.49,4071.99,4073.99,2479,4094.33,BEARISH_DAILY_LOW_BREAKOUT,1,0.6332857959887035,0.9779110896197621,0.842908303653179
2023-04-12,21:00:00,4120.59,4127.33,4086.83,4090.59,4082,4101.89,BEARISH_DAILY_LOW_BREAKOUT,1,0.030313475562199627,0.23810746127086269,1.2729215101000029
2023-04-19,09:00:00,4148.33,4148.59,4128.09,4129.83,2297,4139.33,BEARISH_DAILY_LOW_BREAKOUT,1,0.10896332294549654,0.4891242496664468,-0.11622754447520073
2023-04-20,09:00:00,4142.79,4145.79,4120.29,4125.03,2308,4126.33,BEARISH_DAILY_LOW_BREAKOUT,1,0.015272616199157561,0.1469080224871189,0.07999941818605397
2023-04-25,17:00:00,4112.53,4118.79,4078.69,4079.93,3934,4112.03,BEARISH_DAILY_LOW_BREAKOUT,1,0.17475790025809534,0.3284370074976799,-0.4068697257060761
2023-04-26,17:00:00,4078.59,4089.59,4060.83,4063.33,4710,4070.19,BEARISH_DAILY_LOW_BREAKOUT,1,0.02461035653023505,0.1845776739767629,1.3806410013461956
2023-05-02,13:00:00,4161.33,4164.33,4146.83,4149.33,2281,4159.83,BEARISH_DAILY_LOW_BREAKOUT,1,-0.7398784864062347,-0.6372113088137025,-0.37837433995367487
2023-05-03,21:00:00,4132.26,4149.63,4078.13,4079.51,9933,4088.13,BEARISH_DAILY_LOW_BREAKOUT,1,0.1916896882223529,0.13678113302822956,-0.4571627474868327
2023-05-04,13:00:00,4084.83,4088.09,4057.09,4063.83,4666,4078.13,BEARISH_DAILY_LOW_BREAKOUT,1,0.20079580100545186,0.33367537520024076,1.1949318746109066
2023-05-09,21:00:00,4128.33,4130.33,4117.83,4120.09,1860,4122.83,BEARISH_DAILY_LOW_BREAKOUT,1,0.10291037331708244,-0.13349222953867512,0.4490193175391799
2023-05-10,09:00:00,4122.59,4128.09,4106.33,4114.59,2342,4116.33,BEARISH_DAILY_LOW_BREAKOUT,1,0.49822704084732616,0.5832901941627233,0.8506315331539717
2023-05-12,17:00:00,4133.66,4137.79,4099.73,4100.73,4825,4108.09,BEARISH_DAILY_LOW_BREAKOUT,1,0.44528657092762064,0.7803488647143314,0.7208472637798734
2023-05-23,17:00:00,4182.33,4185.46,4156.83,4161.59,4246,4178.59,BEARISH_DAILY_LOW_BREAKOUT,1,-0.318628216619134,-0.2945989393477065,-1.0964559218952397
2023-05-24,09:00:00,4149.09,4149.33,4131.59,4137.71,2899,4141.33,BEARISH_DAILY_LOW_BREAKOUT,1,-0.5408788919474808,0.04543576036020188,0.15999187956623084
2023-05-30,17:00:00,4216.41,4223.79,4193.79,4194.29,5860,4211.79,BEARISH_DAILY_LOW_BREAKOUT,1,0.32186615613131186,0.017643033743488926,-0.17786085368441468
2023-05-31,13:00:00,4196.79,4199.03,4184.03,4185.29,2959,4192.03,BEARISH_DAILY_LOW_BREAKOUT,1,0.03679553866040259,-0.09461709941246692,-0.21981750368552283
2023-06-19,13:00:00,4410.69,4411.19,4400.19,4400.69,1676,4406.33,BEARISH_DAILY_LOW_BREAKOUT,1,0.07362481792629545,-0.0649898084164,-0.21814760867044614
2023-06-20,05:00:00,4399.83,4400.83,4394.33,4397.83,1399,4399.19,BEARISH_DAILY_LOW_BREAKOUT,1,-0.1418881584781536,-0.15325740194595475,-0.21010361928496057
2023-06-21,21:00:00,4375.39,4386.39,4362.63,4365.63,2451,4366.83,BEARISH_DAILY_LOW_BREAKOUT,1,-0.06276299182477173,-0.17729399880429128,0.4320109583267403
2023-06-22,05:00:00,4362.63,4364.39,4356.63,4358.39,1427,4359.63,BEARISH_DAILY_LOW_BREAKOUT,1,-0.011472126175032524,0.34049270487494776,0.14271324961738957
2023-06-23,13:00:00,4361.73,4365.49,4342.23,4348.99,3060,4349.13,BEARISH_DAILY_LOW_BREAKOUT,1,0.285123672392913,0.18165137192774752,0.21016373916703254
2023-06-26,17:00:00,4358.39,4362.09,4332.03,4337.29,5719,4340.51,BEARISH_DAILY_LOW_BREAKOUT,1,-0.061328617639121535,0.13464628835056328,0.9591242457848188
2023-07-05,09:00:00,4450.99,4451.73,4430.73,4434.73,1934,4448.99,BEARISH_DAILY_LOW_BREAKOUT,1,0.28772890345072233,0.2471401866629995,-0.15784500973001742
2023-07-06,09:00:00,4430.23,4433.99,4424.49,4427.73,2162,4429.49,BEARISH_DAILY_LOW_BREAKOUT,1,-0.6667073195519946,-0.4006567699475755,-0.4232417062467626
2023-07-10,01:00:00,4399.09,4404.83,4388.83,4390.83,1908,4396.33,BEARISH_DAILY_LOW_BREAKOUT,1,-0.26737541649300434,0.3097364279646528,0.4568612312478597
2023-07-17,01:00:00,4501.83,4502.33,4495.83,4497.83,1260,4498.59,BEARISH_DAILY_LOW_BREAKOUT,1,0.07247939561967033,0.27257588659420695,0.4313191027673264
2023-07-20,17:00:00,4560.39,4561.13,4540.89,4546.63,3593,4553.39,BEARISH_DAILY_LOW_BREAKOUT,1,-0.20322744538261925,-0.12624735243465557,0.15967870708635226
2023-07-27,21:00:00,4572.43,4574.43,4527.69,4541.93,3821,4546.89,BEARISH_DAILY_LOW_BREAKOUT,1,0.06076711882392086,0.34126461658369894,0.847657273449833
2023-08-02,05:00:00,4567.83,4567.83,4553.59,4556.59,1577,4567.09,BEARISH_DAILY_LOW_BREAKOUT,1,-0.3046137572175708,-0.8624870791534938,-0.9283257874858212
2023-08-03,09:00:00,4514.03,4515.29,4487.53,4503.29,3875,4504.79,BEARISH_DAILY_LOW_BREAKOUT,1,-0.15011247332506275,0.015544191024780064,0.3273162510075918
2023-08-04,21:00:00,4518.09,4518.33,4473.83,4478.09,4044,4485.03,BEARISH_DAILY_LOW_BREAKOUT,1,0.36265461390905007,0.3514891393428846,0.9378998635579008
2023-08-08,13:00:00,4498.33,4500.33,4469.83,4473.83,3606,4483.59,BEARISH_DAILY_LOW_BREAKOUT,1,0.22128690629728076,0.6600608427231197,0.4506206091872032
2023-08-10,17:00:00,4522.13,4526.13,4456.29,4458.03,7606,4460.13,BEARISH_DAILY_LOW_BREAKOUT,1,0.25796147625745003,0.3028243416935283,0.02467457598985121
2023-08-11,13:00:00,4462.03,4469.79,4441.03,4455.11,4692,4456.29,BEARISH_DAILY_LOW_BREAKOUT,1,0.09023346224897784,0.1858539968710235,0.11267959713678083
2023-08-15,21:00:00,4449.33,4454.59,4431.33,4437.09,2686,4448.63,BEARISH_DAILY_LOW_BREAKOUT,1,0.02794624404733241,0.05048353763389478,-0.7459844177152225
2023-08-16,17:00:00,4442.96,4449.73,4417.99,4430.86,5120,4431.33,BEARISH_DAILY_LOW_BREAKOUT,1,-0.606428548859587,-0.6402820220002413,-0.818576980541013
2023-08-17,01:00:00,4407.23,4408.49,4394.23,4401.23,1919,4401.99,BEARISH_DAILY_LOW_BREAKOUT,1,0.028628360708261517,0.2126678224042048,-0.6166458012873542
2023-08-18,09:00:00,4368.83,4373.83,4358.09,4361.83,3521,4363.33,BEARISH_DAILY_LOW_BREAKOUT,1,-0.3209661999665278,0.07932450370601414,0.6639415107879041
2023-08-24,21:00:00,4399.33,4404.59,4368.33,4373.09,3473,4388.16,BEARISH_DAILY_LOW_BREAKOUT,1,0.14269086618386043,0.1655579921748645,0.716655728558071
2023-09-05,01:00:00,4513.39,4514.63,4506.13,4507.89,1529,4508.89,BEARISH_DAILY_LOW_BREAKOUT,1,-0.011091663727375778,-0.1885582833653882,-0.3882082304581522
2023-09-06,01:00:00,4493.63,4497.13,4490.13,4490.39,1303,4492.89,BEARISH_DAILY_LOW_BREAKOUT,1,0.07794423201548194,-0.19218820636960507,-0.6115281746128962
2023-09-07,13:00:00,4454.69,4456.19,4429.19,4436.13,3317,4441.43,BEARISH_DAILY_LOW_BREAKOUT,1,0.400348952803462,0.34399352588856097,0.5522831837660303
2023-09-15,17:00:00,4482.09,4485.93,4446.63,4456.39,4959,4468.53,BEARISH_DAILY_LOW_BREAKOUT,1,-0.11219843864652779,0.00897587509171406,0.0884123696534549
2023-09-19,13:00:00,4460.09,4461.59,4437.33,4437.83,2261,4439.03,BEARISH_DAILY_LOW_BREAKOUT,1,0.008112072792325812,0.10365426345759896,0.4416572964714819
2023-09-20,21:00:00,4444.06,4453.19,4396.43,4397.69,5196,4415.69,BEARISH_DAILY_LOW_BREAKOUT,1,-0.2219346975343717,-0.46069641107034165,-1.6317657679372426
2023-09-21,01:00:00,4399.43,4400.19,4387.93,4387.93,1456,4396.43,BEARISH_DAILY_LOW_BREAKOUT,1,-0.039654233317320264,-0.7142319954967409,-1.2785071776441366
2023-09-22,21:00:00,4332.29,4348.03,4315.79,4319.79,3084,4323.93,BEARISH_DAILY_LOW_BREAKOUT,1,0.14283101724852534,-0.027779128152058737,0.5208586528511803
2023-09-26,17:00:00,4301.83,4304.71,4274.79,4281.79,4544,4297.09,BEARISH_DAILY_LOW_BREAKOUT,1,-0.07006415541163859,0.16745333143381794,-0.7940604279985707
2023-09-27,17:00:00,4284.59,4286.83,4237.79,4247.79,4935,4265.03,BEARISH_DAILY_LOW_BREAKOUT,1,0.8413786933911465,0.8267828682679673,1.1488326871149512
2023-10-02,17:00:00,4278.21,4301.23,4258.99,4269.23,7446,4273.63,BEARISH_DAILY_LOW_BREAKOUT,1,0.509693785530417,0.287171222913739,-1.0798200143819718
2023-10-03,17:00:00,4276.23,4276.23,4221.63,4223.13,7201,4258.99,BEARISH_DAILY_LOW_BREAKOUT,1,0.1150805208459051,-0.22826671213058392,0.30688138892243516
2023-10-04,05:00:00,4218.36,4222.73,4210.49,4213.49,2297,4215.89,BEARISH_DAILY_LOW_BREAKOUT,1,0.40916200109647305,0.536372460834139,1.1534381237406608
2023-10-12,17:00:00,4366.59,4386.59,4336.09,4336.83,5394,4344.69,BEARISH_DAILY_LOW_BREAKOUT,1,0.29975811825688353,0.3966030487706417,-0.2536414846789014
2023-10-13,21:00:00,4325.59,4336.83,4315.59,4321.99,3779,4324.83,BEARISH_DAILY_LOW_BREAKOUT,1,0.3671919648125028,0.3239248586877804,1.2526637035254669
2023-10-18,21:00:00,4337.79,4345.03,4303.03,4319.03,3640,4335.39,BEARISH_DAILY_LOW_BREAKOUT,1,-0.17920690525418398,-0.11900820323080456,-1.1391446690576315
2023-10-19,21:00:00,4305.59,4311.83,4266.59,4269.83,4385,4303.03,BEARISH_DAILY_LOW_BREAKOUT,1,-0.06253176355967503,-0.0655763812610849,-1.1438394502825675
2023-10-20,13:00:00,4266.53,4276.03,4256.03,4260.79,4220,4266.59,BEARISH_DAILY_LOW_BREAKOUT,1,-0.16569697168835829,-0.6102154764726729,-1.0209374317908182
2023-10-23,09:00:00,4233.79,4235.29,4190.79,4192.53,3474,4218.73,BEARISH_DAILY_LOW_BREAKOUT,1,0.590574187900867,0.7942698084450245,1.0699983065118337
2023-10-25,13:00:00,4229.71,4240.33,4205.33,4210.83,3130,4218.29,BEARISH_DAILY_LOW_BREAKOUT,1,-0.5454981559455085,-1.1042953526976869,-1.1280436398524756
2023-10-26,01:00:00,4176.76,4179.26,4161.39,4164.33,2311,4180.99,BEARISH_DAILY_LOW_BREAKOUT,1,-0.1018170990291303,-0.02401346675215461,-0.15464672588386608
2023-10-27,17:00:00,4140.13,4156.39,4111.89,4114.39,7274,4126.53,BEARISH_DAILY_LOW_BREAKOUT,1,0.09721975797141252,0.46033555399462855,1.2891339907009292
2023-11-09,21:00:00,4362.83,4362.83,4343.09,4349.59,3357,4358.63,BEARISH_DAILY_LOW_BREAKOUT,1,-0.02896824758196102,-0.05747668171023016,1.3247225600573822
2023-11-16,01:00:00,4498.89,4504.63,4491.39,4493.51,1496,4495.39,BEARISH_DAILY_LOW_BREAKOUT,1,0.20295937919354556,0.3587396044517513,0.44775687602786884
2023-11-27,01:00:00,4553.53,4555.03,4545.03,4545.41,862,4551.63,BEARISH_DAILY_LOW_BREAKOUT,1,-0.0136401336733076,0.10604103920217778,0.19096187142634638
2023-11-28,13:00:00,4549.96,4551.09,4537.83,4541.09,1900,4542.03,BEARISH_DAILY_LOW_BREAKOUT,1,0.18057338656577646,0.3979220847858049,0.995355740582103
2023-11-30,17:00:00,4555.29,4558.29,4536.53,4542.03,4172,4546.79,BEARISH_DAILY_LOW_BREAKOUT,1,0.4762187832312889,0.5063815078279976,0.9797381347106912
2023-12-07,05:00:00,4547.13,4548.63,4544.63,4544.89,671,4546.39,BEARISH_DAILY_LOW_BREAKOUT,1,0.09329158681507761,0.8743885990639988,0.8347836801330636
2023-12-20,21:00:00,4768.89,4769.89,4690.89,4699.51,4185,4735.59,BEARISH_DAILY_LOW_BREAKOUT,1,0.25704807522486234,0.4536643181948694,1.0081902155756688
2023-12-29,17:00:00,4786.53,4788.39,4750.09,4767.33,3503,4782.33,BEARISH_DAILY_LOW_BREAKOUT,1,-0.0077611577130152695,0.13214944214057306,-0.5873308539580856
2024-01-02,13:00:00,4766.63,4766.89,4727.63,4736.39,3158,4750.09,BEARISH_DAILY_LOW_BREAKOUT,1,0.06207259115063582,0.13090138269863372,-0.4418977322391165
2024-01-03,13:00:00,4734.59,4735.83,4713.83,4715.46,2282,4722.83,BEARISH_DAILY_LOW_BREAKOUT,1,0.05874294342438547,-0.1478116663061558,-0.21482527685528263
2024-01-04,21:00:00,4706.93,4709.43,4687.19,4692.13,2439,4698.73,BEARISH_DAILY_LOW_BREAKOUT,1,0.03196842372227539,-0.2821746200552794,0.11636506234908317
2024-01-05,05:00:00,4693.89,4695.39,4683.13,4685.89,779,4687.19,BEARISH_DAILY_LOW_BREAKOUT,1,-0.14938464197836482,0.32437807972444543,0.1118250748523713
2024-01-16,01:00:00,4777.76,4779.89,4763.76,4769.13,1399,4772.83,BEARISH_DAILY_LOW_BREAKOUT,1,-0.09938919677173366,-0.18326193666349588,-0.23484367169693043
2024-01-17,05:00:00,4757.69,4758.69,4742.93,4743.93,1216,4746.83,BEARISH_DAILY_LOW_BREAKOUT,1,0.016020472477446097,-0.4700743897991787,-0.05480687952816259
2024-01-31,01:00:00,4906.01,4909.39,4903.13,4905.39,1250,4908.13,BEARISH_DAILY_LOW_BREAKOUT,1,-0.04342162396873865,-0.2854003453344178,-0.8827024966414531
