trade_date,trade_time,open,high,low,close,volume,ema200,signal,forward_1,forward_3,forward_6
2023-03-17,01:00:00,3958.59,3964.33,3954.33,3958.59,2207,3963.0452238805974,BEARISH_BELOW_EMA200,0.13893835936532956,-0.32233699372757013,-0.749761910175095
2023-03-17,05:00:00,3958.83,3965.83,3957.83,3964.09,1747,3963.0556196628804,BULLISH_ABOVE_EMA200,0.028253647116990046,-0.9475062372448644,-1.2973973850240608
2023-03-17,09:00:00,3963.83,3975.83,3960.09,3965.21,4317,3963.0770562831503,BULLISH_ABOVE_EMA200,-0.4887509110488501,-1.2433137210891776,-1.3285551080522806
2023-03-17,13:00:00,3965.09,3965.83,3923.59,3945.83,6321,3962.9054437828204,BEARISH_BELOW_EMA200,-0.48912396124515567,-0.4288071204284035,-0.38775111953631375
2023-03-17,17:00:00,3945.09,3958.96,3900.33,3926.53,9660,3962.543499068564,BEARISH_BELOW_EMA200,-0.2704678176405209,-0.3532381008167605,0.5042620328890834
2023-03-17,21:00:00,3926.03,3929.53,3900.03,3915.91,5003,3962.0794841524594,BEARISH_BELOW_EMA200,0.3319790291400977,-0.08631454757641657,1.000533720131471
2023-03-20,01:00:00,3925.03,3945.53,3920.03,3928.91,4600,3961.7494395340273,BEARISH_BELOW_EMA200,-0.41360071877441834,0.041232810117827735,0.7681519810838194
2023-03-20,05:00:00,3928.79,3932.29,3911.03,3912.66,2807,3961.2609873993606,BEARISH_BELOW_EMA200,-0.0033225478319009166,0.8605398884646269,1.0905624306737633
2023-03-20,09:00:00,3912.29,3914.29,3864.91,3912.53,8368,3960.776101952601,BEARISH_BELOW_EMA200,0.4600603701441267,1.0877871862963338,1.560627011166686
2023-03-20,13:00:00,3912.79,3935.16,3905.03,3930.53,8201,3960.4751457142665,BEARISH_BELOW_EMA200,0.4019814121759591,0.7266195653003525,1.62980564961977
2023-03-20,17:00:00,3930.79,3957.09,3922.83,3946.33,8365,3960.3343979957167,BEARISH_BELOW_EMA200,0.22197839511648082,0.22805999498268012,0.8108799821606404
2023-03-20,21:00:00,3945.83,3956.83,3935.21,3955.09,3997,3960.2822149310828,BEARISH_BELOW_EMA200,0.10113549881292207,0.46775168200976464,1.2955457397935264
2023-03-21,01:00:00,3952.33,3966.09,3950.09,3959.09,2645,3960.270352095948,BEARISH_BELOW_EMA200,-0.09497131916678374,0.8966706995799539,1.1871414895847276
2023-03-21,05:00:00,3958.83,3961.59,3953.09,3955.33,2021,3960.2211943636503,BEARISH_BELOW_EMA200,0.46165553822311206,0.5814938323730258,1.245408094899799
2023-03-21,09:00:00,3955.33,3974.33,3953.71,3973.59,3362,3960.354217305306,BULLISH_ABOVE_EMA200,0.5284893509395786,0.823940064274366,0.6417370689980596
2023-03-21,13:00:00,3973.33,3995.83,3972.09,3994.59,3933,3960.694871859482,BULLISH_ABOVE_EMA200,-0.4070505358497422,0.28788937037343004,0.1687282048971179
2023-03-21,17:00:00,3995.09,3999.59,3970.96,3978.33,6227,3960.870345771328,BULLISH_ABOVE_EMA200,0.7038129064205333,0.6600759615215485,0.5575203665859869
2023-03-21,21:00:00,3978.83,4010.33,3978.09,4006.33,2436,3961.3226806392754,BULLISH_ABOVE_EMA200,-0.005990520002091234,-0.18071402006324444,-1.6898258505914345
2023-03-22,01:00:00,4003.33,4006.59,4000.33,4006.09,1949,3961.768126603064,BULLISH_ABOVE_EMA200,-0.03744299304309189,-0.11881909792341705,-1.443552191788001
2023-03-22,05:00:00,4005.96,4007.33,4001.83,4004.59,1605,3962.1942148955713,BULLISH_ABOVE_EMA200,-0.13734239959646305,-0.10188308915519259,-1.1162191385385338
2023-03-22,09:00:00,4004.33,4005.33,3990.09,3999.09,2885,3962.5613371354166,BULLISH_ABOVE_EMA200,0.05601274289900406,-1.511843944497374,-1.0802457559094762
2023-03-22,13:00:00,3998.83,4008.83,3995.83,4001.33,2938,3962.9470949748656,BULLISH_ABOVE_EMA200,-0.020493186015642522,-1.3263090022567423,-0.7232595162108613
2023-03-22,17:00:00,4001.59,4014.13,3988.39,4000.51,4630,3963.320855223872,BULLISH_ABOVE_EMA200,-1.5468027826452153,-1.015370540256126,-0.9543783167646197
2023-03-22,21:00:00,4001.63,4040.13,3932.63,3938.63,10995,3963.0751750723907,BEARISH_BELOW_EMA200,0.24450126059061425,0.4382234431769362,0.4559961204784414
2023-03-23,01:00:00,3941.01,3948.63,3937.39,3948.26,2398,3962.9277603950536,BEARISH_BELOW_EMA200,0.29456013535075337,0.6111552937243154,-0.036218486117942865
2023-03-23,05:00:00,3948.13,3962.63,3947.89,3959.89,1715,3962.897533923461,BEARISH_BELOW_EMA200,-0.10101290692418223,0.06161787322375255,-0.19091439408670308
2023-03-23,09:00:00,3959.63,3967.63,3953.39,3955.89,3037,3962.8278072177554,BEARISH_BELOW_EMA200,0.41709956545808907,0.01769513308004704,-0.9428978055507036
2023-03-23,13:00:00,3956.13,3974.13,3943.89,3972.39,4204,3962.9229534145943,BULLISH_ABOVE_EMA200,-0.25324804462804373,-0.6434413539456082,-1.0774370089543004
2023-03-23,17:00:00,3973.13,4007.69,3960.83,3962.33,7403,3962.917053380618,BEARISH_BELOW_EMA200,-0.14486425916063986,-0.25237675811959126,-0.3028521097435095
2023-03-23,21:00:00,3962.46,3967.83,3917.09,3956.59,8062,3962.854097625587,BEARISH_BELOW_EMA200,-0.24667706282430624,-0.9604229905044495,0.5899019104835146
2023-03-24,01:00:00,3956.21,3956.59,3939.96,3946.83,2333,3962.694653868119,BEARISH_BELOW_EMA200,0.13935234099264474,-0.43680624703875726,0.9567171628876902
2023-03-24,05:00:00,3947.09,3956.59,3946.33,3952.33,1793,3962.5915229838597,BEARISH_BELOW_EMA200,-0.8536736557929065,-0.0506030619912811,1.0247120053234422
2023-03-24,09:00:00,3952.09,3966.59,3917.33,3918.59,4504,3962.153696884518,BEARISH_BELOW_EMA200,0.2807132157230024,1.5653589684044438,1.786356827328197
2023-03-24,13:00:00,3918.33,3932.59,3906.09,3929.59,7727,3961.8296800000953,BEARISH_BELOW_EMA200,0.5277904310627771,1.39963711226871,1.6795645347224517
2023-03-24,17:00:00,3929.09,3958.59,3913.33,3950.33,10110,3961.715255323478,BEARISH_BELOW_EMA200,0.7493044884857697,1.0758594851569363,0.8277789450501674
2023-03-24,21:00:00,3950.09,3980.69,3948.83,3979.93,4262,3961.8964965640403,BULLISH_ABOVE_EMA200,0.11708748646333753,0.2175917666893717,0.10301688723169412
2023-03-27,01:00:00,3979.21,3997.33,3979.09,3984.59,2984,3962.1223025683785,BULLISH_ABOVE_EMA200,0.2067966842259751,0.2760635347676925,-0.11042541390707929
2023-03-27,05:00:00,3984.83,3994.83,3984.33,3992.83,2008,3962.4278517965536,BULLISH_ABOVE_EMA200,-0.10619034619555007,-0.24543995111236208,-0.2289103217517368
2023-03-27,09:00:00,3993.09,3996.83,3967.83,3988.59,3996,3962.688171679175,BULLISH_ABOVE_EMA200,0.1755006155057301,-0.11432611524373136,-0.3735655958621992
2023-03-27,13:00:00,3988.83,4004.09,3988.83,3995.59,3979,3963.015553055502,BULLISH_ABOVE_EMA200,-0.3143465670902156,-0.3854249309864148,-0.654721830818485
2023-03-27,17:00:00,3995.83,3997.09,3970.29,3983.03,6396,3963.214701781318,BULLISH_ABOVE_EMA200,0.02510651438728807,0.016570299495606473,-0.7843275094588853
2023-03-27,21:00:00,3983.29,3997.53,3973.53,3984.03,3077,3963.421819176529,BULLISH_ABOVE_EMA200,-0.09638481637939839,-0.259536198271603,-0.18825159449100534
2023-03-28,01:00:00,3982.93,3985.93,3979.93,3980.19,1720,3963.5886667469117,BULLISH_ABOVE_EMA200,0.08793550056655587,-0.2703388531703315,0.14672666380248545
2023-03-28,05:00:00,3979.93,3984.93,3978.69,3983.69,1525,3963.788680013112,BULLISH_ABOVE_EMA200,-0.2510235485190866,-0.8007651197758885,0.39159673568977277
2023-03-28,09:00:00,3983.93,3993.93,3972.93,3973.69,2922,3963.8872006099964,BULLISH_ABOVE_EMA200,-0.10720514182032867,0.07147009454688578,0.8958927344609143
2023-03-28,13:00:00,3973.43,3979.93,3964.43,3969.43,3193,3963.9423528427333,BULLISH_ABOVE_EMA200,-0.44439629871291025,0.4181960634146556,1.1301370725771742
2023-03-28,17:00:00,3969.19,3979.69,3950.79,3951.79,4988,3963.8214339089745,BEARISH_BELOW_EMA200,0.626045412332139,1.2019869476869975,1.4788235204805937
2023-03-28,21:00:00,3951.29,3977.29,3951.03,3976.53,2590,3963.947887302915,BULLISH_ABOVE_EMA200,0.23890175605364472,0.8238338450860364,1.2815193145782775
2023-03-29,01:00:00,3976.03,3988.03,3976.03,3986.03,1501,3964.1676098173143,BULLISH_ABOVE_EMA200,0.33266182141127293,0.7089760990258418,0.9834346454994021
2023-03-29,05:00:00,3986.29,3999.29,3985.03,3999.29,1338,3964.517086336545,BULLISH_ABOVE_EMA200,0.2500443828779608,0.27354855486849056,0.9236639503511886
2023-03-29,09:00:00,3999.03,4010.03,3994.29,4009.29,2313,3964.9625879650375,BULLISH_ABOVE_EMA200,0.1247103601884623,0.4539457110859982,0.8465339249592835
2023-03-29,13:00:00,4009.16,4016.29,4001.53,4014.29,2273,3965.453407985286,BULLISH_ABOVE_EMA200,-0.10113868205834521,0.27252639943800905,1.0263334238433153
2023-03-29,17:00:00,4014.79,4018.99,4001.73,4010.23,3741,3965.8989462142886,BULLISH_ABOVE_EMA200,0.4303992539081241,0.6483418656785271,0.6782653364021469
2023-03-29,21:00:00,4009.99,4030.99,4006.99,4027.49,2356,3966.5117925206146,BULLISH_ABOVE_EMA200,-0.056114354101432,0.39081412989232095,0.6564882842663807
2023-03-30,01:00:00,4026.49,4028.99,4021.99,4025.23,1535,3967.0960532915537,BULLISH_ABOVE_EMA200,0.2732763096767141,0.7517582846197549,0.9057867500739096
2023-03-30,05:00:00,4025.23,4036.23,4023.23,4036.23,1506,3967.783953258802,BULLISH_ABOVE_EMA200,0.17342916533497843,0.029730714057420365,0.5004670199666476
2023-03-30,09:00:00,4035.73,4044.49,4031.99,4043.23,2602,3968.53466019155,BULLISH_ABOVE_EMA200,0.3032229183103549,0.2646399042349759,0.3329021599068081
2023-03-30,13:00:00,4043.49,4056.23,4043.23,4055.49,2910,3969.3998874533254,BULLISH_ABOVE_EMA200,-0.4453222668530793,0.15287918352653498,0.33781367972798043
2023-03-30,17:00:00,4054.99,4056.99,4031.69,4037.43,4517,3970.0768039960785,BULLISH_ABOVE_EMA200,0.4086758160513,0.47059639424089095,1.2126526032649494
2023-03-30,21:00:00,4037.69,4055.93,4036.69,4053.93,2024,3970.9111641553213,BULLISH_ABOVE_EMA200,0.191419190760576,0.06808208331175472,1.4420574602916303
2023-03-31,01:00:00,4049.43,4064.19,4048.43,4061.69,1481,3971.814436153776,BULLISH_ABOVE_EMA200,-0.12950274393171854,0.18465220142354538,0.8346279504344273
2023-03-31,05:00:00,4061.93,4063.93,4054.93,4056.43,1419,3972.656382062694,BULLISH_ABOVE_EMA200,0.006409576893973723,0.7385804759357375,0.9589713122129581
2023-03-31,09:00:00,4056.19,4058.69,4048.43,4056.69,2451,3973.4925374650556,BULLISH_ABOVE_EMA200,0.30813298526631316,1.3730405823466982,1.1561149607192094
2023-03-31,13:00:00,4057.19,4071.93,4053.93,4069.19,3013,3974.4447510226178,BULLISH_ABOVE_EMA200,0.4226885448946797,0.6487777665825408,1.177138447700896
2023-03-31,17:00:00,4069.93,4092.13,4068.19,4086.39,2821,3975.55863409702,BULLISH_ABOVE_EMA200,0.6362584090113879,0.2187750067908363,0.5001969953920221
