trade_date,trade_time,open,high,low,close,volume,ema50,ema200,prev_ema50,prev_ema200,signal,forward_1,forward_3,forward_6
2023-03-17,01:00:00,3958.59,3964.33,3954.33,3958.59,2207,3962.913529411765,3963.0452238805974,3963.09,3963.09,BEARISH_CROSS,0.13893835936532956,-0.32233699372757013,-0.749761910175095
2023-03-22,05:00:00,4005.96,4007.33,4001.83,4004.59,1605,3962.4034551618815,3962.1942148955713,3960.6815553725705,3961.768126603064,BULLISH_CROSS,-0.13734239959646305,-0.10188308915519259,-1.1162191385385338
2023-03-24,09:00:00,3952.09,3966.59,3917.33,3918.59,4504,3961.404311391199,3962.153696884518,3963.1518343051252,3962.5915229838597,BEARISH_CROSS,0.2807132157230024,1.5653589684044438,1.786356827328197
2023-03-27,05:00:00,3984.83,3994.83,3984.33,3992.83,2008,3962.7326115002597,3962.4278517965536,3961.5041466635357,3962.1223025683785,BULLISH_CROSS,-0.10619034619555007,-0.24543995111236208,-0.2289103217517368
2023-08-17,05:00:00,4401.49,4408.73,4398.23,4402.49,1852,4470.639059082471,4472.412779899507,4473.420653330735,4473.1155214060345,BEARISH_CROSS,0.25531006316879273,-0.1794439056079545,-0.7532101151848126
2023-08-31,13:00:00,4516.79,4532.53,4516.29,4528.09,3504,4455.054856154142,4453.6429241381275,4452.073829874719,4452.89471232042,BULLISH_CROSS,-0.20008436228079388,-0.32154837911791506,-0.06978659876459731
2023-09-20,09:00:00,4439.19,4452.69,4439.19,4452.19,1826,4464.918280959236,4464.999963599607,4465.437802631041,4465.128706952367,BEARISH_CROSS,0.11769488723528626,-1.2241166706721862,-1.6791736201734273
2023-11-08,17:00:00,4387.46,4388.09,4358.63,4375.63,4365,4305.659502747292,4304.012688243206,4302.803564083916,4303.292916265751,BULLISH_CROSS,0.04296524157664403,0.17140388926851674,-0.2811023784003716
2024-04-17,17:00:00,5068.49,5068.73,5006.33,5039.33,7814,5132.120051422503,5133.956370875218,5135.907400460156,5134.907389677985,BEARISH_CROSS,-0.3718748325670234,0.038298742094688996,-0.5595982005544352
2024-05-07,13:00:00,5182.63,5194.13,5178.89,5187.13,1937,5103.7743589903275,5101.37221543071,5100.372087928708,5100.510328148605,BULLISH_CROSS,-0.05976329877987179,-0.00809696306049921,-0.19355597411285166
2024-08-02,09:00:00,5403.73,5406.73,5379.73,5384.23,6441,5486.2044825855655,5486.990742169351,5490.366706364568,5488.023513447434,BEARISH_CROSS,-0.5269091402113188,-1.0092436615820506,-3.1462251798307217
2024-08-19,05:00:00,5564.09,5568.59,5550.59,5552.21,1945,5437.129286744366,5433.996940939899,5432.432114774749,5432.808869994571,BULLISH_CROSS,0.006844121529987323,0.633621566907597,1.0370645202540958
2024-09-11,09:00:00,5470.4,5487.65,5469.63,5481.63,6591,5510.01638088332,5510.600432899054,5511.175008674477,5510.891593028693,BEARISH_CROSS,-0.524479032696479,1.2715196027458953,1.4871488954927554
2024-09-12,01:00:00,5549.85,5557.6,5548.83,5555.7,4820,5511.2709648497585,5510.858727620428,5509.457534843626,5510.4080615663615,BULLISH_CROSS,0.16073582086866264,-0.20339471173749812,0.7595802509134729
2024-12-31,13:00:00,5925.21,5931.55,5908.33,5923.12,4524,5970.516838353035,5970.966081369045,5972.451403183772,5971.446946508432,BEARISH_CROSS,-0.7777995380812766,-0.30440038358162164,0.04119450559840944
2025-01-21,13:00:00,6020.34,6035.59,6009.84,6026.34,5002,5946.080603315519,5944.8742889592495,5942.804709573295,5944.055538094519,BULLISH_CROSS,0.3483042775548638,0.620442922238032,1.0004413956066196
2025-02-27,09:00:00,5980.96,5995.44,5977.31,5991.94,4103,6032.678647442576,6032.845601928788,6034.341449379008,6033.256713505962,BEARISH_CROSS,-0.8992079359940054,-2.042410304509044,-1.8249515182061145
2025-05-02,09:00:00,5637.09,5640.36,5611.84,5624.61,5889,5501.607866933887,5501.322259109204,5496.587371706698,5500.083186336433,BULLISH_CROSS,0.5330147334659732,1.0930535628248088,0.31522185538198155
2025-11-19,09:00:00,6613.96,6644.56,6610.26,6643.56,6087,6734.876792632104,6735.311995482443,6738.604008657904,6736.234126090307,BEARISH_CROSS,0.42748165140376,0.4982268542769156,1.2222362709149885
2025-11-27,13:00:00,6813.56,6816.86,6810.06,6812.56,2137,6727.338773777151,6725.707474014039,6723.8603563803,6724.834584305637,BULLISH_CROSS,0.013210892821489075,0.1467876980166046,0.46384912573246256
2026-02-16,09:00:00,6844.96,6867.73,6844.58,6860.13,7598,6897.631607646981,6898.607162804992,6899.162285510123,6898.99386795881,BEARISH_CROSS,-0.27725422112992665,-0.6915320846689568,-1.1351096845103503
2026-04-10,21:00:00,6818.61,6823.71,6810.41,6823.21,5643,6681.080154767942,6680.377007141928,6675.278936595205,6678.941499676017,BULLISH_CROSS,-0.8280560029663456,-0.7005500343679908,0.9643554866404549
