trade_date,trade_time,open,high,low,close,volume,ema50,sma50,prev_ema50,prev_sma50,signal,forward_1,forward_3,forward_6
2023-04-10,01:00:00,4110.99,4115.99,4104.23,4106.49,1442,4071.5756529427636,4071.8327999999997,4070.150577552672,4069.1767999999997,BEARISH_CROSS,-0.1095826362660082,-0.7914301508100593,0.1787414555983369
2023-04-17,21:00:00,4124.83,4154.59,4122.59,4151.59,1840,4113.027140859316,4112.7392,4111.4531466086755,4111.6792000000005,BULLISH_CROSS,0.017824496156888844,0.3372201975628614,0.06021789242193954
2023-04-19,09:00:00,4148.33,4148.59,4128.09,4129.83,2297,4124.387355467402,4124.4116,4124.16520671097,4123.8408,BEARISH_CROSS,0.10896332294549654,0.4891242496664468,-0.11622754447520073
2023-05-01,09:00:00,4173.79,4177.29,4166.79,4171.29,1624,4123.659168041309,4122.9264,4121.715052451158,4122.477199999999,BULLISH_CROSS,-0.021096591222382267,-0.2565153705448391,-0.23254197142849858
2023-05-05,01:00:00,4063.89,4078.89,4063.39,4077.39,1650,4116.819687278684,4116.9698,4118.429062269651,4118.0846,BEARISH_CROSS,-0.04316486772174758,0.858392255830334,1.3523356853281112
2023-05-05,21:00:00,4129.29,4147.79,4128.79,4133.16,2163,4115.168886165577,4115.1508,4114.434554988661,4114.743399999999,BULLISH_CROSS,-0.015242574688618615,0.14202208479710177,0.09798798014110709
2023-05-08,01:00:00,4137.79,4139.29,4128.03,4132.53,1554,4115.849714159083,4116.2028,4115.168886165577,4115.1508,BEARISH_CROSS,-0.012099125717175677,-0.012099125717175677,0.07985422973336388
2023-05-11,17:00:00,4109.83,4131.29,4108.09,4122.03,5443,4124.157886436602,4123.7454,4124.244738944218,4124.7306,BULLISH_CROSS,0.254728859324168,0.4002882075094068,-0.5167356860576022
2023-05-17,05:00:00,4117.69,4120.43,4113.93,4115.93,1173,4125.425614610547,4125.7044,4125.8131907171,4124.603,BEARISH_CROSS,0.1700709195734621,1.1807780987528809,0.9441365620892403
2023-05-18,13:00:00,4166.29,4170.53,4148.03,4156.53,2432,4132.116534578876,4132.0198,4131.120066602503,4131.5298,BULLISH_CROSS,0.13472776570842418,1.157215273316934,1.3318801981460637
2023-05-25,01:00:00,4142.83,4142.83,4121.33,4128.59,2602,4155.735430548554,4156.1762,4156.843407305638,4155.619,BEARISH_CROSS,0.05425581130603382,0.12110672166526586,0.3933546319687782
2023-05-31,21:00:00,4186.59,4195.09,4179.09,4182.83,2689,4180.479701213086,4179.9924,4180.383770650355,4180.4636,BULLISH_CROSS,-0.03586088844155751,0.2032117011688259,1.0103207636934854
2023-06-21,01:00:00,4388.21,4394.59,4386.59,4393.09,1435,4365.566169821766,4366.0256,4364.442748181838,4363.4704,BEARISH_CROSS,-0.10243359457693788,-0.557694014918884,-0.6874432347163345
2023-06-30,09:00:00,4402.93,4412.69,4397.69,4410.93,1968,4372.009459372788,4371.2388,4370.420865877799,4371.012,BULLISH_CROSS,0.6633521728977633,0.7753466955948024,0.905931402221301
2023-07-07,21:00:00,4431.83,4432.59,4396.33,4401.83,2082,4414.1531413742605,4414.8162,4414.656126736475,4413.6422,BEARISH_CROSS,-0.24989606595438715,-0.24762428353661176,0.20582348704971343
2023-07-14,01:00:00,4506.29,4509.79,4501.53,4505.03,1409,4440.646485737991,4439.477199999999,4438.018587196684,4438.3944,BULLISH_CROSS,0.0945609685174176,0.3413961727224926,-0.1598213552406936
2023-07-21,21:00:00,4554.13,4554.39,4533.39,4535.13,2237,4516.278293767993,4516.4547999999995,4515.508836370768,4514.1048,BEARISH_CROSS,-0.016317062575930165,0.27121604011351785,0.5049469364714934
2023-08-14,13:00:00,4473.76,4478.89,4452.39,4460.13,4008,4495.063065611643,4494.5905999999995,4496.488905024363,4496.5198,BULLISH_CROSS,0.4573857712667486,0.8638761650445109,0.014797774952744753
2023-08-16,09:00:00,4437.09,4451.33,4432.71,4439.33,2758,4482.869577595782,4483.075199999999,4484.646703211936,4484.6192,BEARISH_CROSS,0.07884072596540469,-0.7960660730335467,-0.5766635956326825
2023-08-23,17:00:00,4410.91,4443.53,4408.03,4442.53,3816,4419.8246199839805,4418.8754,4418.8978697792445,4419.2706,BULLISH_CROSS,0.4614487690572714,0.6190166414182909,-0.9778211964803749
2023-09-06,21:00:00,4455.69,4467.19,4454.93,4463.93,2093,4483.403603129457,4483.7222,4484.198444073516,4482.050200000001,BEARISH_CROSS,-0.022401784974226745,-0.2128169572551541,-0.2419392777216529
2023-09-15,01:00:00,4507.83,4511.09,4506.83,4511.09,1473,4477.26958573297,4476.0362000000005,4475.889160660847,4476.217,BULLISH_CROSS,0.08290679192833177,-0.6818751122234363,-1.2258678057853019
2023-09-19,21:00:00,4438.43,4449.69,4435.69,4445.19,2020,4467.4817678647805,4468.2716,4468.391635940894,4468.0904,BEARISH_CROSS,-0.06208958447218925,0.15747358380631649,-1.0685707472571477
2023-10-02,01:00:00,4310.46,4314.83,4300.59,4313.09,2114,4333.0278239581185,4332.0974,4333.8416126911025,4334.5994,BULLISH_CROSS,-0.24947311556216584,-0.7943261095873311,-0.593541984980614
2023-10-18,13:00:00,4358.33,4359.83,4346.83,4351.09,3433,4343.634980732459,4344.7168,4343.330694231743,4342.6902,BEARISH_CROSS,-0.317161906556752,-0.9147133247071466,-0.7372865190101774
2023-10-31,21:00:00,4189.19,4195.19,4180.93,4182.93,2580,4199.434678969666,4197.448,4200.108339335774,4200.1696,BULLISH_CROSS,-0.07172006225301403,-0.1515683982280398,1.347380902859949
2023-11-13,13:00:00,4409.59,4410.59,4392.09,4395.83,2322,4343.248616177513,4345.169,4341.102437245983,4340.8841999999995,BEARISH_CROSS,0.41539367991938314,0.37535573486690793,2.110181694924513
2023-11-16,01:00:00,4498.89,4504.63,4491.39,4493.51,1496,4404.025370320497,4403.3308,4400.372936456028,4400.8072,BULLISH_CROSS,0.20295937919354556,0.3587396044517513,0.44775687602786884
2023-11-22,13:00:00,4546.31,4567.69,4543.69,4553.19,2505,4487.174046011735,4487.8398,4484.47951727752,4483.8278,BEARISH_CROSS,0.11069162499258683,0.03448131969016489,0.08389722370471293
2023-12-11,21:00:00,4618.23,4623.73,4615.23,4621.23,1338,4575.092942615199,4574.0382,4573.209797415819,4573.3394,BULLISH_CROSS,0.06838006331649288,0.05193422530366474,0.5530994994839123
2023-12-21,13:00:00,4721.09,4745.33,4720.59,4732.83,2618,4701.8818071905225,4702.1576000000005,4700.618615647279,4699.5076,BEARISH_CROSS,-0.18382236420914796,0.1956546083421593,0.776702311302122
2024-01-10,21:00:00,4774.43,4791.19,4768.93,4783.83,2249,4739.450406718885,4738.9988,4737.638994748227,4739.1140000000005,BULLISH_CROSS,0.13085749284569514,0.13085749284569514,-0.1331569056592707
2024-01-18,01:00:00,4736.01,4741.09,4732.63,4738.09,1165,4755.17868706193,4756.5662,4755.8761844930295,4755.8222000000005,BEARISH_CROSS,0.06838198514590862,0.3482415910208544,0.997026227868187
2024-01-22,09:00:00,4850.33,4856.46,4847.83,4853.59,2020,4776.57979353708,4776.1666,4773.4365198038995,4774.1534,BULLISH_CROSS,0.2781446310875043,-0.05274446337660165,-0.06387024862010107
2024-01-31,01:00:00,4906.01,4909.39,4903.13,4905.39,1250,4870.236042438312,4871.6074,4868.8011870276305,4868.6262,BEARISH_CROSS,-0.04342162396873865,-0.2854003453344178,-0.8827024966414531
2024-02-07,17:00:00,4973.09,4999.03,4969.33,4995.53,4656,4920.598373979166,4920.0396,4917.5399402640305,4917.8608,BULLISH_CROSS,0.010008947999511564,-0.010008947999511564,-0.008807874239562166
2024-02-13,17:00:00,4950.09,4971.33,4944.09,4948.59,4756,4972.204618411797,4972.214,4973.168480387788,4970.564,BEARISH_CROSS,0.16166221085198007,0.2020777635649751,0.5900670696097235
2024-02-23,01:00:00,5084.59,5090.59,5080.59,5088.83,1773,5004.873999431708,5003.8308,5001.447223898309,5002.612,BULLISH_CROSS,0.02476011185282704,0.35882511304170545,-0.16899758883673388
2024-03-04,21:00:00,5135.19,5149.69,5125.69,5126.43,1846,5079.960721545735,5081.248,5078.064016302704,5077.952,BEARISH_CROSS,-0.08465930481836571,-0.20169981839213927,-0.8161625146544504
2024-03-08,05:00:00,5153.99,5162.23,5152.73,5158.61,912,5100.697340848943,5100.3886,5098.333558842777,5098.537,BULLISH_CROSS,0.060481408751580194,-0.6761511337356403,-0.7298477690695679
2024-03-11,09:00:00,5121.33,5124.83,5103.33,5117.46,2816,5109.239498910165,5109.5778,5108.903968253437,5108.8112,BEARISH_CROSS,-0.32242557831424185,0.1387407033958324,0.21006514950776362
2024-03-14,05:00:00,5171.63,5172.89,5168.63,5172.39,978,5132.846674571767,5132.4856,5131.232661288982,5131.67,BULLISH_CROSS,0.2101543000431114,-0.43500200100920466,-0.476762193106103
2024-03-15,21:00:00,5119.23,5125.99,5112.23,5118.49,2853,5136.093725847988,5136.3276,5136.812245270355,5136.032,BEARISH_CROSS,0.14730906966703,0.3426791885888214,0.6134621734144357
2024-03-21,01:00:00,5232.09,5241.83,5231.33,5238.09,1142,5153.80666518865,5153.0512,5150.366529073901,5150.764,BULLISH_CROSS,0.18594564049109086,0.3077457622912147,0.0904909995819045
2024-04-02,01:00:00,5237.59,5237.59,5231.09,5234.33,1094,5214.374934199801,5214.6798,5213.560441718159,5212.7138,BEARISH_CROSS,0.009552320927415734,-0.8119472788303375,-0.6770685073352196
2024-04-24,05:00:00,5086.26,5093.13,5085.13,5091.89,1140,5059.684155574659,5056.2364,5058.3696313124,5058.3812,BULLISH_CROSS,-0.363322852614648,-0.23566887737166356,-1.111571538269687
2024-05-02,21:00:00,5053.33,5085.59,5051.33,5082.96,4378,5063.689314060038,5064.656599999999,5062.902755450244,5062.81,BEARISH_CROSS,-0.017116011143111315,0.0049183940066417995,1.0165336732927286
2024-05-06,05:00:00,5134.19,5134.69,5129.69,5132.19,690,5077.743983758665,5077.3652,5075.521697381468,5076.2592,BULLISH_CROSS,0.1897825294854768,0.6196185254248222,0.9391702177822866
2024-05-15,05:00:00,5249.59,5253.33,5247.59,5249.46,441,5189.147721929432,5189.323,5186.685996293898,5185.9929999999995,BEARISH_CROSS,-0.04057560206192845,0.9873396501735403,1.2667969657831473
2024-05-16,09:00:00,5315.09,5315.83,5310.96,5311.83,1430,5215.431604820901,5215.1795999999995,5211.496976446244,5211.629199999999,BULLISH_CROSS,0.0,-0.3520443990112601,-0.29067195298041537
2024-05-21,13:00:00,5307.59,5311.83,5300.33,5304.83,2026,5264.141309339211,5264.5322,5262.480546455096,5262.062199999999,BEARISH_CROSS,0.21602954288827422,0.3770149090545786,0.2921865545172984
2024-06-05,17:00:00,5308.21,5341.39,5294.59,5340.89,3963,5281.352108685993,5280.616999999999,5278.921990673176,5279.303000000001,BULLISH_CROSS,0.2621285965447706,0.24902216671751845,0.14791542233597088
2024-06-21,17:00:00,5459.59,5477.83,5456.59,5460.83,5063,5444.066869350073,5445.2614,5443.38265993579,5443.2674,BEARISH_CROSS,0.13734175940287466,0.09705484331136809,-0.009156117293524977
2024-07-03,13:00:00,5512.83,5517.09,5502.83,5516.33,2013,5475.501421856801,5474.869000000001,5473.834949279528,5474.169,BULLISH_CROSS,0.31832758373774594,0.3128891853823143,0.2561485625406767
2024-07-16,05:00:00,5639.83,5643.83,5639.83,5642.83,572,5587.28746610368,5587.300200000001,5585.02042390383,5584.7702,BEARISH_CROSS,-0.12405122961350955,0.12865884671344377,0.1878490048433209
2024-07-16,21:00:00,5649.83,5669.83,5644.09,5664.33,2693,5596.6140060911675,5596.5812,5593.850087972439,5594.0164,BULLISH_CROSS,-0.07767909002476261,-0.6821636451266139,-1.2612259525839702
2024-07-17,01:00:00,5665.09,5666.33,5658.83,5659.93,777,5599.0969862444545,5599.157999999999,5596.6140060911675,5596.5812,BEARISH_CROSS,-0.11484240971178089,-0.7862288049498845,-0.9788106920050345
2024-07-31,09:00:00,5475.13,5491.63,5470.39,5485.89,3741,5489.815354100752,5489.0978000000005,5489.975572635476,5490.4965999999995,BULLISH_CROSS,0.3233750585593182,0.8385148079892232,0.9938223332950447
2024-08-05,09:00:00,5191.96,5248.21,5171.83,5214.83,10964,5441.568019057343,5443.5271999999995,5450.822632080091,5449.9572,BEARISH_CROSS,-0.8891948539070285,0.04794020131049335,-0.08130658142259252
2024-08-12,13:00:00,5349.83,5364.09,5322.96,5326.96,4248,5331.70246269872,5329.1376,5331.89603260479,5332.111,BULLISH_CROSS,0.21531980716957244,0.3936579212158577,1.2008725426885176
2024-08-23,13:00:00,5599.33,5609.59,5598.09,5607.46,2472,5543.573379931406,5545.477800000001,5540.965762785749,5540.4724,BEARISH_CROSS,0.1271520438843988,0.5016531549043615,0.6004501146686748
2024-09-12,13:00:00,5563.13,5572.65,5534.38,5544.4,7403,5516.456442119617,5516.2382,5515.3158887367445,5518.2554,BULLISH_CROSS,0.982613087078863,0.9649375946901378,1.2818339225164241
2024-09-24,21:00:00,5727.58,5736.85,5716.85,5736.08,4996,5665.446143359496,5666.3392,5662.563128802741,5662.5055999999995,BEARISH_CROSS,-0.18828189286063274,-0.15428655109413333,-0.17381208072412266
2024-10-09,21:00:00,5777.45,5796.85,5774.33,5787.1,5224,5725.728897510654,5725.1812,5723.223954551905,5724.4874,BULLISH_CROSS,0.05615938898584783,-0.03801558639043264,-0.04786507922794554
2024-10-21,05:00:00,5869.59,5869.84,5859.59,5859.84,1180,5819.789987583997,5820.142200000001,5818.155293199669,5817.9354,BEARISH_CROSS,-0.08413198995194905,-0.16212046745303627,-0.307175622542595
2024-11-06,17:00:00,5877.9,5923.42,5877.89,5919.06,8586,5794.871131910877,5793.6912,5789.802198519485,5791.821800000001,BULLISH_CROSS,0.2747057809854826,0.30325761185052724,0.7839082557027575
2024-11-15,05:00:00,5933.64,5936.64,5916.39,5922.89,2098,5938.429923451032,5941.045800000001,5939.064206040869,5936.9374,BEARISH_CROSS,-0.1330431596737422,-1.084774493532718,-0.5770831469097061
2024-11-25,09:00:00,5991.84,5999.09,5989.34,5999.09,1793,5932.687318152635,5930.98,5929.977004607845,5930.5794,BULLISH_CROSS,0.07367784113924065,-0.09484771857065837,-0.14818914201987848
2024-12-04,13:00:00,6064.45,6072.08,6063.97,6068.93,2372,6013.152275827408,6013.2514,6010.875634024445,6010.7762,BEARISH_CROSS,0.027681980184305663,0.1832283450295174,0.30466655571904405
2024-12-05,21:00:00,6083.01,6086.28,6068.68,6072.58,2433,6031.519122618304,6031.515600000001,6029.843168439459,6029.9057999999995,BULLISH_CROSS,0.023548475277399245,-0.04890837172997728,0.2175352156743927
2024-12-09,01:00:00,6084.94,6091.44,6082.69,6085.69,1654,6044.080686385696,6044.221600000001,6042.3823470545,6042.3118,BEARISH_CROSS,-0.012323992842224959,-0.042723175186370886,-0.5991103720366966
2024-12-09,13:00:00,6082.06,6087.06,6077.19,6083.09,2370,6048.5160372148775,6048.4626,6047.104855060383,6047.276800000001,BULLISH_CROSS,-0.24428374395250738,-0.556625004726226,-0.40900266147632386
2024-12-09,17:00:00,6082.71,6083.84,6054.34,6068.23,4702,6049.289133794686,6049.3261999999995,6048.5160372148775,6048.4626,BEARISH_CROSS,-0.2583949520700333,-0.29745082173878173,-0.32975019074753775
2024-12-26,21:00:00,6037.7,6045.98,6031.77,6033.46,3133,5992.267641733048,5990.065600000001,5990.586320987457,5990.8405999999995,BULLISH_CROSS,-0.06414229977492004,-0.24861356501907692,-0.9571622253234463
2025-01-03,09:00:00,5882.84,5895.59,5877.84,5883.09,3985,5941.834182622863,5943.278200000001,5944.231904362572,5943.091599999999,BEARISH_CROSS,0.3168402999104113,0.9348828591777449,1.4575673668089388
2025-01-08,13:00:00,5929.35,5930.09,5882.22,5896.21,9804,5944.07076023644,5943.3856000000005,5946.024260654253,5946.208199999999,BULLISH_CROSS,0.07818581766931083,0.2209894152345277,0.07886421955798108
2025-01-13,09:00:00,5803.24,5806.24,5769.24,5777.11,5902,5907.8499784457235,5908.660399999999,5913.186304096569,5911.8014,BEARISH_CROSS,0.3718122036797027,1.1339579824514372,1.537966214941387
2025-01-16,21:00:00,5934.09,5954.34,5923.62,5930.33,4396,5902.523097250395,5901.0470000000005,5901.388121627962,5901.4172,BULLISH_CROSS,0.21550234135368093,0.4849645803859181,1.0709353442388572
2025-01-27,21:00:00,5985.12,6023.17,5982.4,6016.96,6336,6020.548016503931,6023.8584,6020.694466157152,6020.568200000001,BEARISH_CROSS,-0.09340264851353326,0.3071318406637166,0.7088297080253091
2025-02-07,13:00:00,6080.84,6100.34,6065.21,6097.34,4809,6042.106091634315,6041.969400000001,6039.851646394899,6040.1885999999995,BULLISH_CROSS,-1.0812911859925851,-0.915153165150708,-0.7224461814496187
2025-02-07,17:00:00,6096.26,6096.26,6025.43,6031.41,14643,6041.68663706042,6041.8888,6042.106091634315,6041.969400000001,BEARISH_CROSS,-0.06830906869206191,0.20111383573658748,0.6230715537494537
2025-02-10,09:00:00,6043.79,6054.04,6040.41,6052.79,2418,6041.68586122017,6041.3730000000005,6041.232631065891,6041.5898,BULLISH_CROSS,0.008260653351594885,0.2050294161865826,-0.1470396296583829
2025-02-21,17:00:00,6098.96,6099.84,6029.4,6031.03,9511,6099.936255721143,6101.011799999999,6102.748755954659,6101.3902,BEARISH_CROSS,-0.30575208546466526,0.2165467590113198,-0.17973712616253187
