trade_date,trade_time,open,high,low,close,volume,prev_open,prev_close,prev_body_high,prev_body_low,curr_body_high,curr_body_low,prev_bearish,prev_bullish,curr_bullish,curr_bearish,signal,forward_1,forward_3,forward_6
2023-03-21,09:00:00,3955.33,3974.33,3953.71,3973.59,3362,3958.83,3955.33,3958.83,3955.33,3973.59,3955.33,True,False,True,False,BULLISH_ENGULFING,0.5284893509395786,0.823940064274366,0.6417370689980596
2023-03-27,17:00:00,3995.83,3997.09,3970.29,3983.03,6396,3988.83,3995.59,3995.59,3988.83,3995.83,3983.03,False,True,False,True,BEARISH_ENGULFING,0.02510651438728807,0.016570299495606473,-0.7843275094588853
2023-03-28,05:00:00,3979.93,3984.93,3978.69,3983.69,1525,3982.93,3980.19,3982.93,3980.19,3983.69,3979.93,True,False,True,False,BULLISH_ENGULFING,-0.2510235485190866,-0.8007651197758885,0.39159673568977277
2023-03-28,09:00:00,3983.93,3993.93,3972.93,3973.69,2922,3979.93,3983.69,3983.69,3979.93,3983.93,3973.69,False,True,False,True,BEARISH_ENGULFING,-0.10720514182032867,0.07147009454688578,0.8958927344609143
2023-03-28,21:00:00,3951.29,3977.29,3951.03,3976.53,2590,3969.19,3951.79,3969.19,3951.79,3976.53,3951.29,True,False,True,False,BULLISH_ENGULFING,0.23890175605364472,0.8238338450860364,1.2815193145782775
2023-03-29,21:00:00,4009.99,4030.99,4006.99,4027.49,2356,4014.79,4010.23,4014.79,4010.23,4027.49,4009.99,True,False,True,False,BULLISH_ENGULFING,-0.056114354101432,0.39081412989232095,0.6564882842663807
2023-03-30,05:00:00,4025.23,4036.23,4023.23,4036.23,1506,4026.49,4025.23,4026.49,4025.23,4036.23,4025.23,True,False,True,False,BULLISH_ENGULFING,0.17342916533497843,0.029730714057420365,0.5004670199666476
2023-04-04,05:00:00,4120.33,4125.59,4118.33,4121.83,1396,4121.09,4120.59,4121.09,4120.59,4121.83,4120.33,True,False,True,False,BULLISH_ENGULFING,0.370223905401247,-0.5337435071315411,-0.56382723207895
2023-04-05,17:00:00,4095.96,4097.46,4071.73,4084.23,4308,4089.09,4094.59,4094.59,4089.09,4095.96,4084.23,False,True,False,True,BEARISH_ENGULFING,0.07981920704758948,-0.08569546768913602,0.41770419393618735
2023-04-06,09:00:00,4080.73,4091.23,4080.23,4084.99,1815,4081.23,4080.73,4081.23,4080.73,4084.99,4080.73,True,False,True,False,BULLISH_ENGULFING,-0.28151843700963775,0.4479815128066454,0.4122409112384644
2023-04-06,13:00:00,4085.23,4095.99,4069.23,4073.49,2727,4080.73,4084.99,4084.99,4080.73,4085.23,4073.49,False,True,False,True,BEARISH_ENGULFING,0.6824614765225933,0.6284537337762057,1.0089628303985125
2023-04-07,05:00:00,4099.09,4102.09,4099.09,4101.59,940,4101.09,4099.09,4101.09,4099.09,4101.59,4099.09,True,False,True,False,BULLISH_ENGULFING,0.0058513893392509175,0.11946586567647269,-0.6729097740144764
2023-04-10,09:00:00,4101.99,4107.99,4099.99,4106.49,1265,4106.49,4101.99,4106.49,4101.99,4106.49,4101.99,True,False,True,False,BULLISH_ENGULFING,-0.7914301508100593,0.14708424956593014,0.35553477544083545
2023-04-10,13:00:00,4106.49,4107.49,4071.99,4073.99,2479,4101.99,4106.49,4106.49,4101.99,4106.49,4073.99,False,True,False,True,BEARISH_ENGULFING,0.6332857959887035,0.9779110896197621,0.842908303653179
2023-04-11,13:00:00,4121.33,4121.59,4106.09,4108.33,2389,4114.59,4121.09,4121.09,4114.59,4121.33,4108.33,False,True,False,True,BEARISH_ENGULFING,0.3178907244549586,0.0778905297286201,0.28478724932027905
2023-04-11,17:00:00,4108.09,4121.63,4101.89,4121.39,3263,4121.33,4108.33,4121.33,4108.33,4121.39,4108.09,True,False,True,False,BULLISH_ENGULFING,-0.2368133081314852,-0.20866746413225548,-0.007279097586013017
2023-04-14,13:00:00,4139.53,4162.79,4136.03,4157.16,3588,4144.79,4140.29,4144.79,4140.29,4157.16,4139.53,True,False,True,False,BULLISH_ENGULFING,-0.8436047686401222,-0.29034244532324255,-0.4529534586111655
2023-04-14,17:00:00,4157.91,4161.79,4112.33,4122.09,5986,4139.53,4157.16,4157.16,4139.53,4157.91,4122.09,False,True,False,True,BEARISH_ENGULFING,0.5822289178547775,0.6064884560987266,0.06064884560987266
2023-04-21,17:00:00,4120.59,4136.29,4113.29,4134.03,5019,4128.59,4120.83,4128.59,4120.83,4134.03,4120.59,True,False,True,False,BULLISH_ENGULFING,-0.054184415691220955,-0.404931749406748,-0.0217705241616446
2023-04-26,09:00:00,4093.59,4093.59,4078.09,4084.09,2505,4092.33,4093.33,4093.33,4092.33,4093.59,4084.09,False,True,False,True,BEARISH_ENGULFING,-0.12879246049916182,-0.4838287109245932,-0.22036732785026772
2023-04-27,05:00:00,4064.33,4071.83,4063.33,4070.83,1372,4065.83,4064.59,4065.83,4064.59,4070.83,4064.33,True,False,True,False,BULLISH_ENGULFING,0.10464696388697682,1.1938597288513735,1.574617461303969
2023-05-01,05:00:00,4168.03,4175.91,4167.79,4174.03,1280,4168.91,4168.03,4168.91,4168.03,4174.03,4168.03,True,False,True,False,BULLISH_ENGULFING,-0.06564399393391475,0.1811199248687815,-0.17824500542640087
2023-05-03,01:00:00,4116.39,4125.63,4115.63,4122.89,1305,4119.39,4116.63,4119.39,4116.63,4122.89,4116.39,True,False,True,False,BULLISH_ENGULFING,0.10914673930180042,0.2604968844669584,-0.8625017887937927
2023-05-04,09:00:00,4099.83,4100.09,4081.59,4085.09,3360,4087.59,4099.33,4099.33,4087.59,4099.83,4085.09,False,True,False,True,BEARISH_ENGULFING,-0.5204291704711577,-0.5931325870421463,-0.07833364748390544
2023-05-04,21:00:00,4072.23,4073.49,4056.23,4060.86,4465,4063.33,4071.99,4071.99,4063.33,4072.23,4060.86,False,True,False,True,BEARISH_ENGULFING,0.4070566333239694,0.5178705988386634,1.7804110459360756
2023-05-05,09:00:00,4075.39,4082.63,4071.13,4081.89,2539,4077.13,4075.63,4077.13,4075.63,4081.89,4075.39,True,False,True,False,BULLISH_ENGULFING,0.7472028888578687,1.2560358069423718,1.3998417399782912
2023-05-08,09:00:00,4131.79,4141.03,4131.53,4139.03,1803,4132.79,4132.03,4132.79,4132.03,4139.03,4131.79,True,False,True,False,BULLISH_ENGULFING,-0.16912175074836377,-0.04397165519456755,-0.36723580162501407
2023-05-10,17:00:00,4135.59,4146.59,4098.09,4110.59,6303,4114.83,4135.09,4135.09,4114.83,4135.59,4110.59,False,True,False,True,BEARISH_ENGULFING,0.6811674236545119,0.9001140955434621,0.2783055473788337
2023-05-11,13:00:00,4149.59,4151.33,4108.59,4110.09,4208,4147.33,4149.59,4149.59,4147.33,4149.59,4110.09,False,True,False,True,BEARISH_ENGULFING,0.2905045874907751,0.7226119136077268,0.5856319447992553
2023-05-12,09:00:00,4138.29,4151.53,4135.53,4146.29,2306,4139.53,4138.53,4139.53,4138.53,4146.29,4138.29,True,False,True,False,BULLISH_ENGULFING,-0.2925506898938596,-0.6584199368592207,-0.1943906480251116
2023-05-12,13:00:00,4146.53,4149.29,4133.79,4134.16,2449,4138.29,4146.29,4146.29,4138.29,4146.53,4134.16,False,True,False,True,BEARISH_ENGULFING,-0.80862859686128,-0.28857131799447266,-0.43950887241906633
2023-05-15,13:00:00,4138.49,4141.73,4115.49,4115.99,2367,4132.49,4138.23,4138.23,4132.49,4138.49,4115.99,False,True,False,True,BEARISH_ENGULFING,0.34742552824472805,0.3775519376869226,0.177357087845213
2023-05-16,09:00:00,4126.53,4138.03,4122.53,4133.53,2088,4131.29,4126.79,4131.29,4126.79,4133.53,4126.53,True,False,True,False,BULLISH_ENGULFING,-0.2477301483235826,-0.43788239107976606,-0.2564394113505758
2023-05-16,21:00:00,4125.93,4126.69,4106.93,4115.43,1989,4123.53,4125.69,4125.69,4123.53,4125.93,4115.43,False,True,False,True,BEARISH_ENGULFING,0.06074699363128518,0.18224098089385554,1.0171476613622312
2023-05-17,09:00:00,4115.69,4122.93,4108.93,4122.93,2071,4117.69,4115.93,4117.69,4115.93,4122.93,4115.69,True,False,True,False,BULLISH_ENGULFING,-0.21829136075557914,0.8333879061735142,1.0453730720628158
2023-05-17,13:00:00,4123.19,4131.43,4112.93,4113.93,2094,4115.69,4122.93,4122.93,4115.69,4123.19,4113.93,False,True,False,True,BEARISH_ENGULFING,1.229967452047056,0.9689032142014976,1.0355061948064126
2023-05-19,17:00:00,4212.13,4212.89,4179.09,4185.59,5571,4205.63,4211.89,4211.89,4205.63,4212.13,4185.59,False,True,False,True,BEARISH_ENGULFING,0.0,0.09556597755633017,0.26280643827990796
2023-05-22,01:00:00,4178.83,4190.83,4178.83,4187.09,1622,4186.09,4185.59,4186.09,4185.59,4187.09,4178.83,True,False,True,False,BULLISH_ENGULFING,0.05970733850956153,0.2030049509325092,0.4537757726726676
2023-05-22,13:00:00,4189.09,4208.83,4185.59,4195.59,2442,4189.83,4189.33,4189.83,4189.33,4195.59,4189.09,True,False,True,False,BULLISH_ENGULFING,0.02383455008711528,0.25026277591471047,-0.3398806842422691
2023-05-29,17:00:00,4212.66,4218.53,4212.53,4216.53,968,4216.03,4212.79,4216.03,4212.79,4216.53,4212.66,True,False,True,False,BULLISH_ENGULFING,-0.01754997592806838,0.27890232015425526,-0.2072794454207555
2023-05-31,05:00:00,4203.53,4203.79,4192.03,4195.03,1628,4202.66,4203.29,4203.29,4202.66,4203.53,4195.03,False,True,False,True,BEARISH_ENGULFING,0.03003554205810729,-0.1954694006955807,-0.21930713248772518
2023-05-31,13:00:00,4196.79,4199.03,4184.03,4185.29,2959,4194.79,4196.29,4196.29,4194.79,4196.79,4185.29,False,True,False,True,BEARISH_ENGULFING,0.03679553866040259,-0.09461709941246692,-0.21981750368552283
2023-06-01,05:00:00,4181.09,4187.59,4176.59,4185.83,1760,4181.59,4181.33,4181.59,4181.33,4185.83,4181.09,True,False,True,False,BULLISH_ENGULFING,0.13139568496570572,0.9197697947599401,1.064543949467618
2023-06-01,13:00:00,4191.59,4195.09,4169.59,4176.09,3426,4186.09,4191.33,4191.33,4186.09,4191.59,4176.09,False,True,False,True,BEARISH_ENGULFING,1.1551475183724436,1.1503583495566416,1.664236163492645
2023-06-02,01:00:00,4225.89,4226.13,4222.63,4224.13,1341,4224.59,4225.09,4225.09,4224.59,4225.89,4224.13,False,True,False,True,BEARISH_ENGULFING,0.14819619661327227,0.5080336069202424,1.275055455206153
2023-06-07,09:00:00,4285.29,4286.03,4275.53,4279.79,2049,4284.29,4285.03,4285.03,4284.29,4285.29,4279.79,False,True,False,True,BEARISH_ENGULFING,0.2920704053236257,-0.26169508316996437,-0.20935606653597577
2023-06-07,13:00:00,4279.53,4298.53,4279.53,4292.29,2221,4285.29,4279.79,4285.29,4279.79,4292.29,4279.53,True,False,True,False,BULLISH_ENGULFING,-0.5288552264641908,-0.5465613926365654,-0.628102947377741
2023-06-07,17:00:00,4293.03,4296.03,4263.59,4269.59,5263,4279.53,4292.29,4292.29,4279.53,4293.03,4269.59,False,True,False,True,BEARISH_ENGULFING,-0.023421452645335968,-0.13490756723714029,0.3466374991509766
2023-06-08,09:00:00,4263.59,4271.83,4259.09,4270.83,2233,4269.09,4263.83,4269.09,4263.83,4270.83,4263.59,True,False,True,False,BULLISH_ENGULFING,-0.12878058831655673,0.545561401413781,0.41116129651614325
2023-06-13,13:00:00,4347.11,4373.73,4334.99,4358.99,4314,4349.99,4347.23,4349.99,4347.23,4358.99,4347.11,True,False,True,False,BULLISH_ENGULFING,0.25923436392375715,0.23629326977121268,0.39688092883902426
2023-06-14,05:00:00,4369.53,4370.79,4366.29,4369.03,1272,4369.03,4369.29,4369.29,4369.03,4369.53,4369.03,False,True,False,True,BEARISH_ENGULFING,0.12039285608018756,0.09338457277702207,0.03891023865708906
2023-06-14,09:00:00,4368.79,4380.29,4366.79,4374.29,2107,4369.53,4369.03,4369.53,4369.03,4374.29,4368.79,True,False,True,False,BULLISH_ENGULFING,0.04572170569395262,0.021489201676148584,-0.35571487029896054
2023-06-14,17:00:00,4376.79,4391.49,4369.99,4373.11,3370,4374.53,4376.29,4376.29,4374.53,4376.79,4373.11,False,True,False,True,BEARISH_ENGULFING,0.048478085390028854,-0.05442351095673581,1.04456553802672
2023-06-15,09:00:00,4370.99,4370.99,4356.73,4358.73,2544,4365.49,4370.73,4370.73,4365.49,4370.99,4358.73,False,True,False,True,BEARISH_ENGULFING,0.6079752588483344,1.4696941540311146,1.6312090907213885
2023-06-19,13:00:00,4410.69,4411.19,4400.19,4400.69,1676,4409.19,4410.43,4410.43,4409.19,4410.69,4400.69,False,True,False,True,BEARISH_ENGULFING,0.07362481792629545,-0.0649898084164,-0.21814760867044614
2023-06-20,01:00:00,4406.59,4406.59,4398.59,4399.59,1472,4400.43,4403.93,4403.93,4400.43,4406.59,4399.59,False,True,False,True,BEARISH_ENGULFING,-0.04000372762007865,-0.22729390693223683,-0.14774103950595396
2023-06-21,13:00:00,4390.59,4393.59,4365.33,4368.59,2782,4388.09,4390.33,4390.33,4388.09,4390.59,4368.59,False,True,False,True,BEARISH_ENGULFING,0.149705053575638,-0.13047688155674525,-0.12956125431775137
2023-06-21,21:00:00,4375.39,4386.39,4362.63,4365.63,2451,4369.09,4375.13,4375.13,4369.09,4375.39,4365.63,False,True,False,True,BEARISH_ENGULFING,-0.06276299182477173,-0.17729399880429128,0.4320109583267403
2023-06-22,13:00:00,4357.63,4366.19,4349.13,4362.93,2989,4358.13,4357.89,4358.13,4357.89,4362.93,4357.63,True,False,True,False,BULLISH_ENGULFING,0.2360798820975645,0.17877893984087004,-0.31951005402334004
2023-06-23,21:00:00,4361.63,4362.39,4340.51,4346.76,2587,4348.73,4361.39,4361.39,4348.73,4361.63,4346.76,False,True,False,True,BEARISH_ENGULFING,0.2330471431595052,-0.08351047676890624,-0.27905842512584333
2023-06-26,17:00:00,4358.39,4362.09,4332.03,4337.29,5719,4343.39,4358.13,4358.13,4343.39,4358.39,4337.29,False,True,False,True,BEARISH_ENGULFING,-0.061328617639121535,0.13464628835056328,0.9591242457848188
2023-06-27,09:00:00,4343.39,4347.63,4336.39,4337.89,2472,4339.63,4343.13,4343.13,4339.63,4343.39,4337.89,False,True,False,True,BEARISH_ENGULFING,0.09774337293015226,0.8667808542862878,0.7515174428120458
2023-06-29,05:00:00,4385.09,4385.33,4377.59,4379.83,1454,4384.59,4384.83,4384.83,4384.59,4385.09,4379.83,False,True,False,True,BEARISH_ENGULFING,0.1771758264590228,0.15662708369958817,0.5303858825570964
2023-06-29,09:00:00,4379.59,4387.83,4374.83,4387.59,2135,4385.09,4379.83,4385.09,4379.83,4387.59,4379.59,True,False,True,False,BULLISH_ENGULFING,-0.14267513600861106,0.2356646815222057,0.5319549000704292
2023-07-05,01:00:00,4452.99,4455.73,4450.99,4454.99,1118,4453.99,4453.49,4453.99,4453.49,4454.99,4452.99,True,False,True,False,BULLISH_ENGULFING,-0.08439974051569629,-0.16835054624140572,-0.26936087398624914
2023-07-07,09:00:00,4407.23,4411.23,4399.49,4408.99,2303,4408.99,4407.49,4408.99,4407.49,4408.99,4407.23,True,False,True,False,BULLISH_ENGULFING,0.14742605449320595,-0.16239546925712814,-0.40961762217649605
2023-07-14,13:00:00,4506.79,4524.29,4506.79,4520.41,2163,4508.53,4507.03,4508.53,4507.03,4520.41,4506.79,True,False,True,False,BULLISH_ENGULFING,-0.18405410128726618,-0.49951221238781274,-0.22829787563516823
2023-07-18,05:00:00,4517.23,4521.49,4515.99,4520.73,1167,4518.73,4517.23,4518.73,4517.23,4520.73,4517.23,True,False,True,False,BULLISH_ENGULFING,0.038931765444966154,0.6229082471193981,0.7666903354104484
2023-07-21,17:00:00,4540.89,4554.89,4534.63,4553.89,3730,4545.51,4541.13,4545.51,4541.13,4553.89,4540.89,True,False,True,False,BULLISH_ENGULFING,-0.41195549299610257,-0.43391474102361316,0.1734780594173253
2023-07-21,21:00:00,4554.13,4554.39,4533.39,4535.13,2237,4540.89,4553.89,4553.89,4540.89,4554.13,4535.13,False,True,False,True,BEARISH_ENGULFING,-0.016317062575930165,0.27121604011351785,0.5049469364714934
2023-07-26,01:00:00,4576.91,4577.03,4564.03,4566.79,1897,4571.43,4576.53,4576.53,4571.43,4576.91,4566.79,False,True,False,True,BEARISH_ENGULFING,0.04379443766847173,-0.11517937106808541,0.21021330080867226
2023-07-26,21:00:00,4554.51,4582.63,4546.89,4565.51,5619,4561.03,4555.26,4561.03,4555.26,4565.51,4554.51,True,False,True,False,BULLISH_ENGULFING,0.23830853508151573,0.6137320912669018,-0.5164811817299694
2023-08-01,05:00:00,4596.13,4596.13,4590.63,4591.39,1235,4593.39,4595.89,4595.89,4593.39,4596.13,4591.39,False,True,False,True,BEARISH_ENGULFING,-0.2996913788634862,-0.32234247145200434,-0.7579404058465994
2023-08-01,17:00:00,4580.01,4584.39,4567.09,4576.59,3518,4577.39,4579.76,4579.76,4577.39,4580.01,4576.59,False,True,False,True,BEARISH_ENGULFING,-0.03845658011751584,-0.43700659224444394,-1.2957245460047804
2023-08-02,05:00:00,4567.83,4567.83,4553.59,4556.59,1577,4558.33,4567.33,4567.33,4558.33,4567.83,4556.59,False,True,False,True,BEARISH_ENGULFING,-0.3046137572175708,-0.8624870791534938,-0.9283257874858212
2023-08-03,17:00:00,4495.66,4519.73,4485.03,4506.23,4561,4502.79,4496.53,4502.79,4496.53,4506.23,4495.66,True,False,True,False,BULLISH_ENGULFING,-0.049708958486357376,0.3728171886477207,0.2685171418236611
2023-08-04,17:00:00,4513.79,4540.33,4498.53,4518.33,4111,4517.53,4514.29,4517.53,4514.29,4518.33,4513.79,True,False,True,False,BULLISH_ENGULFING,-0.8905945338211194,-0.5143493281809823,-0.1217263900600443
2023-08-08,01:00:00,4520.33,4520.59,4507.59,4507.83,1781,4512.59,4520.09,4520.09,4512.59,4520.33,4507.83,False,True,False,True,BEARISH_ENGULFING,-0.08873449087476679,-0.7542431724355178,-0.09916079355255754
2023-08-10,17:00:00,4522.13,4526.13,4456.29,4458.03,7606,4493.13,4521.89,4521.89,4493.13,4522.13,4458.03,False,True,False,True,BEARISH_ENGULFING,0.25796147625745003,0.3028243416935283,0.02467457598985121
