trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2023-03-17,13:00:00,3965.09,3965.83,3923.59,3945.83,6321,3975.83,3960.09,BEARISH_LONDON_BREAKOUT,0,1,-0.48912396124515567,-0.4288071204284035,-0.38775111953631375
2023-03-20,13:00:00,3912.79,3935.16,3905.03,3930.53,8201,3914.29,3864.91,BULLISH_LONDON_BREAKOUT,1,0,0.4019814121759591,0.7266195653003525,1.62980564961977
2023-03-21,13:00:00,3973.33,3995.83,3972.09,3994.59,3933,3974.33,3953.71,BULLISH_LONDON_BREAKOUT,1,0,-0.4070505358497422,0.28788937037343004,0.1687282048971179
2023-03-22,21:00:00,4001.63,4040.13,3932.63,3938.63,10995,4005.33,3990.09,BEARISH_LONDON_BREAKOUT,0,1,0.24450126059061425,0.4382234431769362,0.4559961204784414
2023-03-23,13:00:00,3956.13,3974.13,3943.89,3972.39,4204,3967.63,3953.39,BULLISH_LONDON_BREAKOUT,1,0,-0.25324804462804373,-0.6434413539456082,-1.0774370089543004
2023-03-24,21:00:00,3950.09,3980.69,3948.83,3979.93,4262,3966.59,3917.33,BULLISH_LONDON_BREAKOUT,1,0,0.11708748646333753,0.2175917666893717,0.10301688723169412
2023-03-28,13:00:00,3973.43,3979.93,3964.43,3969.43,3193,3993.93,3972.93,BEARISH_LONDON_BREAKOUT,0,1,-0.44439629871291025,0.4181960634146556,1.1301370725771742
2023-03-29,13:00:00,4009.16,4016.29,4001.53,4014.29,2273,4010.03,3994.29,BULLISH_LONDON_BREAKOUT,1,0,-0.10113868205834521,0.27252639943800905,1.0263334238433153
2023-03-30,13:00:00,4043.49,4056.23,4043.23,4055.49,2910,4044.49,4031.99,BULLISH_LONDON_BREAKOUT,1,0,-0.4453222668530793,0.15287918352653498,0.33781367972798043
2023-03-31,13:00:00,4057.19,4071.93,4053.93,4069.19,3013,4058.69,4048.43,BULLISH_LONDON_BREAKOUT,1,0,0.4226885448946797,0.6487777665825408,1.177138447700896
2023-04-03,13:00:00,4103.46,4121.33,4098.09,4117.09,2356,4108.09,4093.83,BULLISH_LONDON_BREAKOUT,1,0,-0.2492051424671362,0.08501150084161385,0.20014136198139415
2023-04-04,17:00:00,4125.09,4133.83,4085.59,4099.83,5707,4138.33,4119.09,BEARISH_LONDON_BREAKOUT,0,1,0.07317376574150636,-0.03024515650648397,-0.38050358185583083
2023-04-05,17:00:00,4095.96,4097.46,4071.73,4084.23,4308,4102.09,4088.09,BEARISH_LONDON_BREAKOUT,0,1,0.07981920704758948,-0.08569546768913602,0.41770419393618735
2023-04-06,13:00:00,4085.23,4095.99,4069.23,4073.49,2727,4091.23,4080.23,BEARISH_LONDON_BREAKOUT,0,1,0.6824614765225933,0.6284537337762057,1.0089628303985125
2023-04-06,17:00:00,4073.99,4104.79,4073.23,4101.29,4009,4091.23,4080.23,BULLISH_LONDON_BREAKOUT,1,1,0.04876514462522767,0.007314771693788586,0.1267893760255875
2023-04-07,13:00:00,4102.09,4119.21,4094.33,4114.59,1893,4102.83,4097.33,BULLISH_LONDON_BREAKOUT,1,0,-0.196860440529928,-0.196860440529928,-0.050065741665643475
2023-04-10,13:00:00,4106.49,4107.49,4071.99,4073.99,2479,4107.99,4099.99,BEARISH_LONDON_BREAKOUT,0,1,0.6332857959887035,0.9779110896197621,0.842908303653179
2023-04-10,21:00:00,4099.29,4114.29,4097.03,4112.53,2099,4107.99,4099.99,BULLISH_LONDON_BREAKOUT,1,2,0.03161071165438749,0.20814437827810134,-0.02188433883764097
2023-04-11,13:00:00,4121.33,4121.59,4106.09,4108.33,2389,4121.83,4111.09,BEARISH_LONDON_BREAKOUT,0,1,0.3178907244549586,0.0778905297286201,0.28478724932027905
2023-04-12,13:00:00,4117.79,4150.79,4109.16,4120.03,4109,4118.29,4107.03,BULLISH_LONDON_BREAKOUT,1,0,0.02572796800024272,-0.6844610354778926,-0.4296085222680373
2023-04-12,21:00:00,4120.59,4127.33,4086.83,4090.59,4082,4118.29,4107.03,BEARISH_LONDON_BREAKOUT,2,1,0.030313475562199627,0.23810746127086269,1.2729215101000029
2023-04-13,17:00:00,4102.83,4140.03,4100.33,4139.03,3725,4104.83,4094.83,BULLISH_LONDON_BREAKOUT,1,0,0.0877017078880827,0.14496150064145463,-0.40927463681103066
2023-04-14,13:00:00,4139.53,4162.79,4136.03,4157.16,3588,4146.79,4138.29,BULLISH_LONDON_BREAKOUT,1,0,-0.8436047686401222,-0.29034244532324255,-0.4529534586111655
2023-04-14,17:00:00,4157.91,4161.79,4112.33,4122.09,5986,4146.79,4138.29,BEARISH_LONDON_BREAKOUT,1,1,0.5822289178547775,0.6064884560987266,0.06064884560987266
2023-04-17,17:00:00,4138.59,4143.33,4123.59,4124.59,4634,4150.09,4138.33,BEARISH_LONDON_BREAKOUT,0,1,0.654610518863693,0.6725516960473594,0.6483068620153708
2023-04-17,21:00:00,4124.83,4154.59,4122.59,4151.59,1840,4150.09,4138.33,BULLISH_LONDON_BREAKOUT,1,1,0.017824496156888844,0.3372201975628614,0.06021789242193954
2023-04-19,17:00:00,4134.59,4158.29,4133.83,4158.29,3095,4148.59,4128.09,BULLISH_LONDON_BREAKOUT,1,0,-0.19863934453826496,-0.3790019455112611,-0.3414865245088683
2023-04-21,17:00:00,4120.59,4136.29,4113.29,4134.03,5019,4133.59,4119.33,BULLISH_LONDON_BREAKOUT,1,0,-0.054184415691220955,-0.404931749406748,-0.0217705241616446
