trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2023-03-17,21:00:00,3926.03,3929.53,3900.03,3915.91,5003,3965.83,3923.59,BEARISH_NEWYORK_BREAKOUT,0,1,0.3319790291400977,-0.08631454757641657,1.000533720131471
2023-03-20,17:00:00,3930.79,3957.09,3922.83,3946.33,8365,3935.16,3905.03,BULLISH_NEWYORK_BREAKOUT,1,0,0.22197839511648082,0.22805999498268012,0.8108799821606404
2023-03-21,21:00:00,3978.83,4010.33,3978.09,4006.33,2436,3995.83,3972.09,BULLISH_NEWYORK_BREAKOUT,1,0,-0.005990520002091234,-0.18071402006324444,-1.6898258505914345
2023-03-22,21:00:00,4001.63,4040.13,3932.63,3938.63,10995,4008.83,3995.83,BEARISH_NEWYORK_BREAKOUT,0,1,0.24450126059061425,0.4382234431769362,0.4559961204784414
2023-03-24,17:00:00,3929.09,3958.59,3913.33,3950.33,10110,3932.59,3906.09,BULLISH_NEWYORK_BREAKOUT,1,0,0.7493044884857697,1.0758594851569363,0.8277789450501674
2023-03-27,17:00:00,3995.83,3997.09,3970.29,3983.03,6396,4004.09,3988.83,BEARISH_NEWYORK_BREAKOUT,0,1,0.02510651438728807,0.016570299495606473,-0.7843275094588853
2023-03-28,17:00:00,3969.19,3979.69,3950.79,3951.79,4988,3979.93,3964.43,BEARISH_NEWYORK_BREAKOUT,0,1,0.626045412332139,1.2019869476869975,1.4788235204805937
2023-03-29,21:00:00,4009.99,4030.99,4006.99,4027.49,2356,4016.29,4001.53,BULLISH_NEWYORK_BREAKOUT,1,0,-0.056114354101432,0.39081412989232095,0.6564882842663807
2023-03-30,17:00:00,4054.99,4056.99,4031.69,4037.43,4517,4056.23,4043.23,BEARISH_NEWYORK_BREAKOUT,0,1,0.4086758160513,0.47059639424089095,1.2126526032649494
2023-03-31,17:00:00,4069.93,4092.13,4068.19,4086.39,2821,4071.93,4053.93,BULLISH_NEWYORK_BREAKOUT,1,0,0.6362584090113879,0.2187750067908363,0.5001969953920221
2023-04-03,21:00:00,4107.09,4126.83,4105.59,4123.83,2034,4121.33,4098.09,BULLISH_NEWYORK_BREAKOUT,1,0,-0.07856773921329885,0.32154574752112036,-0.5092353467528972
2023-04-04,17:00:00,4125.09,4133.83,4085.59,4099.83,5707,4142.33,4119.33,BEARISH_NEWYORK_BREAKOUT,0,1,0.07317376574150636,-0.03024515650648397,-0.38050358185583083
2023-04-05,17:00:00,4095.96,4097.46,4071.73,4084.23,4308,4098.21,4087.33,BEARISH_NEWYORK_BREAKOUT,0,1,0.07981920704758948,-0.08569546768913602,0.41770419393618735
2023-04-06,17:00:00,4073.99,4104.79,4073.23,4101.29,4009,4095.99,4069.23,BULLISH_NEWYORK_BREAKOUT,1,0,0.04876514462522767,0.007314771693788586,0.1267893760255875
2023-04-10,21:00:00,4099.29,4114.29,4097.03,4112.53,2099,4107.49,4071.99,BULLISH_NEWYORK_BREAKOUT,1,0,0.03161071165438749,0.20814437827810134,-0.02188433883764097
2023-04-12,21:00:00,4120.59,4127.33,4086.83,4090.59,4082,4150.79,4109.16,BEARISH_NEWYORK_BREAKOUT,0,1,0.030313475562199627,0.23810746127086269,1.2729215101000029
2023-04-13,17:00:00,4102.83,4140.03,4100.33,4139.03,3725,4110.83,4091.09,BULLISH_NEWYORK_BREAKOUT,1,0,0.0877017078880827,0.14496150064145463,-0.40927463681103066
2023-04-14,17:00:00,4157.91,4161.79,4112.33,4122.09,5986,4162.79,4136.03,BEARISH_NEWYORK_BREAKOUT,0,1,0.5822289178547775,0.6064884560987266,0.06064884560987266
2023-04-17,17:00:00,4138.59,4143.33,4123.59,4124.59,4634,4144.09,4133.59,BEARISH_NEWYORK_BREAKOUT,0,1,0.654610518863693,0.6725516960473594,0.6483068620153708
2023-04-17,21:00:00,4124.83,4154.59,4122.59,4151.59,1840,4144.09,4133.59,BULLISH_NEWYORK_BREAKOUT,1,1,0.017824496156888844,0.3372201975628614,0.06021789242193954
2023-04-18,17:00:00,4158.59,4159.09,4139.33,4151.33,4079,4172.83,4157.09,BEARISH_NEWYORK_BREAKOUT,0,1,0.0664847169461406,-0.07804727641502318,0.16765711229895086
2023-04-19,17:00:00,4134.59,4158.29,4133.83,4158.29,3095,4138.33,4126.33,BULLISH_NEWYORK_BREAKOUT,1,0,-0.19863934453826496,-0.3790019455112611,-0.3414865245088683
2023-04-20,17:00:00,4126.03,4148.59,4123.53,4144.09,3680,4133.03,4119.03,BULLISH_NEWYORK_BREAKOUT,1,0,-0.3136997507293519,-0.3561698708281002,-0.2427553455644158
2023-04-25,17:00:00,4112.53,4118.79,4078.69,4079.93,3934,4122.79,4111.29,BEARISH_NEWYORK_BREAKOUT,0,1,0.17475790025809534,0.3284370074976799,-0.4068697257060761
2023-04-26,17:00:00,4078.59,4089.59,4060.83,4063.33,4710,4088.09,4068.09,BEARISH_NEWYORK_BREAKOUT,0,1,0.02461035653023505,0.1845776739767629,1.3806410013461956
2023-04-27,17:00:00,4086.21,4123.19,4084.59,4119.43,3127,4088.59,4070.09,BULLISH_NEWYORK_BREAKOUT,1,0,0.4976416640166236,0.37626564840281296,1.0098484499068912
2023-04-28,17:00:00,4135.69,4167.03,4134.53,4161.03,5027,4138.69,4116.93,BULLISH_NEWYORK_BREAKOUT,1,0,0.282622331490045,0.31242264535463576,0.4941084298839567
2023-05-01,17:00:00,4171.03,4187.59,4166.83,4181.59,4256,4179.03,4163.53,BULLISH_NEWYORK_BREAKOUT,1,0,-0.5022013157674473,-0.35871522554817664,-1.5056473733675475
2023-05-01,21:00:00,4181.33,4182.33,4159.83,4160.59,2480,4179.03,4163.53,BEARISH_NEWYORK_BREAKOUT,1,1,0.048070105441776284,0.024035052720888142,-1.0565809176102436
