Asset,Bullish Signals,Bearish Signals,Total Signals,Bullish 1 Candle,Bearish 1 Candle,Bullish 1 Avg,Bearish 1 Avg,Bullish 3 Candle,Bearish 3 Candle,Bullish 3 Avg,Bearish 3 Avg,Bullish 6 Candle,Bearish 6 Candle,Bullish 6 Avg,Bearish 6 Avg
EURUSD,2921,2854,5775,50.83875385142075,50.35038542396636,0.02794056502062475,-0.015008307822104083,50.15405682985279,50.035038542396634,0.04558920927391617,-0.028905607151982617,49.50359465936323,51.36650315346881,0.06531897167512464,-0.07109764828906394
GBPUSD,2470,2332,4802,48.05668016194332,46.95540308747856,-0.005309022742990555,0.0027221953319843065,48.421052631578945,47.684391080617495,-0.012702725820246102,0.0027907087264156826,48.70445344129555,49.57118353344768,-0.019559389543129045,-0.004788820210696597
USDCHF,613,635,1248,45.67699836867863,45.354330708661415,-0.013152831634822929,-0.00927391555445936,48.939641109298535,49.13385826771653,-0.013581736143309478,-0.019555629370176,48.450244698205545,50.07874015748032,-0.03631812626407223,-0.06726285038382067
AUDUSD,2681,2330,5011,47.10928757926147,47.2961373390558,-0.01555101950163734,0.006981972632309704,47.55688176053711,47.81115879828326,-0.04108208434668381,-0.0051218938696437144,48.638567698619916,48.58369098712446,-0.0573231114051182,0.005062844249220906
NZDUSD,1959,1944,3903,47.166921898928024,48.5082304526749,-0.012780710346593857,0.0008628391181322527,46.094946401225116,49.53703703703704,-0.04151380102435091,-0.013983994261114073,48.545176110260336,48.81687242798354,-0.04906787953826595,0.004306429886833606
USDCAD,365,344,709,47.671232876712324,48.837209302325576,-0.0057151165840877705,0.000976404434034836,46.57534246575342,50.2906976744186,-0.020787390471869064,-0.0034535916776101128,49.31506849315068,49.41860465116279,-0.027253779108931588,0.005063964840444931
USDJPY,3281,2709,5990,51.53916488875343,46.62236987818383,0.014082287576376161,-0.020400228418585145,51.84395001523926,49.575489110372835,0.02200019660103219,-0.06960028217495084,51.53916488875343,49.6124031007752,0.03432176927726348,-0.11850225603205838
XAUUSD,2104,1368,3472,48.19391634980988,45.39473684210527,0.011396599495497093,0.06246348902355627,50.33269961977186,43.859649122807014,0.023489864045221638,0.07530758989864268,51.56844106463878,45.248538011695906,0.06103451817704608,0.06609082949810519
SP500,468,201,669,52.991452991452995,43.28358208955223,0.00836933995965839,0.031358885372658005,53.84615384615385,40.79601990049751,0.012601348026836054,0.03647999462899773,54.48717948717948,40.79601990049751,0.043893915315928456,0.18662856910381595
NAS100,479,221,700,54.48851774530271,49.321266968325794,0.03928299845724544,0.046922456656630585,53.65344467640919,39.81900452488688,0.0568205946901315,0.12035777299296949,56.158663883089766,39.81900452488688,0.09087574530956888,0.32432277007440247
