trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,sma,std,upper_band,lower_band,distance_to_prev_daily_low_pct,distance_to_prev_daily_high_pct,signal,forward_1,forward_3,forward_6
2022-11-11,04:00:00,1.3355,1.33556,1.33026,1.33049,10221,1.35707,1.33081,1.344983,0.007053106146640574,1.3590892122932812,1.330876787706719,-0.024045506120340093,-1.9586314633733004,BB_DAILY_LOW_BULLISH,-0.045096167577353755,-0.30364752835421865,-0.17737825913760477
2022-11-16,08:00:00,1.32733,1.32807,1.32303,1.32387,15744,1.33347,1.32257,1.328058,0.002074211581347885,1.3322064231626958,1.3239095768373041,0.0982934740694314,-0.7199262075637121,BB_DAILY_LOW_BULLISH,0.22509763043198974,0.6647178348327191,0.8142793476700725
2022-11-17,00:00:00,1.33232,1.33534,1.33206,1.3348,5794,1.33467,1.32279,1.328699,0.0027376688123843945,1.3341743376247688,1.3232236623752314,0.9079294521428252,0.00974023541399473,BB_DAILY_HIGH_BEARISH,0.02921786035361945,0.3311357506742651,-0.2539706323044654
2022-11-17,04:00:00,1.33483,1.33615,1.33409,1.33519,7537,1.33467,1.32279,1.329198,0.0029680910044188693,1.3351341820088378,1.3232618179911624,0.9374125900558811,0.03896094165599556,BB_DAILY_HIGH_BEARISH,-0.04044368217259019,-0.16177472869031087,-0.26288393412174477
2022-11-23,20:00:00,1.34049,1.3408,1.33445,1.33538,11845,1.3454,1.3365,1.34069,0.0026151340913550414,1.34592026818271,1.3354597318172898,-0.08380097268986231,-0.7447599226995628,BB_DAILY_LOW_BULLISH,-0.09135976276415693,-0.04792643292545747,-0.1250580359148752
2022-11-24,00:00:00,1.33503,1.33556,1.33369,1.33416,5661,1.34399,1.33445,1.3403775,0.0029960410281041337,1.3463695820562083,1.3343854179437917,-0.02173179961781269,-0.731404251519729,BB_DAILY_LOW_BULLISH,0.027732805660489104,0.03747676440606411,-0.011243029321827554
2022-12-27,00:00:00,1.3578,1.35806,1.35483,1.3549,4056,1.36581,1.35625,1.3609485,0.0026803834662819945,1.3663092669325638,1.355587733067436,-0.09953917050690966,-0.7987933900030001,BB_DAILY_LOW_BULLISH,0.016237360690833938,-0.20665731788323227,-0.13506531847368797
2023-01-19,00:00:00,1.34858,1.35181,1.34821,1.35101,4862,1.35,1.33502,1.3406639999999999,0.00410594357383971,1.3488758871476794,1.3324521128523203,1.197734865395271,0.0748148148148115,BB_DAILY_HIGH_BEARISH,-0.07179813620921661,-0.2501831962753746,-0.4241271345141792
2023-02-17,00:00:00,1.34445,1.34825,1.34445,1.34794,4095,1.3479,1.3357,1.3381720000000001,0.004512185373193923,1.347196370746388,1.3291476292536122,0.9163734371490458,0.0029675791972563212,BB_DAILY_HIGH_BEARISH,0.051931094855864876,0.132053355490609,0.057124204341451365
2023-02-22,00:00:00,1.35308,1.35439,1.35269,1.35403,4261,1.35491,1.34412,1.3482144999999999,0.0026785256647743243,1.3535715513295485,1.3428574486704512,0.7372853614260695,-0.06494896339978241,BB_DAILY_HIGH_BEARISH,0.017724865771069916,-0.0620370301987529,-0.10191797818365611
