trade_date,trade_time,open,high,low,close,volume,sma,std,upper_band,lower_band,prev_high,prev_low,inside_bar,signal,forward_1,forward_3,forward_6
2022-11-04,20:00:00,1.35153,1.35196,1.34712,1.34801,13883,1.3652145,0.008524080117062531,1.382262660234125,1.348166339765875,1.35712,1.3469,True,BB_INSIDEBAR_BULLISH,0.35014577043197437,0.06231407778875335,0.07492526019837964
2022-11-28,04:00:00,1.34649,1.34685,1.34347,1.34579,9487,1.3373564999999998,0.0038725882477772303,1.3451016764955543,1.3296113235044453,1.34733,1.33912,True,BB_INSIDEBAR_BEARISH,-0.10402811731399905,-0.09511142154421921,-0.19988259683903736
2022-12-06,00:00:00,1.35877,1.35938,1.35705,1.35818,4809,1.345341,0.0059415963653217385,1.3572241927306434,1.3334578072693564,1.36049,1.35682,True,BB_INSIDEBAR_BEARISH,0.024297221281432763,0.3298531858811085,0.4476578951243639
2023-01-26,20:00:00,1.33581,1.33617,1.33195,1.3321,9287,1.337143,0.0020615939157934762,1.341266187831587,1.333019812168413,1.3373,1.33029,True,BB_INSIDEBAR_BULLISH,-0.003753471961572368,-0.02927708130021113,-0.08407777193904435
2023-02-03,20:00:00,1.33937,1.34093,1.33834,1.34044,10628,1.3324824999999998,0.003834815407611393,1.3401521308152227,1.324812869184777,1.34257,1.33517,True,BB_INSIDEBAR_BEARISH,0.02014263973023727,0.2342514398257229,0.3066157381158303
2023-02-16,20:00:00,1.34307,1.34604,1.34227,1.34564,7732,1.3374395,0.004003455711199385,1.3454464114223987,1.329432588577601,1.3479,1.3415,True,BB_INSIDEBAR_BEARISH,0.17092238637376778,0.35299188490235367,0.1345084866680605
2023-02-22,00:00:00,1.35308,1.35439,1.35269,1.35403,4261,1.3482144999999999,0.0026785256647743243,1.3535715513295485,1.3428574486704512,1.35491,1.35154,True,BB_INSIDEBAR_BEARISH,0.017724865771069916,-0.0620370301987529,-0.10191797818365611
2023-03-08,00:00:00,1.37437,1.37563,1.37437,1.37547,4824,1.362554,0.005560285301283836,1.3736745706025677,1.3514334293974324,1.3761,1.37317,True,BB_INSIDEBAR_BEARISH,0.05598086472259936,0.06688622798025634,0.41731190065941665
2023-04-12,16:00:00,1.34529,1.34786,1.34329,1.3434,13978,1.3492585,0.0028072880245271245,1.3548730760490542,1.3436439239509457,1.3489,1.34323,True,BB_INSIDEBAR_BULLISH,0.053595355069231354,-0.043918415959495936,-0.6662200387077575
2023-05-25,00:00:00,1.35897,1.3601,1.35879,1.35969,3657,1.3519904999999999,0.003539660220098438,1.3590698204401968,1.344911179559803,1.36056,1.35832,True,BB_INSIDEBAR_BEARISH,0.0867844876405621,0.07722348476490931,0.3905301943825376
2023-06-01,20:00:00,1.34406,1.34582,1.34379,1.34479,6697,1.3578670000000002,0.005238175757195456,1.368343351514391,1.3473906484856093,1.35493,1.34362,True,BB_INSIDEBAR_BULLISH,0.0044616631593164015,-0.2743922842971744,-0.14128600004461758
2023-06-02,00:00:00,1.34441,1.34501,1.34408,1.34485,2694,1.357188,0.005987863690754266,1.3691637273815085,1.3452122726184916,1.34582,1.34379,True,BB_INSIDEBAR_BULLISH,-0.09889578763431263,-0.14648473807488024,-0.1390489645685421
2023-07-21,20:00:00,1.32114,1.32236,1.32043,1.32231,5179,1.317369,0.0022940768123191715,1.3219571536246384,1.3127808463753616,1.3226,1.31966,True,BB_INSIDEBAR_BEARISH,-0.04461888664534719,-0.17620678963330574,-0.4189637830765932
2023-10-02,00:00:00,1.35661,1.35815,1.35522,1.35749,3403,1.350488,0.0034413179849671033,1.357370635969934,1.3436053640300658,1.35846,1.35444,True,BB_INSIDEBAR_BEARISH,0.09576497801087719,0.3712734532114368,0.7749596682111737
2023-10-02,20:00:00,1.36775,1.36777,1.3655,1.36755,7524,1.353347,0.00701749100462443,1.367381982009249,1.3393120179907512,1.36795,1.36222,True,BB_INSIDEBAR_BEARISH,0.03363679572958246,0.15794669299111108,0.24130744762530498
2023-10-13,00:00:00,1.36824,1.36926,1.36792,1.36812,3181,1.360266,0.0034278217726827873,1.3671216435453655,1.3534103564546345,1.37002,1.36665,True,BB_INSIDEBAR_BEARISH,0.04166301201648682,-0.14691693711078466,-0.21781715054234882
2023-10-25,20:00:00,1.3786,1.38007,1.37798,1.37981,7079,1.372235,0.0036691093139831253,1.3795732186279663,1.3648967813720339,1.38097,1.37605,True,BB_INSIDEBAR_BEARISH,0.08189533341547571,-0.01956791152404987,0.23626441321631533
2023-11-15,00:00:00,1.36843,1.37096,1.36843,1.37028,3331,1.3790200000000001,0.003993448582247869,1.3870068971644958,1.3710331028355045,1.37166,1.36842,True,BB_INSIDEBAR_BULLISH,-0.10800712263186545,-0.15617246110284255,-0.03138044779168713
2024-01-03,00:00:00,1.33161,1.33292,1.33161,1.33261,2881,1.3243315,0.0040149684078101,1.3323614368156202,1.3163015631843797,1.33336,1.33047,True,BB_INSIDEBAR_BEARISH,0.006003256766785328,0.26864574031411415,0.15308304755328414
2024-03-28,20:00:00,1.35366,1.35501,1.35313,1.35399,4804,1.357834,0.0018162697458058545,1.3614665394916117,1.3542014605083883,1.35736,1.35248,True,BB_INSIDEBAR_BULLISH,-0.019202505188363795,0.0753329049697576,-0.022156736755808166
2024-04-11,00:00:00,1.36793,1.36932,1.36724,1.36874,2863,1.359924,0.004217333155849931,1.3683586663116998,1.3514893336883,1.37023,1.36701,True,BB_INSIDEBAR_BEARISH,-0.07817408711662743,-0.1190876280374666,-0.013150781010277262
2024-04-23,00:00:00,1.36872,1.37026,1.36872,1.36928,2310,1.374628,0.002512234484547417,1.3796524689690948,1.3696035310309052,1.37104,1.36867,True,BB_INSIDEBAR_BULLISH,0.03870647347510512,0.005112175741996851,-0.251226922178087
2024-05-01,00:00:00,1.37586,1.37827,1.37586,1.37794,3263,1.368074,0.00440498091280512,1.3768839618256103,1.3592640381743897,1.37844,1.37505,True,BB_INSIDEBAR_BEARISH,-0.005080047026722099,-0.1291783386794703,-0.3425403138017501
2024-05-08,00:00:00,1.37164,1.37386,1.37152,1.37376,2627,1.3678555,0.0024391855306029387,1.3727338710612058,1.362977128938794,1.3741,1.37118,True,BB_INSIDEBAR_BEARISH,0.11137316561843474,0.09681458187746268,-0.04221989284882548
2024-05-15,20:00:00,1.36003,1.36077,1.35952,1.36021,4957,1.365574,0.002544693963621426,1.370663387927243,1.3604846120727572,1.36606,1.35944,True,BB_INSIDEBAR_BULLISH,-0.08675131045941133,0.151447203005431,0.11174745076129333
2024-05-24,00:00:00,1.37266,1.37371,1.3725,1.37322,3006,1.366673,0.0031840789794588074,1.3730411579589177,1.3603048420410824,1.37433,1.37086,True,BB_INSIDEBAR_BEARISH,0.013107877834567436,-0.14200200987460992,-0.47916575639737474
2024-07-16,00:00:00,1.36799,1.36818,1.36739,1.36801,4133,1.363667,0.0021284887151690555,1.367923977430338,1.359410022569662,1.3689,1.36664,True,BB_INSIDEBAR_BEARISH,0.026315597108218364,0.14108084005233787,-0.013157798554092949
2024-07-19,00:00:00,1.37017,1.37142,1.36978,1.37074,3419,1.3683555,0.0011177631563763053,1.3705910263127528,1.3661199736872474,1.37181,1.36913,True,BB_INSIDEBAR_BEARISH,-0.006565796577042,0.11672527248054508,0.040124312415179275
2024-09-03,20:00:00,1.35497,1.35562,1.3542,1.35497,6982,1.350044,0.002378994480243635,1.3548019889604872,1.3452860110395128,1.35622,1.35344,True,BB_INSIDEBAR_BEARISH,0.03099699624346568,0.09225296501029347,-0.33801486379772455
2024-11-14,00:00:00,1.399,1.40019,1.39878,1.40019,3649,1.3945115,0.002572007765783921,1.3996555155315678,1.389367484468432,1.40024,1.39803,True,BB_INSIDEBAR_BEARISH,0.08213171069640436,0.08284589948507344,0.4570808247452104
2024-11-26,04:00:00,1.41367,1.41448,1.40853,1.41076,7089,1.398577,0.004945907505451969,1.408468815010904,1.388685184989096,1.41776,1.39775,True,BB_INSIDEBAR_BEARISH,-0.08506053474723481,-0.19138620318125865,-0.2296634438175104
2024-12-17,20:00:00,1.4311,1.43156,1.43038,1.43099,5399,1.424277,0.003070583863500051,1.430418167727,1.418135832273,1.43233,1.42707,True,BB_INSIDEBAR_BEARISH,0.027253859216354585,0.13487166227576622,0.9601744246989906
2024-12-18,00:00:00,1.4306,1.43155,1.4306,1.43138,2501,1.4248889999999999,0.0032094775767113936,1.4313079551534227,1.418470044846577,1.43156,1.43038,True,BB_INSIDEBAR_BEARISH,0.08104067403483545,-0.01117802400481773,0.815297125850567
2025-01-31,00:00:00,1.4484,1.45096,1.44784,1.44831,5604,1.4417025,0.002984039782000867,1.447670579564002,1.4357344204359983,1.45941,1.43996,True,BB_INSIDEBAR_BEARISH,-0.04004667509027936,0.031761156106075696,1.8179809571155323
2025-02-20,00:00:00,1.42239,1.4244,1.42237,1.42417,4559,1.419609,0.002164493133716873,1.4239379862674337,1.415280013732566,1.42451,1.42235,True,BB_INSIDEBAR_BEARISH,-0.1088353216259253,-0.24926799469164093,-0.39461581131465756
2025-03-25,20:00:00,1.4299,1.43079,1.4272,1.4276,5263,1.432442,0.0020280080970374427,1.4364980161940748,1.4283859838059252,1.43135,1.42707,True,BB_INSIDEBAR_BULLISH,0.07284953768562132,-0.17722050994675828,-0.05743905855982368
2025-04-10,00:00:00,1.40815,1.41096,1.40726,1.40999,6716,1.4200745,0.004879059955793067,1.429832619911586,1.4103163800884138,1.41859,1.40714,True,BB_INSIDEBAR_BULLISH,-0.19929219356165498,-0.19716451889729747,-1.075894155277706
2025-05-01,00:00:00,1.3785,1.38005,1.37823,1.37877,2514,1.3840965,0.0024624255799054915,1.389021351159811,1.379171648840189,1.38112,1.37694,True,BB_INSIDEBAR_BULLISH,0.04424233193353492,0.22773921683819062,0.3800488841503595
2025-06-11,16:00:00,1.36628,1.36782,1.36536,1.36562,7257,1.3685085000000001,0.0014046249733087874,1.3713177499466176,1.3656992500533827,1.36898,1.36497,True,BB_INSIDEBAR_BULLISH,0.09885619718515855,-0.001464536254604577,-0.36247272301225886
2025-06-18,00:00:00,1.366,1.36905,1.36494,1.36757,3420,1.3599495,0.003540910490984315,1.3670313209819684,1.3528676790180314,1.36929,1.3609,True,BB_INSIDEBAR_BEARISH,-0.13088909525654688,-0.21205495879552072,0.1791498789824333
2025-09-10,00:00:00,1.38362,1.38572,1.38355,1.38555,2693,1.381778,0.001769491749750553,1.3853169834995012,1.3782390165004987,1.38594,1.38302,True,BB_INSIDEBAR_BEARISH,-0.10465158240409594,-0.017321641225507414,0.09887770199558812
2025-09-16,00:00:00,1.37727,1.37823,1.37712,1.37737,3425,1.383778,0.002795529513875065,1.38936905902775,1.3781869409722498,1.38015,1.37664,True,BB_INSIDEBAR_BULLISH,-0.016698490601650427,-0.11543739155056233,-0.22434059112657
2025-10-02,20:00:00,1.39667,1.3972,1.39595,1.3968,8066,1.3930595000000001,0.0017549943019070388,1.3965694886038142,1.389549511396186,1.39862,1.39401,True,BB_INSIDEBAR_BEARISH,-0.028636884306984245,-0.05154639175258118,-0.13101374570446722
