trade_date,trade_time,open,high,low,close,volume,prev_daily_high,prev_daily_low,signal,forward_1,forward_3,forward_6
2022-10-24,00:00:00,1.36323,1.36749,1.36062,1.36688,12329,1.3805,1.36296,BULLISH_SWEEP,0.07901205665456879,0.3394592063677848,0.13314994732529065
2022-10-25,16:00:00,1.37058,1.3709,1.36039,1.36355,32702,1.37741,1.36062,BULLISH_SWEEP,-0.21488027575080482,-0.2398151882952665,-0.53903413882879
2022-10-26,04:00:00,1.36357,1.36381,1.35956,1.36028,8079,1.37479,1.3601,BULLISH_SWEEP,-0.6086982091922136,-0.29993824800775293,-0.40653394889287764
2022-10-27,16:00:00,1.35809,1.35972,1.34952,1.35391,24776,1.36511,1.35077,BULLISH_SWEEP,0.1920363982835017,-0.030282662806244247,0.6137778729753115
2022-10-28,12:00:00,1.36056,1.36299,1.35832,1.3617,15538,1.36262,1.34952,BEARISH_SWEEP,0.03818755966806756,-0.01028126606446405,0.43107879856062586
2022-10-28,16:00:00,1.36163,1.36344,1.35901,1.36222,20105,1.36262,1.34952,BEARISH_SWEEP,-0.11892352189807481,-0.050652611178816885,0.15783060004992558
2022-10-28,20:00:00,1.36221,1.36269,1.36014,1.3606,8777,1.36262,1.34952,BEARISH_SWEEP,0.07055710715861178,0.2991327355578435,0.11539026899897628
2022-10-31,20:00:00,1.36435,1.36531,1.36169,1.36217,15476,1.36344,1.35248,BEARISH_SWEEP,-0.042579120080461684,-0.4859892671252538,0.06093218908064973
2022-11-01,16:00:00,1.35442,1.36687,1.35341,1.36531,28106,1.3685,1.35931,BULLISH_SWEEP,-0.16919234459573534,-0.35742798338838766,-0.1289084530253191
2022-11-03,00:00:00,1.3711,1.37239,1.36897,1.37069,5672,1.37133,1.35481,BEARISH_SWEEP,-0.13132072168032333,0.642741976668684,0.23272950120012742
2022-11-07,08:00:00,1.35265,1.35531,1.34656,1.34885,16553,1.37503,1.3469,BULLISH_SWEEP,-0.02001705156245798,0.012603328761537863,0.06524076064795878
2022-11-07,12:00:00,1.34885,1.3498,1.34652,1.34858,20442,1.37503,1.3469,BULLISH_SWEEP,0.08008423675274674,0.10603746162630638,0.07118598822465645
2022-11-09,20:00:00,1.3474,1.35416,1.3469,1.35249,15796,1.35264,1.33872,BEARISH_SWEEP,0.03253258804131609,0.10942779613896782,-1.5157228519249655
2022-11-10,04:00:00,1.35297,1.35477,1.35231,1.35302,8940,1.35416,1.34114,BEARISH_SWEEP,0.07021330061639934,-1.0029415677521294,-1.6651638556710129
2022-11-10,08:00:00,1.353,1.35615,1.35106,1.35397,13026,1.35416,1.34114,BEARISH_SWEEP,-1.0236563587080942,-1.6233742254259615,-1.7784736737150662
2022-11-10,12:00:00,1.35398,1.35707,1.33688,1.34011,16136,1.35416,1.34114,BEARISH_SWEEP,-0.04924968845840139,-0.34250919700620636,-1.0103648207982843
2022-11-15,00:00:00,1.33109,1.33261,1.33043,1.3316,9919,1.33162,1.32388,BEARISH_SWEEP,-0.1629618504055276,-0.4333133072994767,-0.15695404025232243
2022-11-15,04:00:00,1.33159,1.33205,1.32927,1.32943,9770,1.33162,1.32388,BEARISH_SWEEP,-0.1557058288138371,-0.15871463710009812,-0.1557058288138371
2022-11-15,12:00:00,1.3273,1.33039,1.32257,1.32583,21626,1.33162,1.32388,BULLISH_SWEEP,0.11238243213684945,0.2775619800426831,0.07693294012052986
2022-11-15,16:00:00,1.3258,1.33347,1.32528,1.32732,33060,1.33162,1.32388,BEARISH_SWEEP,0.045957267275412064,0.0030135912967513487,0.3450562034776865
2022-11-15,20:00:00,1.32734,1.33278,1.32642,1.32793,21873,1.33162,1.32388,BEARISH_SWEEP,0.11898217526525605,-0.30573900732718984,0.3569465257957849
2022-11-16,16:00:00,1.32683,1.33467,1.32669,1.3319,24262,1.33347,1.32257,BEARISH_SWEEP,0.0578121480591589,0.2470155417073365,0.08484120429460569
2022-11-16,20:00:00,1.33189,1.33395,1.3317,1.33267,12564,1.33347,1.32257,BEARISH_SWEEP,0.15982951518380134,0.14857391552296298,-0.007503733107220015
2022-11-17,08:00:00,1.33521,1.33579,1.33045,1.33465,12786,1.33467,1.32279,BEARISH_SWEEP,0.3424118682800873,-0.15584610197428989,-0.05469598771212659
2022-11-17,16:00:00,1.3393,1.3397,1.33224,1.33303,21948,1.33467,1.32279,BEARISH_SWEEP,-0.03450785053598981,-0.10127303961650994,0.5536259499036155
2022-11-18,04:00:00,1.33143,1.33257,1.33,1.33168,8618,1.3401,1.33045,BULLISH_SWEEP,0.168208578637512,0.6555628979935214,0.7156373903640543
2022-11-18,20:00:00,1.34042,1.34071,1.33785,1.33896,9191,1.3401,1.33045,BEARISH_SWEEP,0.13517954233136834,0.36670251538507276,0.46005855290674597
2022-11-21,00:00:00,1.33659,1.34168,1.33659,1.34077,5372,1.34089,1.33,BEARISH_SWEEP,0.03281696338671032,0.16855985739537196,0.15215137570202508
2022-11-22,20:00:00,1.33878,1.33922,1.3365,1.33717,7019,1.34948,1.33659,BULLISH_SWEEP,0.009722024873423983,0.11292505814519636,-0.13386480402641088
2022-11-23,00:00:00,1.33685,1.33787,1.33564,1.3373,4879,1.3454,1.3365,BULLISH_SWEEP,0.16451058102145963,0.28938906752411875,-0.2348014656397159
2022-11-23,08:00:00,1.33952,1.33955,1.33629,1.33868,9625,1.3454,1.3365,BULLISH_SWEEP,0.18600412346489684,-0.24651148892939914,-0.29431977769146134
2022-11-23,16:00:00,1.34122,1.34212,1.33641,1.3405,22196,1.3454,1.3365,BULLISH_SWEEP,-0.38194703468855007,-0.4453562103692675,-0.5050354345393467
2022-11-24,04:00:00,1.33416,1.33455,1.33278,1.33453,6056,1.34399,1.33445,BULLISH_SWEEP,0.015735877050350573,-0.05994619828703079,-0.1536121331105247
2022-11-24,08:00:00,1.33453,1.33622,1.33332,1.33474,11107,1.34399,1.33445,BULLISH_SWEEP,-0.005993676671117971,-0.07716858714057317,0.12137195259001414
2022-11-24,12:00:00,1.33476,1.33584,1.33364,1.33466,11234,1.34399,1.33445,BULLISH_SWEEP,-0.06968066773559374,-0.048701541965747046,0.2824689434013195
2022-12-01,00:00:00,1.342,1.34278,1.34021,1.34164,6351,1.35932,1.3415,BULLISH_SWEEP,-0.13490951372945556,0.1118034644166883,0.21317193882115062
2022-12-01,08:00:00,1.33985,1.34345,1.33952,1.34241,9038,1.35932,1.3415,BULLISH_SWEEP,0.05437980944718062,0.052145022757572046,0.07374796075713265
2022-12-01,12:00:00,1.34242,1.34506,1.34061,1.34314,9219,1.35932,1.3415,BULLISH_SWEEP,-0.11986836815224856,0.10125526750748454,0.35215986419881035
2022-12-01,16:00:00,1.34339,1.34661,1.3409,1.34153,9768,1.35932,1.3415,BULLISH_SWEEP,0.11777597221084413,0.17219145304242428,0.4353238466527075
2022-12-01,20:00:00,1.34152,1.34705,1.34053,1.34311,12020,1.35932,1.3415,BULLISH_SWEEP,0.10349115113430787,0.0215916790136252,0.2434647943950893
2022-12-02,20:00:00,1.34735,1.34945,1.34539,1.34638,8715,1.34705,1.33947,BEARISH_SWEEP,-0.40181820882662517,-0.3394286902657469,0.9157890045900989
2022-12-05,08:00:00,1.34046,1.3447,1.34045,1.34181,9318,1.35146,1.3416,BULLISH_SWEEP,0.03651783784590229,1.259492774684951,1.415252532027639
2022-12-05,12:00:00,1.34187,1.3439,1.33943,1.3423,10211,1.35146,1.3416,BULLISH_SWEEP,1.149519481487004,1.183044028905602,1.5167995232064317
2022-12-07,12:00:00,1.36892,1.36987,1.36335,1.36404,11943,1.36755,1.35705,BEARISH_SWEEP,-0.054250608486551936,0.25879006480748606,-0.45013342717221
2022-12-08,20:00:00,1.35734,1.35948,1.35622,1.3592,9242,1.36998,1.35885,BULLISH_SWEEP,-0.14346674514419483,0.3296056503825809,0.404649793996473
2022-12-09,12:00:00,1.36366,1.36911,1.36033,1.3646,11407,1.36891,1.3561,BEARISH_SWEEP,-0.16708192877034,0.1678147442473914,0.1685475597244591
2022-12-13,04:00:00,1.36308,1.36438,1.36125,1.3619,6124,1.36828,1.36185,BULLISH_SWEEP,0.026433658858940886,-0.5389529334018741,-0.3730082972318228
2022-12-13,08:00:00,1.36189,1.36258,1.36028,1.36226,9194,1.36828,1.36185,BULLISH_SWEEP,-0.601940892340668,-0.5762482932773578,-0.6217608973323725
2022-12-14,20:00:00,1.35572,1.36118,1.35184,1.35449,18866,1.36438,1.35217,BULLISH_SWEEP,0.14987190750762103,0.2148410102695456,0.8445983359050356
2022-12-20,04:00:00,1.3634,1.37038,1.36147,1.36851,11645,1.36942,1.3623,BEARISH_SWEEP,-0.5144281006349924,-0.42820293603992493,-0.5933460478914955
2022-12-20,12:00:00,1.36146,1.36396,1.3605,1.36328,12319,1.36942,1.3623,BULLISH_SWEEP,-0.04621207675606848,-0.2075875828883362,-0.21859045830643614
2022-12-20,16:00:00,1.36333,1.36581,1.35797,1.36265,18460,1.36942,1.3623,BULLISH_SWEEP,-0.1093457600998049,-0.16585330055406222,-0.1438373757017548
2022-12-22,04:00:00,1.35972,1.36005,1.35814,1.35897,4068,1.36376,1.35888,BULLISH_SWEEP,-0.014717028337636443,0.627681258600258,0.3340765432643832
2022-12-22,12:00:00,1.35878,1.36391,1.35878,1.36354,11566,1.36376,1.35888,BEARISH_SWEEP,0.29042052305029287,0.0036669257960973284,-0.2823532862988918
2022-12-23,16:00:00,1.35967,1.36465,1.35625,1.35839,14673,1.36842,1.35706,BULLISH_SWEEP,0.0596294142330242,-0.24072615375554032,-0.6441449068382449
2022-12-28,16:00:00,1.35122,1.35992,1.34934,1.35727,16418,1.35806,1.34843,BEARISH_SWEEP,0.227662882108942,0.09209663515733593,-0.19082422804599455
2022-12-30,08:00:00,1.35488,1.35631,1.35267,1.35482,7114,1.36084,1.3538,BULLISH_SWEEP,-0.07012001594307779,0.01623831948156279,0.48124474099881026
2022-12-30,12:00:00,1.35485,1.35543,1.35138,1.35387,8720,1.36084,1.3538,BULLISH_SWEEP,-0.0701692186103545,0.523683957839382,0.9528241263932382
2022-12-30,20:00:00,1.35291,1.35678,1.35256,1.35504,8728,1.36084,1.3538,BULLISH_SWEEP,0.4368874719565419,0.4649309245483508,0.8715609871295221
2023-01-03,04:00:00,1.36101,1.36188,1.3541,1.35617,7991,1.35811,1.35138,BEARISH_SWEEP,0.3812206434296509,0.7742392177971753,0.6216034862885875
2023-01-05,00:00:00,1.34766,1.34937,1.34698,1.34867,5159,1.36802,1.34754,BULLISH_SWEEP,0.07414712272089465,0.3544232466059159,0.4893710099579541
2023-01-06,12:00:00,1.36145,1.36642,1.3539,1.35401,13927,1.35948,1.34698,BEARISH_SWEEP,-0.7163905731863164,-0.9150597115235413,-1.2134326925207308
2023-01-10,16:00:00,1.34039,1.34451,1.33817,1.34357,16605,1.3444,1.33568,BEARISH_SWEEP,-0.06624143141033481,-0.09675714700386709,-0.017118572162220985
2023-01-12,08:00:00,1.34292,1.34482,1.34199,1.34237,7298,1.3445,1.3404,BEARISH_SWEEP,-0.5274253745241606,-0.41493775933610516,-0.569887586879933
2023-01-12,12:00:00,1.34237,1.34569,1.33476,1.33529,12415,1.3445,1.3404,BEARISH_SWEEP,0.008986811853597194,0.1932164548524893,0.5481955230698944
2023-01-13,08:00:00,1.33878,1.33906,1.33212,1.33472,9444,1.34569,1.3345,BULLISH_SWEEP,0.5911352193718664,0.3468892351954069,0.3513845600575464
2023-01-13,12:00:00,1.3347,1.34309,1.33369,1.34261,10661,1.34569,1.3345,BULLISH_SWEEP,-0.19663193332389714,-0.47817311058312484,-0.2227005608479043
2023-01-17,04:00:00,1.3406,1.34217,1.33934,1.34058,4948,1.34181,1.33523,BEARISH_SWEEP,0.15814050634799112,-0.08652971102060673,-0.20886481970491394
2023-01-17,12:00:00,1.34267,1.34365,1.33954,1.34088,10619,1.34181,1.33523,BEARISH_SWEEP,-0.10888371815524259,-0.159596682775493,-0.1424437682715887
2023-01-18,12:00:00,1.33575,1.33935,1.33551,1.33897,11039,1.34365,1.3369,BULLISH_SWEEP,0.6482594830354692,0.8991986377588782,0.6467657975906937
2023-01-18,16:00:00,1.33903,1.34815,1.33649,1.34765,15776,1.34365,1.3369,BULLISH_SWEEP,0.12243535042480833,0.17734575000926742,-0.0742032426817135
2023-01-19,12:00:00,1.35133,1.35195,1.3476,1.34763,10360,1.35,1.33502,BEARISH_SWEEP,-0.0727202570438624,-0.17438020821739453,-0.015582912223684799
2023-01-20,04:00:00,1.34526,1.34701,1.34452,1.34597,4928,1.35203,1.34462,BULLISH_SWEEP,0.06463739905049343,-0.39673989762031264,-0.6025394325282184
2023-01-20,08:00:00,1.34597,1.34764,1.34416,1.34684,8057,1.35203,1.34462,BULLISH_SWEEP,0.04306376406997304,-0.6533812479581941,-0.8694425469989091
2023-01-23,04:00:00,1.33674,1.33795,1.33661,1.33786,3678,1.34969,1.33731,BULLISH_SWEEP,-0.2040572257186941,-0.017191634401204345,-0.1405229246707506
2023-01-23,12:00:00,1.33514,1.34005,1.33499,1.33957,8436,1.34969,1.33731,BULLISH_SWEEP,-0.14482259232439,-0.3083078898452464,-0.10749718193150681
2023-01-23,16:00:00,1.33964,1.34172,1.33695,1.33763,12138,1.34969,1.33731,BULLISH_SWEEP,-0.07251631617114877,-0.12335249657978299,-0.11587658769616128
2023-01-25,08:00:00,1.3357,1.33775,1.33432,1.3376,13186,1.34134,1.33464,BULLISH_SWEEP,-0.06504186602870264,0.11513157894737568,0.19736842105264638
2023-01-25,16:00:00,1.33674,1.34282,1.33397,1.34099,24385,1.34134,1.33464,BEARISH_SWEEP,-0.1379577774629123,-0.12453485857462311,-0.38553605918015027
2023-01-26,16:00:00,1.33552,1.3373,1.33029,1.33582,25945,1.34282,1.33397,BULLISH_SWEEP,-0.2784806336182978,-0.17667050949977675,-0.40798910032788505
2023-01-27,16:00:00,1.3327,1.33418,1.33003,1.33037,12953,1.34078,1.33029,BULLISH_SWEEP,0.045851905860775526,0.19317934108555973,0.414170493922736
2023-01-27,20:00:00,1.33038,1.33152,1.33001,1.33098,6179,1.34078,1.33029,BULLISH_SWEEP,-0.011269891358254406,0.14876256592885473,0.5717591549084055
2023-01-30,00:00:00,1.33112,1.33162,1.32994,1.33083,3857,1.33461,1.33001,BULLISH_SWEEP,0.15854767325654337,0.2712592893156987,0.5665637233906737
2023-01-30,08:00:00,1.33296,1.33532,1.33251,1.33296,8280,1.33461,1.33001,BEARISH_SWEEP,0.11103108870484846,0.4223682631136736,0.8754951386388241
2023-01-30,12:00:00,1.33296,1.33484,1.33154,1.33444,8738,1.33461,1.33001,BEARISH_SWEEP,0.10791043433948964,0.29450556038487974,0.48559695452772844
2023-01-31,00:00:00,1.33772,1.33924,1.33678,1.33837,4094,1.33888,1.32994,BEARISH_SWEEP,0.26524802558335453,0.19053027189789296,-0.5626246852514654
2023-01-31,16:00:00,1.3409,1.34188,1.33126,1.33219,15956,1.33888,1.32994,BEARISH_SWEEP,-0.12085363198942262,0.019516735600772182,0.1733986893761426
2023-01-31,20:00:00,1.33217,1.33234,1.32985,1.33058,6908,1.33888,1.32994,BULLISH_SWEEP,0.019540350824447,0.0157825910505059,-0.11874520885629851
2023-02-01,00:00:00,1.33037,1.33124,1.32983,1.33084,3645,1.34715,1.32985,BULLISH_SWEEP,0.12097622554175479,0.01728231793453401,-0.18860268702473718
