trade_date,trade_time,open,high,low,close,volume,prev_high,prev_low,signal,forward_1,forward_3,forward_6
2022-10-21,20:00:00,1.36659,1.36813,1.36296,1.36451,15441,1.3805,1.36544,BEARISH_LOWER_HIGH_LOW,0.17368872342454106,0.6229342401301694,0.4360539680911186
2022-10-24,00:00:00,1.36323,1.36749,1.36062,1.36688,12329,1.36813,1.36296,BEARISH_LOWER_HIGH_LOW,0.07901205665456879,0.3394592063677848,0.13314994732529065
2022-10-24,04:00:00,1.36696,1.36959,1.36623,1.36796,11110,1.36749,1.36062,BULLISH_HIGHER_HIGH_LOW,0.36916284101874314,0.26535863621743483,0.18348489721921782
2022-10-24,08:00:00,1.36798,1.37461,1.36716,1.37301,18632,1.36959,1.36623,BULLISH_HIGHER_HIGH_LOW,-0.10852069540644214,-0.1857233377761307,-0.08084427644373794
2022-10-24,12:00:00,1.37303,1.37541,1.36835,1.37152,17723,1.37461,1.36716,BULLISH_HIGHER_HIGH_LOW,0.005103826411573619,-0.20561129258049787,-0.06853709752684342
2022-10-24,16:00:00,1.37149,1.37741,1.36869,1.37159,31487,1.37541,1.36835,BULLISH_HIGHER_HIGH_LOW,-0.0823861357986042,-0.08165705495082422,-0.5861810016112721
2022-10-25,00:00:00,1.37039,1.37101,1.36787,1.3687,6621,1.37432,1.37036,BEARISH_LOWER_HIGH_LOW,0.12931979250383935,0.13735661576677738,-0.3762694527653969
2022-10-25,04:00:00,1.36871,1.37162,1.36801,1.37047,10382,1.37101,1.36787,BULLISH_HIGHER_HIGH_LOW,0.10434376527759237,-0.5049362627419818,-0.7435405371879824
2022-10-25,08:00:00,1.37051,1.37224,1.36939,1.3719,14492,1.37162,1.36801,BULLISH_HIGHER_HIGH_LOW,-0.0962169254318819,-0.8222173627815408,-1.4505430424957948
2022-10-25,12:00:00,1.37193,1.37479,1.37043,1.37058,13849,1.37224,1.36939,BULLISH_HIGHER_HIGH_LOW,-0.512921536867594,-0.512921536867594,-1.0214653650279455
2022-10-25,16:00:00,1.37058,1.3709,1.36039,1.36355,32702,1.37479,1.37043,BEARISH_LOWER_HIGH_LOW,-0.21488027575080482,-0.2398151882952665,-0.53903413882879
2022-10-25,20:00:00,1.36356,1.36433,1.3601,1.36062,15655,1.3709,1.36039,BEARISH_LOWER_HIGH_LOW,0.21534300539460682,-0.6335347121165241,-0.3785039173318038
2022-10-26,04:00:00,1.36357,1.36381,1.35956,1.36028,8079,1.36389,1.36058,BEARISH_LOWER_HIGH_LOW,-0.6086982091922136,-0.29993824800775293,-0.40653394889287764
2022-10-26,08:00:00,1.3603,1.36108,1.35174,1.352,15771,1.36381,1.35956,BEARISH_LOWER_HIGH_LOW,0.33875739644968983,0.2566568047337176,0.43343195266272005
