trade_date,trade_time,open,high,low,close,volume,london_high,london_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2022-10-25,16:00:00,1.37058,1.3709,1.36039,1.36355,32702,1.37224,1.36939,BEARISH_LONDON_BREAKOUT,0,1,-0.21488027575080482,-0.2398151882952665,-0.53903413882879
2022-10-28,12:00:00,1.36056,1.36299,1.35832,1.3617,15538,1.36162,1.35335,BULLISH_LONDON_BREAKOUT,1,0,0.03818755966806756,-0.01028126606446405,0.43107879856062586
2022-10-31,12:00:00,1.36469,1.368,1.36298,1.36757,13249,1.36586,1.36111,BULLISH_LONDON_BREAKOUT,1,0,-0.23399167867091775,-0.4372719495162862,-0.96082833054249
2022-11-01,16:00:00,1.35442,1.36687,1.35341,1.36531,28106,1.35851,1.35419,BULLISH_LONDON_BREAKOUT,1,0,-0.16919234459573534,-0.35742798338838766,-0.1289084530253191
2022-11-02,16:00:00,1.36012,1.36493,1.35927,1.36355,18879,1.36132,1.35874,BULLISH_LONDON_BREAKOUT,1,0,0.5522349748817452,0.3916248029041766,0.6996443108063424
2022-11-03,12:00:00,1.37556,1.38049,1.37449,1.3795,19638,1.37596,1.3685,BULLISH_LONDON_BREAKOUT,1,0,-0.4646611090975011,-0.4073939833272895,-1.9978252990213867
2022-11-04,12:00:00,1.36512,1.36551,1.35121,1.35194,17004,1.36745,1.36382,BEARISH_LONDON_BREAKOUT,0,1,-0.029587111854073107,0.05843454591180589,-0.24853173957424365
2022-11-08,12:00:00,1.34977,1.35059,1.34799,1.34954,15607,1.35262,1.34966,BEARISH_LONDON_BREAKOUT,0,1,-0.7135764779109939,-0.37271959334290705,-0.3564177423418336
2022-11-09,16:00:00,1.3448,1.34931,1.34114,1.3474,22477,1.34558,1.34129,BULLISH_LONDON_BREAKOUT,1,0,0.37776458364257376,0.41709959922814005,-0.590025233783576
2022-11-10,12:00:00,1.35398,1.35707,1.33688,1.34011,16136,1.35615,1.35106,BEARISH_LONDON_BREAKOUT,0,1,-0.04924968845840139,-0.34250919700620636,-1.0103648207982843
2022-11-11,12:00:00,1.32993,1.33173,1.32623,1.32657,19237,1.3324,1.3284,BEARISH_LONDON_BREAKOUT,0,1,-0.009045885252954612,-0.031660598385316034,0.1364421025652523
2022-11-14,16:00:00,1.32833,1.33093,1.32615,1.3298,22396,1.32939,1.32485,BULLISH_LONDON_BREAKOUT,1,0,0.13084674387124776,-0.027823732892179535,-0.18649420965559013
2022-11-16,16:00:00,1.32683,1.33467,1.32669,1.3319,24262,1.32807,1.32303,BULLISH_LONDON_BREAKOUT,1,0,0.0578121480591589,0.2470155417073365,0.08484120429460569
2022-11-17,12:00:00,1.33461,1.3401,1.33433,1.33922,24111,1.33579,1.33045,BULLISH_LONDON_BREAKOUT,1,0,-0.46220934573857464,-0.5831752811338013,-0.21206373859412012
2022-11-18,12:00:00,1.33393,1.33639,1.33163,1.33638,13907,1.33475,1.33107,BULLISH_LONDON_BREAKOUT,1,0,0.30156093326749883,0.3284993789191784,0.4976129543992012
2022-11-21,16:00:00,1.34302,1.34948,1.3417,1.34502,22970,1.34417,1.34068,BULLISH_LONDON_BREAKOUT,1,0,0.007434833682769698,-0.13382700628987104,-0.4669075552779931
2022-11-22,16:00:00,1.3406,1.34185,1.3383,1.33874,14908,1.34437,1.3394,BEARISH_LONDON_BREAKOUT,0,1,-0.11727445209675301,0.05676979846720587,0.13146690171355033
2022-11-23,12:00:00,1.33864,1.34399,1.33864,1.34117,13325,1.33955,1.33629,BULLISH_LONDON_BREAKOUT,1,0,-0.04995638136850275,-0.522677960288402,-0.48539707867011755
2022-11-23,20:00:00,1.34049,1.3408,1.33445,1.33538,11845,1.33955,1.33629,BEARISH_LONDON_BREAKOUT,2,1,-0.09135976276415693,-0.04792643292545747,-0.1250580359148752
2022-11-25,12:00:00,1.33639,1.33856,1.3337,1.33843,10737,1.33699,1.33248,BULLISH_LONDON_BREAKOUT,1,0,-0.02540289742459501,0.5992095216036637,0.44529784897230074
2022-11-28,20:00:00,1.3445,1.35046,1.34417,1.34947,8942,1.34599,1.34271,BULLISH_LONDON_BREAKOUT,1,0,-0.24750457587051944,-0.3015998873631884,0.6195024713406111
2022-11-29,12:00:00,1.34546,1.35569,1.3438,1.35507,15123,1.34624,1.34084,BULLISH_LONDON_BREAKOUT,1,0,0.3394658578523572,0.22065280760403877,-0.20958326876102
2022-11-30,12:00:00,1.35299,1.35484,1.34963,1.35223,10291,1.35768,1.35286,BEARISH_LONDON_BREAKOUT,0,1,0.0902213380859764,-0.783150795352869,-0.672222920656992
2022-12-02,12:00:00,1.34335,1.35146,1.34222,1.34787,8536,1.3453,1.34204,BULLISH_LONDON_BREAKOUT,1,0,-0.03709556559608456,-0.5119188052260163,-0.41324460074041663
2022-12-05,16:00:00,1.3423,1.35851,1.34221,1.35773,12888,1.3447,1.34045,BULLISH_LONDON_BREAKOUT,1,0,0.07217929927157689,0.05744883003248089,0.5766978707106717
2022-12-06,12:00:00,1.36081,1.36406,1.36026,1.36266,10692,1.36193,1.35808,BULLISH_LONDON_BREAKOUT,1,0,0.21281904510296953,0.11741740419474013,0.10127251111795584
2022-12-07,12:00:00,1.36892,1.36987,1.36335,1.36404,11943,1.36998,1.36478,BEARISH_LONDON_BREAKOUT,0,1,-0.054250608486551936,0.25879006480748606,-0.45013342717221
2022-12-08,12:00:00,1.36749,1.36754,1.35719,1.3579,10934,1.36862,1.36467,BEARISH_LONDON_BREAKOUT,0,1,-0.04492230650268793,-0.04786803151926058,0.49340894027542
