trade_date,trade_time,open,high,low,close,volume,ny_high,ny_low,signal,bullish_count,bearish_count,forward_1,forward_3,forward_6
2022-10-21,20:00:00,1.36659,1.36813,1.36296,1.36451,15441,1.3805,1.36544,BEARISH_NEWYORK_BREAKOUT,0,1,0.17368872342454106,0.6229342401301694,0.4360539680911186
2022-10-31,20:00:00,1.36435,1.36531,1.36169,1.36217,15476,1.3685,1.36269,BEARISH_NEWYORK_BREAKOUT,0,1,-0.042579120080461684,-0.4859892671252538,0.06093218908064973
2022-11-02,20:00:00,1.36355,1.37133,1.35481,1.37108,15780,1.36493,1.35927,BULLISH_NEWYORK_BREAKOUT,1,0,-0.02844472970214083,0.32456165942175824,0.248709046882743
2022-11-09,20:00:00,1.3474,1.35416,1.3469,1.35249,15796,1.34931,1.34114,BULLISH_NEWYORK_BREAKOUT,1,0,0.03253258804131609,0.10942779613896782,-1.5157228519249655
2022-11-10,20:00:00,1.33941,1.33951,1.33081,1.33199,14237,1.34222,1.33335,BEARISH_NEWYORK_BREAKOUT,0,1,0.2650170046321694,-0.15765884128259153,-0.5090128304266555
2022-11-11,20:00:00,1.32643,1.32652,1.3236,1.32521,11847,1.33043,1.32566,BEARISH_NEWYORK_BREAKOUT,0,1,0.07093215414914926,0.2361889813689964,0.4776601444299354
2022-11-14,20:00:00,1.32978,1.33162,1.32829,1.33154,13261,1.33093,1.32615,BULLISH_NEWYORK_BREAKOUT,1,0,0.004506060651572539,-0.3139222253931426,-0.27111464920317013
2022-11-22,20:00:00,1.33878,1.33922,1.3365,1.33717,7019,1.34185,1.3383,BEARISH_NEWYORK_BREAKOUT,0,1,0.009722024873423983,0.11292505814519636,-0.13386480402641088
2022-11-23,20:00:00,1.34049,1.3408,1.33445,1.33538,11845,1.34212,1.33641,BEARISH_NEWYORK_BREAKOUT,0,1,-0.09135976276415693,-0.04792643292545747,-0.1250580359148752
2022-11-28,20:00:00,1.3445,1.35046,1.34417,1.34947,8942,1.34674,1.3422,BULLISH_NEWYORK_BREAKOUT,1,0,-0.24750457587051944,-0.3015998873631884,0.6195024713406111
2022-11-30,20:00:00,1.35348,1.35625,1.3415,1.34165,10383,1.35778,1.34922,BEARISH_NEWYORK_BREAKOUT,0,1,-0.0007453508739287826,0.05664666641822338,0.1088212275928906
2022-12-05,20:00:00,1.35769,1.36049,1.35682,1.35871,10478,1.35851,1.34221,BULLISH_NEWYORK_BREAKOUT,1,0,-0.039007588079880286,0.15382237563570778,0.4666190725025952
2022-12-14,20:00:00,1.35572,1.36118,1.35184,1.35449,18866,1.35844,1.35504,BEARISH_NEWYORK_BREAKOUT,0,1,0.14987190750762103,0.2148410102695456,0.8445983359050356
2022-12-28,20:00:00,1.35725,1.36119,1.35625,1.36036,6634,1.35992,1.34934,BULLISH_NEWYORK_BREAKOUT,1,0,-0.05145696727336315,-0.12570202005352263,-0.4153312358493291
2023-01-16,20:00:00,1.3391,1.34156,1.33892,1.34061,2541,1.34005,1.33861,BULLISH_NEWYORK_BREAKOUT,1,0,-0.005967432735850098,0.15589918022392232,-0.12531608745273612
2023-01-18,20:00:00,1.34762,1.35,1.34718,1.3493,8069,1.34815,1.33649,BULLISH_NEWYORK_BREAKOUT,1,0,0.12673237975247167,0.15118950566960956,-0.19491588230933893
2023-01-20,20:00:00,1.34063,1.34193,1.33731,1.33804,6880,1.34969,1.34033,BEARISH_NEWYORK_BREAKOUT,0,1,-0.09865175928970643,-0.21748228752503426,-0.1031359301665075
2023-01-23,20:00:00,1.33763,1.33945,1.33651,1.33666,7536,1.34172,1.33695,BEARISH_NEWYORK_BREAKOUT,0,1,-0.09127227567219778,0.011970134514381964,0.004488800442891161
2023-01-30,20:00:00,1.33589,1.33888,1.33563,1.33859,7279,1.33647,1.33219,BULLISH_NEWYORK_BREAKOUT,1,0,-0.016435204207403832,0.45122106096714043,-0.5983908440971358
2023-01-31,20:00:00,1.33217,1.33234,1.32985,1.33058,6908,1.34188,1.33126,BEARISH_NEWYORK_BREAKOUT,0,1,0.019540350824447,0.0157825910505059,-0.11874520885629851
2023-02-01,20:00:00,1.3345,1.338,1.32663,1.329,15614,1.33474,1.32917,BEARISH_NEWYORK_BREAKOUT,0,1,-0.050413844996233886,-0.07975921745673897,0.1911211437170795
2023-02-08,20:00:00,1.343,1.34503,1.34211,1.34465,7522,1.3444,1.34049,BULLISH_NEWYORK_BREAKOUT,1,0,0.020823262559034543,-0.3153236901795857,0.05577659614026167
2023-02-10,20:00:00,1.33607,1.33651,1.33377,1.33432,6693,1.33814,1.33445,BEARISH_NEWYORK_BREAKOUT,0,1,0.14014629174411225,0.15963187241441074,-0.09293123088913513
2023-02-21,20:00:00,1.35189,1.35491,1.35154,1.35359,7215,1.35305,1.34876,BULLISH_NEWYORK_BREAKOUT,1,0,0.032506150311393846,0.1218980636677228,0.10933886922922936
2023-02-24,20:00:00,1.36159,1.36286,1.35966,1.36061,10813,1.36651,1.36069,BEARISH_NEWYORK_BREAKOUT,0,1,-0.09040062912958631,-0.070556588588947,-0.23224877077193695
2023-02-28,20:00:00,1.36162,1.3648,1.36111,1.36451,8372,1.36192,1.35749,BULLISH_NEWYORK_BREAKOUT,1,0,-0.08721079361820745,-0.3012070266982167,-0.4023422327428891
2023-03-01,20:00:00,1.35994,1.36171,1.35897,1.35902,7302,1.36531,1.35936,BEARISH_NEWYORK_BREAKOUT,0,1,0.14054244970641186,0.14863651749055443,0.03973451457669549
2023-03-02,20:00:00,1.3624,1.36316,1.35887,1.35956,10433,1.36315,1.35965,BEARISH_NEWYORK_BREAKOUT,0,1,-0.08826385006914662,-0.2471387801935942,-0.0007355320839143187
2023-03-03,20:00:00,1.35972,1.36105,1.35829,1.35955,8357,1.36442,1.35959,BEARISH_NEWYORK_BREAKOUT,0,1,0.06178514949799212,0.03015703725497565,0.12430583649001281
2023-03-07,20:00:00,1.37355,1.3761,1.37317,1.37528,9584,1.37434,1.3645,BULLISH_NEWYORK_BREAKOUT,1,0,0.013815368506770434,0.04290035483682366,0.36283520446745754
2023-03-08,20:00:00,1.37953,1.38146,1.37899,1.38027,8594,1.37959,1.37454,BULLISH_NEWYORK_BREAKOUT,1,0,0.06810261760379786,0.021010382026697777,0.17822599926100738
2023-03-09,20:00:00,1.37947,1.3837,1.37893,1.38273,11600,1.37979,1.37524,BULLISH_NEWYORK_BREAKOUT,1,0,0.05134769622413547,0.060749387082073274,-0.0021696209672151822
2023-03-10,20:00:00,1.37976,1.3847,1.37907,1.3827,14863,1.38119,1.37612,BULLISH_NEWYORK_BREAKOUT,1,0,-0.4737108555724348,-0.6393288493527127,-0.7022492225356265
2023-03-16,20:00:00,1.37338,1.37424,1.37137,1.37201,11361,1.37874,1.37277,BEARISH_NEWYORK_BREAKOUT,0,1,0.07361462380011483,-0.1610775431665983,0.11005750686949238
2023-03-23,20:00:00,1.3664,1.3733,1.36638,1.37141,14327,1.36824,1.36305,BULLISH_NEWYORK_BREAKOUT,1,0,0.010937648113975577,0.27198284976775805,0.19177343026519497
2023-03-27,20:00:00,1.36669,1.36688,1.36495,1.36594,7882,1.37159,1.3665,BEARISH_NEWYORK_BREAKOUT,0,1,-0.11347496961798763,0.1595970540433746,-0.4553640716283214
2023-03-28,20:00:00,1.36042,1.36183,1.35916,1.35972,7008,1.36672,1.36035,BEARISH_NEWYORK_BREAKOUT,0,1,-0.043391286441332805,0.06839643456004732,-0.29123643102991525
2023-03-29,20:00:00,1.35743,1.35772,1.35561,1.35576,6827,1.36047,1.35593,BEARISH_NEWYORK_BREAKOUT,0,1,0.08482327255561341,-0.16522098306485067,-0.25742019236442976
2023-03-30,20:00:00,1.35282,1.35411,1.35157,1.35227,6236,1.35458,1.35239,BEARISH_NEWYORK_BREAKOUT,0,1,-0.026621902430737792,0.2425551110355143,-0.0628572696281081
2023-03-31,20:00:00,1.35218,1.35415,1.35125,1.35142,8120,1.35458,1.35202,BEARISH_NEWYORK_BREAKOUT,0,1,-0.07621612822069278,-0.17167127909902916,-0.5890100782880204
2023-04-10,20:00:00,1.35262,1.35286,1.35021,1.35089,5679,1.35533,1.35237,BEARISH_NEWYORK_BREAKOUT,0,1,-0.052557943281835565,-0.06588249228285319,-0.33385397774800424
